SA3_NAME16	Year	medianTotalHouseholdIncomeWeekly
Queanbeyan	2006	1223
Snowy Mountains	2006	949
South Coast	2006	656
Goulburn - Mulwaree	2006	814
Young - Yass	2006	882
Gosford	2006	946
Wyong	2006	767
Bathurst	2006	961
Lachlan Valley	2006	672
Lithgow - Mudgee	2006	717
Orange	2006	938
Clarence Valley	2006	633
Coffs Harbour	2006	682
Bourke - Cobar - Coonamble	2006	706
Broken Hill and Far West	2006	620
Dubbo	2006	795
Lower Hunter	2006	941
Maitland	2006	1038
Port Stephens	2006	821
Upper Hunter	2006	983
Dapto - Port Kembla	2006	858
Illawarra Catchment Reserve	2006	0
Kiama - Shellharbour	2006	1005
Wollongong	2006	976
Great Lakes	2006	613
Kempsey - Nambucca	2006	594
Lord Howe Island	2006	1006
Port Macquarie	2006	678
Taree - Gloucester	2006	638
Albury	2006	907
Lower Murray	2006	749
Upper Murray exc. Albury	2006	756
Armidale	2006	817
Inverell - Tenterfield	2006	617
Moree - Narrabri	2006	881
Tamworth - Gunnedah	2006	777
Lake Macquarie - East	2006	935
Lake Macquarie - West	2006	892
Newcastle	2006	878
Richmond Valley - Coastal	2006	750
Richmond Valley - Hinterland	2006	703
Tweed Valley	2006	679
Griffith - Murrumbidgee (West)	2006	886
Tumut - Tumbarumba	2006	787
Wagga Wagga	2006	867
Shoalhaven	2006	661
Southern Highlands	2006	993
Baulkham Hills	2006	1802
Dural - Wisemans Ferry	2006	1480
Hawkesbury	2006	1251
Rouse Hill - McGraths Hill	2006	1668
Blacktown	2006	1085
Blacktown - North	2006	1440
Mount Druitt	2006	988
Botany	2006	993
Marrickville - Sydenham - Petersham	2006	1164
Sydney Inner City	2006	1237
Eastern Suburbs - North	2006	1605
Eastern Suburbs - South	2006	1212
Bankstown	2006	937
Canterbury	2006	837
Hurstville	2006	1075
Kogarah - Rockdale	2006	1053
Canada Bay	2006	1462
Leichhardt	2006	1757
Strathfield - Burwood - Ashfield	2006	1113
Chatswood - Lane Cove	2006	1698
Hornsby	2006	1385
Ku-ring-gai	2006	2138
North Sydney - Mosman	2006	1827
Manly	2006	1709
