SA3_NAME16	Year	persons
Queanbeyan	2006	49068
Queanbeyan	2011	53511
Queanbeyan	2016	57331
Snowy Mountains	2006	18489
Snowy Mountains	2011	18931
Snowy Mountains	2016	19366
South Coast	2006	66068
South Coast	2011	67880
South Coast	2016	70638
Goulburn - Mulwaree	2006	32079
Goulburn - Mulwaree	2011	33099
Goulburn - Mulwaree	2016	35559
Young - Yass	2006	32234
Young - Yass	2011	34397
Young - Yass	2016	35942
Gosford	2006	158938
Gosford	2011	163110
Gosford	2016	169053
Wyong	2006	139023
Wyong	2011	149076
Wyong	2016	158683
Bathurst	2006	40876
Bathurst	2011	43555
Bathurst	2016	46594
Lachlan Valley	2006	55567
Lachlan Valley	2011	54796
Lachlan Valley	2016	55336
Lithgow - Mudgee	2006	42533
Lithgow - Mudgee	2011	43918
Lithgow - Mudgee	2016	46612
Orange	2006	50699
Orange	2011	54469
Orange	2016	57614
Clarence Valley	2006	47670
Clarence Valley	2011	49238
Clarence Valley	2016	50261
Coffs Harbour	2006	77805
Coffs Harbour	2011	81365
Coffs Harbour	2016	86021
Bourke - Cobar - Coonamble	2006	26634
Bourke - Cobar - Coonamble	2011	25292
Bourke - Cobar - Coonamble	2016	24152
Broken Hill and Far West	2006	22030
Broken Hill and Far West	2011	21202
Broken Hill and Far West	2016	20217
Dubbo	2006	65818
Dubbo	2011	67100
Dubbo	2016	69414
Lower Hunter	2006	76464
Lower Hunter	2011	81987
Lower Hunter	2016	87675
Maitland	2006	58361
Maitland	2011	64205
Maitland	2016	74162
Port Stephens	2006	62712
Port Stephens	2011	67501
Port Stephens	2016	71381
Upper Hunter	2006	28208
Upper Hunter	2011	29548
Upper Hunter	2016	30196
Dapto - Port Kembla	2006	70666
Dapto - Port Kembla	2011	71918
Dapto - Port Kembla	2016	75354
Illawarra Catchment Reserve	2006	0
Illawarra Catchment Reserve	2011	11
Illawarra Catchment Reserve	2016	8
Kiama - Shellharbour	2006	79323
Kiama - Shellharbour	2011	83530
Kiama - Shellharbour	2016	89837
Wollongong	2006	113546
Wollongong	2011	120524
Wollongong	2016	128301
Great Lakes	2006	28728
Great Lakes	2011	29849
Great Lakes	2016	31272
Kempsey - Nambucca	2006	45280
Kempsey - Nambucca	2011	46830
Kempsey - Nambucca	2016	48127
Lord Howe Island	2006	345
Lord Howe Island	2011	359
Lord Howe Island	2016	382
Port Macquarie	2006	68434
Port Macquarie	2011	72712
Port Macquarie	2016	78567
Taree - Gloucester	2006	49944
Taree - Gloucester	2011	51358
Taree - Gloucester	2016	53856
Albury	2006	55897
Albury	2011	57437
Albury	2016	61271
Lower Murray	2006	13048
Lower Murray	2011	12423
Lower Murray	2016	12547
Upper Murray exc. Albury	2006	40676
Upper Murray exc. Albury	2011	40458
Upper Murray exc. Albury	2016	41980
Armidale	2006	34775
Armidale	2011	35945
Armidale	2016	37090
Inverell - Tenterfield	2006	37364
Inverell - Tenterfield	2011	37759
Inverell - Tenterfield	2016	38345
Moree - Narrabri	2006	26396
Moree - Narrabri	2011	25686
Moree - Narrabri	2016	25622
Tamworth - Gunnedah	2006	73864
Tamworth - Gunnedah	2011	76804
Tamworth - Gunnedah	2016	80496
Lake Macquarie - East	2006	114691
Lake Macquarie - East	2011	116866
Lake Macquarie - East	2016	120014
Lake Macquarie - West	2006	66953
Lake Macquarie - West	2011	70006
Lake Macquarie - West	2016	75205
Newcastle	2006	148315
Newcastle	2011	155737
