SA3_NAME16	Year	Occupation	workers
Queanbeyan	2006		447
Queanbeyan	2006	Clerical and administrative workers	4811
Queanbeyan	2006	Community and personal service workers	2229
Queanbeyan	2006	Labourers	2187
Queanbeyan	2006	Machinery operators and drivers	1404
Queanbeyan	2006	Managers	4064
Queanbeyan	2006	Professionals	4984
Queanbeyan	2006	Sales workers	1946
Queanbeyan	2006	Technicians and trades workers	3656
Queanbeyan	2011		722
Queanbeyan	2011	Clerical and administrative workers	5673
Queanbeyan	2011	Community and personal service workers	2697
Queanbeyan	2011	Labourers	2110
Queanbeyan	2011	Machinery operators and drivers	1537
Queanbeyan	2011	Managers	4560
Queanbeyan	2011	Professionals	5803
Queanbeyan	2011	Sales workers	2161
Queanbeyan	2011	Technicians and trades workers	4055
Queanbeyan	2016		680
Queanbeyan	2016	Clerical and administrative workers	5473
Queanbeyan	2016	Community and personal service workers	3091
Queanbeyan	2016	Labourers	2162
Queanbeyan	2016	Machinery operators and drivers	1390
Queanbeyan	2016	Managers	4860
Queanbeyan	2016	Professionals	5970
Queanbeyan	2016	Sales workers	2359
Queanbeyan	2016	Technicians and trades workers	4046
Snowy Mountains	2006		124
Snowy Mountains	2006	Clerical and administrative workers	1002
Snowy Mountains	2006	Community and personal service workers	844
Snowy Mountains	2006	Labourers	1026
Snowy Mountains	2006	Machinery operators and drivers	539
Snowy Mountains	2006	Managers	1793
Snowy Mountains	2006	Professionals	1146
Snowy Mountains	2006	Sales workers	758
Snowy Mountains	2006	Technicians and trades workers	1322
Snowy Mountains	2011		159
Snowy Mountains	2011	Clerical and administrative workers	1065
Snowy Mountains	2011	Community and personal service workers	996
Snowy Mountains	2011	Labourers	1020
Snowy Mountains	2011	Machinery operators and drivers	577
Snowy Mountains	2011	Managers	1745
Snowy Mountains	2011	Professionals	1255
Snowy Mountains	2011	Sales workers	853
Snowy Mountains	2011	Technicians and trades workers	1382
Snowy Mountains	2016		171
Snowy Mountains	2016	Clerical and administrative workers	1072
Snowy Mountains	2016	Community and personal service workers	1159
Snowy Mountains	2016	Labourers	1144
Snowy Mountains	2016	Machinery operators and drivers	620
Snowy Mountains	2016	Managers	1773
Snowy Mountains	2016	Professionals	1283
Snowy Mountains	2016	Sales workers	896
Snowy Mountains	2016	Technicians and trades workers	1320
South Coast	2006		405
South Coast	2006	Clerical and administrative workers	2882
South Coast	2006	Community and personal service workers	2580
South Coast	2006	Labourers	3321
South Coast	2006	Machinery operators and drivers	1409
South Coast	2006	Managers	3781
South Coast	2006	Professionals	3637
South Coast	2006	Sales workers	2810
South Coast	2006	Technicians and trades workers	3864
South Coast	2011		383
South Coast	2011	Clerical and administrative workers	3054
South Coast	2011	Community and personal service workers	3094
South Coast	2011	Labourers	3247
