SA3_NAME16	Year	AustCitizen	Sex	persons
Queanbeyan	2006	0		5194
Queanbeyan	2006	1	F	21987
Queanbeyan	2006	1	M	21887
Queanbeyan	2011	0		5639
Queanbeyan	2011	1	F	23971
Queanbeyan	2011	1	M	23901
Queanbeyan	2016	0		7467
Queanbeyan	2016	1	F	24812
Queanbeyan	2016	1	M	25052
Snowy Mountains	2006	0		2777
Snowy Mountains	2006	1	F	7753
Snowy Mountains	2006	1	M	7959
Snowy Mountains	2011	0		2418
Snowy Mountains	2011	1	F	8080
Snowy Mountains	2011	1	M	8433
Snowy Mountains	2016	0		2594
Snowy Mountains	2016	1	F	8160
Snowy Mountains	2016	1	M	8612
South Coast	2006	0		5384
South Coast	2006	1	F	30921
South Coast	2006	1	M	29763
South Coast	2011	0		6067
South Coast	2011	1	F	31481
South Coast	2011	1	M	30332
South Coast	2016	0		7553
South Coast	2016	1	F	32228
South Coast	2016	1	M	30857
Goulburn - Mulwaree	2006	0		3069
Goulburn - Mulwaree	2006	1	F	14612
Goulburn - Mulwaree	2006	1	M	14398
Goulburn - Mulwaree	2011	0		2962
Goulburn - Mulwaree	2011	1	F	15237
Goulburn - Mulwaree	2011	1	M	14900
Goulburn - Mulwaree	2016	0		4280
Goulburn - Mulwaree	2016	1	F	15739
Goulburn - Mulwaree	2016	1	M	15540
Young - Yass	2006	0		2045
Young - Yass	2006	1	F	15270
Young - Yass	2006	1	M	14919
Young - Yass	2011	0		2633
Young - Yass	2011	1	F	16104
Young - Yass	2011	1	M	15660
Young - Yass	2016	0		3215
Young - Yass	2016	1	F	16599
Young - Yass	2016	1	M	16128
Gosford	2006	0		19396
Gosford	2006	1	F	72274
Gosford	2006	1	M	67268
Gosford	2011	0		17817
Gosford	2011	1	F	75486
Gosford	2011	1	M	69807
Gosford	2016	0		19329
Gosford	2016	1	F	77180
Gosford	2016	1	M	72544
Wyong	2006	0		14095
Wyong	2006	1	F	64620
Wyong	2006	1	M	60308
Wyong	2011	0		14206
Wyong	2011	1	F	69823
Wyong	2011	1	M	65047
Wyong	2016	0		16402
Wyong	2016	1	F	73273
Wyong	2016	1	M	69008
Bathurst	2006	0		4038
Bathurst	2006	1	F	18661
Bathurst	2006	1	M	18177
Bathurst	2011	0		4405
Bathurst	2011	1	F	19788
Bathurst	2011	1	M	19362
Bathurst	2016	0		6115
Bathurst	2016	1	F	20545
Bathurst	2016	1	M	19934
Lachlan Valley	2006	0		3474
Lachlan Valley	2006	1	F	26200
Lachlan Valley	2006	1	M	25893
Lachlan Valley	2011	0		4193
Lachlan Valley	2011	1	F	25477
Lachlan Valley	2011	1	M	25126
Lachlan Valley	2016	0		6083
Lachlan Valley	2016	1	F	24789
Lachlan Valley	2016	1	M	24464
Lithgow - Mudgee	2006	0		3928
Lithgow - Mudgee	2006	1	F	19314
Lithgow - Mudgee	2006	1	M	19291
Lithgow - Mudgee	2011	0		4300
Lithgow - Mudgee	2011	1	F	19783
Lithgow - Mudgee	2011	1	M	19835
Lithgow - Mudgee	2016	0		6419
Lithgow - Mudgee	2016	1	F	20069
Lithgow - Mudgee	2016	1	M	20124
Orange	2006	0		4028
Orange	2006	1	F	23903
Orange	2006	1	M	22768
Orange	2011	0		4874
Orange	2011	1	F	25335
Orange	2011	1	M	24260
Orange	2016	0		5827
Orange	2016	1	F	26439
Orange	2016	1	M	25348
Clarence Valley	2006	0		3494
Clarence Valley	2006	1	F	22467
Clarence Valley	2006	1	M	21709
Clarence Valley	2011	0		3757
Clarence Valley	2011	1	F	23218
Clarence Valley	2011	1	M	22263
Clarence Valley	2016	0		5043
Clarence Valley	2016	1	F	22926
