SA3_NAME16	Year	Sex	adults
Adelaide City	2006	F	7424
Adelaide City	2006	M	8256
Adelaide City	2011	F	8888
Adelaide City	2011	M	9612
Adelaide City	2016	F	10147
Adelaide City	2016	M	10705
Adelaide Hills	2006	F	25696
Adelaide Hills	2006	M	24695
Adelaide Hills	2011	F	27540
Adelaide Hills	2011	M	26469
Adelaide Hills	2016	F	29631
Adelaide Hills	2016	M	28328
Albany	2006	F	20794
Albany	2006	M	20552
Albany	2011	F	22204
Albany	2011	M	21672
Albany	2016	F	24201
Albany	2016	M	23855
Albury	2006	F	22929
Albury	2006	M	21321
Albury	2011	F	23978
Albury	2011	M	22124
Albury	2016	F	25723
Albury	2016	M	23736
Alice Springs	2006	F	13478
Alice Springs	2006	M	13087
Alice Springs	2011	F	13834
Alice Springs	2011	M	13912
Alice Springs	2016	F	14420
Alice Springs	2016	M	13928
Armadale	2006	F	20077
Armadale	2006	M	19382
Armadale	2011	F	24728
Armadale	2011	M	24183
Armadale	2016	F	31358
Armadale	2016	M	30509
Armidale	2006	F	14412
Armidale	2006	M	13310
Armidale	2011	F	15101
Armidale	2011	M	13844
Armidale	2016	F	15763
Armidale	2016	M	14574
Auburn	2006	F	24951
Auburn	2006	M	27279
Auburn	2011	F	28770
Auburn	2011	M	31003
Auburn	2016	F	34301
Auburn	2016	M	39723
Augusta - Margaret River - Busselton	2006	F	14239
Augusta - Margaret River - Busselton	2006	M	13769
Augusta - Margaret River - Busselton	2011	F	17046
Augusta - Margaret River - Busselton	2011	M	15996
Augusta - Margaret River - Busselton	2016	F	20775
Augusta - Margaret River - Busselton	2016	M	19519
Bald Hills - Everton Park	2006	F	14618
Bald Hills - Everton Park	2006	M	13269
Bald Hills - Everton Park	2011	F	15963
Bald Hills - Everton Park	2011	M	14652
Bald Hills - Everton Park	2016	F	17380
Bald Hills - Everton Park	2016	M	15830
Ballarat	2006	F	36954
Ballarat	2006	M	33387
Ballarat	2011	F	40426
Ballarat	2011	M	36404
Ballarat	2016	F	44138
Ballarat	2016	M	39724
Bankstown	2006	F	59338
Bankstown	2006	M	55927
Bankstown	2011	F	64117
Bankstown	2011	M	60379
Bankstown	2016	F	69234
Bankstown	2016	M	65510
Banyule	2006	F	49217
Banyule	2006	M	45211
Banyule	2011	F	50654
Banyule	2011	M	46568
Banyule	2016	F	51924
Banyule	2016	M	47917
Barkly	2006	F	1907
Barkly	2006	M	2039
Barkly	2011	F	2104
Barkly	2011	M	2090
Barkly	2016	F	1997
Barkly	2016	M	2139
Barossa	2006	F	12558
Barossa	2006	M	12495
Barossa	2011	F	13414
Barossa	2011	M	13204
Barossa	2016	F	14558
Barossa	2016	M	14180
Barwon - West	2006	F	5275
Barwon - West	2006	M	5367
Barwon - West	2011	F	6453
Barwon - West	2011	M	6379
Barwon - West	2016	F	7324
Barwon - West	2016	M	7430
Bathurst	2006	F	16204
Bathurst	2006	M	16267
Bathurst	2011	F	17247
Bathurst	2011	M	17283
Bathurst	2016	F	18799
Bathurst	2016	M	18743
Baulkham Hills	2006	F	51680
Baulkham Hills	2006	M	47804
Baulkham Hills	2011	F	55171
Baulkham Hills	2011	M	51283
Baulkham Hills	2016	F	59351
Baulkham Hills	2016	M	55390
Baw Baw	2006	F	15306
Baw Baw	2006	M	14301
Baw Baw	2011	F	17748
Baw Baw	2011	M	16640
Baw Baw	2016	F	20413
Baw Baw	2016	M	18909
Bayside	2006	F	37889
Bayside	2006	M	32993
Bayside	2011	F	39195
Bayside	2011	M	34638
Bayside	2016	F	41745
Bayside	2016	M	36913
Bayswater - Bassendean	2006	F	29621
Bayswater - Bassendean	2006	M	28832
Bayswater - Bassendean	2011	F	32069
Bayswater - Bassendean	2011	M	31803
Bayswater - Bassendean	2016	F	34218
Bayswater - Bassendean	2016	M	33174
Beaudesert	2006	F	4259
Beaudesert	2006	M	4283
Beaudesert	2011	F	4951
Beaudesert	2011	M	4771
Beaudesert	2016	F	5675
Beaudesert	2016	M	5469
Beenleigh	2006	F	12919
Beenleigh	2006	M	12410
Beenleigh	2011	F	15142
Beenleigh	2011	M	14350
Beenleigh	2016	F	16670
Beenleigh	2016	M	15447
Belconnen	2006	F	35070
Belconnen	2006	M	33461
Belconnen	2011	F	38561
Belconnen	2011	M	36873
Belconnen	2016	F	40054
Belconnen	2016	M	37964
Belmont - Victoria Park	2006	F	23363
Belmont - Victoria Park	2006	M	23046
Belmont - Victoria Park	2011	F	26465
Belmont - Victoria Park	2011	M	27620
Belmont - Victoria Park	2016	F	29429
Belmont - Victoria Park	2016	M	30509
Bendigo	2006	F	33331
Bendigo	2006	M	29598
Bendigo	2011	F	36453
Bendigo	2011	M	32691
Bendigo	2016	F	40149
Bendigo	2016	M	36097
Biloela	2006	F	5342
Biloela	2006	M	5795
Biloela	2011	F	5311
Biloela	2011	M	5755
Biloela	2016	F	5372
Biloela	2016	M	5767
Blacktown	2006	F	46898
Blacktown	2006	M	45206
Blacktown	2011	F	50247
Blacktown	2011	M	48408
Blacktown	2016	F	53987
Blacktown	2016	M	53286
Blacktown - North	2006	F	22215
Blacktown - North	2006	M	22369
Blacktown - North	2011	F	27989
Blacktown - North	2011	M	27828
Blacktown - North	2016	F	35166
Blacktown - North	2016	M	34830
Blue Mountains	2006	F	30732
Blue Mountains	2006	M	28033
Blue Mountains	2011	F	31918
Blue Mountains	2011	M	29025
Blue Mountains	2016	F	32849
Blue Mountains	2016	M	29801
Blue Mountains - South	2006	F	0
Blue Mountains - South	2006	M	0
Blue Mountains - South	2011	F	0
Blue Mountains - South	2011	M	0
Blue Mountains - South	2016	F	0
Blue Mountains - South	2016	M	6
Boroondara	2006	F	67037
Boroondara	2006	M	59536
Boroondara	2011	F	69084
Boroondara	2011	M	62338
Boroondara	2016	F	73040
Boroondara	2016	M	65388
Botany	2006	F	15043
Botany	2006	M	14374
Botany	2011	F	16445
Botany	2011	M	15773
Botany	2016	F	19598
Botany	2016	M	19173
Bourke - Cobar - Coonamble	2006	F	9621
Bourke - Cobar - Coonamble	2006	M	10719
Bourke - Cobar - Coonamble	2011	F	9410
Bourke - Cobar - Coonamble	2011	M	10207
Bourke - Cobar - Coonamble	2016	F	9294
Bourke - Cobar - Coonamble	2016	M	9741
Bowen Basin - North	2006	F	11144
Bowen Basin - North	2006	M	13548
Bowen Basin - North	2011	F	12199
Bowen Basin - North	2011	M	15105
Bowen Basin - North	2016	F	11904
Bowen Basin - North	2016	M	13994
Bribie - Beachmere	2006	F	11857
Bribie - Beachmere	2006	M	11201
Bribie - Beachmere	2011	F	13473
Bribie - Beachmere	2011	M	12445
Bribie - Beachmere	2016	F	14854
Bribie - Beachmere	2016	M	13763
Brighton	2006	F	5546
Brighton	2006	M	5106
Brighton	2011	F	6247
Brighton	2011	M	5687
Brighton	2016	F	6826
Brighton	2016	M	6267
Brimbank	2006	F	64145
Brimbank	2006	M	62298
Brimbank	2011	F	70799
Brimbank	2011	M	70181
Brimbank	2016	F	75907
Brimbank	2016	M	75478
Bringelly - Green Valley	2006	F	28030
Bringelly - Green Valley	2006	M	27039
Bringelly - Green Valley	2011	F	31135
Bringelly - Green Valley	2011	M	29940
Bringelly - Green Valley	2016	F	40120
Bringelly - Green Valley	2016	M	38680
Brisbane Inner	2006	F	22890
Brisbane Inner	2006	M	24885
Brisbane Inner	2011	F	25376
Brisbane Inner	2011	M	27886
Brisbane Inner	2016	F	30270
Brisbane Inner	2016	M	31882
Brisbane Inner - East	2006	F	14330
Brisbane Inner - East	2006	M	13681
Brisbane Inner - East	2011	F	15622
Brisbane Inner - East	2011	M	15395
Brisbane Inner - East	2016	F	17068
Brisbane Inner - East	2016	M	16211
Brisbane Inner - North	2006	F	30359
Brisbane Inner - North	2006	M	28240
Brisbane Inner - North	2011	F	32409
Brisbane Inner - North	2011	M	31234
Brisbane Inner - North	2016	F	37527
Brisbane Inner - North	2016	M	36096
Brisbane Inner - West	2006	F	22086
Brisbane Inner - West	2006	M	20684
Brisbane Inner - West	2011	F	23036
Brisbane Inner - West	2011	M	21705
Brisbane Inner - West	2016	F	23783
Brisbane Inner - West	2016	M	22661
Broadbeach - Burleigh	2006	F	24340
Broadbeach - Burleigh	2006	M	23318
Broadbeach - Burleigh	2011	F	25669
Broadbeach - Burleigh	2011	M	23871
Broadbeach - Burleigh	2016	F	27342
Broadbeach - Burleigh	2016	M	25160
Broken Hill and Far West	2006	F	9048
Broken Hill and Far West	2006	M	8664
Broken Hill and Far West	2011	F	8856
Broken Hill and Far West	2011	M	8475
Broken Hill and Far West	2016	F	8550
Broken Hill and Far West	2016	M	8228
Browns Plains	2006	F	24759
Browns Plains	2006	M	24016
Browns Plains	2011	F	27800
Browns Plains	2011	M	26913
Browns Plains	2016	F	31042
Browns Plains	2016	M	29629
Brunswick - Coburg	2006	F	32165
Brunswick - Coburg	2006	M	29973
Brunswick - Coburg	2011	F	34836
Brunswick - Coburg	2011	M	32584
Brunswick - Coburg	2016	F	38627
Brunswick - Coburg	2016	M	35692
Buderim	2006	F	17301
Buderim	2006	M	15028
Buderim	2011	F	19511
Buderim	2011	M	17001
Buderim	2016	F	23507
Buderim	2016	M	20286
Bunbury	2006	F	32169
Bunbury	2006	M	31619
Bunbury	2011	F	37122
Bunbury	2011	M	37042
Bunbury	2016	F	41545
Bunbury	2016	M	40026
Bundaberg	2006	F	32106
Bundaberg	2006	M	30140
Bundaberg	2011	F	35209
Bundaberg	2011	M	33079
Bundaberg	2016	F	37204
Bundaberg	2016	M	34981
Burnett	2006	F	17403
Burnett	2006	M	17600
Burnett	2011	F	18742
Burnett	2011	M	18692
Burnett	2016	F	19810
Burnett	2016	M	19990
Burnie - Ulverstone	2006	F	19700
Burnie - Ulverstone	2006	M	17941
Burnie - Ulverstone	2011	F	20278
Burnie - Ulverstone	2011	M	18511
Burnie - Ulverstone	2016	F	20504
Burnie - Ulverstone	2016	M	18710
Burnside	2006	F	18964
Burnside	2006	M	16304
Burnside	2011	F	18934
Burnside	2011	M	16554
Burnside	2016	F	19435
Burnside	2016	M	16961
Caboolture	2006	F	18249
Caboolture	2006	M	17183
Caboolture	2011	F	23289
Caboolture	2011	M	21639
Caboolture	2016	F	27185
Caboolture	2016	M	25125
Caboolture Hinterland	2006	F	3616
Caboolture Hinterland	2006	M	4514
Caboolture Hinterland	2011	F	4256
Caboolture Hinterland	2011	M	4811
Caboolture Hinterland	2016	F	4968
Caboolture Hinterland	2016	M	5956
Cairns - North	2006	F	15600
Cairns - North	2006	M	14905
Cairns - North	2011	F	18965
Cairns - North	2011	M	17902
Cairns - North	2016	F	21498
Cairns - North	2016	M	20279
Cairns - South	2006	F	33237
Cairns - South	2006	M	32795
Cairns - South	2011	F	37527
Cairns - South	2011	M	36321
Cairns - South	2016	F	41027
Cairns - South	2016	M	39128
Caloundra	2006	F	26389
Caloundra	2006	M	23767
Caloundra	2011	F	30024
Caloundra	2011	M	26949
Caloundra	2016	F	34812
Caloundra	2016	M	31273
Camden	2006	F	17028
Camden	2006	M	15767
Camden	2011	F	20327
Camden	2011	M	18898
Camden	2016	F	24777
Camden	2016	M	22752
Campaspe	2006	F	14434
Campaspe	2006	M	13995
Campaspe	2011	F	14991
Campaspe	2011	M	14265
Campaspe	2016	F	15567
Campaspe	2016	M	14965
Campbelltown (NSW)	2006	F	56687
Campbelltown (NSW)	2006	M	53538
Campbelltown (NSW)	2011	F	59454
Campbelltown (NSW)	2011	M	55547
Campbelltown (NSW)	2016	F	64057
Campbelltown (NSW)	2016	M	60346
Campbelltown (SA)	2006	F	20353
Campbelltown (SA)	2006	M	18326
Campbelltown (SA)	2011	F	21213
Campbelltown (SA)	2011	M	19177
Campbelltown (SA)	2016	F	22055
Campbelltown (SA)	2016	M	20202
Canada Bay	2006	F	28276
Canada Bay	2006	M	25530
Canada Bay	2011	F	32049
Canada Bay	2011	M	29506
Canada Bay	2016	F	37518
Canada Bay	2016	M	33753
Canberra East	2006	F	381
Canberra East	2006	M	580
Canberra East	2011	F	422
Canberra East	2011	M	895
Canberra East	2016	F	450
Canberra East	2016	M	1015
Canning	2006	F	34231
Canning	2006	M	32085
Canning	2011	F	37355
Canning	2011	M	36449
Canning	2016	F	39066
Canning	2016	M	38410
Canterbury	2006	F	46876
Canterbury	2006	M	45897
Canterbury	2011	F	49919
Canterbury	2011	M	49611
Canterbury	2016	F	53758
Canterbury	2016	M	54260
Capalaba	2006	F	27599
Capalaba	2006	M	25952
Capalaba	2011	F	28615
Capalaba	2011	M	27026
Capalaba	2016	F	29598
Capalaba	2016	M	28100
Cardinia	2006	F	21875
Cardinia	2006	M	21136
Cardinia	2011	F	29118
Cardinia	2011	M	27853
Cardinia	2016	F	37262
Cardinia	2016	M	35276
Carindale	2006	F	18619
Carindale	2006	M	16741
Carindale	2011	F	19991
Carindale	2011	M	18075
Carindale	2016	F	21521
Carindale	2016	M	19370
Carlingford	2006	F	23125
Carlingford	2006	M	21702
Carlingford	2011	F	24811
Carlingford	2011	M	23494
Carlingford	2016	F	27666
Carlingford	2016	M	26198
Casey - North	2006	F	44582
Casey - North	2006	M	42693
Casey - North	2011	F	49676
Casey - North	2011	M	47411
Casey - North	2016	F	52975
Casey - North	2016	M	51400
Casey - South	2006	F	38021
Casey - South	2006	M	36983
Casey - South	2011	F	48871
Casey - South	2011	M	47830
Casey - South	2016	F	64283
Casey - South	2016	M	62782
Centenary	2006	F	13153
Centenary	2006	M	12007
Centenary	2011	F	13291
Centenary	2011	M	12304
Centenary	2016	F	13520
Centenary	2016	M	12490
Central Highlands (Qld)	2006	F	9280
Central Highlands (Qld)	2006	M	11029
Central Highlands (Qld)	2011	F	10284
Central Highlands (Qld)	2011	M	11991
Central Highlands (Qld)	2016	F	10213
Central Highlands (Qld)	2016	M	11489
Central Highlands (Tas.)	2006	F	4032
Central Highlands (Tas.)	2006	M	4520
Central Highlands (Tas.)	2011	F	4290
Central Highlands (Tas.)	2011	M	4734
Central Highlands (Tas.)	2016	F	4364
Central Highlands (Tas.)	2016	M	4831
Charles Sturt	2006	F	42391
Charles Sturt	2006	M	39616
Charles Sturt	2011	F	44294
Charles Sturt	2011	M	41674
Charles Sturt	2016	F	47279
Charles Sturt	2016	M	44464
Charters Towers - Ayr - Ingham	2006	F	16276
Charters Towers - Ayr - Ingham	2006	M	16304
Charters Towers - Ayr - Ingham	2011	F	17018
Charters Towers - Ayr - Ingham	2011	M	17203
Charters Towers - Ayr - Ingham	2016	F	17056
Charters Towers - Ayr - Ingham	2016	M	17113
Chatswood - Lane Cove	2006	F	40616
Chatswood - Lane Cove	2006	M	37031
Chatswood - Lane Cove	2011	F	42721
Chatswood - Lane Cove	2011	M	38552
Chatswood - Lane Cove	2016	F	47655
Chatswood - Lane Cove	2016	M	43399
Chermside	2006	F	26665
Chermside	2006	M	23442
Chermside	2011	F	28425
Chermside	2011	M	25578
Chermside	2016	F	29844
Chermside	2016	M	26960
Christmas Island	2006	F	408
Christmas Island	2006	M	614
Christmas Island	2011	F	481
Christmas Island	2011	M	1331
Christmas Island	2016	F	568
Christmas Island	2016	M	970
Clarence Valley	2006	F	19455
Clarence Valley	2006	M	18778
Clarence Valley	2011	F	20501
Clarence Valley	2011	M	19609
Clarence Valley	2016	F	21459
Clarence Valley	2016	M	20577
Cleveland - Stradbroke	2006	F	27199
Cleveland - Stradbroke	2006	M	25305
Cleveland - Stradbroke	2011	F	31721
Cleveland - Stradbroke	2011	M	29258
Cleveland - Stradbroke	2016	F	35078
Cleveland - Stradbroke	2016	M	32483
Cockburn	2006	F	28648
Cockburn	2006	M	27939
Cockburn	2011	F	34947
Cockburn	2011	M	34108
Cockburn	2016	F	41609
Cockburn	2016	M	39912
Cocos (Keeling) Islands	2006	F	211
Cocos (Keeling) Islands	2006	M	200
Cocos (Keeling) Islands	2011	F	200
Cocos (Keeling) Islands	2011	M	221
Cocos (Keeling) Islands	2016	F	220
Cocos (Keeling) Islands	2016	M	218
Coffs Harbour	2006	F	32249
Coffs Harbour	2006	M	29782
Coffs Harbour	2011	F	34214
Coffs Harbour	2011	M	31507
Coffs Harbour	2016	F	36620
Coffs Harbour	2016	M	33768
Colac - Corangamite	2006	F	14734
Colac - Corangamite	2006	M	14457
Colac - Corangamite	2011	F	14889
Colac - Corangamite	2011	M	14564
Colac - Corangamite	2016	F	15334
Colac - Corangamite	2016	M	15085
Coolangatta	2006	F	20725
Coolangatta	2006	M	19829
Coolangatta	2011	F	21582
Coolangatta	2011	M	20089
Coolangatta	2016	F	23127
Coolangatta	2016	M	21249
Cottesloe - Claremont	2006	F	26773
Cottesloe - Claremont	2006	M	24202
Cottesloe - Claremont	2011	F	27326
Cottesloe - Claremont	2011	M	25085
Cottesloe - Claremont	2016	F	28750
Cottesloe - Claremont	2016	M	26551
Creswick - Daylesford - Ballan	2006	F	10182
Creswick - Daylesford - Ballan	2006	M	9853
Creswick - Daylesford - Ballan	2011	F	11091
Creswick - Daylesford - Ballan	2011	M	10735
Creswick - Daylesford - Ballan	2016	F	11930
Creswick - Daylesford - Ballan	2016	M	11485
Cronulla - Miranda - Caringbah	2006	F	42749
Cronulla - Miranda - Caringbah	2006	M	40382
Cronulla - Miranda - Caringbah	2011	F	44536
Cronulla - Miranda - Caringbah	2011	M	41131
Cronulla - Miranda - Caringbah	2016	F	46821
Cronulla - Miranda - Caringbah	2016	M	43210
Daly - Tiwi - West Arnhem	2006	F	4601
Daly - Tiwi - West Arnhem	2006	M	4969
Daly - Tiwi - West Arnhem	2011	F	5425
Daly - Tiwi - West Arnhem	2011	M	5863
Daly - Tiwi - West Arnhem	2016	F	5876
Daly - Tiwi - West Arnhem	2016	M	6127
Dandenong	2006	F	64957
Dandenong	2006	M	63790
Dandenong	2011	F	69253
Dandenong	2011	M	69892
Dandenong	2016	F	75720
Dandenong	2016	M	77932
Dapto - Port Kembla	2006	F	28703
Dapto - Port Kembla	2006	M	27469
Dapto - Port Kembla	2011	F	29510
Dapto - Port Kembla	2011	M	28198
Dapto - Port Kembla	2016	F	31350
Dapto - Port Kembla	2016	M	29595
Darebin - North	2006	F	35459
Darebin - North	2006	M	33064
Darebin - North	2011	F	37903
Darebin - North	2011	M	35765
Darebin - North	2016	F	41016
Darebin - North	2016	M	38637
Darebin - South	2006	F	20190
Darebin - South	2006	M	18432
Darebin - South	2011	F	21304
Darebin - South	2011	M	19259
Darebin - South	2016	F	23337
Darebin - South	2016	M	20292
Darling Downs (West) - Maranoa	2006	F	15152
Darling Downs (West) - Maranoa	2006	M	15824
Darling Downs (West) - Maranoa	2011	F	16200
Darling Downs (West) - Maranoa	2011	M	17129
Darling Downs (West) - Maranoa	2016	F	16927
Darling Downs (West) - Maranoa	2016	M	17636
Darling Downs - East	2006	F	14559
Darling Downs - East	2006	M	14733
Darling Downs - East	2011	F	15519
Darling Downs - East	2011	M	15771
Darling Downs - East	2016	F	16502
Darling Downs - East	2016	M	16771
Darwin City	2006	F	7384
Darwin City	2006	M	8956
Darwin City	2011	F	8920
Darwin City	2011	M	10622
Darwin City	2016	F	10306
Darwin City	2016	M	11955
Darwin Suburbs	2006	F	18362
Darwin Suburbs	2006	M	18990
Darwin Suburbs	2011	F	19684
Darwin Suburbs	2011	M	21106
Darwin Suburbs	2016	F	21227
Darwin Suburbs	2016	M	21428
Devonport	2006	F	16898
Devonport	2006	M	15780
Devonport	2011	F	18085
Devonport	2011	M	16828
Devonport	2016	F	19038
Devonport	2016	M	17480
Dubbo	2006	F	26145
Dubbo	2006	M	24370
Dubbo	2011	F	27012
Dubbo	2011	M	25380
Dubbo	2016	F	28371
Dubbo	2016	M	26955
Dural - Wisemans Ferry	2006	F	9905
Dural - Wisemans Ferry	2006	M	9704
Dural - Wisemans Ferry	2011	F	10325
Dural - Wisemans Ferry	2011	M	10010
Dural - Wisemans Ferry	2016	F	10782
Dural - Wisemans Ferry	2016	M	10482
East Arnhem	2006	F	4482
East Arnhem	2006	M	4823
East Arnhem	2011	F	4756
East Arnhem	2011	M	4963
East Arnhem	2016	F	4662
East Arnhem	2016	M	4634
East Pilbara	2006	F	6100
East Pilbara	2006	M	7833
East Pilbara	2011	F	7943
East Pilbara	2011	M	14021
East Pilbara	2016	F	7835
East Pilbara	2016	M	12189
Eastern Suburbs - North	2006	F	51942
Eastern Suburbs - North	2006	M	47306
Eastern Suburbs - North	2011	F	53300
Eastern Suburbs - North	2011	M	48851
Eastern Suburbs - North	2016	F	56350
Eastern Suburbs - North	2016	M	50267
Eastern Suburbs - South	2006	F	52337
Eastern Suburbs - South	2006	M	50178
Eastern Suburbs - South	2011	F	56140
Eastern Suburbs - South	2011	M	53343
Eastern Suburbs - South	2016	F	61199
Eastern Suburbs - South	2016	M	58506
Esperance	2006	F	5588
Esperance	2006	M	5847
Esperance	2011	F	5978
Esperance	2011	M	6154
Esperance	2016	F	6292
Esperance	2016	M	6458
Essendon	2006	F	24618
Essendon	2006	M	22387
Essendon	2011	F	26336
Essendon	2011	M	24148
Essendon	2016	F	29187
Essendon	2016	M	26470
Eyre Peninsula and South West	2006	F	21199
Eyre Peninsula and South West	2006	M	21826
Eyre Peninsula and South West	2011	F	22241
Eyre Peninsula and South West	2011	M	22660
Eyre Peninsula and South West	2016	F	22638
Eyre Peninsula and South West	2016	M	22972
Fairfield	2006	F	67957
Fairfield	2006	M	64746
Fairfield	2011	F	71927
Fairfield	2011	M	68295
Fairfield	2016	F	77336
Fairfield	2016	M	73339
Far North	2006	F	9362
Far North	2006	M	10709
Far North	2011	F	10116
Far North	2011	M	11904
Far North	2016	F	11212
