SA3_NAME16	Year	overseas_visitors
Queanbeyan	2006	174
Queanbeyan	2011	217
Queanbeyan	2016	273
Snowy Mountains	2006	539
Snowy Mountains	2011	502
Snowy Mountains	2016	760
South Coast	2006	199
South Coast	2011	249
South Coast	2016	263
Goulburn - Mulwaree	2006	116
Goulburn - Mulwaree	2011	107
Goulburn - Mulwaree	2016	138
Young - Yass	2006	64
Young - Yass	2011	60
Young - Yass	2016	101
Gosford	2006	690
Gosford	2011	550
Gosford	2016	802
Wyong	2006	271
Wyong	2011	269
Wyong	2016	381
Bathurst	2006	158
Bathurst	2011	192
Bathurst	2016	109
Lachlan Valley	2006	127
Lachlan Valley	2011	177
Lachlan Valley	2016	143
Lithgow - Mudgee	2006	95
Lithgow - Mudgee	2011	110
Lithgow - Mudgee	2016	121
Orange	2006	69
Orange	2011	155
Orange	2016	158
Clarence Valley	2006	138
Clarence Valley	2011	128
Clarence Valley	2016	191
Coffs Harbour	2006	477
Coffs Harbour	2011	564
Coffs Harbour	2016	722
Bourke - Cobar - Coonamble	2006	90
Bourke - Cobar - Coonamble	2011	129
Bourke - Cobar - Coonamble	2016	61
Broken Hill and Far West	2006	84
Broken Hill and Far West	2011	99
Broken Hill and Far West	2016	87
Dubbo	2006	134
Dubbo	2011	157
Dubbo	2016	265
Lower Hunter	2006	215
Lower Hunter	2011	250
Lower Hunter	2016	263
Maitland	2006	101
Maitland	2011	98
Maitland	2016	186
Port Stephens	2006	255
Port Stephens	2011	219
Port Stephens	2016	258
Upper Hunter	2006	96
Upper Hunter	2011	108
Upper Hunter	2016	163
Dapto - Port Kembla	2006	162
Dapto - Port Kembla	2011	187
Dapto - Port Kembla	2016	229
Illawarra Catchment Reserve	2006	0
Illawarra Catchment Reserve	2011	0
Illawarra Catchment Reserve	2016	0
Kiama - Shellharbour	2006	158
Kiama - Shellharbour	2011	155
Kiama - Shellharbour	2016	269
Wollongong	2006	1026
Wollongong	2011	1164
Wollongong	2016	1461
Great Lakes	2006	80
Great Lakes	2011	89
Great Lakes	2016	85
Kempsey - Nambucca	2006	152
Kempsey - Nambucca	2011	110
Kempsey - Nambucca	2016	174
Lord Howe Island	2006	17
Lord Howe Island	2011	15
Lord Howe Island	2016	15
Port Macquarie	2006	321
Port Macquarie	2011	247
Port Macquarie	2016	341
Taree - Gloucester	2006	98
Taree - Gloucester	2011	108
Taree - Gloucester	2016	185
Albury	2006	192
Albury	2011	155
Albury	2016	253
Lower Murray	2006	51
Lower Murray	2011	84
Lower Murray	2016	136
Upper Murray exc. Albury	2006	99
Upper Murray exc. Albury	2011	95
Upper Murray exc. Albury	2016	154
Armidale	2006	222
Armidale	2011	366
Armidale	2016	344
Inverell - Tenterfield	2006	92
Inverell - Tenterfield	2011	91
Inverell - Tenterfield	2016	188
Moree - Narrabri	2006	53
Moree - Narrabri	2011	103
Moree - Narrabri	2016	109
Tamworth - Gunnedah	2006	194
Tamworth - Gunnedah	2011	170
Tamworth - Gunnedah	2016	312
Lake Macquarie - East	2006	251
Lake Macquarie - East	2011	289
Lake Macquarie - East	2016	328
Lake Macquarie - West	2006	222
Lake Macquarie - West	2011	150
Lake Macquarie - West	2016	196
Newcastle	2006	978
Newcastle	2011	1081
Newcastle	2016	1284
Richmond Valley - Coastal	2006	1138
Richmond Valley - Coastal	2011	1197
Richmond Valley - Coastal	2016	1000
Richmond Valley - Hinterland	2006	322
Richmond Valley - Hinterland	2011	280
Richmond Valley - Hinterland	2016	317
Tweed Valley	2006	567
Tweed Valley	2011	605
Tweed Valley	2016	603
Griffith - Murrumbidgee (West)	2006	261
Griffith - Murrumbidgee (West)	2011	290
Griffith - Murrumbidgee (West)	2016	550
Tumut - Tumbarumba	2006	26
Tumut - Tumbarumba	2011	54
Tumut - Tumbarumba	2016	47
Wagga Wagga	2006	207
Wagga Wagga	2011	218
Wagga Wagga	2016	322
Shoalhaven	2006	234
Shoalhaven	2011	262
Shoalhaven	2016	367
Southern Highlands	2006	200
Southern Highlands	2011	264
Southern Highlands	2016	208
Baulkham Hills	2006	909
Baulkham Hills	2011	1113
Baulkham Hills	2016	2099
Dural - Wisemans Ferry	2006	175
Dural - Wisemans Ferry	2011	123
Dural - Wisemans Ferry	2016	168
Hawkesbury	2006	79
Hawkesbury	2011	83
Hawkesbury	2016	76
Rouse Hill - McGraths Hill	2006	93
Rouse Hill - McGraths Hill	2011	123
Rouse Hill - McGraths Hill	2016	269
Blacktown	2006	699
Blacktown	2011	823
Blacktown	2016	1563
Blacktown - North	2006	482
Blacktown - North	2011	684
Blacktown - North	2016	1168
Mount Druitt	2006	420
Mount Druitt	2011	522
Mount Druitt	2016	1096
Botany	2006	344
Botany	2011	491
Botany	2016	1457
Marrickville - Sydenham - Petersham	2006	520
