SA3_NAME16	Year	LanguageSpoken	persons
Queanbeyan	2006		2871
Queanbeyan	2006	(Other)	765
Queanbeyan	2006	Afrikaans	14
Queanbeyan	2006	Arabic	70
Queanbeyan	2006	Australian_Indigenous_Languages	5
Queanbeyan	2006	Chinese_languages_Bengali	11
Queanbeyan	2006	Chinese_languages_Cantonese	72
Queanbeyan	2006	Chinese_languages_Mandarin	116
Queanbeyan	2006	Chinese_languages_Other	12
Queanbeyan	2006	Croatian	314
Queanbeyan	2006	Dutch	60
Queanbeyan	2006	English	41157
Queanbeyan	2006	Filipino	66
Queanbeyan	2006	French	104
Queanbeyan	2006	German	226
Queanbeyan	2006	Greek	256
Queanbeyan	2006	Hindi	66
Queanbeyan	2006	Indonesian	89
Queanbeyan	2006	Italian	706
Queanbeyan	2006	Japanese	24
Queanbeyan	2006	Korean	14
Queanbeyan	2006	Macedonian	985
Queanbeyan	2006	Persian_includes_Dari	13
Queanbeyan	2006	Polish	146
Queanbeyan	2006	Punjabi	32
Queanbeyan	2006	Russian	64
Queanbeyan	2006	Samoan	49
Queanbeyan	2006	Serbian	310
Queanbeyan	2006	Sinhalese	32
Queanbeyan	2006	Spanish	158
Queanbeyan	2006	Tagalog	83
Queanbeyan	2006	Tamil	21
Queanbeyan	2006	Thai	45
Queanbeyan	2006	Turkish	11
Queanbeyan	2006	Urdu	16
Queanbeyan	2006	Vietnamese	81
Queanbeyan	2011		2592
Queanbeyan	2011	(Other)	1006
Queanbeyan	2011	Afrikaans	47
Queanbeyan	2011	Arabic	128
Queanbeyan	2011	Australian_Indigenous_Languages	10
Queanbeyan	2011	Chinese_languages_Bengali	88
Queanbeyan	2011	Chinese_languages_Cantonese	117
Queanbeyan	2011	Chinese_languages_Mandarin	173
Queanbeyan	2011	Chinese_languages_Other	29
Queanbeyan	2011	Croatian	289
Queanbeyan	2011	Dutch	58
Queanbeyan	2011	English	44877
Queanbeyan	2011	Filipino	117
Queanbeyan	2011	French	115
Queanbeyan	2011	German	201
Queanbeyan	2011	Greek	273
Queanbeyan	2011	Hindi	194
Queanbeyan	2011	Indonesian	96
Queanbeyan	2011	Italian	671
Queanbeyan	2011	Japanese	35
Queanbeyan	2011	Korean	40
Queanbeyan	2011	Macedonian	950
Queanbeyan	2011	Persian_includes_Dari	31
Queanbeyan	2011	Polish	142
Queanbeyan	2011	Punjabi	166
Queanbeyan	2011	Russian	64
Queanbeyan	2011	Samoan	78
Queanbeyan	2011	Serbian	290
Queanbeyan	2011	Sinhalese	49
Queanbeyan	2011	Spanish	175
Queanbeyan	2011	Tagalog	130
Queanbeyan	2011	Tamil	36
Queanbeyan	2011	Thai	57
Queanbeyan	2011	Turkish	27
Queanbeyan	2011	Urdu	81
Queanbeyan	2011	Vietnamese	86
Queanbeyan	2016		4134
Queanbeyan	2016	(Other)	1291
Queanbeyan	2016	Afrikaans	52
Queanbeyan	2016	Arabic	132
Queanbeyan	2016	Australian_Indigenous_Languages	15
Queanbeyan	2016	Chinese_languages_Bengali	185
Queanbeyan	2016	Chinese_languages_Cantonese	119
Queanbeyan	2016	Chinese_languages_Mandarin	254
Queanbeyan	2016	Chinese_languages_Other	16
Queanbeyan	2016	Croatian	240
Queanbeyan	2016	Dutch	65
Queanbeyan	2016	English	46344
Queanbeyan	2016	Filipino	123
Queanbeyan	2016	French	139
Queanbeyan	2016	German	180
Queanbeyan	2016	Greek	220
Queanbeyan	2016	Hindi	247
Queanbeyan	2016	Indonesian	72
Queanbeyan	2016	Italian	641
Queanbeyan	2016	Japanese	45
Queanbeyan	2016	Korean	43
Queanbeyan	2016	Macedonian	898
Queanbeyan	2016	Persian_includes_Dari	36
Queanbeyan	2016	Polish	96
Queanbeyan	2016	Punjabi	445
Queanbeyan	2016	Russian	64
Queanbeyan	2016	Samoan	67
Queanbeyan	2016	Serbian	272
Queanbeyan	2016	Sinhalese	66
Queanbeyan	2016	Spanish	197
Queanbeyan	2016	Tagalog	219
Queanbeyan	2016	Tamil	65
Queanbeyan	2016	Thai	79
Queanbeyan	2016	Turkish	30
Queanbeyan	2016	Urdu	135
Queanbeyan	2016	Vietnamese	102
Snowy Mountains	2006		1960
Snowy Mountains	2006	(Other)	154
Snowy Mountains	2006	Afrikaans	8
Snowy Mountains	2006	Arabic	35
Snowy Mountains	2006	Australian_Indigenous_Languages	6
Snowy Mountains	2006	Chinese_languages_Bengali	0
Snowy Mountains	2006	Chinese_languages_Cantonese	37
Snowy Mountains	2006	Chinese_languages_Mandarin	17
Snowy Mountains	2006	Chinese_languages_Other	0
Snowy Mountains	2006	Croatian	13
Snowy Mountains	2006	Dutch	53
Snowy Mountains	2006	English	15659
Snowy Mountains	2006	Filipino	7
Snowy Mountains	2006	French	33
Snowy Mountains	2006	German	181
Snowy Mountains	2006	Greek	43
Snowy Mountains	2006	Hindi	4
Snowy Mountains	2006	Indonesian	4
Snowy Mountains	2006	Italian	118
Snowy Mountains	2006	Japanese	18
Snowy Mountains	2006	Korean	16
Snowy Mountains	2006	Macedonian	11
Snowy Mountains	2006	Persian_includes_Dari	0
Snowy Mountains	2006	Polish	22
Snowy Mountains	2006	Punjabi	0
Snowy Mountains	2006	Russian	19
Snowy Mountains	2006	Samoan	0
Snowy Mountains	2006	Serbian	15
Snowy Mountains	2006	Sinhalese	12
Snowy Mountains	2006	Spanish	16
Snowy Mountains	2006	Tagalog	4
Snowy Mountains	2006	Tamil	0
Snowy Mountains	2006	Thai	18
Snowy Mountains	2006	Turkish	3
Snowy Mountains	2006	Urdu	0
Snowy Mountains	2006	Vietnamese	10
Snowy Mountains	2011		1467
Snowy Mountains	2011	(Other)	179
Snowy Mountains	2011	Afrikaans	11
Snowy Mountains	2011	Arabic	54
Snowy Mountains	2011	Australian_Indigenous_Languages	9
Snowy Mountains	2011	Chinese_languages_Bengali	0
Snowy Mountains	2011	Chinese_languages_Cantonese	19
Snowy Mountains	2011	Chinese_languages_Mandarin	32
Snowy Mountains	2011	Chinese_languages_Other	6
Snowy Mountains	2011	Croatian	19
Snowy Mountains	2011	Dutch	46
Snowy Mountains	2011	English	16481
Snowy Mountains	2011	Filipino	3
Snowy Mountains	2011	French	55
Snowy Mountains	2011	German	203
Snowy Mountains	2011	Greek	38
Snowy Mountains	2011	Hindi	12
Snowy Mountains	2011	Indonesian	14
Snowy Mountains	2011	Italian	94
Snowy Mountains	2011	Japanese	10
Snowy Mountains	2011	Korean	3
Snowy Mountains	2011	Macedonian	13
Snowy Mountains	2011	Persian_includes_Dari	0
Snowy Mountains	2011	Polish	19
Snowy Mountains	2011	Punjabi	0
Snowy Mountains	2011	Russian	25
Snowy Mountains	2011	Samoan	0
Snowy Mountains	2011	Serbian	13
Snowy Mountains	2011	Sinhalese	10
Snowy Mountains	2011	Spanish	37
Snowy Mountains	2011	Tagalog	5
Snowy Mountains	2011	Tamil	0
Snowy Mountains	2011	Thai	23
Snowy Mountains	2011	Turkish	13
Snowy Mountains	2011	Urdu	0
Snowy Mountains	2011	Vietnamese	10
Snowy Mountains	2016		1776
Snowy Mountains	2016	(Other)	179
Snowy Mountains	2016	Afrikaans	17
Snowy Mountains	2016	Arabic	38
Snowy Mountains	2016	Australian_Indigenous_Languages	0
Snowy Mountains	2016	Chinese_languages_Bengali	0
Snowy Mountains	2016	Chinese_languages_Cantonese	33
Snowy Mountains	2016	Chinese_languages_Mandarin	76
Snowy Mountains	2016	Chinese_languages_Other	10
Snowy Mountains	2016	Croatian	14
Snowy Mountains	2016	Dutch	39
Snowy Mountains	2016	English	16558
Snowy Mountains	2016	Filipino	3
Snowy Mountains	2016	French	40
Snowy Mountains	2016	German	178
Snowy Mountains	2016	Greek	36
Snowy Mountains	2016	Hindi	8
Snowy Mountains	2016	Indonesian	25
Snowy Mountains	2016	Italian	92
