SA3_NAME16	Year	averageNumberOfPersonsPerBedroom
Queanbeyan	2006	0.8
Snowy Mountains	2006	0.8
South Coast	2006	0.8
Goulburn - Mulwaree	2006	0.8
Young - Yass	2006	0.8
Gosford	2006	0.8
Wyong	2006	0.8
Bathurst	2006	0.8
Lachlan Valley	2006	0.8
Lithgow - Mudgee	2006	0.8
Orange	2006	0.8
Clarence Valley	2006	0.8
Coffs Harbour	2006	0.8
Bourke - Cobar - Coonamble	2006	0.8
Broken Hill and Far West	2006	0.8
Dubbo	2006	0.8
Lower Hunter	2006	0.8
Maitland	2006	0.8
Port Stephens	2006	0.8
Upper Hunter	2006	0.8
Dapto - Port Kembla	2006	0.8
Illawarra Catchment Reserve	2006	0
Kiama - Shellharbour	2006	0.8
Wollongong	2006	0.8
Great Lakes	2006	0.7
Kempsey - Nambucca	2006	0.8
Lord Howe Island	2006	0.9
Port Macquarie	2006	0.8
Taree - Gloucester	2006	0.8
Albury	2006	0.8
Lower Murray	2006	0.8
Upper Murray exc. Albury	2006	0.7
Armidale	2006	0.8
Inverell - Tenterfield	2006	0.8
Moree - Narrabri	2006	0.8
Tamworth - Gunnedah	2006	0.8
Lake Macquarie - East	2006	0.8
Lake Macquarie - West	2006	0.8
Newcastle	2006	0.8
Richmond Valley - Coastal	2006	0.8
Richmond Valley - Hinterland	2006	0.8
Tweed Valley	2006	0.8
Griffith - Murrumbidgee (West)	2006	0.8
Tumut - Tumbarumba	2006	0.8
Wagga Wagga	2006	0.8
Shoalhaven	2006	0.8
Southern Highlands	2006	0.7
Baulkham Hills	2006	0.8
Dural - Wisemans Ferry	2006	0.8
Hawkesbury	2006	0.8
Rouse Hill - McGraths Hill	2006	0.8
Blacktown	2006	0.8
Blacktown - North	2006	0.8
Mount Druitt	2006	0.9
Botany	2006	0.9
Marrickville - Sydenham - Petersham	2006	0.9
Sydney Inner City	2006	1
Eastern Suburbs - North	2006	0.9
Eastern Suburbs - South	2006	0.9
Bankstown	2006	0.9
Canterbury	2006	1
Hurstville	2006	0.9
Kogarah - Rockdale	2006	0.9
Canada Bay	2006	0.9
Leichhardt	2006	0.9
Strathfield - Burwood - Ashfield	2006	0.9
Chatswood - Lane Cove	2006	0.9
Hornsby	2006	0.9
Ku-ring-gai	2006	0.8
North Sydney - Mosman	2006	0.9
Manly	2006	0.9
Pittwater	2006	0.8
Warringah	2006	0.9
Camden	2006	0.8
Campbelltown (NSW)	2006	0.8
Wollondilly	2006	0.8
