SA3_NAME16	Year	Sex	SpeaksEnglishOnly	persons
Queanbeyan	2006	F	0	2538
Queanbeyan	2006	F	1	20628
Queanbeyan	2006	M	0	2508
Queanbeyan	2006	M	1	20524
Queanbeyan	2011	F	0	3055
Queanbeyan	2011	F	1	22431
Queanbeyan	2011	M	0	2981
Queanbeyan	2011	M	1	22446
Queanbeyan	2016	F	0	3488
Queanbeyan	2016	F	1	23001
Queanbeyan	2016	M	0	3363
Queanbeyan	2016	M	1	23342
Snowy Mountains	2006	F	0	423
Snowy Mountains	2006	F	1	7756
Snowy Mountains	2006	M	0	441
Snowy Mountains	2006	M	1	7899
Snowy Mountains	2011	F	0	506
Snowy Mountains	2011	F	1	8113
Snowy Mountains	2011	M	0	474
Snowy Mountains	2011	M	1	8368
Snowy Mountains	2016	F	0	548
Snowy Mountains	2016	F	1	8040
Snowy Mountains	2016	M	0	488
Snowy Mountains	2016	M	1	8522
South Coast	2006	F	0	1106
South Coast	2006	F	1	31286
South Coast	2006	M	0	1003
South Coast	2006	M	1	30185
South Coast	2011	F	0	1186
South Coast	2011	F	1	31802
South Coast	2011	M	0	1040
South Coast	2011	M	1	30686
South Coast	2016	F	0	1299
South Coast	2016	F	1	32086
South Coast	2016	M	0	1108
South Coast	2016	M	1	30867
Goulburn - Mulwaree	2006	F	0	383
Goulburn - Mulwaree	2006	F	1	14792
Goulburn - Mulwaree	2006	M	0	433
Goulburn - Mulwaree	2006	M	1	14523
Goulburn - Mulwaree	2011	F	0	478
Goulburn - Mulwaree	2011	F	1	15282
Goulburn - Mulwaree	2011	M	0	536
Goulburn - Mulwaree	2011	M	1	14915
Goulburn - Mulwaree	2016	F	0	741
Goulburn - Mulwaree	2016	F	1	15630
Goulburn - Mulwaree	2016	M	0	731
Goulburn - Mulwaree	2016	M	1	15473
Young - Yass	2006	F	0	425
Young - Yass	2006	F	1	15422
Young - Yass	2006	M	0	451
Young - Yass	2006	M	1	14958
Young - Yass	2011	F	0	508
Young - Yass	2011	F	1	16135
Young - Yass	2011	M	0	531
Young - Yass	2011	M	1	15657
Young - Yass	2016	F	0	613
Young - Yass	2016	F	1	16490
Young - Yass	2016	M	0	615
Young - Yass	2016	M	1	15898
Gosford	2006	F	0	3549
Gosford	2006	F	1	73520
Gosford	2006	M	0	3156
Gosford	2006	M	1	68730
Gosford	2011	F	0	4671
Gosford	2011	F	1	75938
Gosford	2011	M	0	3993
Gosford	2011	M	1	70743
Gosford	2016	F	0	6345
Gosford	2016	F	1	76050
Gosford	2016	M	0	5325
Gosford	2016	M	1	72023
Wyong	2006	F	0	2593
Wyong	2006	F	1	66073
Wyong	2006	M	0	2293
Wyong	2006	M	1	61766
Wyong	2011	F	0	3225
Wyong	2011	F	1	70707
Wyong	2011	M	0	2708
Wyong	2011	M	1	66233
Wyong	2016	F	0	4058
Wyong	2016	F	1	72781
Wyong	2016	M	0	3487
Wyong	2016	M	1	68928
Bathurst	2006	F	0	578
Bathurst	2006	F	1	18954
Bathurst	2006	M	0	604
Bathurst	2006	M	1	18474
Bathurst	2011	F	0	696
Bathurst	2011	F	1	19957
Bathurst	2011	M	0	712
Bathurst	2011	M	1	19531
Bathurst	2016	F	0	934
Bathurst	2016	F	1	20510
Bathurst	2016	M	0	944
Bathurst	2016	M	1	19857
Lachlan Valley	2006	F	0	397
Lachlan Valley	2006	F	1	26684
Lachlan Valley	2006	M	0	411
Lachlan Valley	2006	M	1	26342
Lachlan Valley	2011	F	0	522
Lachlan Valley	2011	F	1	25808
Lachlan Valley	2011	M	0	471
Lachlan Valley	2011	M	1	25446
Lachlan Valley	2016	F	0	700
Lachlan Valley	2016	F	1	24642
Lachlan Valley	2016	M	0	630
Lachlan Valley	2016	M	1	24288
Lithgow - Mudgee	2006	F	0	538
Lithgow - Mudgee	2006	F	1	19677
Lithgow - Mudgee	2006	M	0	509
Lithgow - Mudgee	2006	M	1	19574
Lithgow - Mudgee	2011	F	0	643
Lithgow - Mudgee	2011	F	1	19998
Lithgow - Mudgee	2011	M	0	563
Lithgow - Mudgee	2011	M	1	20168
Lithgow - Mudgee	2016	F	0	729
Lithgow - Mudgee	2016	F	1	20020
Lithgow - Mudgee	2016	M	0	665
Lithgow - Mudgee	2016	M	1	20108
Orange	2006	F	0	748
Orange	2006	F	1	24117
