SA3_NAME16	Year	medianTotalFamilyIncomeWeekly
Queanbeyan	2006	1531
Snowy Mountains	2006	1102
South Coast	2006	826
Goulburn - Mulwaree	2006	1056
Young - Yass	2006	1094
Gosford	2006	1164
Wyong	2006	1012
Bathurst	2006	1170
Lachlan Valley	2006	902
Lithgow - Mudgee	2006	975
Orange	2006	1140
Clarence Valley	2006	782
Coffs Harbour	2006	887
Bourke - Cobar - Coonamble	2006	936
Broken Hill and Far West	2006	810
Dubbo	2006	1018
Lower Hunter	2006	1111
Maitland	2006	1190
Port Stephens	2006	1022
Upper Hunter	2006	1161
Dapto - Port Kembla	2006	1072
Illawarra Catchment Reserve	2006	0
Kiama - Shellharbour	2006	1146
Wollongong	2006	1233
Great Lakes	2006	755
Kempsey - Nambucca	2006	693
Lord Howe Island	2006	1163
Port Macquarie	2006	891
Taree - Gloucester	2006	804
Albury	2006	1131
Lower Murray	2006	977
Upper Murray exc. Albury	2006	1006
Armidale	2006	1072
Inverell - Tenterfield	2006	770
Moree - Narrabri	2006	1080
Tamworth - Gunnedah	2006	1013
Lake Macquarie - East	2006	1140
Lake Macquarie - West	2006	1071
Newcastle	2006	1137
Richmond Valley - Coastal	2006	971
Richmond Valley - Hinterland	2006	914
Tweed Valley	2006	904
Griffith - Murrumbidgee (West)	2006	1087
Tumut - Tumbarumba	2006	1033
Wagga Wagga	2006	1086
Shoalhaven	2006	849
Southern Highlands	2006	1165
Baulkham Hills	2006	1938
Dural - Wisemans Ferry	2006	1697
Hawkesbury	2006	1380
Rouse Hill - McGraths Hill	2006	1754
Blacktown	2006	1202
Blacktown - North	2006	1543
Mount Druitt	2006	1063
Botany	2006	1185
Marrickville - Sydenham - Petersham	2006	1425
Sydney Inner City	2006	1833
Eastern Suburbs - North	2006	2298
Eastern Suburbs - South	2006	1580
Bankstown	2006	1090
Canterbury	2006	980
Hurstville	2006	1249
Kogarah - Rockdale	2006	1194
Canada Bay	2006	1801
Leichhardt	2006	2307
Strathfield - Burwood - Ashfield	2006	1286
Chatswood - Lane Cove	2006	2153
Hornsby	2006	1688
Ku-ring-gai	2006	2530
North Sydney - Mosman	2006	2568
Manly	2006	2262
Pittwater	2006	1779
Warringah	2006	1690
Camden	2006	1485
Campbelltown (NSW)	2006	1174
Wollondilly	2006	1300
Blue Mountains	2006	1342
Blue Mountains - South	2006	0
Penrith	2006	1335
Richmond - Windsor	2006	1217
St Marys	2006	1221
Auburn	2006	991
Carlingford	2006	1367
Merrylands - Guildford	2006	1039
Parramatta	2006	1246
Pennant Hills - Epping	2006	1877
Ryde - Hunters Hill	2006	1548
Bringelly - Green Valley	2006	1148
Fairfield	2006	959
Liverpool	2006	1197
Cronulla - Miranda - Caringbah	2006	1580
Sutherland - Menai - Heathcote	2006	1712
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	1083
Creswick - Daylesford - Ballan	2006	1009
Maryborough - Pyrenees	2006	759
Bendigo	2006	1055
Heathcote - Castlemaine - Kyneton	2006	1029
Loddon - Elmore	2006	899
Barwon - West	2006	1173
Geelong	2006	1106
Surf Coast - Bellarine Peninsula	2006	1132
Upper Goulburn Valley	2006	1025
Wangaratta - Benalla	2006	1041
Wodonga - Alpine	2006	1100
Baw Baw	2006	1102
Gippsland - East	2006	867
Gippsland - South West	2006	944
Latrobe Valley	2006	1053
Wellington	2006	1025
Brunswick - Coburg	2006	1232
Darebin - South	2006	1342
Essendon	2006	1505
Melbourne City	2006	1596
Port Phillip	2006	1872
Stonnington - West	2006	1989
Yarra	2006	1653
Boroondara	2006	2007
Manningham - West	2006	1338
Whitehorse - West	2006	1354
Bayside	2006	1919
Glen Eira	2006	1474
Kingston	2006	1305
Stonnington - East	2006	2048
Banyule	2006	1363
Darebin - North	2006	1023
Nillumbik - Kinglake	2006	1616
Whittlesea - Wallan	2006	1122
Keilor	2006	1215
Macedon Ranges	2006	1374
Moreland - North	2006	1002
Sunbury	2006	1322
Tullamarine - Broadmeadows	2006	1054
Knox	2006	1308
Manningham - East	2006	1758
Maroondah	2006	1285
Whitehorse - East	2006	1353
Yarra Ranges	2006	1209
Cardinia	2006	1198
Casey - North	2006	1213
Casey - South	2006	1163
Dandenong	2006	975
Monash	2006	1283
Brimbank	2006	1018
Hobsons Bay	2006	1227
Maribyrnong	2006	1132
Melton - Bacchus Marsh	2006	1219
Wyndham	2006	1249
Frankston	2006	1136
Mornington Peninsula	2006	1126
Grampians	2006	1004
Mildura	2006	1025
Murray River - Swan Hill	2006	966
Campaspe	2006	1032
Moira	2006	971
Shepparton	2006	1071
Glenelg - Southern Grampians	2006	1070
Colac - Corangamite	2006	1049
Warrnambool	2006	1090
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Capalaba	2006	1296
Cleveland - Stradbroke	2006	1226
Wynnum - Manly	2006	1281
Bald Hills - Everton Park	2006	1454
Chermside	2006	1282
Nundah	2006	1224
Sandgate	2006	1198
Carindale	2006	1516
Holland Park - Yeronga	2006	1438
Mt Gravatt	2006	1306
Nathan	2006	1281
Rocklea - Acacia Ridge	2006	1276
Sunnybank	2006	1206
Centenary	2006	1631
Kenmore - Brookfield - Moggill	2006	1956
Sherwood - Indooroopilly	2006	1716
The Gap - Enoggera	2006	1446
Brisbane Inner	2006	1645
Brisbane Inner - East	2006	1716
Brisbane Inner - North	2006	1810
Brisbane Inner - West	2006	1886
Cairns - North	2006	1308
Cairns - South	2006	1161
Innisfail - Cassowary Coast	2006	1010
Port Douglas - Daintree	2006	1128
Tablelands (East) - Kuranda	2006	930
Darling Downs (West) - Maranoa	2006	1067
Darling Downs - East	2006	1022
Granite Belt	2006	918
Central Highlands (Qld)	2006	1700
Rockhampton	2006	1100
Biloela	2006	1283
Gladstone	2006	1319
Broadbeach - Burleigh	2006	1138
Coolangatta	2006	1097
Gold Coast - North	2006	1067
Gold Coast Hinterland	2006	1129
Mudgeeraba - Tallebudgera	2006	1191
Nerang	2006	1169
Ormeau - Oxenford	2006	1242
Robina	2006	1154
Southport	2006	1137
Surfers Paradise	2006	1245
Forest Lake - Oxley	2006	1108
Ipswich Hinterland	2006	1007
Ipswich Inner	2006	1133
Springfield - Redbank	2006	1174
Beaudesert	2006	1009
Beenleigh	2006	1070
Browns Plains	2006	1136
Jimboomba	2006	1274
Loganlea - Carbrook	2006	1212
Springwood - Kingston	2006	1093
Bowen Basin - North	2006	1532
Mackay	2006	1286
Whitsunday	2006	1183
Bribie - Beachmere	2006	793
Caboolture	2006	1030
Caboolture Hinterland	2006	945
Narangba - Burpengary	2006	1148
Redcliffe	2006	1039
The Hills District	2006	1547
North Lakes	2006	1239
Strathpine	2006	1183
Far North	2006	869
Outback - North	2006	1422
Outback - South	2006	1058
Buderim	2006	1170
Caloundra	2006	1031
Maroochy	2006	1039
Noosa	2006	1045
Sunshine Coast Hinterland	2006	1037
Nambour	2006	1043
Noosa Hinterland	2006	1006
Toowoomba	2006	1119
Charters Towers - Ayr - Ingham	2006	1046
Townsville	2006	1248
Bundaberg	2006	878
Burnett	2006	819
Gympie - Cooloola	2006	848
Hervey Bay	2006	807
Maryborough	2006	815
Migratory - Offshore - Shipping (Qld)	2006	0
No usual address (Qld)	2006	0
Adelaide City	2006	1748
Adelaide Hills	2006	1277
Burnside	2006	1777
Campbelltown (SA)	2006	1139
Norwood - Payneham - St Peters	2006	1356
