SA3_NAME16	Year	unemployment
Queanbeyan	2006	2.8
Queanbeyan	2011	2.8
Queanbeyan	2016	4
Snowy Mountains	2006	4
Snowy Mountains	2011	3.6
Snowy Mountains	2016	3.4
South Coast	2006	8.1
South Coast	2011	6.7
South Coast	2016	6.2
Goulburn - Mulwaree	2006	5.6
Goulburn - Mulwaree	2011	5.3
Goulburn - Mulwaree	2016	5.9
Young - Yass	2006	4.3
Young - Yass	2011	4
Young - Yass	2016	4.2
Gosford	2006	6.2
Gosford	2011	6.1
Gosford	2016	6.2
Wyong	2006	8.2
Wyong	2011	7.8
Wyong	2016	7.4
Bathurst	2006	6
Bathurst	2011	5.3
Bathurst	2016	6
Lachlan Valley	2006	6.5
Lachlan Valley	2011	5.2
Lachlan Valley	2016	6.1
Lithgow - Mudgee	2006	7.7
Lithgow - Mudgee	2011	6.4
Lithgow - Mudgee	2016	7.2
Orange	2006	5.4
Orange	2011	4.2
Orange	2016	5.8
Clarence Valley	2006	9.9
Clarence Valley	2011	8.9
Clarence Valley	2016	9
Coffs Harbour	2006	9.1
Coffs Harbour	2011	8.3
Coffs Harbour	2016	7.3
Bourke - Cobar - Coonamble	2006	7.8
Bourke - Cobar - Coonamble	2011	6.6
Bourke - Cobar - Coonamble	2016	8.2
Broken Hill and Far West	2006	8.8
Broken Hill and Far West	2011	8.2
Broken Hill and Far West	2016	8.7
Dubbo	2006	6.1
Dubbo	2011	5.7
Dubbo	2016	6.2
Lower Hunter	2006	6.8
Lower Hunter	2011	5.3
Lower Hunter	2016	7.6
Maitland	2006	6.4
Maitland	2011	4.8
Maitland	2016	7.1
Port Stephens	2006	7.1
Port Stephens	2011	6.2
Port Stephens	2016	7.3
Upper Hunter	2006	5
Upper Hunter	2011	4.3
Upper Hunter	2016	6.6
Dapto - Port Kembla	2006	8.3
Dapto - Port Kembla	2011	7.4
Dapto - Port Kembla	2016	7.7
Illawarra Catchment Reserve	2006	0
Illawarra Catchment Reserve	2011	0
Illawarra Catchment Reserve	2016	0
Kiama - Shellharbour	2006	6.7
Kiama - Shellharbour	2011	6.1
Kiama - Shellharbour	2016	6.3
Wollongong	2006	7
Wollongong	2011	6.7
Wollongong	2016	6.8
Great Lakes	2006	9.5
Great Lakes	2011	8.4
Great Lakes	2016	8.3
Kempsey - Nambucca	2006	13.1
Kempsey - Nambucca	2011	9.6
Kempsey - Nambucca	2016	8.9
Lord Howe Island	2006	1.3
Lord Howe Island	2011	1.4
Lord Howe Island	2016	1.3
Port Macquarie	2006	8.5
Port Macquarie	2011	6.9
Port Macquarie	2016	6.8
Taree - Gloucester	2006	10.1
Taree - Gloucester	2011	8.8
Taree - Gloucester	2016	9.5
Albury	2006	5.7
Albury	2011	5.5
Albury	2016	6.5
Lower Murray	2006	4.9
Lower Murray	2011	5
Lower Murray	2016	5.4
Upper Murray exc. Albury	2006	4.4
Upper Murray exc. Albury	2011	4.3
Upper Murray exc. Albury	2016	4.6
Armidale	2006	7.4
Armidale	2011	6.4
Armidale	2016	6.8
Inverell - Tenterfield	2006	7.9
Inverell - Tenterfield	2011	7.1
Inverell - Tenterfield	2016	7.4
Moree - Narrabri	2006	6.4
Moree - Narrabri	2011	5.5
Moree - Narrabri	2016	6
Tamworth - Gunnedah	2006	7.1
Tamworth - Gunnedah	2011	5.9
Tamworth - Gunnedah	2016	5.9
Lake Macquarie - East	2006	6.5
Lake Macquarie - East	2011	5.1
Lake Macquarie - East	2016	6.6
Lake Macquarie - West	2006	7.1
Lake Macquarie - West	2011	5.7
Lake Macquarie - West	2016	7.4
Newcastle	2006	7.3
Newcastle	2011	5.8
Newcastle	2016	7.5
Richmond Valley - Coastal	2006	8
Richmond Valley - Coastal	2011	7.3
Richmond Valley - Coastal	2016	6.2
Richmond Valley - Hinterland	2006	9.2
Richmond Valley - Hinterland	2011	8.3
Richmond Valley - Hinterland	2016	7.9
Tweed Valley	2006	7.1
Tweed Valley	2011	8.3
Tweed Valley	2016	7.1
Griffith - Murrumbidgee (West)	2006	4.3
Griffith - Murrumbidgee (West)	2011	4.7
Griffith - Murrumbidgee (West)	2016	4.9
Tumut - Tumbarumba	2006	6.1
Tumut - Tumbarumba	2011	5.5
Tumut - Tumbarumba	2016	5.4
Wagga Wagga	2006	5.8
Wagga Wagga	2011	4.9
Wagga Wagga	2016	5.4
Shoalhaven	2006	9.2
Shoalhaven	2011	7.6
Shoalhaven	2016	6.6
Southern Highlands	2006	4.3
Southern Highlands	2011	4.2
Southern Highlands	2016	3.8
Baulkham Hills	2006	3.3
Baulkham Hills	2011	4.3
Baulkham Hills	2016	4.9
Dural - Wisemans Ferry	2006	2.8
Dural - Wisemans Ferry	2011	3.4
Dural - Wisemans Ferry	2016	3.3
Hawkesbury	2006	3.4
Hawkesbury	2011	3.7
Hawkesbury	2016	3.7
Rouse Hill - McGraths Hill	2006	2.9
Rouse Hill - McGraths Hill	2011	3.7
Rouse Hill - McGraths Hill	2016	3.7
Blacktown	2006	6.6
Blacktown	2011	7
Blacktown	2016	7.3
Blacktown - North	2006	4.1
Blacktown - North	2011	5.1
Blacktown - North	2016	5.4
Mount Druitt	2006	9.2
Mount Druitt	2011	9.3
Mount Druitt	2016	9.2
Botany	2006	5.4
Botany	2011	5.3
Botany	2016	5.6
Marrickville - Sydenham - Petersham	2006	5.4
Marrickville - Sydenham - Petersham	2011	5.5
Marrickville - Sydenham - Petersham	2016	4.9
Sydney Inner City	2006	5.3
Sydney Inner City	2011	5.7
Sydney Inner City	2016	5.9
Eastern Suburbs - North	2006	3.1
Eastern Suburbs - North	2011	3.9
Eastern Suburbs - North	2016	3.6
Eastern Suburbs - South	2006	4.5
Eastern Suburbs - South	2011	5.5
Eastern Suburbs - South	2016	5.6
Bankstown	2006	7.2
Bankstown	2011	7.4
Bankstown	2016	8
Canterbury	2006	8.2
Canterbury	2011	8.4
Canterbury	2016	8.6
Hurstville	2006	5.7
Hurstville	2011	6
Hurstville	2016	6.9
Kogarah - Rockdale	2006	5.4
Kogarah - Rockdale	2011	5.9
Kogarah - Rockdale	2016	6.2
Canada Bay	2006	3.1
Canada Bay	2011	4.2
Canada Bay	2016	4.9
Leichhardt	2006	3.2
Leichhardt	2011	4
Leichhardt	2016	4
Strathfield - Burwood - Ashfield	2006	5.7
Strathfield - Burwood - Ashfield	2011	6.2
Strathfield - Burwood - Ashfield	2016	6.4
Chatswood - Lane Cove	2006	3.3
Chatswood - Lane Cove	2011	4.3
Chatswood - Lane Cove	2016	4.8
Hornsby	2006	3.7
Hornsby	2011	4.7
Hornsby	2016	4.9
Ku-ring-gai	2006	3.2
Ku-ring-gai	2011	4.4
Ku-ring-gai	2016	4.7
North Sydney - Mosman	2006	2.8
North Sydney - Mosman	2011	3.7
North Sydney - Mosman	2016	3.8
Manly	2006	2.9
Manly	2011	3.6
Manly	2016	3.7
Pittwater	2006	2.7
Pittwater	2011	3.5
Pittwater	2016	3.3
Warringah	2006	2.6
Warringah	2011	3.5
Warringah	2016	3.5
Camden	2006	3.8
Camden	2011	4
Camden	2016	4.2
Campbelltown (NSW)	2006	7.4
Campbelltown (NSW)	2011	7.4
Campbelltown (NSW)	2016	7.8
Wollondilly	2006	4.5
Wollondilly	2011	4.4
Wollondilly	2016	4.1
Blue Mountains	2006	4.9
Blue Mountains	2011	5
Blue Mountains	2016	4.7
Blue Mountains - South	2006	0
Blue Mountains - South	2011	0
Blue Mountains - South	2016	0
Penrith	2006	4.8
Penrith	2011	5.1
