SA3_NAME16	Year	employmentToPopulation
Queanbeyan	2006	67
Queanbeyan	2011	69
Queanbeyan	2016	65.1
Snowy Mountains	2006	57.8
Snowy Mountains	2011	59.1
Snowy Mountains	2016	58.6
South Coast	2006	45.8
South Coast	2011	45.5
South Coast	2016	43.6
Goulburn - Mulwaree	2006	53.7
Goulburn - Mulwaree	2011	55.2
Goulburn - Mulwaree	2016	52.8
Young - Yass	2006	59.1
Young - Yass	2011	58.7
Young - Yass	2016	56.7
Gosford	2006	52.6
Gosford	2011	53.8
Gosford	2016	53.6
Wyong	2006	48.9
Wyong	2011	50.2
Wyong	2016	50.7
Bathurst	2006	57
Bathurst	2011	57.5
Bathurst	2016	54.3
Lachlan Valley	2006	52.9
Lachlan Valley	2011	52.6
Lachlan Valley	2016	49.8
Lithgow - Mudgee	2006	50.1
Lithgow - Mudgee	2011	50.8
Lithgow - Mudgee	2016	47.4
Orange	2006	57.5
Orange	2011	59.1
Orange	2016	56.8
Clarence Valley	2006	43.8
Clarence Valley	2011	43.9
Clarence Valley	2016	41.4
Coffs Harbour	2006	48.9
Coffs Harbour	2011	50.1
Coffs Harbour	2016	49.2
Bourke - Cobar - Coonamble	2006	54
Bourke - Cobar - Coonamble	2011	53.1
Bourke - Cobar - Coonamble	2016	48.3
Broken Hill and Far West	2006	45.6
Broken Hill and Far West	2011	47.5
Broken Hill and Far West	2016	46.6
Dubbo	2006	55.6
Dubbo	2011	56.2
Dubbo	2016	53.6
Lower Hunter	2006	53.8
Lower Hunter	2011	55.9
Lower Hunter	2016	52.2
Maitland	2006	57.5
Maitland	2011	59.7
Maitland	2016	58
Port Stephens	2006	49.1
Port Stephens	2011	50.1
Port Stephens	2016	47.5
Upper Hunter	2006	59
Upper Hunter	2011	60.4
Upper Hunter	2016	55.1
Dapto - Port Kembla	2006	49.2
Dapto - Port Kembla	2011	50.2
Dapto - Port Kembla	2016	50.2
Illawarra Catchment Reserve	2006	0
Illawarra Catchment Reserve	2011	37.5
Illawarra Catchment Reserve	2016	37.5
Kiama - Shellharbour	2006	54.3
Kiama - Shellharbour	2011	55
Kiama - Shellharbour	2016	53.8
Wollongong	2006	53.6
Wollongong	2011	54.4
Wollongong	2016	54.3
Great Lakes	2006	39.5
Great Lakes	2011	38.6
Great Lakes	2016	37.6
Kempsey - Nambucca	2006	39.9
Kempsey - Nambucca	2011	40.5
Kempsey - Nambucca	2016	39.3
Lord Howe Island	2006	72.4
Lord Howe Island	2011	72.4
Lord Howe Island	2016	68.8
Port Macquarie	2006	44.9
Port Macquarie	2011	46.2
Port Macquarie	2016	45.3
Taree - Gloucester	2006	44.6
Taree - Gloucester	2011	43.8
Taree - Gloucester	2016	41.2
Albury	2006	58.8
Albury	2011	58.4
Albury	2016	55.4
Lower Murray	2006	57.9
Lower Murray	2011	55.4
Lower Murray	2016	51.9
Upper Murray exc. Albury	2006	55.1
Upper Murray exc. Albury	2011	52.9
Upper Murray exc. Albury	2016	50.1
Armidale	2006	54.3
Armidale	2011	54.9
Armidale	2016	52.4
Inverell - Tenterfield	2006	49.1
Inverell - Tenterfield	2011	48.5
Inverell - Tenterfield	2016	45.8
Moree - Narrabri	2006	58.4
Moree - Narrabri	2011	58
Moree - Narrabri	2016	54.9
Tamworth - Gunnedah	2006	54.2
Tamworth - Gunnedah	2011	55.2
Tamworth - Gunnedah	2016	54.1
Lake Macquarie - East	2006	53.3
Lake Macquarie - East	2011	55.7
Lake Macquarie - East	2016	54
Lake Macquarie - West	2006	49.9
Lake Macquarie - West	2011	52
Lake Macquarie - West	2016	50.9
Newcastle	2006	52.9
Newcastle	2011	56.6
Newcastle	2016	55.9
Richmond Valley - Coastal	2006	51
Richmond Valley - Coastal	2011	51.6
Richmond Valley - Coastal	2016	50.3
Richmond Valley - Hinterland	2006	51
Richmond Valley - Hinterland	2011	51.1
Richmond Valley - Hinterland	2016	48.7
Tweed Valley	2006	45.2
Tweed Valley	2011	46.7
Tweed Valley	2016	47
Griffith - Murrumbidgee (West)	2006	58.9
Griffith - Murrumbidgee (West)	2011	58
Griffith - Murrumbidgee (West)	2016	56
Tumut - Tumbarumba	2006	54.3
Tumut - Tumbarumba	2011	55
Tumut - Tumbarumba	2016	50.8
Wagga Wagga	2006	58.2
Wagga Wagga	2011	58.2
Wagga Wagga	2016	56.2
Shoalhaven	2006	43.9
Shoalhaven	2011	44.3
Shoalhaven	2016	43.6
Southern Highlands	2006	54.3
Southern Highlands	2011	53.8
Southern Highlands	2016	52.3
Baulkham Hills	2006	66.9
Baulkham Hills	2011	64.9
Baulkham Hills	2016	62.9
Dural - Wisemans Ferry	2006	64.3
Dural - Wisemans Ferry	2011	64
Dural - Wisemans Ferry	2016	61.7
Hawkesbury	2006	65.6
Hawkesbury	2011	65.4
Hawkesbury	2016	64.1
Rouse Hill - McGraths Hill	2006	70.6
Rouse Hill - McGraths Hill	2011	69.9
Rouse Hill - McGraths Hill	2016	69.2
Blacktown	2006	57.7
Blacktown	2011	57.7
Blacktown	2016	57.3
Blacktown - North	2006	67
Blacktown - North	2011	68.2
Blacktown - North	2016	66.9
Mount Druitt	2006	51.7
Mount Druitt	2011	51.8
Mount Druitt	2016	52.1
Botany	2006	55.9
Botany	2011	57.1
Botany	2016	59.3
Marrickville - Sydenham - Petersham	2006	59.8
Marrickville - Sydenham - Petersham	2011	62.7
Marrickville - Sydenham - Petersham	2016	64.5
Sydney Inner City	2006	53.7
Sydney Inner City	2011	61.9
Sydney Inner City	2016	60.7
Eastern Suburbs - North	2006	58.6
Eastern Suburbs - North	2011	62.2
Eastern Suburbs - North	2016	63.4
Eastern Suburbs - South	2006	57.8
Eastern Suburbs - South	2011	57.6
Eastern Suburbs - South	2016	57
Bankstown	2006	49.8
Bankstown	2011	49.6
Bankstown	2016	50
Canterbury	2006	48.1
Canterbury	2011	48.9
Canterbury	2016	50.6
Hurstville	2006	55.2
Hurstville	2011	55.7
Hurstville	2016	55.3
Kogarah - Rockdale	2006	54.6
Kogarah - Rockdale	2011	56.5
Kogarah - Rockdale	2016	57.8
Canada Bay	2006	61.8
Canada Bay	2011	61.6
Canada Bay	2016	60.7
Leichhardt	2006	68
Leichhardt	2011	69.1
Leichhardt	2016	66.7
Strathfield - Burwood - Ashfield	2006	55.9
Strathfield - Burwood - Ashfield	2011	58
Strathfield - Burwood - Ashfield	2016	58.7
Chatswood - Lane Cove	2006	62.3
Chatswood - Lane Cove	2011	63.3
Chatswood - Lane Cove	2016	62.5
Hornsby	2006	64.5
Hornsby	2011	64
Hornsby	2016	63.4
Ku-ring-gai	2006	58.7
Ku-ring-gai	2011	58
Ku-ring-gai	2016	58.3
North Sydney - Mosman	2006	65
North Sydney - Mosman	2011	65.7
North Sydney - Mosman	2016	65.7
Manly	2006	61.3
Manly	2011	64.1
Manly	2016	65.3
Pittwater	2006	62.9
Pittwater	2011	62.7
Pittwater	2016	62
Warringah	2006	64
Warringah	2011	64.3
Warringah	2016	64.2
Camden	2006	68.5
Camden	2011	68.7
Camden	2016	68.1
Campbelltown (NSW)	2006	57.9
Campbelltown (NSW)	2011	56.9
Campbelltown (NSW)	2016	55.7
Wollondilly	2006	62.7
Wollondilly	2011	62.9
Wollondilly	2016	62.6
Blue Mountains	2006	59.7
Blue Mountains	2011	58.3
Blue Mountains	2016	57.1
Blue Mountains - South	2006	0
Blue Mountains - South	2011	0
