SA3_NAME16	Year	Age5yr	ChildrenEverBorn	females
Queanbeyan	2006	15-19		180
Queanbeyan	2006	15-19	0	1433
Queanbeyan	2006	15-19	1	25
Queanbeyan	2006	15-19	2	9
Queanbeyan	2006	15-19	3	0
Queanbeyan	2006	15-19	4	0
Queanbeyan	2006	15-19	5	0
Queanbeyan	2006	15-19	6	0
Queanbeyan	2006	20-24		106
Queanbeyan	2006	20-24	0	1169
Queanbeyan	2006	20-24	1	186
Queanbeyan	2006	20-24	2	67
Queanbeyan	2006	20-24	3	11
Queanbeyan	2006	20-24	4	3
Queanbeyan	2006	20-24	5	0
Queanbeyan	2006	20-24	6	0
Queanbeyan	2006	25-29		78
Queanbeyan	2006	25-29	0	808
Queanbeyan	2006	25-29	1	275
Queanbeyan	2006	25-29	2	192
Queanbeyan	2006	25-29	3	77
Queanbeyan	2006	25-29	4	15
Queanbeyan	2006	25-29	5	4
Queanbeyan	2006	25-29	6	0
Queanbeyan	2006	30-34		103
Queanbeyan	2006	30-34	0	578
Queanbeyan	2006	30-34	1	366
Queanbeyan	2006	30-34	2	534
Queanbeyan	2006	30-34	3	191
Queanbeyan	2006	30-34	4	54
Queanbeyan	2006	30-34	5	12
Queanbeyan	2006	30-34	6	11
Queanbeyan	2006	35-39		87
Queanbeyan	2006	35-39	0	431
Queanbeyan	2006	35-39	1	317
Queanbeyan	2006	35-39	2	762
Queanbeyan	2006	35-39	3	388
Queanbeyan	2006	35-39	4	112
Queanbeyan	2006	35-39	5	25
Queanbeyan	2006	35-39	6	12
Queanbeyan	2006	40-44		117
Queanbeyan	2006	40-44	0	348
Queanbeyan	2006	40-44	1	260
Queanbeyan	2006	40-44	2	753
Queanbeyan	2006	40-44	3	428
Queanbeyan	2006	40-44	4	134
Queanbeyan	2006	40-44	5	36
Queanbeyan	2006	40-44	6	23
Queanbeyan	2006	45-49		111
Queanbeyan	2006	45-49	0	318
Queanbeyan	2006	45-49	1	206
Queanbeyan	2006	45-49	2	661
Queanbeyan	2006	45-49	3	439
Queanbeyan	2006	45-49	4	164
Queanbeyan	2006	45-49	5	31
Queanbeyan	2006	45-49	6	19
Queanbeyan	2006	50-54		79
Queanbeyan	2006	50-54	0	268
Queanbeyan	2006	50-54	1	149
Queanbeyan	2006	50-54	2	595
Queanbeyan	2006	50-54	3	380
Queanbeyan	2006	50-54	4	148
Queanbeyan	2006	50-54	5	45
Queanbeyan	2006	50-54	6	22
Queanbeyan	2006	55-59		66
Queanbeyan	2006	55-59	0	175
Queanbeyan	2006	55-59	1	132
Queanbeyan	2006	55-59	2	523
Queanbeyan	2006	55-59	3	326
Queanbeyan	2006	55-59	4	156
Queanbeyan	2006	55-59	5	51
Queanbeyan	2006	55-59	6	27
Queanbeyan	2006	60-64		67
Queanbeyan	2006	60-64	0	92
Queanbeyan	2006	60-64	1	86
Queanbeyan	2006	60-64	2	315
Queanbeyan	2006	60-64	3	286
Queanbeyan	2006	60-64	4	134
Queanbeyan	2006	60-64	5	34
Queanbeyan	2006	60-64	6	24
Queanbeyan	2006	65-69		62
Queanbeyan	2006	65-69	0	59
Queanbeyan	2006	65-69	1	51
Queanbeyan	2006	65-69	2	188
Queanbeyan	2006	65-69	3	191
Queanbeyan	2006	65-69	4	136
Queanbeyan	2006	65-69	5	53
Queanbeyan	2006	65-69	6	44
Queanbeyan	2006	70-74		38
Queanbeyan	2006	70-74	0	43
Queanbeyan	2006	70-74	1	36
Queanbeyan	2006	70-74	2	96
Queanbeyan	2006	70-74	3	139
Queanbeyan	2006	70-74	4	84
Queanbeyan	2006	70-74	5	48
Queanbeyan	2006	70-74	6	34
Queanbeyan	2006	75-79		42
Queanbeyan	2006	75-79	0	43
Queanbeyan	2006	75-79	1	35
Queanbeyan	2006	75-79	2	77
