SA3_NAME16	Year	Sex	labourForceParticipation
Queanbeyan	2006	F	64.4
Queanbeyan	2006	M	73.5
Queanbeyan	2011	F	67.3
Queanbeyan	2011	M	74.6
Queanbeyan	2016	F	65
Queanbeyan	2016	M	70.7
Snowy Mountains	2006	F	55.9
Snowy Mountains	2006	M	64.2
Snowy Mountains	2011	F	57.7
Snowy Mountains	2011	M	64.8
Snowy Mountains	2016	F	58.8
Snowy Mountains	2016	M	62.4
South Coast	2006	F	45.4
South Coast	2006	M	54.5
South Coast	2011	F	45.6
South Coast	2011	M	52.1
South Coast	2016	F	44.4
South Coast	2016	M	48.7
Goulburn - Mulwaree	2006	F	52.3
Goulburn - Mulwaree	2006	M	61.6
Goulburn - Mulwaree	2011	F	54
Goulburn - Mulwaree	2011	M	62.4
Goulburn - Mulwaree	2016	F	52.8
Goulburn - Mulwaree	2016	M	59.4
Young - Yass	2006	F	54.8
Young - Yass	2006	M	68.8
Young - Yass	2011	F	55.5
Young - Yass	2011	M	67.1
Young - Yass	2016	F	55.1
Young - Yass	2016	M	63.6
Gosford	2006	F	50.4
Gosford	2006	M	62.4
Gosford	2011	F	52.2
Gosford	2011	M	63
Gosford	2016	F	53
Gosford	2016	M	61.7
Wyong	2006	F	47.2
Wyong	2006	M	60
Wyong	2011	F	49.1
Wyong	2011	M	60.3
Wyong	2016	F	50.5
Wyong	2016	M	59.4
Bathurst	2006	F	56.7
Bathurst	2006	M	64.5
Bathurst	2011	F	57.1
Bathurst	2011	M	64.3
Bathurst	2016	F	55.9
Bathurst	2016	M	59.7
Lachlan Valley	2006	F	49.2
Lachlan Valley	2006	M	64.2
Lachlan Valley	2011	F	49.7
Lachlan Valley	2011	M	61.5
Lachlan Valley	2016	F	48.3
Lachlan Valley	2016	M	58
Lithgow - Mudgee	2006	F	48.2
Lithgow - Mudgee	2006	M	60.4
Lithgow - Mudgee	2011	F	49.1
Lithgow - Mudgee	2011	M	59.5
Lithgow - Mudgee	2016	F	47.4
Lithgow - Mudgee	2016	M	54.8
Orange	2006	F	54.6
Orange	2006	M	67.3
Orange	2011	F	56
Orange	2011	M	67.8
Orange	2016	F	56.3
Orange	2016	M	64.5
Clarence Valley	2006	F	43.9
Clarence Valley	2006	M	53.6
Clarence Valley	2011	F	44.6
Clarence Valley	2011	M	51.9
Clarence Valley	2016	F	42.9
Clarence Valley	2016	M	48.2
Coffs Harbour	2006	F	49.6
Coffs Harbour	2006	M	58.4
Coffs Harbour	2011	F	51.1
Coffs Harbour	2011	M	58.5
Coffs Harbour	2016	F	50.3
Coffs Harbour	2016	M	56.2
Bourke - Cobar - Coonamble	2006	F	52.7
Bourke - Cobar - Coonamble	2006	M	63.7
Bourke - Cobar - Coonamble	2011	F	52.1
Bourke - Cobar - Coonamble	2011	M	61.2
Bourke - Cobar - Coonamble	2016	F	49.3
Bourke - Cobar - Coonamble	2016	M	55.8
Broken Hill and Far West	2006	F	44.5
Broken Hill and Far West	2006	M	55.9
Broken Hill and Far West	2011	F	47
Broken Hill and Far West	2011	M	56.6
Broken Hill and Far West	2016	F	47.8
Broken Hill and Far West	2016	M	54.5
Dubbo	2006	F	53.2
Dubbo	2006	M	65.8
Dubbo	2011	F	55.2
Dubbo	2011	M	64.3
Dubbo	2016	F	53.9
Dubbo	2016	M	60.7
Lower Hunter	2006	F	49.8
Lower Hunter	2006	M	65.6
Lower Hunter	2011	F	52.2
Lower Hunter	2011	M	65.9
Lower Hunter	2016	F	51.8
Lower Hunter	2016	M	61.2
Maitland	2006	F	54.1
Maitland	2006	M	69.2
Maitland	2011	F	55.8
Maitland	2011	M	70.3
Maitland	2016	F	57.6
Maitland	2016	M	67.5
Port Stephens	2006	F	46.9
Port Stephens	2006	M	59.2
Port Stephens	2011	F	48.2
Port Stephens	2011	M	59
Port Stephens	2016	F	47.5
Port Stephens	2016	M	55.2
Upper Hunter	2006	F	53.9
Upper Hunter	2006	M	70
Upper Hunter	2011	F	56
Upper Hunter	2011	M	70
Upper Hunter	2016	F	53.5
Upper Hunter	2016	M	64.4
Dapto - Port Kembla	2006	F	46.3
Dapto - Port Kembla	2006	M	61.4
Dapto - Port Kembla	2011	F	47.9
Dapto - Port Kembla	2011	M	60.8
Dapto - Port Kembla	2016	F	49.8
Dapto - Port Kembla	2016	M	59.3
Illawarra Catchment Reserve	2006	F	0
Illawarra Catchment Reserve	2006	M	0
Illawarra Catchment Reserve	2011	F	0
Illawarra Catchment Reserve	2011	M	50
Illawarra Catchment Reserve	2016	F	0
Illawarra Catchment Reserve	2016	M	100
Kiama - Shellharbour	2006	F	51.2
Kiama - Shellharbour	2006	M	65.6
Kiama - Shellharbour	2011	F	52.6
Kiama - Shellharbour	2011	M	65
Kiama - Shellharbour	2016	F	53.1
Kiama - Shellharbour	2016	M	62
Wollongong	2006	F	52
Wollongong	2006	M	63.5
Wollongong	2011	F	54.1
Wollongong	2011	M	62.7
Wollongong	2016	F	55.2
Wollongong	2016	M	61.5
Great Lakes	2006	F	39.4
Great Lakes	2006	M	48.2
Great Lakes	2011	F	39.1
Great Lakes	2011	M	45.5
Great Lakes	2016	F	39.1
Great Lakes	2016	M	43
Kempsey - Nambucca	2006	F	42
Kempsey - Nambucca	2006	M	50
Kempsey - Nambucca	2011	F	42.2
Kempsey - Nambucca	2011	M	47.5
Kempsey - Nambucca	2016	F	41.4
Kempsey - Nambucca	2016	M	44.9
Lord Howe Island	2006	F	69.4
Lord Howe Island	2006	M	81.3
Lord Howe Island	2011	F	69.5
Lord Howe Island	2011	M	73.3
Lord Howe Island	2016	F	68.1
Lord Howe Island	2016	M	70.9
Port Macquarie	2006	F	44.6
Port Macquarie	2006	M	54
Port Macquarie	2011	F	46.2
Port Macquarie	2011	M	53.5
Port Macquarie	2016	F	45.9
Port Macquarie	2016	M	51.6
Taree - Gloucester	2006	F	44.3
Taree - Gloucester	2006	M	55.3
Taree - Gloucester	2011	F	43.8
Taree - Gloucester	2011	M	52.5
Taree - Gloucester	2016	F	42.6
Taree - Gloucester	2016	M	48.6
Albury	2006	F	56.1
Albury	2006	M	69.1
Albury	2011	F	56.8
Albury	2011	M	67
Albury	2016	F	55.6
Albury	2016	M	63.3
Lower Murray	2006	F	54
Lower Murray	2006	M	67.1
Lower Murray	2011	F	52.3
Lower Murray	2011	M	64.1
Lower Murray	2016	F	50.9
Lower Murray	2016	M	58.8
Upper Murray exc. Albury	2006	F	51.1
Upper Murray exc. Albury	2006	M	64.3
Upper Murray exc. Albury	2011	F	50.1
Upper Murray exc. Albury	2011	M	60.4
Upper Murray exc. Albury	2016	F	48.7
Upper Murray exc. Albury	2016	M	56.2
Armidale	2006	F	53.4
Armidale	2006	M	64.2
Armidale	2011	F	54.1
Armidale	2011	M	63.6
Armidale	2016	F	52.5
Armidale	2016	M	60.2
Inverell - Tenterfield	2006	F	46.6
Inverell - Tenterfield	2006	M	60.1
Inverell - Tenterfield	2011	F	47.5
Inverell - Tenterfield	2011	M	57
Inverell - Tenterfield	2016	F	46.2
Inverell - Tenterfield	2016	M	52.9
Moree - Narrabri	2006	F	54.7
Moree - Narrabri	2006	M	69.8
Moree - Narrabri	2011	F	54.7
Moree - Narrabri	2011	M	67.9
Moree - Narrabri	2016	F	53.5
Moree - Narrabri	2016	M	63.3
Tamworth - Gunnedah	2006	F	51.7
Tamworth - Gunnedah	2006	M	65.2
Tamworth - Gunnedah	2011	F	53.3
Tamworth - Gunnedah	2011	M	64.3
Tamworth - Gunnedah	2016	F	53.2
Tamworth - Gunnedah	2016	M	62.1
Lake Macquarie - East	2006	F	51
Lake Macquarie - East	2006	M	63.4
Lake Macquarie - East	2011	F	53.8
Lake Macquarie - East	2011	M	63.9
Lake Macquarie - East	2016	F	54.1
Lake Macquarie - East	2016	M	62
Lake Macquarie - West	2006	F	47.5
Lake Macquarie - West	2006	M	60.4
Lake Macquarie - West	2011	F	49.8
Lake Macquarie - West	2011	M	60.8
Lake Macquarie - West	2016	F	50.9
Lake Macquarie - West	2016	M	59.3
Newcastle	2006	F	51.9
Newcastle	2006	M	62.7
Newcastle	2011	F	55.6
Newcastle	2011	M	64.8
Newcastle	2016	F	57.5
Newcastle	2016	M	63.6
Richmond Valley - Coastal	2006	F	51.3
Richmond Valley - Coastal	2006	M	59.9
Richmond Valley - Coastal	2011	F	52.2
Richmond Valley - Coastal	2011	M	59.3
Richmond Valley - Coastal	2016	F	50.9
Richmond Valley - Coastal	2016	M	56.6
Richmond Valley - Hinterland	2006	F	50.9
Richmond Valley - Hinterland	2006	M	61.7
Richmond Valley - Hinterland	2011	F	51.7
Richmond Valley - Hinterland	2011	M	60.1
Richmond Valley - Hinterland	2016	F	49.9
Richmond Valley - Hinterland	2016	M	56
Tweed Valley	2006	F	43.7
Tweed Valley	2006	M	54
Tweed Valley	2011	F	47
Tweed Valley	2011	M	55.2
Tweed Valley	2016	F	47.7
Tweed Valley	2016	M	53.7
Griffith - Murrumbidgee (West)	2006	F	54.4
Griffith - Murrumbidgee (West)	2006	M	68.6
Griffith - Murrumbidgee (West)	2011	F	54.6
Griffith - Murrumbidgee (West)	2011	M	67.1
Griffith - Murrumbidgee (West)	2016	F	53.6
Griffith - Murrumbidgee (West)	2016	M	64.1
Tumut - Tumbarumba	2006	F	50.4
Tumut - Tumbarumba	2006	M	65
Tumut - Tumbarumba	2011	F	51.7
Tumut - Tumbarumba	2011	M	64.6
Tumut - Tumbarumba	2016	F	49
Tumut - Tumbarumba	2016	M	58.3
Wagga Wagga	2006	F	55.7
Wagga Wagga	2006	M	68.1
Wagga Wagga	2011	F	56
Wagga Wagga	2011	M	66.6
Wagga Wagga	2016	F	56
Wagga Wagga	2016	M	62.9
Shoalhaven	2006	F	43.5
Shoalhaven	2006	M	53.4
Shoalhaven	2011	F	44.4
Shoalhaven	2011	M	51.7
Shoalhaven	2016	F	44
Shoalhaven	2016	M	49.5
Southern Highlands	2006	F	50
Southern Highlands	2006	M	64.2
Southern Highlands	2011	F	50.4
Southern Highlands	2011	M	62.5
Southern Highlands	2016	F	49.7
Southern Highlands	2016	M	59.5
Baulkham Hills	2006	F	62.7
Baulkham Hills	2006	M	76.1
Baulkham Hills	2011	F	61.9
Baulkham Hills	2011	M	74.2
Baulkham Hills	2016	F	60.9
Baulkham Hills	2016	M	71.8
Dural - Wisemans Ferry	2006	F	60.2
Dural - Wisemans Ferry	2006	M	72.3
Dural - Wisemans Ferry	2011	F	60.9
Dural - Wisemans Ferry	2011	M	71.7
Dural - Wisemans Ferry	2016	F	59.2
Dural - Wisemans Ferry	2016	M	68.6
Hawkesbury	2006	F	62.6
Hawkesbury	2006	M	73.2
Hawkesbury	2011	F	63.7
Hawkesbury	2011	M	72.1
Hawkesbury	2016	F	62.5
Hawkesbury	2016	M	70.5
Rouse Hill - McGraths Hill	2006	F	66
Rouse Hill - McGraths Hill	2006	M	79.4
Rouse Hill - McGraths Hill	2011	F	67
Rouse Hill - McGraths Hill	2011	M	78.2
Rouse Hill - McGraths Hill	2016	F	67
Rouse Hill - McGraths Hill	2016	M	77.1
Blacktown	2006	F	54.2
Blacktown	2006	M	69.5
Blacktown	2011	F	55.2
Blacktown	2011	M	69.1
Blacktown	2016	F	55.5
Blacktown	2016	M	68.2
Blacktown - North	2006	F	64
Blacktown - North	2006	M	75.5
Blacktown - North	2011	F	66.7
Blacktown - North	2011	M	76.9
Blacktown - North	2016	F	66.6
Blacktown - North	2016	M	74.9
Mount Druitt	2006	F	48.7
Mount Druitt	2006	M	65.9
Mount Druitt	2011	F	49.3
