SA3_NAME16	Year	NonSchoolQualification	persons
Queanbeyan	2006		32413
Queanbeyan	2006	Certificate nfd	732
Queanbeyan	2006	Certificate I and II Level	477
Queanbeyan	2006	Certificate III and IV Level	5618
Queanbeyan	2006	Advanced Diploma and Diploma	2984
Queanbeyan	2006	Bachelor	4480
Queanbeyan	2006	Graduate Diploma and Graduate Certificate	907
Queanbeyan	2006	Postgraduate	1457
Queanbeyan	2011		32704
Queanbeyan	2011	Certificate nfd	730
Queanbeyan	2011	Certificate I and II Level	515
Queanbeyan	2011	Certificate III and IV Level	6868
Queanbeyan	2011	Advanced Diploma and Diploma	3808
Queanbeyan	2011	Bachelor	5568
Queanbeyan	2011	Graduate Diploma and Graduate Certificate	1129
Queanbeyan	2011	Postgraduate	2189
Queanbeyan	2016		32972
Queanbeyan	2016	Certificate nfd	902
Queanbeyan	2016	Certificate I and II Level	552
Queanbeyan	2016	Certificate III and IV Level	7774
Queanbeyan	2016	Advanced Diploma and Diploma	4575
Queanbeyan	2016	Bachelor	6482
Queanbeyan	2016	Graduate Diploma and Graduate Certificate	1302
Queanbeyan	2016	Postgraduate	2772
Snowy Mountains	2006		12786
Snowy Mountains	2006	Certificate nfd	252
Snowy Mountains	2006	Certificate I and II Level	234
Snowy Mountains	2006	Certificate III and IV Level	2632
Snowy Mountains	2006	Advanced Diploma and Diploma	947
Snowy Mountains	2006	Bachelor	1270
Snowy Mountains	2006	Graduate Diploma and Graduate Certificate	173
Snowy Mountains	2006	Postgraduate	195
Snowy Mountains	2011		12299
Snowy Mountains	2011	Certificate nfd	302
Snowy Mountains	2011	Certificate I and II Level	246
Snowy Mountains	2011	Certificate III and IV Level	3047
Snowy Mountains	2011	Advanced Diploma and Diploma	1075
Snowy Mountains	2011	Bachelor	1434
Snowy Mountains	2011	Graduate Diploma and Graduate Certificate	225
Snowy Mountains	2011	Postgraduate	303
Snowy Mountains	2016		11643
Snowy Mountains	2016	Certificate nfd	383
Snowy Mountains	2016	Certificate I and II Level	247
Snowy Mountains	2016	Certificate III and IV Level	3401
Snowy Mountains	2016	Advanced Diploma and Diploma	1348
Snowy Mountains	2016	Bachelor	1716
Snowy Mountains	2016	Graduate Diploma and Graduate Certificate	235
Snowy Mountains	2016	Postgraduate	393
South Coast	2006		45753
South Coast	2006	Certificate nfd	1025
South Coast	2006	Certificate I and II Level	729
South Coast	2006	Certificate III and IV Level	9719
South Coast	2006	Advanced Diploma and Diploma	3489
South Coast	2006	Bachelor	4050
South Coast	2006	Graduate Diploma and Graduate Certificate	687
South Coast	2006	Postgraduate	616
South Coast	2011		44008
South Coast	2011	Certificate nfd	1083
South Coast	2011	Certificate I and II Level	842
South Coast	2011	Certificate III and IV Level	10990
South Coast	2011	Advanced Diploma and Diploma	4086
South Coast	2011	Bachelor	4946
South Coast	2011	Graduate Diploma and Graduate Certificate	995
South Coast	2011	Postgraduate	930
South Coast	2016		42606
South Coast	2016	Certificate nfd	1636
South Coast	2016	Certificate I and II Level	884
South Coast	2016	Certificate III and IV Level	12011
South Coast	2016	Advanced Diploma and Diploma	5000
South Coast	2016	Bachelor	5911
South Coast	2016	Graduate Diploma and Graduate Certificate	1222
South Coast	2016	Postgraduate	1368
Goulburn - Mulwaree	2006		23138
Goulburn - Mulwaree	2006	Certificate nfd	536
Goulburn - Mulwaree	2006	Certificate I and II Level	374
Goulburn - Mulwaree	2006	Certificate III and IV Level	4277
Goulburn - Mulwaree	2006	Advanced Diploma and Diploma	1603
Goulburn - Mulwaree	2006	Bachelor	1625
Goulburn - Mulwaree	2006	Graduate Diploma and Graduate Certificate	255
Goulburn - Mulwaree	2006	Postgraduate	271
Goulburn - Mulwaree	2011		22575
Goulburn - Mulwaree	2011	Certificate nfd	551
Goulburn - Mulwaree	2011	Certificate I and II Level	442
Goulburn - Mulwaree	2011	Certificate III and IV Level	4986
Goulburn - Mulwaree	2011	Advanced Diploma and Diploma	1858
Goulburn - Mulwaree	2011	Bachelor	1973
Goulburn - Mulwaree	2011	Graduate Diploma and Graduate Certificate	313
Goulburn - Mulwaree	2011	Postgraduate	401
Goulburn - Mulwaree	2016		22768
Goulburn - Mulwaree	2016	Certificate nfd	714
Goulburn - Mulwaree	2016	Certificate I and II Level	406
Goulburn - Mulwaree	2016	Certificate III and IV Level	5848
Goulburn - Mulwaree	2016	Advanced Diploma and Diploma	2482
Goulburn - Mulwaree	2016	Bachelor	2329
Goulburn - Mulwaree	2016	Graduate Diploma and Graduate Certificate	410
Goulburn - Mulwaree	2016	Postgraduate	602
Young - Yass	2006		22914
Young - Yass	2006	Certificate nfd	466
Young - Yass	2006	Certificate I and II Level	283
Young - Yass	2006	Certificate III and IV Level	3861
Young - Yass	2006	Advanced Diploma and Diploma	1597
Young - Yass	2006	Bachelor	2224
Young - Yass	2006	Graduate Diploma and Graduate Certificate	373
Young - Yass	2006	Postgraduate	516
Young - Yass	2011		23155
Young - Yass	2011	Certificate nfd	452
Young - Yass	2011	Certificate I and II Level	354
Young - Yass	2011	Certificate III and IV Level	4631
Young - Yass	2011	Advanced Diploma and Diploma	1917
Young - Yass	2011	Bachelor	2717
Young - Yass	2011	Graduate Diploma and Graduate Certificate	481
Young - Yass	2011	Postgraduate	690
Young - Yass	2016		22742
Young - Yass	2016	Certificate nfd	636
Young - Yass	2016	Certificate I and II Level	380
Young - Yass	2016	Certificate III and IV Level	5176
Young - Yass	2016	Advanced Diploma and Diploma	2337
Young - Yass	2016	Bachelor	3220
Young - Yass	2016	Graduate Diploma and Graduate Certificate	551
Young - Yass	2016	Postgraduate	900
Gosford	2006		107913
Gosford	2006	Certificate nfd	2897
Gosford	2006	Certificate I and II Level	1653
Gosford	2006	Certificate III and IV Level	21267
Gosford	2006	Advanced Diploma and Diploma	10123
Gosford	2006	Bachelor	11471
Gosford	2006	Graduate Diploma and Graduate Certificate	1476
Gosford	2006	Postgraduate	2138
Gosford	2011		103207
Gosford	2011	Certificate nfd	2858
Gosford	2011	Certificate I and II Level	1858
Gosford	2011	Certificate III and IV Level	24399
Gosford	2011	Advanced Diploma and Diploma	11712
Gosford	2011	Bachelor	14116
Gosford	2011	Graduate Diploma and Graduate Certificate	1868
Gosford	2011	Postgraduate	3092
Gosford	2016		98353
Gosford	2016	Certificate nfd	3638
Gosford	2016	Certificate I and II Level	1800
Gosford	2016	Certificate III and IV Level	26479
Gosford	2016	Advanced Diploma and Diploma	14121
Gosford	2016	Bachelor	17766
Gosford	2016	Graduate Diploma and Graduate Certificate	2357
Gosford	2016	Postgraduate	4539
Wyong	2006		101767
Wyong	2006	Certificate nfd	2177
Wyong	2006	Certificate I and II Level	1481
Wyong	2006	Certificate III and IV Level	20227
Wyong	2006	Advanced Diploma and Diploma	6208
Wyong	2006	Bachelor	5558
Wyong	2006	Graduate Diploma and Graduate Certificate	759
Wyong	2006	Postgraduate	846
Wyong	2011		102966
Wyong	2011	Certificate nfd	2425
Wyong	2011	Certificate I and II Level	1915
Wyong	2011	Certificate III and IV Level	24354
Wyong	2011	Advanced Diploma and Diploma	7862
Wyong	2011	Bachelor	7372
Wyong	2011	Graduate Diploma and Graduate Certificate	964
Wyong	2011	Postgraduate	1218
Wyong	2016		102181
Wyong	2016	Certificate nfd	3249
Wyong	2016	Certificate I and II Level	1883
Wyong	2016	Certificate III and IV Level	28084
Wyong	2016	Advanced Diploma and Diploma	10551
Wyong	2016	Bachelor	9636
Wyong	2016	Graduate Diploma and Graduate Certificate	1244
Wyong	2016	Postgraduate	1855
Bathurst	2006		28432
Bathurst	2006	Certificate nfd	696
Bathurst	2006	Certificate I and II Level	559
Bathurst	2006	Certificate III and IV Level	5352
Bathurst	2006	Advanced Diploma and Diploma	1906
Bathurst	2006	Bachelor	2940
Bathurst	2006	Graduate Diploma and Graduate Certificate	417
Bathurst	2006	Postgraduate	574
Bathurst	2011		28797
Bathurst	2011	Certificate nfd	728
Bathurst	2011	Certificate I and II Level	577
Bathurst	2011	Certificate III and IV Level	6470
Bathurst	2011	Advanced Diploma and Diploma	2328
Bathurst	2011	Bachelor	3390
Bathurst	2011	Graduate Diploma and Graduate Certificate	502
Bathurst	2011	Postgraduate	763
Bathurst	2016		29012
Bathurst	2016	Certificate nfd	930
Bathurst	2016	Certificate I and II Level	607
Bathurst	2016	Certificate III and IV Level	7316
Bathurst	2016	Advanced Diploma and Diploma	2953
Bathurst	2016	Bachelor	4064
Bathurst	2016	Graduate Diploma and Graduate Certificate	697
Bathurst	2016	Postgraduate	1015
Lachlan Valley	2006		42563
Lachlan Valley	2006	Certificate nfd	733
Lachlan Valley	2006	Certificate I and II Level	660
Lachlan Valley	2006	Certificate III and IV Level	6451
Lachlan Valley	2006	Advanced Diploma and Diploma	2048
Lachlan Valley	2006	Bachelor	2474
Lachlan Valley	2006	Graduate Diploma and Graduate Certificate	368
Lachlan Valley	2006	Postgraduate	270
Lachlan Valley	2011		40030
Lachlan Valley	2011	Certificate nfd	749
Lachlan Valley	2011	Certificate I and II Level	712
Lachlan Valley	2011	Certificate III and IV Level	7414
Lachlan Valley	2011	Advanced Diploma and Diploma	2374
Lachlan Valley	2011	Bachelor	2835
Lachlan Valley	2011	Graduate Diploma and Graduate Certificate	365
Lachlan Valley	2011	Postgraduate	317
Lachlan Valley	2016		38553
Lachlan Valley	2016	Certificate nfd	1003
Lachlan Valley	2016	Certificate I and II Level	759
Lachlan Valley	2016	Certificate III and IV Level	8145
Lachlan Valley	2016	Advanced Diploma and Diploma	2779
Lachlan Valley	2016	Bachelor	3213
