SA3_NAME16	Year	SameAddress5YearsAgo	persons
Queanbeyan	2006		6475
Queanbeyan	2006	0	20018
Queanbeyan	2006	1	22575
Queanbeyan	2011		6512
Queanbeyan	2011	0	19833
Queanbeyan	2011	1	27166
Queanbeyan	2016		7929
Queanbeyan	2016	0	20818
Queanbeyan	2016	1	28584
Snowy Mountains	2006		3077
Snowy Mountains	2006	0	6249
Snowy Mountains	2006	1	9163
Snowy Mountains	2011		2740
Snowy Mountains	2011	0	5901
Snowy Mountains	2011	1	10290
Snowy Mountains	2016		2869
Snowy Mountains	2016	0	6157
Snowy Mountains	2016	1	10340
South Coast	2006		6355
South Coast	2006	0	25952
South Coast	2006	1	33761
South Coast	2011		7083
South Coast	2011	0	23419
South Coast	2011	1	37378
South Coast	2016		8967
South Coast	2016	0	23986
South Coast	2016	1	37685
Goulburn - Mulwaree	2006		4102
Goulburn - Mulwaree	2006	0	11040
Goulburn - Mulwaree	2006	1	16937
Goulburn - Mulwaree	2011		4045
Goulburn - Mulwaree	2011	0	10722
Goulburn - Mulwaree	2011	1	18332
Goulburn - Mulwaree	2016		5532
Goulburn - Mulwaree	2016	0	11824
Goulburn - Mulwaree	2016	1	18203
Young - Yass	2006		3475
Young - Yass	2006	0	11431
Young - Yass	2006	1	17328
Young - Yass	2011		4195
Young - Yass	2011	0	11125
Young - Yass	2011	1	19077
Young - Yass	2016		4734
Young - Yass	2016	0	11152
Young - Yass	2016	1	20056
Gosford	2006		20694
Gosford	2006	0	55036
Gosford	2006	1	83208
Gosford	2011		18391
Gosford	2011	0	55499
Gosford	2011	1	89220
Gosford	2016		19802
Gosford	2016	0	60635
Gosford	2016	1	88616
Wyong	2006		17163
Wyong	2006	0	52493
Wyong	2006	1	69367
Wyong	2011		17248
Wyong	2011	0	52639
Wyong	2011	1	79189
Wyong	2016		20338
Wyong	2016	0	58117
Wyong	2016	1	80228
Bathurst	2006		5318
Bathurst	2006	0	16307
Bathurst	2006	1	19251
Bathurst	2011		5898
Bathurst	2011	0	15877
Bathurst	2011	1	21780
Bathurst	2016		7510
Bathurst	2016	0	16967
Bathurst	2016	1	22117
Lachlan Valley	2006		6136
Lachlan Valley	2006	0	18456
Lachlan Valley	2006	1	30975
Lachlan Valley	2011		6737
Lachlan Valley	2011	0	16011
Lachlan Valley	2011	1	32048
Lachlan Valley	2016		8947
Lachlan Valley	2016	0	15723
Lachlan Valley	2016	1	30666
Lithgow - Mudgee	2006		5180
Lithgow - Mudgee	2006	0	13968
Lithgow - Mudgee	2006	1	23385
Lithgow - Mudgee	2011		5712
Lithgow - Mudgee	2011	0	13755
Lithgow - Mudgee	2011	1	24451
Lithgow - Mudgee	2016		8412
Lithgow - Mudgee	2016	0	14510
Lithgow - Mudgee	2016	1	23690
Orange	2006		6198
Orange	2006	0	18842
Orange	2006	1	25659
Orange	2011		7021
Orange	2011	0	18861
Orange	2011	1	28587
Orange	2016		8202
Orange	2016	0	20859
Orange	2016	1	28553
Clarence Valley	2006		5160
Clarence Valley	2006	0	17779
Clarence Valley	2006	1	24731
Clarence Valley	2011		5377
Clarence Valley	2011	0	16927
Clarence Valley	2011	1	26934
Clarence Valley	2016		6764
Clarence Valley	2016	0	16153
Clarence Valley	2016	1	27344
Coffs Harbour	2006		8228
Coffs Harbour	2006	0	31931
Coffs Harbour	2006	1	37646
Coffs Harbour	2011		8846
Coffs Harbour	2011	0	31174
Coffs Harbour	2011	1	41345
Coffs Harbour	2016		11223
Coffs Harbour	2016	0	32414
Coffs Harbour	2016	1	42384
Bourke - Cobar - Coonamble	2006		3988
Bourke - Cobar - Coonamble	2006	0	8483
Bourke - Cobar - Coonamble	2006	1	14163
Bourke - Cobar - Coonamble	2011		4087
Bourke - Cobar - Coonamble	2011	0	7447
Bourke - Cobar - Coonamble	2011	1	13758
Bourke - Cobar - Coonamble	2016		5017
Bourke - Cobar - Coonamble	2016	0	6344
Bourke - Cobar - Coonamble	2016	1	12791
Broken Hill and Far West	2006		2939
Broken Hill and Far West	2006	0	6292
Broken Hill and Far West	2006	1	12799
Broken Hill and Far West	2011		2937
Broken Hill and Far West	2011	0	5030
Broken Hill and Far West	2011	1	13235
Broken Hill and Far West	2016		3009
Broken Hill and Far West	2016	0	5114
Broken Hill and Far West	2016	1	12094
Dubbo	2006		8905
Dubbo	2006	0	23782
Dubbo	2006	1	33131
Dubbo	2011		9111
Dubbo	2011	0	22372
Dubbo	2011	1	35617
Dubbo	2016		11606
Dubbo	2016	0	22784
Dubbo	2016	1	35024
Lower Hunter	2006		9568
Lower Hunter	2006	0	25850
Lower Hunter	2006	1	41046
Lower Hunter	2011		10374
Lower Hunter	2011	0	26358
Lower Hunter	2011	1	45255
Lower Hunter	2016		13378
Lower Hunter	2016	0	28640
Lower Hunter	2016	1	45657
Maitland	2006		7066
