SA3_NAME16	Year	medianTotalPersonalIncomeWeekly
Queanbeyan	2006	633
Snowy Mountains	2006	460
South Coast	2006	354
Goulburn - Mulwaree	2006	401
Young - Yass	2006	424
Gosford	2006	438
Wyong	2006	381
Bathurst	2006	426
Lachlan Valley	2006	356
Lithgow - Mudgee	2006	353
Orange	2006	443
Clarence Valley	2006	334
Coffs Harbour	2006	359
Bourke - Cobar - Coonamble	2006	369
Broken Hill and Far West	2006	333
Dubbo	2006	404
Lower Hunter	2006	385
Maitland	2006	432
Port Stephens	2006	388
Upper Hunter	2006	445
Dapto - Port Kembla	2006	359
Illawarra Catchment Reserve	2006	0
Kiama - Shellharbour	2006	404
Wollongong	2006	421
Great Lakes	2006	336
Kempsey - Nambucca	2006	309
Lord Howe Island	2006	549
Port Macquarie	2006	361
Taree - Gloucester	2006	337
Albury	2006	445
Lower Murray	2006	390
Upper Murray exc. Albury	2006	391
Armidale	2006	384
Inverell - Tenterfield	2006	334
Moree - Narrabri	2006	448
Tamworth - Gunnedah	2006	390
Lake Macquarie - East	2006	402
Lake Macquarie - West	2006	382
Newcastle	2006	406
Richmond Valley - Coastal	2006	387
Richmond Valley - Hinterland	2006	359
Tweed Valley	2006	364
Griffith - Murrumbidgee (West)	2006	434
Tumut - Tumbarumba	2006	386
Wagga Wagga	2006	424
Shoalhaven	2006	349
Southern Highlands	2006	462
Baulkham Hills	2006	618
Dural - Wisemans Ferry	2006	572
Hawkesbury	2006	533
Rouse Hill - McGraths Hill	2006	640
Blacktown	2006	463
Blacktown - North	2006	612
Mount Druitt	2006	414
Botany	2006	453
Marrickville - Sydenham - Petersham	2006	562
Sydney Inner City	2006	716
Eastern Suburbs - North	2006	859
Eastern Suburbs - South	2006	593
Bankstown	2006	378
Canterbury	2006	357
Hurstville	2006	462
Kogarah - Rockdale	2006	463
Canada Bay	2006	672
Leichhardt	2006	895
Strathfield - Burwood - Ashfield	2006	482
Chatswood - Lane Cove	2006	760
Hornsby	2006	591
Ku-ring-gai	2006	716
North Sydney - Mosman	2006	994
Manly	2006	790
Pittwater	2006	653
Warringah	2006	624
Camden	2006	588
Campbelltown (NSW)	2006	463
Wollondilly	2006	494
Blue Mountains	2006	501
Blue Mountains - South	2006	0
Penrith	2006	535
Richmond - Windsor	2006	508
St Marys	2006	488
Auburn	2006	343
Carlingford	2006	481
Merrylands - Guildford	2006	367
Parramatta	2006	499
Pennant Hills - Epping	2006	602
Ryde - Hunters Hill	2006	541
Bringelly - Green Valley	2006	419
Fairfield	2006	323
Liverpool	2006	460
Cronulla - Miranda - Caringbah	2006	599
Sutherland - Menai - Heathcote	2006	600
Migratory - Offshore - Shipping (NSW)	2006	1037
No usual address (NSW)	2006	344
Ballarat	2006	406
Creswick - Daylesford - Ballan	2006	377
Maryborough - Pyrenees	2006	319
Bendigo	2006	408
Heathcote - Castlemaine - Kyneton	2006	386
Loddon - Elmore	2006	349
Barwon - West	2006	446
Geelong	2006	406
Surf Coast - Bellarine Peninsula	2006	438
Upper Goulburn Valley	2006	397
Wangaratta - Benalla	2006	410
Wodonga - Alpine	2006	441
Baw Baw	2006	413
Gippsland - East	2006	357
Gippsland - South West	2006	371
Latrobe Valley	2006	376
Wellington	2006	385
Brunswick - Coburg	2006	471
Darebin - South	2006	517
Essendon	2006	548
Melbourne City	2006	555
Port Phillip	2006	769
Stonnington - West	2006	773
Yarra	2006	652
Boroondara	2006	640
Manningham - West	2006	469
Whitehorse - West	2006	469
Bayside	2006	621
Glen Eira	2006	544
Kingston	2006	511
Stonnington - East	2006	651
Banyule	2006	504
Darebin - North	2006	356
Nillumbik - Kinglake	2006	564
Whittlesea - Wallan	2006	413
Keilor	2006	442
Macedon Ranges	2006	519
Moreland - North	2006	362
Sunbury	2006	512
Tullamarine - Broadmeadows	2006	375
Knox	2006	499
Manningham - East	2006	561
Maroondah	2006	501
Whitehorse - East	2006	496
Yarra Ranges	2006	475
Cardinia	2006	478
Casey - North	2006	473
