SA3_NAME16	Year	BornAust	persons
Queanbeyan	2006	0	7976
Queanbeyan	2006	1	37634
Queanbeyan	2011	0	9238
Queanbeyan	2011	1	41312
Queanbeyan	2016	0	9846
Queanbeyan	2016	1	43014
Snowy Mountains	2006	0	2243
Snowy Mountains	2006	1	14141
Snowy Mountains	2011	0	2367
Snowy Mountains	2011	1	15055
Snowy Mountains	2016	0	2493
Snowy Mountains	2016	1	14974
South Coast	2006	0	8213
South Coast	2006	1	54239
South Coast	2011	0	8659
South Coast	2011	1	55283
South Coast	2016	0	8851
South Coast	2016	1	55451
Goulburn - Mulwaree	2006	0	2408
Goulburn - Mulwaree	2006	1	27702
Goulburn - Mulwaree	2011	0	2722
Goulburn - Mulwaree	2011	1	28778
Goulburn - Mulwaree	2016	0	3288
Goulburn - Mulwaree	2016	1	29448
Young - Yass	2006	0	2471
Young - Yass	2006	1	28195
Young - Yass	2011	0	2731
Young - Yass	2011	1	29778
Young - Yass	2016	0	2928
Young - Yass	2016	1	30228
Gosford	2006	0	23081
Gosford	2006	1	123657
Gosford	2011	0	25828
Gosford	2011	1	128113
Gosford	2016	0	28810
Gosford	2016	1	129785
Wyong	2006	0	16567
Wyong	2006	1	113605
Wyong	2011	0	17956
Wyong	2011	1	123527
Wyong	2016	0	19241
Wyong	2016	1	128598
Bathurst	2006	0	3188
Bathurst	2006	1	35696
Bathurst	2011	0	3679
Bathurst	2011	1	37485
Bathurst	2016	0	4045
Bathurst	2016	1	38707
Lachlan Valley	2006	0	2401
Lachlan Valley	2006	1	50250
Lachlan Valley	2011	0	2582
Lachlan Valley	2011	1	48916
Lachlan Valley	2016	0	2797
Lachlan Valley	2016	1	46724
Lithgow - Mudgee	2006	0	3550
Lithgow - Mudgee	2006	1	36291
Lithgow - Mudgee	2011	0	3699
Lithgow - Mudgee	2011	1	37414
Lithgow - Mudgee	2016	0	3848
Lithgow - Mudgee	2016	1	37385
Orange	2006	0	3447
Orange	2006	1	44206
Orange	2011	0	4265
Orange	2011	1	47119
Orange	2016	0	4850
Orange	2016	1	48435
Clarence Valley	2006	0	3216
Clarence Valley	2006	1	41861
Clarence Valley	2011	0	3590
Clarence Valley	2011	1	43212
Clarence Valley	2016	0	3788
Clarence Valley	2016	1	42103
Coffs Harbour	2006	0	8948
Coffs Harbour	2006	1	64622
Coffs Harbour	2011	0	10414
Coffs Harbour	2011	1	67039
Coffs Harbour	2016	0	11678
Coffs Harbour	2016	1	67664
Bourke - Cobar - Coonamble	2006	0	1395
Bourke - Cobar - Coonamble	2006	1	23224
Bourke - Cobar - Coonamble	2011	0	1463
Bourke - Cobar - Coonamble	2011	1	21561
Bourke - Cobar - Coonamble	2016	0	1366
Bourke - Cobar - Coonamble	2016	1	19316
Broken Hill and Far West	2006	0	983
Broken Hill and Far West	2006	1	19203
Broken Hill and Far West	2011	0	981
Broken Hill and Far West	2011	1	18753
Broken Hill and Far West	2016	0	909
Broken Hill and Far West	2016	1	17376
Dubbo	2006	0	3118
Dubbo	2006	1	57954
Dubbo	2011	0	3494
Dubbo	2011	1	59931
Dubbo	2016	0	4522
Dubbo	2016	1	58423
Lower Hunter	2006	0	4931
Lower Hunter	2006	1	67051
Lower Hunter	2011	0	5629
Lower Hunter	2011	1	72039
Lower Hunter	2016	0	5755
Lower Hunter	2016	1	74794
Maitland	2006	0	4084
Maitland	2006	1	51083
Maitland	2011	0	4924
Maitland	2011	1	56469
Maitland	2016	0	5922
Maitland	2016	1	64305
Port Stephens	2006	0	6681
Port Stephens	2006	1	52264
Port Stephens	2011	0	7541
Port Stephens	2011	1	56024
Port Stephens	2016	0	8036
Port Stephens	2016	1	57604
Upper Hunter	2006	0	1648
Upper Hunter	2006	1	24856
Upper Hunter	2011	0	2071
Upper Hunter	2011	1	25739
Upper Hunter	2016	0	2323
Upper Hunter	2016	1	25156
Dapto - Port Kembla	2006	0	16223
Dapto - Port Kembla	2006	1	49917
Dapto - Port Kembla	2011	0	15869
Dapto - Port Kembla	2011	1	52552
Dapto - Port Kembla	2016	0	15671
Dapto - Port Kembla	2016	1	55256
Illawarra Catchment Reserve	2006	0	0
Illawarra Catchment Reserve	2006	1	0
Illawarra Catchment Reserve	2011	0	0
Illawarra Catchment Reserve	2011	1	11
Illawarra Catchment Reserve	2016	0	0
Illawarra Catchment Reserve	2016	1	3
Kiama - Shellharbour	2006	0	13432
Kiama - Shellharbour	2006	1	61321
Kiama - Shellharbour	2011	0	14065
Kiama - Shellharbour	2011	1	66180
Kiama - Shellharbour	2016	0	14353
Kiama - Shellharbour	2016	1	69936
