SA3_NAME16	Year	SameAddress1YearAgo	persons
Queanbeyan	2006		3486
Queanbeyan	2006	0	7725
Queanbeyan	2006	1	37857
Queanbeyan	2011		3310
Queanbeyan	2011	0	7749
Queanbeyan	2011	1	42452
Queanbeyan	2016		5769
Queanbeyan	2016	0	8191
Queanbeyan	2016	1	43371
Snowy Mountains	2006		2220
Snowy Mountains	2006	0	2519
Snowy Mountains	2006	1	13750
Snowy Mountains	2011		1665
Snowy Mountains	2011	0	2690
Snowy Mountains	2011	1	14576
Snowy Mountains	2016		2186
Snowy Mountains	2016	0	2625
Snowy Mountains	2016	1	14555
South Coast	2006		3256
South Coast	2006	0	9709
South Coast	2006	1	53103
South Coast	2011		3814
South Coast	2011	0	9437
South Coast	2011	1	54629
South Coast	2016		6995
South Coast	2016	0	9081
South Coast	2016	1	54562
Goulburn - Mulwaree	2006		2407
Goulburn - Mulwaree	2006	0	4277
Goulburn - Mulwaree	2006	1	25395
Goulburn - Mulwaree	2011		2159
Goulburn - Mulwaree	2011	0	4286
Goulburn - Mulwaree	2011	1	26654
Goulburn - Mulwaree	2016		4015
Goulburn - Mulwaree	2016	0	4647
Goulburn - Mulwaree	2016	1	26897
Young - Yass	2006		1463
Young - Yass	2006	0	4473
Young - Yass	2006	1	26298
Young - Yass	2011		2070
Young - Yass	2011	0	4446
Young - Yass	2011	1	27881
Young - Yass	2016		3096
Young - Yass	2016	0	4480
Young - Yass	2016	1	28366
Gosford	2006		12121
Gosford	2006	0	21125
Gosford	2006	1	125692
Gosford	2011		9528
Gosford	2011	0	20911
Gosford	2011	1	132671
Gosford	2016		14711
Gosford	2016	0	22068
Gosford	2016	1	132274
Wyong	2006		8496
Wyong	2006	0	20301
Wyong	2006	1	110226
Wyong	2011		8138
Wyong	2011	0	20179
Wyong	2011	1	120759
Wyong	2016		14550
Wyong	2016	0	21467
Wyong	2016	1	122666
Bathurst	2006		2924
Bathurst	2006	0	6763
Bathurst	2006	1	31189
Bathurst	2011		3291
Bathurst	2011	0	6728
Bathurst	2011	1	33536
Bathurst	2016		5691
Bathurst	2016	0	6750
Bathurst	2016	1	34153
Lachlan Valley	2006		2647
Lachlan Valley	2006	0	7492
Lachlan Valley	2006	1	45428
Lachlan Valley	2011		3267
Lachlan Valley	2011	0	6708
Lachlan Valley	2011	1	44821
Lachlan Valley	2016		6466
Lachlan Valley	2016	0	6092
Lachlan Valley	2016	1	42778
Lithgow - Mudgee	2006		2836
Lithgow - Mudgee	2006	0	5362
Lithgow - Mudgee	2006	1	34335
Lithgow - Mudgee	2011		3150
Lithgow - Mudgee	2011	0	5805
Lithgow - Mudgee	2011	1	34963
Lithgow - Mudgee	2016		6329
Lithgow - Mudgee	2016	0	5605
Lithgow - Mudgee	2016	1	34678
Orange	2006		2947
Orange	2006	0	7929
Orange	2006	1	39823
Orange	2011		3416
Orange	2011	0	8112
Orange	2011	1	42941
Orange	2016		5478
Orange	2016	0	8435
Orange	2016	1	43701
Clarence Valley	2006		2617
Clarence Valley	2006	0	7054
Clarence Valley	2006	1	37999
Clarence Valley	2011		2710
Clarence Valley	2011	0	6795
Clarence Valley	2011	1	39733
Clarence Valley	2016		5030
Clarence Valley	2016	0	6526
Clarence Valley	2016	1	38705
Coffs Harbour	2006		3957
Coffs Harbour	2006	0	12893
Coffs Harbour	2006	1	60955
Coffs Harbour	2011		4124
Coffs Harbour	2011	0	13192
Coffs Harbour	2011	1	64049
