SA3_NAME16	Year	adults
Cardinia	2016	72522
Carindale	2006	35369
Carindale	2011	38076
Carindale	2016	40886
Carlingford	2006	44823
Carlingford	2011	48303
Carlingford	2016	53846
Casey - North	2006	87283
Casey - North	2011	97088
Casey - North	2016	104389
Casey - South	2006	75006
Casey - South	2011	96705
Casey - South	2016	127057
Centenary	2006	25162
Centenary	2011	25600
Centenary	2016	26008
Central Highlands (Qld)	2006	20296
Central Highlands (Qld)	2011	22248
Central Highlands (Qld)	2016	21713
Central Highlands (Tas.)	2006	8559
Central Highlands (Tas.)	2011	9025
Central Highlands (Tas.)	2016	9189
Charles Sturt	2006	82027
Charles Sturt	2011	85951
Charles Sturt	2016	91740
Charters Towers - Ayr - Ingham	2006	32585
Charters Towers - Ayr - Ingham	2011	34223
Charters Towers - Ayr - Ingham	2016	34154
Chatswood - Lane Cove	2006	77649
Chatswood - Lane Cove	2011	81272
Chatswood - Lane Cove	2016	91057
Chermside	2006	50119
Chermside	2011	54017
Chermside	2016	56806
Christmas Island	2006	1026
Christmas Island	2011	1817
Christmas Island	2016	1516
Clarence Valley	2006	38228
Clarence Valley	2011	40095
Clarence Valley	2016	42036
Cleveland - Stradbroke	2006	52498
Cleveland - Stradbroke	2011	60997
Cleveland - Stradbroke	2016	67572
Cockburn	2006	56578
Cockburn	2011	69048
Cockburn	2016	81503
Cocos (Keeling) Islands	2006	422
Cocos (Keeling) Islands	2011	424
Cocos (Keeling) Islands	2016	431
Coffs Harbour	2006	62037
Coffs Harbour	2011	65736
Coffs Harbour	2016	70383
Colac - Corangamite	2006	29195
Colac - Corangamite	2011	29446
Colac - Corangamite	2016	30427
Coolangatta	2006	40566
Coolangatta	2011	41699
Coolangatta	2016	44391
Cottesloe - Claremont	2006	50970
Cottesloe - Claremont	2011	52420
Cottesloe - Claremont	2016	55286
Creswick - Daylesford - Ballan	2006	20044
Creswick - Daylesford - Ballan	2011	21829
Creswick - Daylesford - Ballan	2016	23440
Cronulla - Miranda - Caringbah	2006	83129
Cronulla - Miranda - Caringbah	2011	85674
Cronulla - Miranda - Caringbah	2016	90024
Daly - Tiwi - West Arnhem	2006	9553
Daly - Tiwi - West Arnhem	2011	11299
Daly - Tiwi - West Arnhem	2016	12003
Dandenong	2006	128745
Dandenong	2011	139150
Dandenong	2016	153658
Dapto - Port Kembla	2006	56168
Dapto - Port Kembla	2011	57699
Dapto - Port Kembla	2016	60939
Darebin - North	2006	68530
Darebin - North	2011	73666
Darebin - North	2016	79652
Darebin - South	2006	38633
Darebin - South	2011	40568
Darebin - South	2016	43627
Darling Downs (West) - Maranoa	2006	30976
Darling Downs (West) - Maranoa	2011	33320
Darling Downs (West) - Maranoa	2016	34556
Darling Downs - East	2006	29312
Darling Downs - East	2011	31294
Darling Downs - East	2016	33261
Darwin City	2006	16346
Darwin City	2011	19539
Darwin City	2016	22258
Darwin Suburbs	2006	37367
Darwin Suburbs	2011	40798
Darwin Suburbs	2016	42681
Devonport	2006	32690
Devonport	2011	34915
Devonport	2016	36505
Dubbo	2006	50531
Dubbo	2011	52397
Dubbo	2016	55316
Dural - Wisemans Ferry	2006	19613
Dural - Wisemans Ferry	2011	20337
Dural - Wisemans Ferry	2016	21263
East Arnhem	2006	9302
East Arnhem	2011	9756
East Arnhem	2016	9305
East Pilbara	2006	13929
East Pilbara	2011	21957
East Pilbara	2016	20035
Eastern Suburbs - North	2006	99249
Eastern Suburbs - North	2011	102143
Eastern Suburbs - North	2016	106601
Eastern Suburbs - South	2006	102525
Eastern Suburbs - South	2011	109488
Eastern Suburbs - South	2016	119698
Esperance	2006	11421
Esperance	2011	12141
Esperance	2016	12742
Essendon	2006	46993
Essendon	2011	50494
Essendon	2016	55678
Eyre Peninsula and South West	2006	43030
Eyre Peninsula and South West	2011	44871
Eyre Peninsula and South West	2016	45611
Fairfield	2006	132690
Fairfield	2011	140242
Fairfield	2016	150685
Far North	2006	20069
Far North	2011	22007
Far North	2016	24139
Fleurieu - Kangaroo Island	2006	34233
Fleurieu - Kangaroo Island	2011	39085
Fleurieu - Kangaroo Island	2016	42953
Forest Lake - Oxley	2006	44168
Forest Lake - Oxley	2011	49524
Forest Lake - Oxley	2016	56973
Frankston	2006	93727
Frankston	2011	102138
Frankston	2016	109122
Fremantle	2006	26783
Fremantle	2011	28374
Fremantle	2016	31105
Gascoyne	2006	6884
Gascoyne	2011	7301
Gascoyne	2016	7540
Gawler - Two Wells	2006	22196
Gawler - Two Wells	2011	25277
Gawler - Two Wells	2016	28046
Geelong	2006	131825
Geelong	2011	141401
Geelong	2016	154476
Gippsland - East	2006	32794
Gippsland - East	2011	35029
Gippsland - East	2016	38000
Gippsland - South West	2006	42711
Gippsland - South West	2011	46795
Gippsland - South West	2016	51177
Gladstone	2006	38604
Gladstone	2011	44668
Gladstone	2016	47701
Glen Eira	2006	107683
Glen Eira	2011	113157
Glen Eira	2016	121354
Glenelg - Southern Grampians	2006	29100
Glenelg - Southern Grampians	2011	29305
Glenelg - Southern Grampians	2016	29633
Gold Coast - North	2006	47042
Gold Coast - North	2011	50444
Gold Coast - North	2016	56434
Gold Coast Hinterland	2006	12871
Gold Coast Hinterland	2011	13767
Gold Coast Hinterland	2016	15189
Goldfields	2006	27773
Goldfields	2011	32249
Goldfields	2016	30423
Gosford	2006	127749
Gosford	2011	132609
Gosford	2016	138819
Gosnells	2006	71379
Gosnells	2011	83993
Gosnells	2016	93419
Goulburn - Mulwaree	2006	25737
Goulburn - Mulwaree	2011	26839
Goulburn - Mulwaree	2016	29169
Grampians	2006	47797
Grampians	2011	48401
Grampians	2016	48997
Granite Belt	2006	28331
Granite Belt	2011	30557
Granite Belt	2016	32555
Great Lakes	2006	23978
Great Lakes	2011	25189
Great Lakes	2016	26830
Griffith - Murrumbidgee (West)	2006	35985
Griffith - Murrumbidgee (West)	2011	36111
Griffith - Murrumbidgee (West)	2016	38211
Gungahlin	2006	23532
Gungahlin	2011	35668
Gungahlin	2016	53977
Gympie - Cooloola	2006	32884
Gympie - Cooloola	2011	36316
Gympie - Cooloola	2016	40447
Hawkesbury	2006	18024
Hawkesbury	2011	18988
Hawkesbury	2016	19720
Heathcote - Castlemaine - Kyneton	2006	32482
Heathcote - Castlemaine - Kyneton	2011	35550
Heathcote - Castlemaine - Kyneton	2016	39064
Hervey Bay	2006	36758
Hervey Bay	2011	42705
Hervey Bay	2016	47101
Hobart - North East	2006	38258
Hobart - North East	2011	40333
Hobart - North East	2016	43124
Hobart - North West	2006	40299
Hobart - North West	2011	41493
Hobart - North West	2016	43440
Hobart - South and West	2006	22223
Hobart - South and West	2011	24558
Hobart - South and West	2016	26188
Hobart Inner	2006	40633
Hobart Inner	2011	41642
Hobart Inner	2016	43300
Hobsons Bay	2006	62253
Hobsons Bay	2011	64967
Hobsons Bay	2016	68468
Holdfast Bay	2006	28026
Holdfast Bay	2011	28918
Holdfast Bay	2016	29221
Holland Park - Yeronga	2006	50501
Holland Park - Yeronga	2011	54947
Holland Park - Yeronga	2016	60344
Hornsby	2006	58366
Hornsby	2011	60886
Hornsby	2016	64155
Huon - Bruny Island	2006	13098
Huon - Bruny Island	2011	14395
Huon - Bruny Island	2016	15825
Hurstville	2006	90258
Hurstville	2011	96055
Hurstville	2016	106032
Illawarra Catchment Reserve	2006	0
Illawarra Catchment Reserve	2011	6
Illawarra Catchment Reserve	2016	7
Innisfail - Cassowary Coast	2006	26150
Innisfail - Cassowary Coast	2011	26603
Innisfail - Cassowary Coast	2016	28011
Inverell - Tenterfield	2006	29442
Inverell - Tenterfield	2011	30214
Inverell - Tenterfield	2016	31311
Ipswich Hinterland	2006	38751
Ipswich Hinterland	2011	44789
Ipswich Hinterland	2016	50403
Ipswich Inner	2006	66076
Ipswich Inner	2011	73616
Ipswich Inner	2016	81377
Jervis Bay	2006	284
Jervis Bay	2011	280
Jervis Bay	2016	306
Jimboomba	2006	22798
Jimboomba	2011	27734
Jimboomba	2016	34696
Joondalup	2006	119198
Joondalup	2011	122959
Joondalup	2016	125169
Kalamunda	2006	39563
Kalamunda	2011	42967
Kalamunda	2016	46281
Katherine	2006	12011
Katherine	2011	12763
Katherine	2016	13900
Keilor	2006	45171
Keilor	2011	45643
Keilor	2016	48495
Kempsey - Nambucca	2006	36239
Kempsey - Nambucca	2011	38032
Kempsey - Nambucca	2016	39990
Kenmore - Brookfield - Moggill	2006	31527
Kenmore - Brookfield - Moggill	2011	34311
Kenmore - Brookfield - Moggill	2016	35847
Kiama - Shellharbour	2006	61862
Kiama - Shellharbour	2011	66461
Kiama - Shellharbour	2016	72637
Kimberley	2006	21622
Kimberley	2011	26254
Kimberley	2016	25976
Kingston	2006	83691
Kingston	2011	89168
Kingston	2016	95539
Knox	2006	116838
Knox	2011	121698
Knox	2016	127079
Kogarah - Rockdale	2006	95527
Kogarah - Rockdale	2011	101128
Kogarah - Rockdale	2016	115511
Ku-ring-gai	2006	80544
Ku-ring-gai	2011	87010
Ku-ring-gai	2016	94412
Kwinana	2006	17816
Kwinana	2011	22534
Kwinana	2016	30240
Lachlan Valley	2006	43416
Lachlan Valley	2011	43385
Lachlan Valley	2016	44521
Lake Macquarie - East	2006	92524
Lake Macquarie - East	2011	95126
Lake Macquarie - East	2016	98041
Lake Macquarie - West	2006	53500
Lake Macquarie - West	2011	56998
Lake Macquarie - West	2016	61522
Latrobe Valley	2006	54567
Latrobe Valley	2011	58159
Latrobe Valley	2016	59852
Launceston	2006	60938
Launceston	2011	64251
Launceston	2016	66517
Leichhardt	2006	41780
Leichhardt	2011	43415
Leichhardt	2016	45790
Limestone Coast	2006	48947
Limestone Coast	2011	50267
Limestone Coast	2016	52508
Litchfield	2006	11734
Litchfield	2011	14659
Litchfield	2016	19345
Lithgow - Mudgee	2006	33859
Lithgow - Mudgee	2011	35348
Lithgow - Mudgee	2016	37855
Liverpool	2006	71525
Liverpool	2011	80219
Liverpool	2016	91092
Loddon - Elmore	2006	10131
Loddon - Elmore	2011	9159
Loddon - Elmore	2016	9461
