SA3_NAME16	Year	SameAddress5YearsAgo	Sex	persons
Queanbeyan	2006		F	3063
Queanbeyan	2006		M	3416
Queanbeyan	2006	0	F	10159
Queanbeyan	2006	0	M	9861
Queanbeyan	2006	1	F	11270
Queanbeyan	2006	1	M	11301
Queanbeyan	2011		F	3073
Queanbeyan	2011		M	3430
Queanbeyan	2011	0	F	10041
Queanbeyan	2011	0	M	9796
Queanbeyan	2011	1	F	13546
Queanbeyan	2011	1	M	13626
Queanbeyan	2016		F	3798
Queanbeyan	2016		M	4125
Queanbeyan	2016	0	F	10510
Queanbeyan	2016	0	M	10310
Queanbeyan	2016	1	F	14193
Queanbeyan	2016	1	M	14393
Snowy Mountains	2006		F	1344
Snowy Mountains	2006		M	1736
Snowy Mountains	2006	0	F	3154
Snowy Mountains	2006	0	M	3096
Snowy Mountains	2006	1	F	4490
Snowy Mountains	2006	1	M	4671
Snowy Mountains	2011		F	1198
Snowy Mountains	2011		M	1539
Snowy Mountains	2011	0	F	2948
Snowy Mountains	2011	0	M	2952
Snowy Mountains	2011	1	F	5047
Snowy Mountains	2011	1	M	5245
Snowy Mountains	2016		F	1281
Snowy Mountains	2016		M	1584
Snowy Mountains	2016	0	F	3024
Snowy Mountains	2016	0	M	3135
Snowy Mountains	2016	1	F	5049
Snowy Mountains	2016	1	M	5294
South Coast	2006		F	3105
South Coast	2006		M	3257
South Coast	2006	0	F	13464
South Coast	2006	0	M	12489
South Coast	2006	1	F	17043
South Coast	2006	1	M	16713
South Coast	2011		F	3437
South Coast	2011		M	3644
South Coast	2011	0	F	12242
South Coast	2011	0	M	11178
South Coast	2011	1	F	18835
South Coast	2011	1	M	18546
South Coast	2016		F	4495
South Coast	2016		M	4470
South Coast	2016	0	F	12503
South Coast	2016	0	M	11486
South Coast	2016	1	F	19031
South Coast	2016	1	M	18650
Goulburn - Mulwaree	2006		F	1721
Goulburn - Mulwaree	2006		M	2376
Goulburn - Mulwaree	2006	0	F	5632
Goulburn - Mulwaree	2006	0	M	5408
Goulburn - Mulwaree	2006	1	F	8505
Goulburn - Mulwaree	2006	1	M	8436
Goulburn - Mulwaree	2011		F	1673
Goulburn - Mulwaree	2011		M	2368
Goulburn - Mulwaree	2011	0	F	5537
Goulburn - Mulwaree	2011	0	M	5188
Goulburn - Mulwaree	2011	1	F	9216
Goulburn - Mulwaree	2011	1	M	9119
Goulburn - Mulwaree	2016		F	2454
Goulburn - Mulwaree	2016		M	3082
Goulburn - Mulwaree	2016	0	F	6039
Goulburn - Mulwaree	2016	0	M	5788
Goulburn - Mulwaree	2016	1	F	9079
Goulburn - Mulwaree	2016	1	M	9119
Young - Yass	2006		F	1696
Young - Yass	2006		M	1779
Young - Yass	2006	0	F	5895
Young - Yass	2006	0	M	5536
Young - Yass	2006	1	F	8709
Young - Yass	2006	1	M	8618
Young - Yass	2011		F	2067
Young - Yass	2011		M	2128
Young - Yass	2011	0	F	5754
Young - Yass	2011	0	M	5372
Young - Yass	2011	1	F	9591
Young - Yass	2011	1	M	9483
Young - Yass	2016		F	2307
Young - Yass	2016		M	2415
Young - Yass	2016	0	F	5862
Young - Yass	2016	0	M	5289
Young - Yass	2016	1	F	10088
Young - Yass	2016	1	M	9974
Gosford	2006		F	10314
Gosford	2006		M	10367
Gosford	2006	0	F	28661
Gosford	2006	0	M	26379
Gosford	2006	1	F	43119
Gosford	2006	1	M	40092
Gosford	2011		F	9028
Gosford	2011		M	9364
Gosford	2011	0	F	29105
Gosford	2011	0	M	26391
Gosford	2011	1	F	46302
Gosford	2011	1	M	42922
Gosford	2016		F	9916
Gosford	2016		M	9892
Gosford	2016	0	F	31542
Gosford	2016	0	M	29090
Gosford	2016	1	F	45715
Gosford	2016	1	M	42898
Wyong	2006		F	8503
Wyong	2006		M	8663
Wyong	2006	0	F	27614
Wyong	2006	0	M	24879
Wyong	2006	1	F	35804
Wyong	2006	1	M	33563
Wyong	2011		F	8470
Wyong	2011		M	8774
Wyong	2011	0	F	27693
Wyong	2011	0	M	24949
Wyong	2011	1	F	40889
Wyong	2011	1	M	38304
Wyong	2016		F	10305
Wyong	2016		M	10041
Wyong	2016	0	F	30441
Wyong	2016	0	M	27671
Wyong	2016	1	F	41057
Wyong	2016	1	M	39172
Bathurst	2006		F	2164
Bathurst	2006		M	3142
Bathurst	2006	0	F	8409
Bathurst	2006	0	M	7903
Bathurst	2006	1	F	9673
Bathurst	2006	1	M	9580
Bathurst	2011		F	2508
Bathurst	2011		M	3392
Bathurst	2011	0	F	8158
Bathurst	2011	0	M	7721
Bathurst	2011	1	F	10902
Bathurst	2011	1	M	10871
Bathurst	2016		F	3286
Bathurst	2016		M	4230
Bathurst	2016	0	F	8752
Bathurst	2016	0	M	8216
Bathurst	2016	1	F	11114
Bathurst	2016	1	M	10999
Lachlan Valley	2006		F	2970
Lachlan Valley	2006		M	3165
Lachlan Valley	2006	0	F	9450
Lachlan Valley	2006	0	M	9002
Lachlan Valley	2006	1	F	15463
Lachlan Valley	2006	1	M	15516
Lachlan Valley	2011		F	3277
Lachlan Valley	2011		M	3455
Lachlan Valley	2011	0	F	8232
Lachlan Valley	2011	0	M	7782
Lachlan Valley	2011	1	F	16032
Lachlan Valley	2011	1	M	16017
Lachlan Valley	2016		F	4497
Lachlan Valley	2016		M	4462
Lachlan Valley	2016	0	F	8164
Lachlan Valley	2016	0	M	7556
Lachlan Valley	2016	1	F	15218
Lachlan Valley	2016	1	M	15444
Lithgow - Mudgee	2006		F	2294
Lithgow - Mudgee	2006		M	2882
Lithgow - Mudgee	2006	0	F	7242
Lithgow - Mudgee	2006	0	M	6732
Lithgow - Mudgee	2006	1	F	11567
Lithgow - Mudgee	2006	1	M	11821
Lithgow - Mudgee	2011		F	2494
Lithgow - Mudgee	2011		M	3222
Lithgow - Mudgee	2011	0	F	7010
Lithgow - Mudgee	2011	0	M	6745
Lithgow - Mudgee	2011	1	F	12117
Lithgow - Mudgee	2011	1	M	12333
Lithgow - Mudgee	2016		F	3965
Lithgow - Mudgee	2016		M	4448
Lithgow - Mudgee	2016	0	F	7454
Lithgow - Mudgee	2016	0	M	7059
Lithgow - Mudgee	2016	1	F	11666
Lithgow - Mudgee	2016	1	M	12023
Orange	2006		F	3042
Orange	2006		M	3157
Orange	2006	0	F	9721
Orange	2006	0	M	9122
Orange	2006	1	F	13088
Orange	2006	1	M	12571
Orange	2011		F	3324
Orange	2011		M	3705
Orange	2011	0	F	9811
Orange	2011	0	M	9049
Orange	2011	1	F	14548
Orange	2011	1	M	14035
Orange	2016		F	4003
Orange	2016		M	4195
Orange	2016	0	F	10901
Orange	2016	0	M	9958
Orange	2016	1	F	14442
Orange	2016	1	M	14111
Clarence Valley	2006		F	2366
Clarence Valley	2006		M	2797
Clarence Valley	2006	0	F	9152
Clarence Valley	2006	0	M	8620
Clarence Valley	2006	1	F	12551
Clarence Valley	2006	1	M	12183
Clarence Valley	2011		F	2503
Clarence Valley	2011		M	2871
Clarence Valley	2011	0	F	8793
Clarence Valley	2011	0	M	8135
Clarence Valley	2011	1	F	13666
Clarence Valley	2011	1	M	13270
Clarence Valley	2016		F	3173
Clarence Valley	2016		M	3599
Clarence Valley	2016	0	F	8388
Clarence Valley	2016	0	M	7765
Clarence Valley	2016	1	F	13796
Clarence Valley	2016	1	M	13543
Coffs Harbour	2006		F	3978
Coffs Harbour	2006		M	4247
Coffs Harbour	2006	0	F	16706
Coffs Harbour	2006	0	M	15221
Coffs Harbour	2006	1	F	19217
Coffs Harbour	2006	1	M	18435
Coffs Harbour	2011		F	4367
Coffs Harbour	2011		M	4464
Coffs Harbour	2011	0	F	16357
Coffs Harbour	2011	0	M	14816
Coffs Harbour	2011	1	F	21122
Coffs Harbour	2011	1	M	20231
Coffs Harbour	2016		F	5672
Coffs Harbour	2016		M	5549
Coffs Harbour	2016	0	F	17064
Coffs Harbour	2016	0	M	15349
Coffs Harbour	2016	1	F	21608
Coffs Harbour	2016	1	M	20779
Bourke - Cobar - Coonamble	2006		F	1767
Bourke - Cobar - Coonamble	2006		M	2214
Bourke - Cobar - Coonamble	2006	0	F	4165
Bourke - Cobar - Coonamble	2006	0	M	4325
Bourke - Cobar - Coonamble	2006	1	F	6728
Bourke - Cobar - Coonamble	2006	1	M	7434
Bourke - Cobar - Coonamble	2011		F	1917
Bourke - Cobar - Coonamble	2011		M	2167
Bourke - Cobar - Coonamble	2011	0	F	3734
Bourke - Cobar - Coonamble	2011	0	M	3716
Bourke - Cobar - Coonamble	2011	1	F	6578
Bourke - Cobar - Coonamble	2011	1	M	7181
Bourke - Cobar - Coonamble	2016		F	2443
Bourke - Cobar - Coonamble	2016		M	2573
Bourke - Cobar - Coonamble	2016	0	F	3253
Bourke - Cobar - Coonamble	2016	0	M	3092
Bourke - Cobar - Coonamble	2016	1	F	6138
Bourke - Cobar - Coonamble	2016	1	M	6649
Broken Hill and Far West	2006		F	1383
Broken Hill and Far West	2006		M	1554
Broken Hill and Far West	2006	0	F	3350
Broken Hill and Far West	2006	0	M	2944
Broken Hill and Far West	2006	1	F	6431
Broken Hill and Far West	2006	1	M	6367
Broken Hill and Far West	2011		F	1480
Broken Hill and Far West	2011		M	1460
