SA3_NAME16	Year	EduInstitutionType	students
Queanbeyan	2006		4105
Queanbeyan	2006	Infants/Primary	4634
Queanbeyan	2006	Pre-school	804
Queanbeyan	2006	Secondary	3476
Queanbeyan	2006	Technical or Further Educational Institution	1250
Queanbeyan	2006	University or other tertiary	1543
Queanbeyan	2011		3729
Queanbeyan	2011	Infants/Primary	4695
Queanbeyan	2011	Pre-school	846
Queanbeyan	2011	Secondary	3776
Queanbeyan	2011	Technical or Further Educational Institution	1361
Queanbeyan	2011	University or other tertiary	1963
Queanbeyan	2016		4837
Queanbeyan	2016	Infants/Primary	4926
Queanbeyan	2016	Pre-school	873
Queanbeyan	2016	Secondary	3839
Queanbeyan	2016	Technical or Further Educational Institution	1207
Queanbeyan	2016	University or other tertiary	2327
Snowy Mountains	2006		2439
Snowy Mountains	2006	Infants/Primary	1621
Snowy Mountains	2006	Pre-school	275
Snowy Mountains	2006	Secondary	1176
Snowy Mountains	2006	Technical or Further Educational Institution	506
Snowy Mountains	2006	University or other tertiary	229
Snowy Mountains	2011		1906
Snowy Mountains	2011	Infants/Primary	1436
Snowy Mountains	2011	Pre-school	367
Snowy Mountains	2011	Secondary	1314
Snowy Mountains	2011	Technical or Further Educational Institution	531
Snowy Mountains	2011	University or other tertiary	320
Snowy Mountains	2016		2189
Snowy Mountains	2016	Infants/Primary	1541
Snowy Mountains	2016	Pre-school	288
Snowy Mountains	2016	Secondary	1130
Snowy Mountains	2016	Technical or Further Educational Institution	374
Snowy Mountains	2016	University or other tertiary	393
South Coast	2006		4821
South Coast	2006	Infants/Primary	5436
South Coast	2006	Pre-school	967
South Coast	2006	Secondary	4715
South Coast	2006	Technical or Further Educational Institution	1310
South Coast	2006	University or other tertiary	653
South Coast	2011		5053
South Coast	2011	Infants/Primary	4911
South Coast	2011	Pre-school	1035
South Coast	2011	Secondary	4431
South Coast	2011	Technical or Further Educational Institution	1464
South Coast	2011	University or other tertiary	873
South Coast	2016		6767
South Coast	2016	Infants/Primary	4835
South Coast	2016	Pre-school	927
South Coast	2016	Secondary	3853
South Coast	2016	Technical or Further Educational Institution	994
South Coast	2016	University or other tertiary	938
Goulburn - Mulwaree	2006		3064
Goulburn - Mulwaree	2006	Infants/Primary	2739
Goulburn - Mulwaree	2006	Pre-school	564
Goulburn - Mulwaree	2006	Secondary	2220
Goulburn - Mulwaree	2006	Technical or Further Educational Institution	806
Goulburn - Mulwaree	2006	University or other tertiary	625
Goulburn - Mulwaree	2011		2769
Goulburn - Mulwaree	2011	Infants/Primary	2640
Goulburn - Mulwaree	2011	Pre-school	621
Goulburn - Mulwaree	2011	Secondary	2198
Goulburn - Mulwaree	2011	Technical or Further Educational Institution	929
Goulburn - Mulwaree	2011	University or other tertiary	601
Goulburn - Mulwaree	2016		3676
Goulburn - Mulwaree	2016	Infants/Primary	2835
Goulburn - Mulwaree	2016	Pre-school	623
Goulburn - Mulwaree	2016	Secondary	2043
Goulburn - Mulwaree	2016	Technical or Further Educational Institution	721
Goulburn - Mulwaree	2016	University or other tertiary	707
Young - Yass	2006		1965
Young - Yass	2006	Infants/Primary	3252
Young - Yass	2006	Pre-school	618
Young - Yass	2006	Secondary	2194
Young - Yass	2006	Technical or Further Educational Institution	795
Young - Yass	2006	University or other tertiary	489
Young - Yass	2011		2354
Young - Yass	2011	Infants/Primary	3128
Young - Yass	2011	Pre-school	659
Young - Yass	2011	Secondary	2498
Young - Yass	2011	Technical or Further Educational Institution	759
Young - Yass	2011	University or other tertiary	644
Young - Yass	2016		2998
Young - Yass	2016	Infants/Primary	3307
Young - Yass	2016	Pre-school	676
Young - Yass	2016	Secondary	2468
Young - Yass	2016	Technical or Further Educational Institution	666
Young - Yass	2016	University or other tertiary	814
Gosford	2006		15232
Gosford	2006	Infants/Primary	13448
Gosford	2006	Pre-school	3016
Gosford	2006	Secondary	11233
Gosford	2006	Technical or Further Educational Institution	3366
Gosford	2006	University or other tertiary	3786
Gosford	2011		12229
Gosford	2011	Infants/Primary	12857
Gosford	2011	Pre-school	3281
Gosford	2011	Secondary	11174
Gosford	2011	Technical or Further Educational Institution	3567
Gosford	2011	University or other tertiary	5471
Gosford	2016		11526
Gosford	2016	Infants/Primary	13640
Gosford	2016	Pre-school	3215
Gosford	2016	Secondary	10689
Gosford	2016	Technical or Further Educational Institution	3154
Gosford	2016	University or other tertiary	6063
Wyong	2006		11476
Wyong	2006	Infants/Primary	12967
Wyong	2006	Pre-school	2962
Wyong	2006	Secondary	9297
Wyong	2006	Technical or Further Educational Institution	2929
Wyong	2006	University or other tertiary	2311
Wyong	2011		10834
Wyong	2011	Infants/Primary	12688
Wyong	2011	Pre-school	3260
Wyong	2011	Secondary	10191
Wyong	2011	Technical or Further Educational Institution	3364
Wyong	2011	University or other tertiary	3533
Wyong	2016		11964
Wyong	2016	Infants/Primary	13562
Wyong	2016	Pre-school	3267
Wyong	2016	Secondary	9974
Wyong	2016	Technical or Further Educational Institution	3114
Wyong	2016	University or other tertiary	4211
Bathurst	2006		3464
Bathurst	2006	Infants/Primary	3606
Bathurst	2006	Pre-school	781
Bathurst	2006	Secondary	3238
Bathurst	2006	Technical or Further Educational Institution	1037
Bathurst	2006	University or other tertiary	2207
Bathurst	2011		3862
Bathurst	2011	Infants/Primary	3752
Bathurst	2011	Pre-school	839
Bathurst	2011	Secondary	3182
Bathurst	2011	Technical or Further Educational Institution	1120
Bathurst	2011	University or other tertiary	2236
Bathurst	2016		5012
Bathurst	2016	Infants/Primary	4044
Bathurst	2016	Pre-school	842
Bathurst	2016	Secondary	3269
Bathurst	2016	Technical or Further Educational Institution	982
Bathurst	2016	University or other tertiary	2153
Lachlan Valley	2006		3827
Lachlan Valley	2006	Infants/Primary	5411
Lachlan Valley	2006	Pre-school	1088
Lachlan Valley	2006	Secondary	3976
Lachlan Valley	2006	Technical or Further Educational Institution	1312
Lachlan Valley	2006	University or other tertiary	552
Lachlan Valley	2011		4220
Lachlan Valley	2011	Infants/Primary	4715
Lachlan Valley	2011	Pre-school	1131
Lachlan Valley	2011	Secondary	3820
Lachlan Valley	2011	Technical or Further Educational Institution	1346
Lachlan Valley	2011	University or other tertiary	647
Lachlan Valley	2016		5952
Lachlan Valley	2016	Infants/Primary	4792
Lachlan Valley	2016	Pre-school	1033
Lachlan Valley	2016	Secondary	3349
Lachlan Valley	2016	Technical or Further Educational Institution	940
Lachlan Valley	2016	University or other tertiary	755
Lithgow - Mudgee	2006		3688
Lithgow - Mudgee	2006	Infants/Primary	3829
Lithgow - Mudgee	2006	Pre-school	699
Lithgow - Mudgee	2006	Secondary	2991
Lithgow - Mudgee	2006	Technical or Further Educational Institution	1154
Lithgow - Mudgee	2006	University or other tertiary	452
Lithgow - Mudgee	2011		3917
Lithgow - Mudgee	2011	Infants/Primary	3421
Lithgow - Mudgee	2011	Pre-school	808
Lithgow - Mudgee	2011	Secondary	2833
Lithgow - Mudgee	2011	Technical or Further Educational Institution	1136
Lithgow - Mudgee	2011	University or other tertiary	613
Lithgow - Mudgee	2016		5846
Lithgow - Mudgee	2016	Infants/Primary	3683
Lithgow - Mudgee	2016	Pre-school	761
Lithgow - Mudgee	2016	Secondary	2572
Lithgow - Mudgee	2016	Technical or Further Educational Institution	983
Lithgow - Mudgee	2016	University or other tertiary	716
Orange	2006		3743
Orange	2006	Infants/Primary	4949
Orange	2006	Pre-school	950
Orange	2006	Secondary	3841
Orange	2006	Technical or Further Educational Institution	1292
Orange	2006	University or other tertiary	984
Orange	2011		3846
Orange	2011	Infants/Primary	4855
Orange	2011	Pre-school	1133
Orange	2011	Secondary	4025
Orange	2011	Technical or Further Educational Institution	1377
