SA3_NAME16	Year	Occupation	Sex	workers
Queanbeyan	2006		F	185
Queanbeyan	2006		M	259
Queanbeyan	2006	Clerical and administrative workers	F	3652
Queanbeyan	2006	Clerical and administrative workers	M	1160
Queanbeyan	2006	Community and personal service workers	F	1421
Queanbeyan	2006	Community and personal service workers	M	806
Queanbeyan	2006	Labourers	F	762
Queanbeyan	2006	Labourers	M	1421
Queanbeyan	2006	Machinery operators and drivers	F	104
Queanbeyan	2006	Machinery operators and drivers	M	1301
Queanbeyan	2006	Managers	F	1495
Queanbeyan	2006	Managers	M	2570
Queanbeyan	2006	Professionals	F	2673
Queanbeyan	2006	Professionals	M	2313
Queanbeyan	2006	Sales workers	F	1228
Queanbeyan	2006	Sales workers	M	717
Queanbeyan	2006	Technicians and trades workers	F	549
Queanbeyan	2006	Technicians and trades workers	M	3106
Queanbeyan	2011		F	321
Queanbeyan	2011		M	402
Queanbeyan	2011	Clerical and administrative workers	F	4259
Queanbeyan	2011	Clerical and administrative workers	M	1412
Queanbeyan	2011	Community and personal service workers	F	1652
Queanbeyan	2011	Community and personal service workers	M	1042
Queanbeyan	2011	Labourers	F	673
Queanbeyan	2011	Labourers	M	1436
Queanbeyan	2011	Machinery operators and drivers	F	104
Queanbeyan	2011	Machinery operators and drivers	M	1440
Queanbeyan	2011	Managers	F	1818
Queanbeyan	2011	Managers	M	2738
Queanbeyan	2011	Professionals	F	3170
Queanbeyan	2011	Professionals	M	2631
Queanbeyan	2011	Sales workers	F	1343
Queanbeyan	2011	Sales workers	M	818
Queanbeyan	2011	Technicians and trades workers	F	591
Queanbeyan	2011	Technicians and trades workers	M	3464
Queanbeyan	2016		F	317
Queanbeyan	2016		M	361
Queanbeyan	2016	Clerical and administrative workers	F	4102
Queanbeyan	2016	Clerical and administrative workers	M	1370
Queanbeyan	2016	Community and personal service workers	F	1973
Queanbeyan	2016	Community and personal service workers	M	1112
Queanbeyan	2016	Labourers	F	631
Queanbeyan	2016	Labourers	M	1533
Queanbeyan	2016	Machinery operators and drivers	F	86
Queanbeyan	2016	Machinery operators and drivers	M	1307
Queanbeyan	2016	Managers	F	1964
Queanbeyan	2016	Managers	M	2900
Queanbeyan	2016	Professionals	F	3382
Queanbeyan	2016	Professionals	M	2586
Queanbeyan	2016	Sales workers	F	1396
Queanbeyan	2016	Sales workers	M	954
Queanbeyan	2016	Technicians and trades workers	F	592
Queanbeyan	2016	Technicians and trades workers	M	3454
Snowy Mountains	2006		F	54
Snowy Mountains	2006		M	74
Snowy Mountains	2006	Clerical and administrative workers	F	820
Snowy Mountains	2006	Clerical and administrative workers	M	180
Snowy Mountains	2006	Community and personal service workers	F	567
Snowy Mountains	2006	Community and personal service workers	M	276
Snowy Mountains	2006	Labourers	F	391
Snowy Mountains	2006	Labourers	M	638
Snowy Mountains	2006	Machinery operators and drivers	F	38
Snowy Mountains	2006	Machinery operators and drivers	M	503
Snowy Mountains	2006	Managers	F	645
Snowy Mountains	2006	Managers	M	1146
Snowy Mountains	2006	Professionals	F	669
Snowy Mountains	2006	Professionals	M	474
Snowy Mountains	2006	Sales workers	F	493
Snowy Mountains	2006	Sales workers	M	260
Snowy Mountains	2006	Technicians and trades workers	F	198
Snowy Mountains	2006	Technicians and trades workers	M	1120
Snowy Mountains	2011		F	61
Snowy Mountains	2011		M	94
Snowy Mountains	2011	Clerical and administrative workers	F	881
Snowy Mountains	2011	Clerical and administrative workers	M	185
Snowy Mountains	2011	Community and personal service workers	F	649
Snowy Mountains	2011	Community and personal service workers	M	344
Snowy Mountains	2011	Labourers	F	360
Snowy Mountains	2011	Labourers	M	660
Snowy Mountains	2011	Machinery operators and drivers	F	31
Snowy Mountains	2011	Machinery operators and drivers	M	547
Snowy Mountains	2011	Managers	F	645
Snowy Mountains	2011	Managers	M	1098
Snowy Mountains	2011	Professionals	F	775
