SA3_NAME16	Year	medianMortgageRepaymentMonthly
Queanbeyan	2006	1500
Snowy Mountains	2006	1018
South Coast	2006	1083
Goulburn - Mulwaree	2006	1136
Young - Yass	2006	1120
Gosford	2006	1517
Wyong	2006	1458
Bathurst	2006	1300
Lachlan Valley	2006	867
Lithgow - Mudgee	2006	1083
Orange	2006	1213
Clarence Valley	2006	953
Coffs Harbour	2006	1109
Bourke - Cobar - Coonamble	2006	737
Broken Hill and Far West	2006	650
Dubbo	2006	1083
Lower Hunter	2006	1257
Maitland	2006	1300
Port Stephens	2006	1300
Upper Hunter	2006	1200
Dapto - Port Kembla	2006	1408
Illawarra Catchment Reserve	2006	0
Kiama - Shellharbour	2006	1500
Wollongong	2006	1600
Great Lakes	2006	1157
Kempsey - Nambucca	2006	953
Lord Howe Island	2006	1083
Port Macquarie	2006	1276
Taree - Gloucester	2006	1083
Albury	2006	1083
Lower Murray	2006	867
Upper Murray exc. Albury	2006	953
Armidale	2006	970
Inverell - Tenterfield	2006	845
Moree - Narrabri	2006	1000
Tamworth - Gunnedah	2006	1008
Lake Macquarie - East	2006	1300
Lake Macquarie - West	2006	1300
Newcastle	2006	1300
Richmond Valley - Coastal	2006	1213
Richmond Valley - Hinterland	2006	997
Tweed Valley	2006	1300
Griffith - Murrumbidgee (West)	2006	1083
Tumut - Tumbarumba	2006	1000
Wagga Wagga	2006	1083
Shoalhaven	2006	1200
Southern Highlands	2006	1517
Baulkham Hills	2006	2000
Dural - Wisemans Ferry	2006	2167
Hawkesbury	2006	1700
Rouse Hill - McGraths Hill	2006	2167
Blacktown	2006	1625
Blacktown - North	2006	2000
Mount Druitt	2006	1517
Botany	2006	1950
Marrickville - Sydenham - Petersham	2006	1950
Sydney Inner City	2006	2150
Eastern Suburbs - North	2006	2500
Eastern Suburbs - South	2006	2150
Bankstown	2006	1700
Canterbury	2006	1600
Hurstville	2006	1800
Kogarah - Rockdale	2006	1820
Canada Bay	2006	2167
Leichhardt	2006	2400
Strathfield - Burwood - Ashfield	2006	1876
Chatswood - Lane Cove	2006	2300
Hornsby	2006	1909
Ku-ring-gai	2006	2500
North Sydney - Mosman	2006	2403
Manly	2006	2500
Pittwater	2006	2167
Warringah	2006	2150
Camden	2006	1820
Campbelltown (NSW)	2006	1500
Wollondilly	2006	1733
Blue Mountains	2006	1500
Blue Mountains - South	2006	0
Penrith	2006	1600
Richmond - Windsor	2006	1582
St Marys	2006	1500
Auburn	2006	1700
Carlingford	2006	1805
Merrylands - Guildford	2006	1600
Parramatta	2006	1712
Pennant Hills - Epping	2006	2000
Ryde - Hunters Hill	2006	1980
Bringelly - Green Valley	2006	1733
Fairfield	2006	1500
Liverpool	2006	1733
Cronulla - Miranda - Caringbah	2006	2000
Sutherland - Menai - Heathcote	2006	1900
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	1050
Creswick - Daylesford - Ballan	2006	975
Maryborough - Pyrenees	2006	715
Bendigo	2006	1000
Heathcote - Castlemaine - Kyneton	2006	997
Loddon - Elmore	2006	758
Barwon - West	2006	1164
Geelong	2006	1100
Surf Coast - Bellarine Peninsula	2006	1200
Upper Goulburn Valley	2006	975
Wangaratta - Benalla	2006	934
Wodonga - Alpine	2006	1083
Baw Baw	2006	1040
Gippsland - East	2006	867
Gippsland - South West	2006	975
Latrobe Valley	2006	867
Wellington	2006	867
Brunswick - Coburg	2006	1450
Darebin - South	2006	1500
Essendon	2006	1600
Melbourne City	2006	1733
Port Phillip	2006	1754
Stonnington - West	2006	1950
Yarra	2006	1733
Boroondara	2006	1842
Manningham - West	2006	1517
Whitehorse - West	2006	1495
Bayside	2006	1914
Glen Eira	2006	1600
Kingston	2006	1400
Stonnington - East	2006	1950
Banyule	2006	1350
Darebin - North	2006	1300
Nillumbik - Kinglake	2006	1400
Whittlesea - Wallan	2006	1300
Keilor	2006	1343
Macedon Ranges	2006	1300
Moreland - North	2006	1300
Sunbury	2006	1298
Tullamarine - Broadmeadows	2006	1300
Knox	2006	1276
Manningham - East	2006	1628
Maroondah	2006	1250
Whitehorse - East	2006	1348
Yarra Ranges	2006	1200
Cardinia	2006	1300
Casey - North	2006	1300
Casey - South	2006	1300
Dandenong	2006	1100
Monash	2006	1420
Brimbank	2006	1173
Hobsons Bay	2006	1300
Maribyrnong	2006	1420
Melton - Bacchus Marsh	2006	1300
Wyndham	2006	1300
Frankston	2006	1200
Mornington Peninsula	2006	1300
Grampians	2006	758
Mildura	2006	1000
Murray River - Swan Hill	2006	800
Campaspe	2006	1001
Moira	2006	975
Shepparton	2006	1083
Glenelg - Southern Grampians	2006	867
Colac - Corangamite	2006	875
Warrnambool	2006	1029
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Capalaba	2006	1300
Cleveland - Stradbroke	2006	1450
Wynnum - Manly	2006	1434
Bald Hills - Everton Park	2006	1363
Chermside	2006	1393
Nundah	2006	1300
Sandgate	2006	1300
Carindale	2006	1500
Holland Park - Yeronga	2006	1500
Mt Gravatt	2006	1400
Nathan	2006	1387
Rocklea - Acacia Ridge	2006	1408
Sunnybank	2006	1300
Centenary	2006	1417
Kenmore - Brookfield - Moggill	2006	1700
Sherwood - Indooroopilly	2006	1600
The Gap - Enoggera	2006	1400
Brisbane Inner	2006	1690
Brisbane Inner - East	2006	1733
Brisbane Inner - North	2006	1694
Brisbane Inner - West	2006	1733
Cairns - North	2006	1300
Cairns - South	2006	1200
Innisfail - Cassowary Coast	2006	900
Port Douglas - Daintree	2006	1200
Tablelands (East) - Kuranda	2006	976
Darling Downs (West) - Maranoa	2006	867
Darling Downs - East	2006	900
Granite Belt	2006	910
Central Highlands (Qld)	2006	1300
Rockhampton	2006	1000
Biloela	2006	997
Gladstone	2006	1200
Broadbeach - Burleigh	2006	1517
Coolangatta	2006	1400
Gold Coast - North	2006	1400
Gold Coast Hinterland	2006	1300
Mudgeeraba - Tallebudgera	2006	1517
Nerang	2006	1500
