SA3_NAME16	Year	EduInstitutionType	Sex	students
Queanbeyan	2006		F	2018
Queanbeyan	2006		M	2085
Queanbeyan	2006	Infants/Primary	F	2281
Queanbeyan	2006	Infants/Primary	M	2357
Queanbeyan	2006	Pre-school	F	370
Queanbeyan	2006	Pre-school	M	432
Queanbeyan	2006	Secondary	F	1741
Queanbeyan	2006	Secondary	M	1736
Queanbeyan	2006	Technical or Further Educational Institution	F	644
Queanbeyan	2006	Technical or Further Educational Institution	M	605
Queanbeyan	2006	University or other tertiary	F	875
Queanbeyan	2006	University or other tertiary	M	665
Queanbeyan	2011		F	1761
Queanbeyan	2011		M	1968
Queanbeyan	2011	Infants/Primary	F	2319
Queanbeyan	2011	Infants/Primary	M	2378
Queanbeyan	2011	Pre-school	F	405
Queanbeyan	2011	Pre-school	M	446
Queanbeyan	2011	Secondary	F	1895
Queanbeyan	2011	Secondary	M	1877
Queanbeyan	2011	Technical or Further Educational Institution	F	670
Queanbeyan	2011	Technical or Further Educational Institution	M	688
Queanbeyan	2011	University or other tertiary	F	1171
Queanbeyan	2011	University or other tertiary	M	795
Queanbeyan	2016		F	2422
Queanbeyan	2016		M	2418
Queanbeyan	2016	Infants/Primary	F	2413
Queanbeyan	2016	Infants/Primary	M	2517
Queanbeyan	2016	Pre-school	F	364
Queanbeyan	2016	Pre-school	M	502
Queanbeyan	2016	Secondary	F	1868
Queanbeyan	2016	Secondary	M	1969
Queanbeyan	2016	Technical or Further Educational Institution	F	617
Queanbeyan	2016	Technical or Further Educational Institution	M	588
Queanbeyan	2016	University or other tertiary	F	1361
Queanbeyan	2016	University or other tertiary	M	967
Snowy Mountains	2006		F	1074
Snowy Mountains	2006		M	1366
Snowy Mountains	2006	Infants/Primary	F	778
Snowy Mountains	2006	Infants/Primary	M	842
Snowy Mountains	2006	Pre-school	F	122
Snowy Mountains	2006	Pre-school	M	146
Snowy Mountains	2006	Secondary	F	585
Snowy Mountains	2006	Secondary	M	592
Snowy Mountains	2006	Technical or Further Educational Institution	F	274
Snowy Mountains	2006	Technical or Further Educational Institution	M	227
Snowy Mountains	2006	University or other tertiary	F	160
Snowy Mountains	2006	University or other tertiary	M	72
Snowy Mountains	2011		F	816
Snowy Mountains	2011		M	1086
Snowy Mountains	2011	Infants/Primary	F	700
Snowy Mountains	2011	Infants/Primary	M	735
Snowy Mountains	2011	Pre-school	F	176
Snowy Mountains	2011	Pre-school	M	185
Snowy Mountains	2011	Secondary	F	621
Snowy Mountains	2011	Secondary	M	693
Snowy Mountains	2011	Technical or Further Educational Institution	F	296
Snowy Mountains	2011	Technical or Further Educational Institution	M	233
Snowy Mountains	2011	University or other tertiary	F	223
Snowy Mountains	2011	University or other tertiary	M	94
Snowy Mountains	2016		F	997
Snowy Mountains	2016		M	1202
Snowy Mountains	2016	Infants/Primary	F	737
Snowy Mountains	2016	Infants/Primary	M	802
Snowy Mountains	2016	Pre-school	F	127
Snowy Mountains	2016	Pre-school	M	163
Snowy Mountains	2016	Secondary	F	550
Snowy Mountains	2016	Secondary	M	579
Snowy Mountains	2016	Technical or Further Educational Institution	F	207
Snowy Mountains	2016	Technical or Further Educational Institution	M	162
Snowy Mountains	2016	University or other tertiary	F	260
Snowy Mountains	2016	University or other tertiary	M	133
South Coast	2006		F	2508
South Coast	2006		M	2312
South Coast	2006	Infants/Primary	F	2708
South Coast	2006	Infants/Primary	M	2728
South Coast	2006	Pre-school	F	472
South Coast	2006	Pre-school	M	497
South Coast	2006	Secondary	F	2435
South Coast	2006	Secondary	M	2282
South Coast	2006	Technical or Further Educational Institution	F	718
South Coast	2006	Technical or Further Educational Institution	M	592
South Coast	2006	University or other tertiary	F	468
South Coast	2006	University or other tertiary	M	193
South Coast	2011		F	2617
South Coast	2011		M	2442
South Coast	2011	Infants/Primary	F	2410
South Coast	2011	Infants/Primary	M	2496
South Coast	2011	Pre-school	F	496
South Coast	2011	Pre-school	M	543
South Coast	2011	Secondary	F	2219
South Coast	2011	Secondary	M	2212
South Coast	2011	Technical or Further Educational Institution	F	831
South Coast	2011	Technical or Further Educational Institution	M	636
South Coast	2011	University or other tertiary	F	618
South Coast	2011	University or other tertiary	M	255
South Coast	2016		F	3509
South Coast	2016		M	3258
South Coast	2016	Infants/Primary	F	2329
South Coast	2016	Infants/Primary	M	2510
South Coast	2016	Pre-school	F	437
South Coast	2016	Pre-school	M	487
South Coast	2016	Secondary	F	1930
South Coast	2016	Secondary	M	1926
South Coast	2016	Technical or Further Educational Institution	F	557
South Coast	2016	Technical or Further Educational Institution	M	436
South Coast	2016	University or other tertiary	F	669
South Coast	2016	University or other tertiary	M	264
Goulburn - Mulwaree	2006		F	1322
Goulburn - Mulwaree	2006		M	1744
Goulburn - Mulwaree	2006	Infants/Primary	F	1292
Goulburn - Mulwaree	2006	Infants/Primary	M	1447
Goulburn - Mulwaree	2006	Pre-school	F	264
Goulburn - Mulwaree	2006	Pre-school	M	297
Goulburn - Mulwaree	2006	Secondary	F	1099
Goulburn - Mulwaree	2006	Secondary	M	1123
Goulburn - Mulwaree	2006	Technical or Further Educational Institution	F	422
Goulburn - Mulwaree	2006	Technical or Further Educational Institution	M	382
Goulburn - Mulwaree	2006	University or other tertiary	F	309
Goulburn - Mulwaree	2006	University or other tertiary	M	317
Goulburn - Mulwaree	2011		F	1130
Goulburn - Mulwaree	2011		M	1636
Goulburn - Mulwaree	2011	Infants/Primary	F	1255
Goulburn - Mulwaree	2011	Infants/Primary	M	1387
Goulburn - Mulwaree	2011	Pre-school	F	277
Goulburn - Mulwaree	2011	Pre-school	M	343
Goulburn - Mulwaree	2011	Secondary	F	1067
Goulburn - Mulwaree	2011	Secondary	M	1123
Goulburn - Mulwaree	2011	Technical or Further Educational Institution	F	524
Goulburn - Mulwaree	2011	Technical or Further Educational Institution	M	408
Goulburn - Mulwaree	2011	University or other tertiary	F	392
Goulburn - Mulwaree	2011	University or other tertiary	M	205
Goulburn - Mulwaree	2016		F	1587
Goulburn - Mulwaree	2016		M	2082
Goulburn - Mulwaree	2016	Infants/Primary	F	1357
Goulburn - Mulwaree	2016	Infants/Primary	M	1477
Goulburn - Mulwaree	2016	Pre-school	F	302
Goulburn - Mulwaree	2016	Pre-school	M	317
Goulburn - Mulwaree	2016	Secondary	F	988
Goulburn - Mulwaree	2016	Secondary	M	1055
Goulburn - Mulwaree	2016	Technical or Further Educational Institution	F	393
Goulburn - Mulwaree	2016	Technical or Further Educational Institution	M	328
Goulburn - Mulwaree	2016	University or other tertiary	F	464
Goulburn - Mulwaree	2016	University or other tertiary	M	247
Young - Yass	2006		F	993
Young - Yass	2006		M	975
Young - Yass	2006	Infants/Primary	F	1624
Young - Yass	2006	Infants/Primary	M	1631
Young - Yass	2006	Pre-school	F	315
Young - Yass	2006	Pre-school	M	304
Young - Yass	2006	Secondary	F	1128
Young - Yass	2006	Secondary	M	1069
Young - Yass	2006	Technical or Further Educational Institution	F	433
Young - Yass	2006	Technical or Further Educational Institution	M	361
Young - Yass	2006	University or other tertiary	F	330
Young - Yass	2006	University or other tertiary	M	160
Young - Yass	2011		F	1237
Young - Yass	2011		M	1116
Young - Yass	2011	Infants/Primary	F	1533
Young - Yass	2011	Infants/Primary	M	1598
Young - Yass	2011	Pre-school	F	324
Young - Yass	2011	Pre-school	M	337
Young - Yass	2011	Secondary	F	1246
Young - Yass	2011	Secondary	M	1253
Young - Yass	2011	Technical or Further Educational Institution	F	419
Young - Yass	2011	Technical or Further Educational Institution	M	342
Young - Yass	2011	University or other tertiary	F	419
Young - Yass	2011	University or other tertiary	M	223
Young - Yass	2016		F	1570
Young - Yass	2016		M	1424
Young - Yass	2016	Infants/Primary	F	1619
Young - Yass	2016	Infants/Primary	M	1688
Young - Yass	2016	Pre-school	F	317
Young - Yass	2016	Pre-school	M	359
Young - Yass	2016	Secondary	F	1254
Young - Yass	2016	Secondary	M	1210
Young - Yass	2016	Technical or Further Educational Institution	F	400
Young - Yass	2016	Technical or Further Educational Institution	M	263
Young - Yass	2016	University or other tertiary	F	554
Young - Yass	2016	University or other tertiary	M	262
Gosford	2006		F	8028
Gosford	2006		M	7208
Gosford	2006	Infants/Primary	F	6598
Gosford	2006	Infants/Primary	M	6847
Gosford	2006	Pre-school	F	1423
Gosford	2006	Pre-school	M	1589
Gosford	2006	Secondary	F	5546
Gosford	2006	Secondary	M	5695
Gosford	2006	Technical or Further Educational Institution	F	1625
Gosford	2006	Technical or Further Educational Institution	M	1742
Gosford	2006	University or other tertiary	F	2302
Gosford	2006	University or other tertiary	M	1484
Gosford	2011		F	6432
Gosford	2011		M	5803
Gosford	2011	Infants/Primary	F	6304
Gosford	2011	Infants/Primary	M	6558
Gosford	2011	Pre-school	F	1573
Gosford	2011	Pre-school	M	1704
Gosford	2011	Secondary	F	5565
Gosford	2011	Secondary	M	5606
Gosford	2011	Technical or Further Educational Institution	F	1826
Gosford	2011	Technical or Further Educational Institution	M	1739
Gosford	2011	University or other tertiary	F	3377
Gosford	2011	University or other tertiary	M	2090
Gosford	2016		F	6128
Gosford	2016		M	5395
Gosford	2016	Infants/Primary	F	6646
Gosford	2016	Infants/Primary	M	6996
Gosford	2016	Pre-school	F	1544
Gosford	2016	Pre-school	M	1671
Gosford	2016	Secondary	F	5311
Gosford	2016	Secondary	M	5376
Gosford	2016	Technical or Further Educational Institution	F	1708
Gosford	2016	Technical or Further Educational Institution	M	1444
Gosford	2016	University or other tertiary	F	3628
Gosford	2016	University or other tertiary	M	2430
Wyong	2006		F	6140
Wyong	2006		M	5334
Wyong	2006	Infants/Primary	F	6378
Wyong	2006	Infants/Primary	M	6590
Wyong	2006	Pre-school	F	1349
Wyong	2006	Pre-school	M	1605
Wyong	2006	Secondary	F	4688
Wyong	2006	Secondary	M	4617
Wyong	2006	Technical or Further Educational Institution	F	1476
Wyong	2006	Technical or Further Educational Institution	M	1447
Wyong	2006	University or other tertiary	F	1516
Wyong	2006	University or other tertiary	M	795
Wyong	2011		F	5747
Wyong	2011		M	5085
Wyong	2011	Infants/Primary	F	6208
Wyong	2011	Infants/Primary	M	6478
Wyong	2011	Pre-school	F	1597
Wyong	2011	Pre-school	M	1664
Wyong	2011	Secondary	F	5062
Wyong	2011	Secondary	M	5131
Wyong	2011	Technical or Further Educational Institution	F	1878
Wyong	2011	Technical or Further Educational Institution	M	1486
Wyong	2011	University or other tertiary	F	2269
Wyong	2011	University or other tertiary	M	1263
Wyong	2016		F	6473
Wyong	2016		M	5491
Wyong	2016	Infants/Primary	F	6524
Wyong	2016	Infants/Primary	M	7038
Wyong	2016	Pre-school	F	1548
Wyong	2016	Pre-school	M	1715
Wyong	2016	Secondary	F	4948
Wyong	2016	Secondary	M	5022
Wyong	2016	Technical or Further Educational Institution	F	1750
Wyong	2016	Technical or Further Educational Institution	M	1364
Wyong	2016	University or other tertiary	F	2671
Wyong	2016	University or other tertiary	M	1541
Bathurst	2006		F	1362
Bathurst	2006		M	2103
Bathurst	2006	Infants/Primary	F	1735
Bathurst	2006	Infants/Primary	M	1868
Bathurst	2006	Pre-school	F	369
Bathurst	2006	Pre-school	M	413
Bathurst	2006	Secondary	F	1554
Bathurst	2006	Secondary	M	1688
Bathurst	2006	Technical or Further Educational Institution	F	477
Bathurst	2006	Technical or Further Educational Institution	M	560
