SA3_NAME16	Year	CountryOfBirth	Sex	persons
Queanbeyan	2016	KOR	M	18
Queanbeyan	2016	LBN	F	14
Queanbeyan	2016	LBN	M	11
Queanbeyan	2016	LKA	F	52
Queanbeyan	2016	LKA	M	55
Queanbeyan	2016	MKD	F	245
Queanbeyan	2016	MKD	M	278
Queanbeyan	2016	MLT	F	36
Queanbeyan	2016	MLT	M	44
Queanbeyan	2016	MYS	F	65
Queanbeyan	2016	MYS	M	53
Queanbeyan	2016	NLD	F	63
Queanbeyan	2016	NLD	M	63
Queanbeyan	2016	NZL	F	368
Queanbeyan	2016	NZL	M	432
Queanbeyan	2016	PAK	F	36
Queanbeyan	2016	PAK	M	63
Queanbeyan	2016	PHL	F	289
Queanbeyan	2016	PHL	M	165
Queanbeyan	2016	POL	F	56
Queanbeyan	2016	POL	M	37
Queanbeyan	2016	SGP	F	27
Queanbeyan	2016	SGP	M	21
Queanbeyan	2016	THA	F	61
Queanbeyan	2016	THA	M	27
Queanbeyan	2016	TUR	F	11
Queanbeyan	2016	TUR	M	16
Queanbeyan	2016	USA	F	152
Queanbeyan	2016	USA	M	154
Queanbeyan	2016	VNM	F	50
Queanbeyan	2016	VNM	M	34
Queanbeyan	2016	ZAF	F	97
Queanbeyan	2016	ZAF	M	109
Queanbeyan	2016	ZWE	F	29
Queanbeyan	2016	ZWE	M	23
Snowy Mountains	2006		F	1123
Snowy Mountains	2006		M	1383
Snowy Mountains	2006	AUS	F	6911
Snowy Mountains	2006	AUS	M	7234
Snowy Mountains	2006	CAN	F	23
Snowy Mountains	2006	CAN	M	13
Snowy Mountains	2006	CHN	F	10
Snowy Mountains	2006	CHN	M	17
Snowy Mountains	2006	DEU	F	124
Snowy Mountains	2006	DEU	M	118
Snowy Mountains	2006	EGY	F	4
Snowy Mountains	2006	EGY	M	0
Snowy Mountains	2006	FJI	F	4
Snowy Mountains	2006	FJI	M	0
Snowy Mountains	2006	GBR	F	393
Snowy Mountains	2006	GBR	M	344
Snowy Mountains	2006	GRC	F	3
Snowy Mountains	2006	GRC	M	12
Snowy Mountains	2006	HKG	F	5
Snowy Mountains	2006	HKG	M	8
Snowy Mountains	2006	HRV	F	4
Snowy Mountains	2006	HRV	M	13
Snowy Mountains	2006	IDN	F	13
Snowy Mountains	2006	IDN	M	3
Snowy Mountains	2006	IND	F	13
Snowy Mountains	2006	IND	M	19
Snowy Mountains	2006	IRL	F	11
Snowy Mountains	2006	IRL	M	11
Snowy Mountains	2006	IRN	F	0
Snowy Mountains	2006	IRN	M	0
Snowy Mountains	2006	IRQ	F	0
Snowy Mountains	2006	IRQ	M	0
Snowy Mountains	2006	ITA	F	44
Snowy Mountains	2006	ITA	M	61
Snowy Mountains	2006	JPN	F	9
Snowy Mountains	2006	JPN	M	0
Snowy Mountains	2006	KOR	F	4
Snowy Mountains	2006	KOR	M	0
Snowy Mountains	2006	LBN	F	7
Snowy Mountains	2006	LBN	M	10
Snowy Mountains	2006	LKA	F	7
Snowy Mountains	2006	LKA	M	3
Snowy Mountains	2006	MKD	F	0
Snowy Mountains	2006	MKD	M	3
Snowy Mountains	2006	MLT	F	6
Snowy Mountains	2006	MLT	M	6
Snowy Mountains	2006	MYS	F	12
Snowy Mountains	2006	MYS	M	4
Snowy Mountains	2006	NLD	F	51
Snowy Mountains	2006	NLD	M	46
Snowy Mountains	2006	NZL	F	100
Snowy Mountains	2006	NZL	M	103
Snowy Mountains	2006	PAK	F	0
Snowy Mountains	2006	PAK	M	0
Snowy Mountains	2006	PHL	F	19
Snowy Mountains	2006	PHL	M	4
Snowy Mountains	2006	POL	F	15
Snowy Mountains	2006	POL	M	20
Snowy Mountains	2006	SGP	F	10
Snowy Mountains	2006	SGP	M	0
Snowy Mountains	2006	THA	F	12
Snowy Mountains	2006	THA	M	4
Snowy Mountains	2006	TUR	F	3
Snowy Mountains	2006	TUR	M	3
Snowy Mountains	2006	USA	F	32
Snowy Mountains	2006	USA	M	25
Snowy Mountains	2006	VNM	F	0
Snowy Mountains	2006	VNM	M	4
Snowy Mountains	2006	ZAF	F	15
Snowy Mountains	2006	ZAF	M	16
Snowy Mountains	2006	ZWE	F	0
Snowy Mountains	2006	ZWE	M	6
Snowy Mountains	2011		F	884
Snowy Mountains	2011		M	1051
Snowy Mountains	2011	AUS	F	7295
Snowy Mountains	2011	AUS	M	7759
Snowy Mountains	2011	CAN	F	21
Snowy Mountains	2011	CAN	M	5
Snowy Mountains	2011	CHN	F	15
Snowy Mountains	2011	CHN	M	17
Snowy Mountains	2011	DEU	F	113
Snowy Mountains	2011	DEU	M	101
Snowy Mountains	2011	EGY	F	3
Snowy Mountains	2011	EGY	M	3
Snowy Mountains	2011	FJI	F	9
Snowy Mountains	2011	FJI	M	9
Snowy Mountains	2011	GBR	F	384
