GCCSA_CODE_2016,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85_ov,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85_ov,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85_ov,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85o,C16_P_Arch_building_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85o,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85o,C16_P_Healt_To,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85o,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85o,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85o,C16_P_Society_cultur_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85o,C16_P_Creative_arts_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85o,C16_P_Foo_hos_pers_S_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85_ov,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85o,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85o,C16_P_FldStu_NS_T,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85o,C16_P_T_T
9OTER,0,0,12,18,7,9,4,3,0,55,0,0,11,6,4,3,0,0,0,22,5,14,45,62,76,70,44,15,5,336,3,3,16,17,29,42,13,11,0,132,3,4,9,18,11,13,3,0,0,57,0,4,16,20,17,33,17,8,0,116,0,4,21,35,28,26,16,9,0,147,3,12,56,86,68,51,33,5,0,314,7,3,41,38,29,23,16,6,0,163,0,4,5,9,11,3,6,0,0,35,0,9,28,33,24,18,4,0,0,112,0,0,0,0,0,3,0,0,0,3,0,3,0,6,7,3,3,0,0,26,44,67,174,127,140,120,77,40,11,809,68,125,435,476,457,416,232,97,26,2337
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,5,9,0,7,5,4,4,0,0,31
8ACTE,36,1005,2836,2555,2357,1897,1332,470,181,12666,137,837,3917,4082,2746,1602,470,48,0,13844,66,1016,4133,3950,3614,3072,2253,1142,422,19665,81,704,2320,1789,1460,1141,826,449,135,8913,18,227,819,873,702,510,292,144,34,3625,46,890,4423,3605,3023,2744,1500,796,269,17299,40,512,2784,2989,2532,2704,2140,949,229,14881,253,2910,10616,10207,8190,5521,3125,968,362,42162,294,2864,11022,9343,7503,6220,4189,1335,382,43147,114,868,2787,2153,1480,884,455,173,68,8985,227,837,2220,1676,1120,667,384,145,44,7313,46,66,31,29,20,39,45,42,22,340,27,155,757,883,748,508,347,177,78,3682,1343,2076,4693,3675,3167,2621,2161,1740,1324,22796,2734,14967,53358,47794,38658,30129,19523,8580,3555,219307
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,3,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,11,0,4,6,6,3,9,0,0,0,31,0,0,0,0,0,0,0,0,0,6,0,4,3,0,4,0,0,0,0,13,0,0,5,7,3,3,0,0,0,20,0,0,0,0,0,5,4,0,0,15,3,5,8,8,0,3,0,0,0,37,0,10,14,10,8,5,3,0,0,55,0,0,3,3,0,0,0,0,0,11,0,0,7,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,16,31,20,20,8,0,0,115,19,39,68,75,54,57,17,3,0,339
7RNTE,3,23,123,120,85,70,35,5,0,470,7,19,109,76,53,42,7,3,0,315,42,280,940,779,842,675,298,68,18,3944,10,78,358,291,257,213,110,29,3,1358,45,133,310,286,232,113,33,10,0,1173,16,130,817,717,680,544,183,59,13,3153,6,61,588,565,620,602,241,57,5,2744,30,194,959,821,778,562,165,33,10,3558,35,195,969,817,777,573,143,37,3,3541,25,52,182,153,112,94,34,9,0,653,79,174,409,264,251,137,55,10,3,1373,9,9,14,14,22,14,11,4,0,90,10,30,114,112,112,58,18,3,0,455,1592,1656,3349,2464,2306,1604,798,263,72,14110,1912,3018,9247,7477,7121,5307,2126,591,131,36937
7GDAR,0,95,385,447,342,229,106,23,8,1636,31,148,513,469,214,131,35,3,0,1540,139,871,3557,2813,2513,1673,801,254,44,12654,34,223,1243,832,662,506,276,103,17,3888,25,79,343,394,277,182,68,13,3,1392,15,374,2036,1437,1082,840,351,109,31,6271,11,121,987,1094,1011,884,457,110,18,4696,155,796,3423,2825,2200,1257,493,100,20,11258,98,502,2072,1770,1456,1077,407,107,12,7498,29,122,496,369,219,150,80,15,8,1487,111,371,1116,732,543,248,107,33,7,3262,17,20,47,25,21,24,18,4,0,182,19,56,261,254,220,112,55,11,4,995,1060,1462,4127,3108,2679,2056,1097,406,146,16144,1753,5243,20607,16577,13429,9373,4338,1290,317,72912
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,7,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,15,0,3,27,21,7,3,0,3,0,60
79499,0,3,4,8,3,0,3,0,0,20,0,0,3,0,0,5,0,0,0,13,0,3,27,24,41,46,34,4,0,179,0,8,14,11,8,9,16,0,0,70,3,4,10,8,9,3,0,3,0,36,0,0,22,15,18,28,6,0,0,92,0,0,19,6,9,22,14,0,0,72,0,11,22,27,23,25,14,0,0,123,0,10,23,22,17,13,9,0,0,89,0,9,16,3,8,3,3,0,0,28,0,7,15,11,4,14,7,0,0,51,10,12,0,0,0,0,0,0,0,20,0,3,0,0,4,0,3,0,0,9,4,73,198,156,195,110,72,11,0,823,17,139,376,295,324,284,173,22,0,1635
