GCCSA_CODE_2016,C06_CFC_SMS_MRM_NDC_UR_1,C06_CFC_SMS_MRM_NDC_UR_2,C06_CFC_SMS_MRM_NDC_UR_3,C06_CFC_SMS_MRM_NDC_UR_4mo,C06_CFC_SMS_MRM_NDC_UR_Total,C06_CFC_SMS_M_DfM_NDC_UR_1,C06_CFC_SMS_M_DfM_NDC_UR_2,C06_CFC_SMS_M_DfM_NDC_UR_3,C06_CFC_SMS_M_DfM_NDC_UR_4mo,C06_CFC_SMS_M_DfM_NDC_UR_Tot,C06_CFC_SMS_Tot_NDC_UR_1,C06_CFC_SMS_Tot_NDC_UR_2,C06_CFC_SMS_Tot_NDC_UR_3,C06_CFC_SMS_Tot_NDC_UR_4mo,C06_CFC_SMS_Tot_NDC_UR_Tot,C06_1_PF_NDC_UR_1,C06_1_PF_NDC_UR_2,C06_1_PF_NDC_UR_3,C06_1_PF_NDC_UR_4mo,C06_1_PF_NDC_UR_Tot,C06_Tot_NDC_UR_1,C06_Tot_NDC_UR_2,C06_Tot_NDC_UR_3,C06_Tot_NDC_UR_4mo,C06_Tot_NDC_UR_Tot,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Tot,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1_PF_NDC_UR_1,C11_1_PF_NDC_UR_2,C11_1_PF_NDC_UR_3,C11_1_PF_NDC_UR_4mo,C11_1_PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1_PF_NDC_UR_1,C16_1_PF_NDC_UR_2,C16_1_PF_NDC_UR_3,C16_1_PF_NDC_UR_4mo,C16_1_PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot
9OTER,89,108,44,15,259,11,6,3,0,21,97,115,53,17,279,17,9,9,0,33,118,122,53,16,314,101,78,40,9,225,6,6,4,0,19,116,81,36,9,240,22,22,3,3,51,133,103,40,15,288,97,105,68,11,283,28,30,10,4,78,129,137,74,14,365,47,31,5,6,94,178,168,82,27,457
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,10096,13193,4834,1323,29446,1802,1555,464,159,3977,11897,14740,5297,1491,33420,4740,3007,914,288,8953,16639,17747,6215,1776,42372,11353,14469,4900,1342,32057,2056,1833,528,188,4606,13414,16298,5427,1524,36662,4953,3098,921,285,9262,18365,19397,6347,1812,45920,12865,16600,5226,1326,36019,2492,2094,604,205,5385,15349,18692,5830,1534,41407,4921,3137,943,342,9344,20275,21836,6776,1872,50754
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,2004,2196,1133,845,6180,568,529,234,185,1513,2572,2729,1367,1028,7699,1397,844,415,354,3006,3967,3570,1784,1387,10703,2168,2284,1202,780,6438,728,578,282,192,1777,2902,2854,1485,976,8212,1492,900,457,304,3156,4390,3761,1939,1281,11369,2135,2137,1045,568,5883,697,625,300,208,1828,2833,2758,1347,776,7711,1454,886,394,239,2975,4284,3644,1743,1021,10687
7GDAR,2583,3359,1370,435,7754,995,791,306,142,2236,3586,4143,1682,576,9987,1824,1040,466,175,3504,5406,5187,2142,753,13487,3087,3673,1409,533,8701,1130,882,314,159,2483,4214,4556,1719,693,11189,1665,1044,392,169,3272,5878,5602,2113,869,14461,3751,4389,1597,561,10296,1340,1032,343,117,2838,5095,5415,1945,678,13136,1664,992,333,177,3168,6763,6405,2277,859,16306
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6RTAS,6628,9007,3664,1197,20493,1994,1837,760,341,4928,8628,10839,4421,1543,25427,4333,2766,959,380,8433,12955,13606,5374,1923,33861,6390,8463,3310,1196,19364,2236,2120,833,377,5562,8630,10580,4145,1576,24928,4527,2822,1058,455,8862,13155,13400,5203,2035,33792,5778,7536,2979,1101,17394,2283,2088,777,347,5496,8066,9622,3752,1450,22885,4238,2854,1020,399,8513,12303,12479,4775,1844,31402
6GHOB,5282,6857,2405,751,15290,1501,1173,421,200,3298,6782,8027,2821,949,18587,3743,2279,691,304,7018,10526,10308,3520,1252,25599,5399,6685,2330,781,15197,1743,1421,528,237,3931,7140,8110,2860,1021,19130,3894,2399,820,318,7428,11029,10503,3682,1340,26556,5177,6697,2337,727,14942,1811,1659,585,220,4274,6989,8356,2921,951,19216,3825,2573,872,339,7612,10813,10932,3787,1291,26830
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,9983,14321,6240,2263,32808,3753,3383,1432,761,9327,13736,17699,7673,3020,42135,5697,3715,1417,668,11494,19433,21413,9090,3692,53635,10749,15205,6428,2187,34562,4165,3814,1592,845,10418,14912,19020,8024,3030,44984,6417,4216,1590,773,12992,21328,23233,9612,3807,57977,10641,15260,6578,2034,34510,4413,4084,1712,752,10961,15055,19343,8284,2782,45464,6376,4430,1653,825,13276,21428,23771,9934,3610,58741
5GPER,43591,58390,21463,6274,129719,8879,6791,2439,961,19067,52468,65180,23901,7236,148792,22065,13352,4328,1635,41381,74537,78533,28232,8873,190171,51701,67822,23565,6961,150052,10949,8847,3004,1212,24007,62656,76668,26566,8174,174059,23802,14518,4676,1759,44759,86450,91187,31244,9934,218816,60070,77337,25906,7227,170548,13035,10690,3512,1323,28553,73101,88030,29418,8543,199097,25289,16521,5202,1945,48955,98396,104549,34620,10491,248055
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,8153,11367,5187,1587,26289,2346,2177,906,417,5850,10497,13543,6088,2006,32136,4826,3182,1183,462,9656,15322,16728,7269,2473,41787,7745,11029,4975,1421,25164,2627,2443,1003,407,6480,10370,13474,5975,1828,31645,5203,3293,1271,565,10336,15568,16768,7246,2400,41983,7211,9964,4617,1411,23208,2679,2515,932,440,6566,9891,12482,5549,1858,29780,4945,3324,1308,533,10106,14836,15802,6857,2385,39884
4GADE,32399,43012,14268,4010,93688,6485,5003,1669,636,13794,38881,48018,15935,4649,107480,19149,11397,3583,1241,35366,58031,59413,19514,5886,142852,34930,45011,14649,4262,98852,7335,5981,1939,735,15993,42268,50990,16587,4992,114843,19738,12063,3801,1363,36961,62012,63048,20392,6355,151807,37254,47513,14817,4315,103899,7926,6800,2172,783,17675,45176,54311,16987,5096,121568,19862,12559,3894,1412,37728,65041,66869,20879,6507,159294
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,50335,67201,27671,9811,155010,14140,11522,4719,2427,32804,64472,78717,32388,12240,187816,31646,19443,7071,3108,61258,96112,98164,39455,15346,249080,54470,71850,28876,10238,165429,17104,14098,5695,3041,39939,71577,85945,34568,13283,205367,35271,21595,7941,3568,68369,106840,107546,42503,16850,273739,54871,72966,28343,9500,165682,17962,15887,6262,2884,42988,72826,88849,34606,12387,208671,35947,23523,8647,3803,71921,108778,112377,43255,16183,280596
3GBRI,53083,69868,27190,9007,159139,11070,8437,3225,1415,24145,64151,78298,30419,10419,183282,28732,17482,6297,2424,54934,92876,95787,36714,12842,238221,59352,77381,28912,10012,175657,13422,10784,4068,1925,30204,72774,88162,32983,11936,205860,31360,19222,6749,2829,60162,104131,107385,39736,14768,266027,64457,83338,29530,9905,187230,15166,12957,4654,2256,35040,79623,96292,34191,12161,222270,32344,21443,7320,3205,64314,111969,117743,41507,15370,286584
