GCCSA_CODE_2016,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_CF_T,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_CF_T,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_CF_T,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_CF_T,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_CF_T,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_CF_T,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_CF_T,C16_4000m_CF_1C,C16_4000m_CF_2C,C16_4000m_CF_3C,C16_4000m_Cou_fa_4mo_ch,C16_4000m_CF_T,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_CF_T,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_CF_T,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_CF_T
9OTER,4,3,0,0,12,3,9,3,0,11,35,23,11,0,75,30,19,20,4,75,17,23,10,3,56,12,15,7,0,42,11,14,5,0,39,11,15,8,7,33,25,25,13,7,68,0,0,0,0,7,164,159,80,22,430
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,201,161,52,27,444,291,271,106,57,722,1422,1149,408,159,3144,1790,1658,583,194,4230,2366,2577,774,271,5997,2256,2615,808,218,5900,3590,4754,1366,312,10022,3794,5618,1829,368,11617,1790,2128,804,279,5002,89,103,29,8,241,17882,21284,6889,1944,48008
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,157,128,75,82,439,153,167,102,91,517,288,291,162,138,884,276,275,127,94,768,306,326,136,80,857,238,311,101,53,704,299,342,142,36,819,199,234,92,37,565,359,333,227,245,1166,164,129,69,80,447,3036,2970,1520,1142,8667
7GDAR,92,45,20,5,162,113,85,41,17,258,514,394,155,88,1155,651,626,228,97,1600,877,857,325,110,2162,705,712,237,97,1751,1083,1253,454,128,2916,940,1249,480,142,2815,660,754,331,165,1903,62,52,33,13,162,5819,6113,2327,888,15144
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6RTAS,433,316,144,52,950,656,558,255,138,1604,2116,2012,864,404,5398,1778,2048,809,312,4942,1618,1679,607,201,4113,1004,1152,384,114,2653,808,1000,323,80,2213,382,577,242,75,1270,1245,1488,630,303,3667,106,96,45,18,273,10595,11274,4460,1791,28122
6GHOB,231,162,63,36,489,379,325,111,55,879,1435,1238,529,223,3426,1370,1455,552,198,3577,1419,1651,493,143,3700,1016,1212,383,92,2701,1020,1339,411,107,2869,628,956,394,88,2063,960,1092,435,199,2685,73,53,21,11,154,8813,9694,3473,1185,23160
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,507,345,181,89,1122,673,583,284,151,1689,2321,2322,1036,457,6136,2508,2996,1274,493,7275,2622,3371,1482,459,7937,1869,2520,1024,327,5736,2303,2800,1229,320,6652,1843,2500,967,299,5599,3007,3581,1706,755,9049,266,255,113,69,695,18637,21838,9591,3542,53618
