GCCSA_CODE_2016,C16_Chr_Chi_nfd_0_14,C16_Chr_Chi_nfd_15_24,C16_Chr_Chi_nfd_25_34,C16_Chr_Chi_nfd_35_44,C16_Chr_Chi_nfd_45_54,C16_Chr_Chi_nfd_55_64,C16_Chr_Chi_nfd_65_74,C16_Chr_Chi_nfd_75_84,C16_Chr_Chi_nfd_85ov,C16_Chr_Chi_nfd_Tot,C16_Chr_Oth_Chi_0_14,C16_Chr_Oth_Chi_15_24,C16_Chr_Oth_Chi_25_34,C16_Chr_Oth_Chi_35_44,C16_Chr_Oth_Chi_45_54,C16_Chr_Oth_Chi_55_64,C16_Chr_Oth_Chi_65_74,C16_Chr_Oth_Chi_75_84,C16_Chr_Oth_Chi_85ov,C16_Chr_Oth_Chi_Tot,C16_Christ_Tot_0_14,C16_Christ_Tot_15_24,C16_Christ_Tot_25_34,C16_Christ_Tot_35_44,C16_Christ_Tot_45_54,C16_Christ_Tot_55_64,C16_Christ_Tot_65_74,C16_Christ_Tot_75_84,C16_Christ_Tot_85ov,C16_Christ_T_T,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85oe,C16_OR_AusAborTrade_Tot,C16_OR_Sikhism_0_14,C16_OR_Sikhism_15_24,C16_OR_Sikhism_25_34,C16_OR_Sikhism_35_44,C16_OR_Sikhism_45_54,C16_OR_Sikhism_55_64,C16_OR_Sikhism_65_74,C16_OR_Sikhism_75_84,C16_OR_Sikhism_85oe,C16_OR_Sikhism_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_O_R_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_Oth_Rel_Tot_0_14,C16_Oth_Rel_Tot_15_24,C16_Oth_Rel_Tot_25_34,C16_Oth_Rel_Tot_35_44,C16_Oth_Rel_Tot_45_54,C16_Oth_Rel_Tot_55_64,C16_Oth_Rel_Tot_65_74,C16_Oth_Rel_Tot_75_84,C16_Oth_Rel_Tot_85ov,C16_Other_Rel_T_T,C16_SBOSB_No_RA_0_14,C16_SBOSB_No_RA_15_24,C16_SBOSB_No_RA_25_34,C16_SBOSB_No_RA_35_44,C16_SBOSB_No_RA_45_54,C16_SBOSB_No_RA_55_64,C16_SBOSB_No_RA_65_74,C16_SBOSB_No_RA_75_84,C16_SBOSB_No_RA_85ov,C16_SBOSB_No_RA_Tot,C16_Oth_rel_affi_0_14,C16_Rel_aff_ns_15_24,C16_Rel_aff_ns_25_34,C16_Rel_aff_ns_35_44,C16_Rel_aff_ns_45_54,C16_Rel_aff_ns_55_64,C16_Rel_aff_ns_65_74,C16_Rel_aff_ns_75_84,C16_Rel_aff_ns_85ov,C16_Rel_aff_ns_Tot,C16_Tot_0_14_yrs,C16_Tot_15_24_yrs,C16_Tot_25_34_yrs,C16_Tot_35_44_yrs,C16_Tot_45_54_yrs,C16_Tot_55_64_yrs,C16_Tot_65_74_yrs,C16_Tot_75_84_yrs,C16_Tot_85o,C16_T_T
9OTER,22,9,9,19,12,14,0,3,0,85,0,0,0,0,0,0,0,0,0,0,277,95,117,233,270,266,197,97,39,1602,4,0,0,3,3,0,0,0,0,8,184,95,118,79,96,91,63,24,6,758,0,0,0,0,0,0,3,0,0,5,6,9,8,4,3,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,0,0,17,6,11,9,6,6,6,0,0,0,46,229,99,132,140,145,125,61,16,8,960,71,94,167,123,129,116,73,29,6,804,806,410,566,633,707,701,463,182,51,4523
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,4,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,0,3,0,0,21,0,3,0,0,0,0,0,0,0,7,8,11,0,5,9,11,13,0,0,55
8ACTE,1895,1209,1370,1369,1154,1027,622,208,78,8932,53,35,42,44,58,84,62,29,16,419,32243,21120,22243,24719,25850,22149,17830,9822,4146,180124,2467,898,2669,2394,821,566,269,99,27,10208,2926,1273,2215,1836,857,437,235,66,17,9864,116,69,115,89,65,75,73,35,6,642,16,12,7,11,8,8,3,0,0,66,504,217,795,332,144,68,57,19,5,2142,126,181,295,301,257,180,100,35,11,1493,645,412,1094,646,411,252,160,53,17,3703,28971,25598,29215,21662,16811,12914,7541,2534,877,146124,5891,5097,6513,5150,4517,3847,2722,1554,1000,36293,74445,55821,66008,58298,50915,41426,29428,14352,6155,396857
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,0,6,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,19,29,30,31,25,27,17,4,3,177,0,4,0,3,0,0,0,0,0,5,3,7,3,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,10,6,50,56,38,19,19,6,0,0,194,8,22,19,32,19,18,3,0,0,126,32,114,108,107,68,78,24,8,3,538
7RNTE,574,299,352,319,249,190,72,27,4,2093,10,0,14,13,14,11,3,0,0,69,11620,6850,7259,6359,6391,4952,2357,806,182,46780,125,24,227,114,47,12,3,0,0,551,72,21,82,59,32,16,3,0,0,286,7,3,13,3,5,3,3,0,0,35,917,585,516,377,314,171,87,34,7,3013,50,3,90,38,5,3,0,0,0,188,32,24,38,49,35,32,13,0,4,230,998,614,646,466,353,210,103,34,11,3433,5457,3238,4290,3082,2802,1963,801,192,42,21864,3365,2525,3002,2193,2114,1560,668,223,68,15724,21739,13345,15691,12427,11887,8810,3969,1266,310,89443
7GDAR,758,430,532,502,381,287,133,32,12,3069,3,11,13,13,13,8,7,3,0,70,11847,6995,9781,9760,9294,7367,4336,1566,402,61344,599,344,1151,570,171,112,34,12,7,3007,460,273,568,365,186,100,48,14,3,2024,10,6,17,4,15,18,5,3,0,79,25,18,9,14,11,10,3,0,0,91,103,45,211,53,11,10,10,3,0,440,38,52,91,80,91,67,26,22,7,468,160,114,307,150,117,88,39,22,7,1003,10387,6474,9903,6927,5670,3851,1722,429,98,45458,3457,2559,4393,3284,2873,2115,1039,341,104,20161,27526,17153,26858,21789,18951,14042,7413,2470,626,136828
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,4,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,14,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,10,3,5,30,19,9,3,0,3,0,70
79499,3,3,4,3,9,8,4,0,0,34,0,0,0,0,5,0,0,0,0,5,56,54,110,146,203,222,151,15,0,968,0,0,4,3,3,0,0,0,0,9,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,13,0,0,3,0,3,4,0,0,0,13,88,82,161,112,101,115,70,6,0,724,62,77,177,129,149,93,55,9,0,749,201,218,457,396,461,438,278,38,0,2489
