GCCSA_CODE_2016,C06_0_4_Indig_M,C06_0_4_Indig_F,C06_0_4_Indig_P,C06_0_4_NonInd_M,C06_0_4_NonInd_F,C06_0_4_NonInd_P,C06_0_4_Indig_st_ns_M,C06_0_4_Indig_st_ns_F,C06_0_4_Indig_st_ns_P,C06_0_4_T_M,C06_0_4_T_F,C06_0_4_T_P,C06_5_9_Indig_M,C06_5_9_Indig_F,C06_5_9_Indig_P,C06_5_9_NonInd_M,C06_5_9_NonInd_F,C06_5_9_NonInd_P,C06_5_9_Indig_st_ns_M,C06_5_9_Indig_st_ns_F,C06_5_9_Indig_st_ns_P,C06_5_9_T_M,C06_5_9_T_F,C06_5_9_T_P,C06_10_14_Indigen_M,C06_10_14_Indigen_F,C06_10_14_Indigen_P,C06_10_14_NonInd_M,C06_10_14_NonInd_F,C06_10_14_NonInd_P,C06_10_14_Ind_st_ns_M,C06_10_14_Ind_st_ns_F,C06_10_14_Ind_st_ns_P,C06_10_14_T_M,C06_10_14_T_F,C06_10_14_T_P,C06_15_19_Indigen_M,C06_15_19_Indigen_F,C06_15_19_Indigen_P,C06_15_19_NonInd_M,C06_15_19_NonInd_F,C06_15_19_NonInd_P,C06_15_19_Ind_st_ns_M,C06_15_19_Ind_st_ns_F,C06_15_19_Ind_st_ns_P,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Indigen_M,C06_20_24_Indigen_F,C06_20_24_Indigen_P,C06_20_24_NonInd_M,C06_20_24_NonInd_F,C06_20_24_NonInd_P,C06_20_24_Ind_st_ns_M,C06_20_24_Ind_st_ns_F,C06_20_24_Ind_st_ns_P,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_29_Indigen_M,C06_25_29_Indigen_F,C06_25_29_Indigen_P,C06_25_29_NonInd_M,C06_25_29_NonInd_F,C06_25_29_NonInd_P,C06_25_29_Ind_st_ns_M,C06_25_29_Ind_st_ns_F,C06_25_29_Ind_st_ns_P,C06_25_29_T_M,C06_25_29_T_F,C06_25_29_T_P,C06_30_34_Indigen_M,C06_30_34_Indigen_F,C06_30_34_Indigen_P,C06_30_34_NonInd_M,C06_30_34_NonInd_F,C06_30_34_NonInd_P,C06_30_34_Ind_st_ns_M,C06_30_34_Ind_st_ns_F,C06_30_34_Ind_st_ns_P,C06_30_34_T_M,C06_30_34_T_F,C06_30_34_T_P,C06_35_39_Indigen_M,C06_35_39_Indigen_F,C06_35_39_Indigen_P,C06_35_39_NonInd_M,C06_35_39_NonInd_F,C06_35_39_NonInd_P,C06_35_39_Ind_st_ns_M,C06_35_39_Ind_st_ns_F,C06_35_39_Ind_st_ns_P,C06_35_39_T_M,C06_35_39_T_F,C06_35_39_T_P,C06_40_44_Indigen_M,C06_40_44_Indigen_F,C06_40_44_Indigen_P,C06_40_44_NonInd_M,C06_40_44_NonInd_F,C06_40_44_NonInd_P,C06_40_44_Ind_st_ns_M,C06_40_44_Ind_st_ns_F,C06_40_44_Ind_st_ns_P,C06_40_44_T_M,C06_40_44_T_F,C06_40_44_T_P,C06_45_49_Indigen_M,C06_45_49_Indigen_F,C06_45_49_Indigen_P,C06_45_49_NonInd_M,C06_45_49_NonInd_F,C06_45_49_NonInd_P,C06_45_49_Ind_st_ns_M,C06_45_49_Ind_st_ns_F,C06_45_49_Ind_st_ns_P,C06_45_49_T_M,C06_45_49_T_F,C06_45_49_T_P,C06_50_54_Indigen_M,C06_50_54_Indigen_F,C06_50_54_Indigen_P,C06_50_54_NonInd_M,C06_50_54_NonInd_F,C06_50_54_NonInd_P,C06_50_54_Ind_st_ns_M,C06_50_54_Ind_st_ns_F,C06_50_54_Ind_st_ns_P,C06_50_54_T_M,C06_50_54_T_F,C06_50_54_T_P,C06_55_59_Indigen_M,C06_55_59_Indigen_F,C06_55_59_Indigen_P,C06_55_59_NonInd_M,C06_55_59_NonInd_F,C06_55_59_NonInd_P,C06_55_59_Ind_st_ns_M,C06_55_59_Ind_st_ns_F,C06_55_59_Ind_st_ns_P,C06_55_59_T_M,C06_55_59_T_F,C06_55_59_T_P,C06_60_64_Indigen_M,C06_60_64_Indigen_F,C06_60_64_Indigen_P,C06_60_64_NonInd_M,C06_60_64_NonInd_F,C06_60_64_NonInd_P,C06_60_64_Ind_st_ns_M,C06_60_64_Ind_st_ns_F,C06_60_64_Ind_st_ns_P,C06_60_64_T_M,C06_60_64_T_F,C06_60_64_T_P,C06_65_over_Indigen_M,C06_65_over_Indigen_F,C06_65_over_Indigen_P,C06_65ove_NonInd_M,C06_65ove_NonInd_F,C06_65ove_NonInd_P,C06_65ove_Indig_st_ns_M,C06_65ove_Indig_st_ns_F,C06_65ove_Indig_st_ns_P,C06_65_over_T_M,C06_65_over_T_F,C06_65_over_T_P,C06_Tot_Indig_M,C06_Tot_Indig_F,C06_Tot_Indig_P,C06_Tot_NonInd_M,C06_Tot_NonInd_F,C06_Tot_NonInd_P,C06_Tot_Indig_st_ns_M,C06_Tot_Indig_st_ns_F,C06_Tot_Indig_st_ns_P,C06_Tot_T_M,C06_Tot_T_F,C06_Tot_T_P,C11_0_4_Indig_M,C11_0_4_Indig_F,C11_0_4_Indig_P,C11_0_4_NonInd_M,C11_0_4_NonInd_F,C11_0_4_NonInd_P,C11_0_4_Indig_st_ns_M,C11_0_4_Indig_st_ns_F,C11_0_4_Indig_st_ns_P,C11_0_4_T_M,C11_0_4_T_F,C11_0_4_T_P,C11_5_9_Indig_M,C11_5_9_Indig_F,C11_5_9_Indig_P,C11_5_9_NonInd_M,C11_5_9_NonInd_F,C11_5_9_NonInd_P,C11_5_9_Indig_st_ns_M,C11_5_9_Indig_st_ns_F
9OTER,14,12,25,56,78,128,3,0,3,72,86,154,12,16,20,83,85,171,9,3,11,100,102,206,11,6,17,81,80,164,11,3,12,98,90,190,9,10,21,41,47,90,9,3,14,66,56,120,9,10,18,55,55,107,14,0,14,74,67,145,12,11,18,50,52,105,8,0,8,71,60,131,4,12,19,59,62,122,13,0,13,77,71,152,10,9,18,84,90,175,3,4,9,97,105,199,4,4,11,98,82,181,15,8,21,120,94,211,13,8,19,83,83,164,9,0,10,100,90,191,9,4,11,89,77,171,8,4,6,103,87,189,5,7,13,102,42,143,9,3,11,113,53,164,6,3,9,59,32,89,5,0,4,69,38,106,4,3,7,71,47,118,8,0,9,86,52,133,116,111,225,1010,906,1914,114,30,147,1237,1053,2290,8,12,22,61,45,102,6,6,12,79,66,142,15,11,28,67,67,131,8,6
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,3,0,3,13,0,13,0,0,0,3,0,3,4,0,4,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,11,0,11,22,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,207,239,446,9595,9098,18695,481,456,940,10282,9794,20077,236,231,471,9594,9419,19015,454,447,903,10286,10099,20388,268,209,480,10222,9788,20010,433,437,866,10922,10435,21360,213,199,415,11376,10693,22065,591,456,1045,12175,11346,23522,185,174,355,13045,12557,25601,843,657,1499,14068,13383,27452,136,146,283,11550,11943,23495,767,610,1379,12450,12701,25155,152,143,291,11498,12056,23559,634,516,1153,12286,12710,24999,128,165,293,11446,11940,23386,564,453,1019,12139,12562,24698,113,126,245,10992,11832,22826,575,457,1035,11689,12417,24104,85,105,194,10867,11889,22758,526,463,990,11485,12460,23941,92,79,172,10026,10902,20926,474,426,903,10593,11410,21999,53,42,95,9408,9849,19254,458,382,837,9909,10271,20182,25,28,58,6578,6713,13293,312,266,580,6917,7011,13931,24,35,62,13269,16382,29646,790,1026,1818,14082,17437,31527,1917,1928,3850,149456,155061,304513,7916,7053,14968,159282,164043,323325,317,252,575,11557,10784,22344,500,400,904,12373,11439,23815,287,268,550,10407,9738,20139,367,329
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,3,4,22,13,35,0,3,8,27,22,45,0,0,3,15,15,28,3,8,8,12,22,33,0,0,0,11,12,21,0,3,5,7,15,27,0,0,3,31,29,57,4,0,3,32,31,64,3,3,11,62,55,115,7,4,12,68,58,130,0,0,0,38,37,78,3,6,8,47,44,85,0,0,3,35,20,53,3,3,6,39,27,65,0,0,0,31,24,57,6,4,7,43,28,66,0,0,0,23,14,43,0,0,3,29,20,45,0,0,0,12,13,27,0,0,0,19,13,34,3,0,3,10,13,27,0,3,4,13,14,28,0,0,0,13,17,24,0,0,0,12,17,26,0,0,0,11,5,21,0,0,0,11,5,21,0,0,0,17,15,33,0,0,0,17,19,34,12,14,29,327,295,627,27,32,58,371,337,709,0,0,0,8,20,29,0,0,0,11,21,28,0,0,3,9,9,22,0,0
7RNTE,2508,2310,4813,1303,1260,2565,216,217,432,4018,3786,7808,2737,2530,5273,1268,1150,2416,238,190,434,4248,3871,8115,2440,2303,4745,1208,1196,2403,229,217,442,3880,3715,7596,2298,2159,4452,1062,1025,2085,207,187,395,3565,3372,6933,2060,2148,4207,1124,1205,2330,230,223,449,3404,3578,6984,1744,1899,3641,1354,1446,2798,238,211,457,3336,3556,6889,1650,1816,3459,1520,1582,3100,252,225,482,3418,3626,7043,1498,1627,3122,1707,1573,3281,290,218,503,3491,3421,6915,1215,1283,2500,1677,1512,3186,280,188,469,3171,2987,6153,989,1087,2073,1710,1491,3198,281,202,475,2973,2774,5748,746,889,1638,1537,1372,2912,228,182,410,2517,2439,4953,477,567,1041,1377,1001,2375,198,132,335,2049,1705,3752,379,478,852,859,605,1462,144,78,218,1378,1158,2539,547,864,1418,1011,781,1794,152,118,271,1714,1764,3479,21285,21947,43235,18704,17203,35911,3175,2589,5765,43170,41743,84910,2525,2380,4902,1465,1397,2868,198,185,379,4180,3972,8150,2813,2602,5417,1206,1190,2393,185,158
7GDAR,600,581,1181,3020,2939,5959,440,422,859,4062,3940,8000,648,652,1303,2981,2877,5855,453,380,834,4079,3909,7988,670,629,1296,2990,2797,5788,467,384,848,4131,3808,7932,556,548,1098,2894,2559,5450,417,332,749,3865,3433,7300,384,381,768,3370,2983,6356,462,343,799,4214,3709,7921,329,380,709,3557,3537,7096,436,376,810,4325,4285,8612,388,403,793,3726,3745,7474,484,381,870,4600,4534,9131,351,396,752,3815,3759,7575,416,391,808,4582,4548,9130,307,327,635,3761,3480,7241,472,380,855,4540,4184,8723,268,270,542,3491,3360,6853,445,358,807,4205,3997,8200,186,235,422,3144,2977,6117,429,285,714,3756,3497,7254,131,174,308,2962,2407,5371,336,204,542,3434,2785,6220,61,112,177,1937,1447,3382,256,148,406,2253,1708,3957,106,182,292,2598,2150,4747,351,242,590,3050,2577,5622,4976,5281,10259,44235,41012,85247,5866,4613,10485,55086,50909,105992,600,600,1202,3529,3272,6801,495,413,903,4618,4285,8904,596,587,1179,3082,3112,6201,426,401
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,23,6,28,3,0,11,32,12,44,0,0,0,14,3,18,0,0,0,12,3,18,0,0,0,7,3,7,0,0,0,4,3,10,0,0,0,7,0,7,0,0,3,9,0,8,0,0,0,5,0,5,0,0,0,11,0,11,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,67,13,79,11,3,13,78,17,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,9,3,14,22,13,37,6,3,5,42,23,57,9,8,13,24,19,44,10,8,13,38,36,76,10,3,15,7,5,16,0,4,3,25,14,35,6,4,6,17,14,34,4,3,8,29,19,44,6,0,6,51,57,107,19,11,28,76,62,144,0,9,8,67,73,136,6,19,20,78,95,172,12,15,24,74,49,124,16,19,32,109,79,186,9,7,17,50,34,88,3,5,6,63,46,110,10,6,13,43,26,75,8,7,12,65,39,103,7,0,10,51,54,112,15,7,23,75,63,139,6,3,14,60,81,145,14,5,27,84,92,175,5,3,11,124,117,244,21,16,35,149,140,290,0,0,0,95,71,166,13,6,13,109,83,190,3,3,7,99,73,169,5,4,9,108,73,182,108,61,165,797,696,1496,139,106,247,1043,863,1901,7,3,14,25,25,50,0,4,3,28,31,66,3,0,4,24,22,45,0,3
