GCCSA_CODE_2016,C11_F_65_69_Tot_LF,C11_F_65_69_Notin_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Notin_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75ov_Em_FT,C11_F_75ov_Em_PT,C11_F_75ov_Emp_A_fr_wo,C11_F_75ov_Em_Hou_wor_ns,C11_F_75over_Em_Tot,C11_F_75ov_Unem_Lo_ft_wor,C11_F_75ov_Unem_Lo_pt_wor,C11_F_75over_Unem_Tot,C11_F_75ov_Tot_LF,C11_F_75over_N_lab_forc,C11_F_75ov_LF_NS,C11_F_75andOver_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_T_T_labo_for,C11_F_Tot_Notin_LF,C11_F_Tot_LF_NS,C11_F_T_T,C16_F_15_19_Em_FT,C16_F_15_19_Em_PT,C16_F_15_19_Em_AFW,C16_F_15_19_Em_Hrs_NS,C16_F_15_19_Em_Tot,C16_F_15_19_Unem_Look_FT,C16_F_15_19_Unem_Look_PT,C16_F_15_19_Unem_Tot,C16_F_15_19_Tot_LF,C16_F_15_19_Notin_LF,C16_F_15_19_LF_NS,C16_F_15_19_Tot,C16_F_20_24_Em_FT,C16_F_20_24_Em_PT,C16_F_20_24_Em_AFW,C16_F_20_24_Em_Hrs_NS,C16_F_20_24_Em_Tot,C16_F_20_24_Unem_Look_FT,C16_F_20_24_Unem_Look_PT,C16_F_20_24_Unem_Tot,C16_F_20_24_Tot_LF,C16_F_20_24_Notin_LF,C16_F_20_24_LF_NS,C16_F_20_24_Tot,C16_F_25_29_Em_FT,C16_F_25_29_Em_PT,C16_F_25_29_Em_AFW,C16_F_25_29_Em_Hrs_NS,C16_F_25_29_Em_Tot,C16_F_25_29_Unem_Look_FT,C16_F_25_29_Unem_Look_PT,C16_F_25_29_Unem_Tot,C16_F_25_29_Tot_LF,C16_F_25_29_Notin_LF,C16_F_25_29_LF_NS,C16_F_25_29_Tot,C16_F_30_34_Em_FT,C16_F_30_34_Em_PT,C16_F_30_34_Em_AFW,C16_F_30_34_Em_Hrs_NS,C16_F_30_34_Em_Tot,C16_F_30_34_Unem_Look_FT,C16_F_30_34_Unem_Look_PT,C16_F_30_34_Unem_Tot,C16_F_30_34_Tot_LF,C16_F_30_34_Notin_LF,C16_F_30_34_LF_NS,C16_F_30_34_Tot,C16_F_35_39_Em_FT,C16_F_35_39_Em_PT,C16_F_35_39_Em_AFW,C16_F_35_39_Em_Hrs_NS,C16_F_35_39_Em_Tot,C16_F_35_39_Unem_Look_FT,C16_F_35_39_Unem_Look_PT,C16_F_35_39_Unem_Tot,C16_F_35_39_Tot_LF,C16_F_35_39_Notin_LF,C16_F_35_39_LF_NS,C16_F_35_39_Tot,C16_F_40_44_Em_FT,C16_F_40_44_Em_PT,C16_F_40_44_Em_AFW,C16_F_40_44_Em_Hrs_NS,C16_F_40_44_Em_Tot,C16_F_40_44_Unem_Look_FT,C16_F_40_44_Unem_Look_PT,C16_F_40_44_Unem_Tot,C16_F_40_44_Tot_LF,C16_F_40_44_Notin_LF,C16_F_40_44_LF_NS,C16_F_40_44_Tot,C16_F_45_49_Em_FT,C16_F_45_49_Em_PT,C16_F_45_49_Em_AFW,C16_F_45_49_Em_Hrs_NS,C16_F_45_49_Em_Tot,C16_F_45_49_Unem_Look_FT,C16_F_45_49_Unem_Look_PT,C16_F_45_49_Unem_Tot,C16_F_45_49_Tot_LF,C16_F_45_49_Notin_LF,C16_F_45_49_LF_NS,C16_F_45_49_Tot,C16_F_50_54_Em_FT,C16_F_50_54_Em_PT,C16_F_50_54_Em_AFW,C16_F_50_54_Em_Hrs_NS,C16_F_50_54_Em_Tot,C16_F_50_54_Unem_Look_FT,C16_F_50_54_Unem_Look_PT,C16_F_50_54_Unem_Tot,C16_F_50_54_Tot_LF,C16_F_50_54_Notin_LF,C16_F_50_54_LF_NS,C16_F_50_54_Tot,C16_F_55_59_Em_FT,C16_F_55_59_Em_PT,C16_F_55_59_Em_AFW,C16_F_55_59_Em_Hrs_NS,C16_F_55_59_Em_Tot,C16_F_55_59_Unem_Look_FT,C16_F_55_59_Unem_Look_PT,C16_F_55_59_Unem_Tot,C16_F_55_59_Tot_LF,C16_F_55_59_Notin_LF,C16_F_55_59_LF_NS,C16_F_55_59_Tot,C16_F_60_64_Em_FT,C16_F_60_64_Em_PT,C16_F_60_64_Em_AFW,C16_F_60_64_Em_Hrs_NS,C16_F_60_64_Em_Tot,C16_F_60_64_Unem_Look_FT,C16_F_60_64_Unem_Look_PT,C16_F_60_64_Unem_Tot,C16_F_60_64_Tot_LF,C16_F_60_64_Notin_LF,C16_F_60_64_LF_NS,C16_F_60_64_Tot,C16_F_65_69_Em_FT,C16_F_65_69_Em_PT,C16_F_65_69_Em_AFW,C16_F_65_69_Em_Hrs_NS,C16_F_65_69_Em_Tot,C16_F_65_69_Unem_Look_FT,C16_F_65_69_Unem_Look_PT,C16_F_65_69_Unem_Tot,C16_F_65_69_Tot_LF,C16_F_65_69_Notin_LF,C16_F_65_69_LF_NS,C16_F_65_69_Tot,C16_F_70_74_Em_FT,C16_F_70_74_Em_PT,C16_F_70_74_Em_AFW,C16_F_70_74_Em_Hrs_NS,C16_F_70_74_Em_Tot,C16_F_70_74_Unem_Look_FT,C16_F_70_74_Unem_Look_PT,C16_F_70_74_Unem_Tot,C16_F_70_74_Tot_LF,C16_F_70_74_Notin_LF,C16_F_70_74_LF_NS,C16_F_70_74_Tot,C16_F_75ov_Em_FT,C16_F_75ov_Em_PT,C16_F_75ov_Emp_Aw_fr_w,C16_F_75ov_Emp_Hou_w_ns,C16_F_75over_Em_Tot,C16_F_75ov_Unem_Lo_ft_wor,C16_F_75ov_Unem_Lo_pt_wor,C16_F_75ov_Unemp_Tot,C16_F_75ov_Tot_lab_for,C16_F_75ov_N_lab_forc,C16_F_75ov_LF_NS,C16_F_75ov_yr_Tot,C16_F_Tot_Em_FT,C16_F_Tot_Em_PT,C16_F_Tot_Em_AFW,C16_F_Tot_Em_Hrs_NS
9OTER,3,22,0,26,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,15,0,19,286,135,22,13,456,12,9,17,480,279,41,803,4,26,3,9,43,3,0,3,46,48,11,107,25,15,3,0,44,0,0,0,44,15,9,63,46,16,3,0,61,3,0,3,71,15,12,95,43,43,12,0,93,4,0,4,100,31,18,144,55,32,3,3,99,3,0,3,97,33,5,137,58,42,8,0,110,3,3,5,114,19,12,148,69,37,7,4,114,3,0,4,118,25,18,162,72,34,5,8,116,0,0,0,116,24,27,174,63,39,11,0,118,0,4,6,124,31,27,184,43,34,3,3,80,0,0,0,82,58,20,157,26,24,3,3,53,0,0,0,53,49,12,120,11,14,0,0,22,0,0,0,22,55,5,86,0,9,0,0,14,0,0,0,14,92,16,122,516,361,62,33
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,13,0,0,0,13,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0
8ACTE,1432,4800,251,6484,69,247,21,8,350,4,7,8,361,4144,252,4750,20,95,7,10,139,0,0,0,139,8553,947,9638,54797,33102,6030,1240,95168,1326,1965,3293,98461,43710,5901,148069,799,4556,201,181,5736,137,989,1123,6865,4775,484,12124,4919,4839,399,258,10416,300,552,855,11274,3393,858,15525,8883,2937,734,144,12701,284,225,506,13207,2335,976,16512,7691,3982,1363,150,13186,278,229,510,13695,2514,915,17122,6508,4348,860,125,11841,234,186,419,12261,2171,721,15147,6951,3999,434,102,11479,191,173,360,11841,1792,643,14281,7100,3368,317,118,10898,164,125,290,11189,1580,613,13377,6613,2785,378,89,9869,149,118,263,10139,1876,560,12573,4735,2357,369,73,7529,113,133,248,7778,3182,579,11541,2319,1877,267,49,4515,55,75,129,4645,4819,560,10024,669,1046,115,30,1859,9,44,55,1914,6689,462,9073,141,342,34,15,529,3,16,20,551,5449,432,6428,42,153,23,19,236,5,11,12,250,10031,1476,11753,57377,36593,5495,1350
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,80,49,3,0,133,16,10,32,164,95,18,272,0,4,0,0,4,0,0,0,7,10,3,20,7,14,0,0,19,3,0,7,22,7,8,42,12,0,0,0,19,3,0,3,19,4,0,21,9,0,0,0,10,0,0,0,13,4,3,20,7,5,4,0,12,0,0,0,18,3,9,25,3,0,0,0,3,0,0,0,5,5,0,9,0,3,0,0,3,0,0,0,3,6,0,11,3,9,0,0,5,0,0,0,8,3,3,15,6,3,0,0,11,0,0,0,11,5,3,22,3,3,0,4,9,0,0,0,9,9,0,15,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,56,37,7,3
7RNTE,216,513,96,824,32,34,9,3,81,0,3,3,80,379,69,528,13,25,3,6,52,0,0,0,49,526,130,704,9885,4745,941,563,16135,905,434,1338,17470,11911,3070,32456,225,322,24,38,605,175,53,225,830,1752,444,3023,776,279,44,71,1168,241,54,292,1468,1409,483,3357,1312,385,119,55,1868,190,60,250,2121,1337,600,4053,1170,543,115,64,1895,167,82,253,2147,1272,519,3934,979,510,98,54,1648,131,53,188,1838,1011,407,3255,1000,474,60,39,1566,138,47,186,1754,886,384,3029,1188,429,71,46,1730,104,42,145,1882,811,432,3120,1149,352,65,52,1611,108,37,147,1752,753,382,2887,957,306,67,32,1363,43,21,63,1419,695,342,2455,595,234,48,16,898,24,23,50,946,711,258,1911,211,132,23,16,373,10,7,22,396,611,160,1160,39,45,3,6,92,3,0,3,94,501,97,698,21,22,8,3,53,0,0,3,56,659,120,831,9609,4031,738,494
7GDAR,412,923,135,1472,33,52,8,3,93,0,3,3,99,736,98,928,11,15,3,3,33,0,0,0,33,963,151,1146,18698,8345,1617,569,29224,586,452,1038,30261,10620,4373,45262,395,1077,43,55,1564,90,176,264,1834,1418,306,3560,1872,957,122,88,3031,130,76,211,3245,618,492,4355,3054,1035,228,94,4412,120,97,213,4624,1025,742,6389,2815,1217,328,87,4442,87,88,180,4622,1131,671,6425,2373,1152,202,50,3781,97,84,188,3966,928,504,5401,2456,1013,128,48,3653,82,55,131,3785,663,464,4911,2476,879,125,70,3540,92,42,133,3677,578,445,4694,2209,680,145,61,3092,75,45,117,3203,555,410,4163,1723,647,131,39,2540,48,19,72,2606,715,405,3728,947,454,80,30,1513,29,30,54,1572,983,325,2879,348,253,38,15,653,8,15,20,676,1230,225,2136,76,92,7,7,183,4,3,4,189,927,137,1253,21,40,3,3,64,0,0,0,64,1332,185,1582,20766,9485,1578,637
79799,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,8,6,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
79499,0,54,9,65,0,0,0,0,0,0,0,0,0,17,3,17,0,0,0,0,0,0,0,0,0,5,0,7,159,44,35,11,253,23,20,36,291,388,94,775,5,0,0,0,8,0,0,0,7,4,0,17,27,8,0,0,34,3,0,3,36,18,32,85,28,9,6,3,52,0,0,0,53,29,49,129,17,10,10,0,31,4,0,3,34,29,42,106,7,4,0,0,14,3,0,3,23,30,35,83,13,3,3,0,22,3,4,6,25,26,39,95,10,11,0,0,20,3,0,3,24,36,36,99,12,5,0,0,19,0,0,0,25,41,41,104,16,8,3,0,25,3,0,9,32,46,23,100,8,7,0,0,19,0,0,0,22,71,22,107,0,0,0,0,0,0,0,0,3,57,13,67,0,0,0,0,0,0,0,0,0,22,10,30,0,0,0,0,0,0,0,0,0,6,5,10,149,66,29,9
