GCCSA_CODE_2016,C16_OTT_DS_FUA,C16_OTT_DS_OD,C16_OTT_DS_NS_,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_FUA,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS_,C16_TT_NS_T,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_FUA,C16_Tot_DS_OD,C16_Tot_DS_NS_,C16_T_T
9OTER,3,5,0,55,104,10,32,13,3,163,1241,102,159,29,20,1556
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,244,0,4,1021,4607,2012,2626,120,42,9408,99109,26915,24069,300,302,150693
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,17,223,20,575,2645,642,433,1278,111,5103,18277,3828,1780,5088,505,29476
7GDAR,47,48,9,290,3118,647,1664,896,105,6424,29873,5201,11715,2638,341,49770
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6RTAS,49,16,11,1012,7271,759,558,267,78,8938,106388,6828,4423,1206,556,119401
6GHOB,161,3,3,785,4234,535,834,142,42,5786,75850,5507,8089,517,242,90210
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,190,371,62,2360,15473,2049,886,3507,681,22599,169694,14351,4737,14761,2200,205742
5GPER,1536,39,39,7584,31862,10553,7681,1241,416,51758,555837,118472,52589,3612,1837,732349
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,108,137,34,2261,9030,1334,540,1263,212,12384,136425,12547,4161,4407,1265,158804
4GADE,1297,25,80,8003,18026,6941,3902,453,239,29565,381275,88129,41623,2052,1667,514742
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,1179,586,177,9854,51975,10805,14664,8302,2862,88612,709788,104436,101206,34472,8435,958343
3GBRI,1845,75,70,6876,34607,8254,11656,1847,1048,57410,628096,85182,109915,6751,3455,833399
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,304,133,102,4773,38496,4543,2869,2215,663,48794,509283,39986,17372,7586,3506,577735
2GMEL,2680,80,122,13239,64529,21005,30147,2291,961,118934,1111561,280003,259221,8610,5153,1664540
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,1250,380,386,10427,61184,9308,9658,6352,1823,88325,853234,97211,71509,24714,8510,1055183
1GSYD,5622,85,190,14560,50154,18478,53017,3147,1979,126775,957477,240580,501793,12103,7721,1719678
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
