GCCSA_CODE_2016,C06_C_Tot_0_14,C06_C_Tot_15_24,C06_C_Tot_25_34,C06_C_Tot_35_44,C06_C_Tot_45_54,C06_C_Tot_55_64,C06_C_Tot_65_74,C06_C_Tot_75_84,C06_C_Tot_85ov,C06_C_T_T,C06_Hinduism_0_14,C06_Hinduism_15_24,C06_Hinduism_25_34,C06_Hinduism_35_44,C06_Hinduism_45_54,C06_Hinduism_55_64,C06_Hinduism_65_74,C06_Hinduism_75_84,C06_Hinduism_85ov,C06_Hinduism_Tot,C06_Islam_0_14,C06_Islam_15_24,C06_Islam_25_34,C06_Islam_35_44,C06_Islam_45_54,C06_Islam_55_64,C06_Islam_65_74,C06_Islam_75_84,C06_Islam_85ov,C06_Islam_Tot,C06_Judaism_0_14,C06_Judaism_15_24,C06_Judaism_25_34,C06_Judaism_35_44,C06_Judaism_45_54,C06_Judaism_55_64,C06_Judaism_65_74,C06_Judaism_75_84,C06_Judaism_85ov,C06_Judaism_Tot,C06_OR_Au_Ab_Tr_R_0_14,C06_OR_Au_Ab_Tr_R_15_24,C06_OR_Au_Ab_Tr_R_25_34,C06_OR_Au_Ab_Tr_R_35_44,C06_OR_Au_Ab_Tr_R_45_54,C06_OR_Au_Ab_Tr_R_55_64,C06_OR_Au_Ab_Tr_R_65_74,C06_OR_Au_Ab_Tr_R_75_84,C06_OR_A_Ab_Tr_Re_85oe,C06_OR_Au_Ab_Tr_Re_Tot,C06_OR_Sikhism_0_14,C06_OR_Sikhism_15_24,C06_OR_Sikhism_25_34,C06_OR_Sikhism_35_44,C06_OR_Sikhism_45_54,C06_OR_Sikhism_55_64,C06_OR_Sikhism_65_74,C06_OR_Sikhism_75_84,C06_OR_Sikhism_85oe,C06_OR_Sikhism_Tot,C06_OR_OR_0_14,C06_OR_OR_15_24,C06_OR_OR_25_34,C06_OR_OR_35_44,C06_OR_OR_45_54,C06_OR_OR_55_64,C06_OR_OR_65_74,C06_OR_OR_75_84,C06_OR_OR_85oe,C06_OR_OR_Tot,C06_OR_Tot_0_14,C06_OR_Tot_15_24,C06_OR_Tot_25_34,C06_OR_Tot_35_44,C06_OR_Tot_45_54,C06_OR_Tot_55_64,C06_OR_Tot_65_74,C06_OR_Tot_75_84,C06_OR_Tot_85ov,C06_OR_T_T,C06_SBOSB_No_RA_0_14,C06_SBOSB_No_RA_15_24,C06_SBOSB_No_RA_25_34,C06_SBOSB_No_RA_35_44,C06_SBOSB_No_RA_45_54,C06_SBOSB_No_RA_55_64,C06_SBOSB_No_RA_65_74,C06_SBOSB_No_RA_75_84,C06_SBOSB_No_RA_85ov,C06_SBOSB_No_RA_Tot,C06_Rel_aff_ns_0_14,C06_Rel_aff_ns_15_24,C06_Rel_aff_ns_25_34,C06_Rel_aff_ns_35_44,C06_Rel_aff_ns_45_54,C06_Rel_aff_ns_55_64,C06_Rel_aff_ns_65_74,C06_Rel_aff_ns_75_84,C06_Rel_aff_ns_85ov,C06_Rel_aff_NS_T,C06_Tot_0_14_yrs,C06_Tot_15_24_yrs,C06_Tot_25_34_yrs,C06_Tot_35_44_yrs,C06_Tot_45_54_yrs,C06_Tot_55_64_yrs,C06_Tot_65_74_yrs,C06_Tot_75_84_yrs,C06_Tot_85o,C06_T_T,C11_Buddhism_0_14_yrs,C11_Buddhism_15_24,C11_Buddhism_25_34,C11_Buddhism_35_44,C11_Buddhism_45_54,C11_Buddhism_55_64,C11_Buddhism_65_74,C11_Buddhism_75_84,C11_Buddhism_85ov,C11_Buddhism_Tot,C11_Christ_Angl_0_14,C11_Christ_Angl_15_24,C11_Christ_Angl_25_34,C11_Christ_Angl_35_44,C11_Christ_Angl_45_54,C11_Christ_Angl_55_64,C11_Christ_Angl_65_74,C11_Christ_Angl_75_84,C11_Christ_Angl_85ov,C11_Christ_Angl_Tot,C11_C_Assyr_Apo_0_14,C11_C_Assyr_Apo_15_24,C11_C_Assyr_Apo_25_34,C11_C_Assyr_Apo_35_44,C11_C_Assyr_Apo_45_54,C11_C_Assyr_Apo_55_64,C11_C_Assyr_Apo_65_74,C11_C_Assyr_Apo_75_84,C11_C_Assyr_Apo_85ov,C11_C_Assyr_Apo_Tot,C11_C_Baptist_0_14,C11_C_Baptist_15_24,C11_C_Baptist_25_34,C11_C_Baptist_35_44,C11_C_Baptist_45_54,C11_C_Baptist_55_64,C11_C_Baptist_65_74,C11_C_Baptist_75_84,C11_C_Baptist_85ov,C11_C_Baptist_Tot,C11_Christ_Breth_0_14,C11_Christ_Breth_15_24,C11_Christ_Breth_25_34,C11_Christ_Breth_35_44,C11_Christ_Breth_45_54,C11_Christ_Breth_55_64,C11_Christ_Breth_65_74,C11_Christ_Breth_75_84,C11_Christ_Breth_85ov,C11_Christ_Breth_To,C11_Ch_Catholic_0_14,C11_Ch_Catholic_15_24,C11_Ch_Catholic_25_34,C11_Ch_Catholic_35_44,C11_Ch_Catholic_45_54,C11_Ch_Catholic_55_64,C11_Ch_Catholic_65_74,C11_Ch_Catholic_75_84,C11_Ch_Catholic_85ov,C11_C_Catholic_Tot,C11_C_Chur_Christ_0_14,C11_C_Chur_Christ_15_24,C11_C_Chur_Christ_25_34,C11_C_Chur_Christ_35_44,C11_C_Chur_Christ_45_54,C11_C_Chur_Christ_55_64,C11_C_Chur_Christ_65_74,C11_C_Chur_Christ_75_84,C11_C_Chur_Christ_85ov,C11_C_Chur_Christ_Tot,C11_C_East_Ortho_0_14,C11_C_East_Ortho_15_24,C11_C_East_Ortho_25_34,C11_C_East_Ortho_35_44,C11_C_East_Ortho_45_54,C11_C_East_Ortho_55_64,C11_C_East_Ortho_65_74,C11_C_East_Ortho_75_84,C11_C_East_Ortho_85ov,C11_C_East_Ortho_To,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot
9OTER,141,79,92,124,108,64,18,3,3,628,0,0,0,0,0,0,0,0,0,0,190,91,78,110,98,74,37,8,5,698,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,12,3,3,0,6,3,5,0,0,0,24,89,33,38,69,42,27,9,0,0,308,52,40,42,37,37,17,7,0,0,227,552,264,281,412,375,274,103,16,11,2290,35,33,29,48,62,113,38,4,0,353,39,21,24,34,43,27,12,0,0,204,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,43,28,17,36,40,23,9,3,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,11,0,13,6,0,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,35853,28113,26577,29102,28221,22831,12987,8413,2691,194794,638,486,731,579,464,210,98,54,5,3271,1110,776,964,677,468,245,78,38,5,4363,80,88,83,73,78,97,38,21,9,572,8,3,7,8,8,9,0,0,0,38,90,51,69,63,43,25,16,5,0,357,166,304,378,349,243,139,53,16,5,1663,263,359,454,422,289,171,70,26,5,2059,15688,13820,14375,11505,10364,6613,2219,1193,287,76063,7082,6190,5718,5097,4810,3301,1499,986,400,35089,61824,50974,50150,48804,45940,34114,17229,10854,3447,323325,1274,1506,1730,1715,1545,1015,347,138,49,9328,7891,6010,6073,7800,8075,7497,4785,2835,1361,52320,4,0,4,7,4,3,0,0,0,24,768,603,614,657,682,536,315,131,76,4375,13,16,8,8,16,5,4,7,3,80,19195,13989,12891,13613,12523,10025,6251,3473,1224,93195,30,18,30,22,54,79,40,26,14,312,1230,773,870,1162,896,716,653,405,93,6791,104,74,100,101,112,102,62,33,13,690
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,44,84,62,55,41,33,12,13,3,343,0,0,0,3,0,0,0,0,0,5,0,5,4,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,9,4,0,0,6,0,0,0,0,0,9,33,60,49,29,8,12,3,4,0,201,26,33,23,26,6,4,0,3,0,118,109,191,155,116,60,47,15,20,3,709,0,5,0,0,3,3,0,0,0,13,5,10,14,8,8,10,3,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15,18,27,20,10,10,3,0,0,106,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0
7RNTE,12901,7645,7366,7312,6312,3980,1580,565,170,47832,27,9,42,28,16,13,0,0,0,128,36,13,47,28,25,18,3,0,0,171,9,0,11,8,5,6,3,0,0,38,987,630,562,406,236,136,74,26,14,3074,0,0,3,3,0,0,0,0,0,7,25,33,48,50,39,20,3,4,4,233,1012,663,615,464,280,153,78,31,15,3312,5123,2873,3204,2758,2042,1039,307,115,34,17487,4345,2657,2545,2347,1904,1015,382,134,49,15395,23522,13920,13934,13070,10698,6290,2356,848,267,84910,80,79,159,131,136,90,7,0,0,688,1993,1247,1295,1451,1522,1228,513,154,42,9445,0,0,0,0,0,0,0,0,0,0,1191,651,651,521,382,280,107,58,12,3855,3,0,3,0,0,0,0,0,0,6,4778,2718,2937,2565,2295,1532,570,205,37,17635,19,6,12,12,8,6,3,0,0,71,27,27,33,25,38,16,11,3,0,180,52,36,29,35,37,25,14,0,0,229
7GDAR,11693,7665,8823,9653,8655,6316,2569,1033,205,56613,67,61,73,66,67,32,24,4,0,401,248,149,144,140,115,81,25,3,0,910,14,12,9,13,16,8,4,4,0,80,11,3,3,8,5,3,0,0,0,45,3,4,7,4,4,4,7,0,0,28,51,70,114,111,64,37,17,9,0,468,68,76,125,120,78,51,20,11,0,532,6981,4203,5129,4414,3500,1884,506,176,44,26851,4457,2801,3097,2967,2612,1557,526,250,55,18317,23918,15219,17741,17856,15458,10180,3796,1505,323,105992,490,389,532,570,465,317,144,53,9,2971,2274,1509,1873,2471,2626,2205,1048,329,94,14419,0,0,0,0,0,0,0,0,0,0,399,242,289,287,286,151,74,32,5,1770,0,0,0,4,0,0,0,0,0,9,5987,4151,4706,4464,3905,2718,1249,508,91,27768,28,12,15,23,13,17,4,0,0,113,891,428,582,592,425,366,223,80,12,3585,92,41,87,72,58,62,24,6,0,431
79799,0,14,15,6,0,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,16,8,6,4,0,0,0,0,30,0,11,4,3,0,0,0,0,0,20,0,42,23,21,7,3,0,0,0,94,0,0,3,0,0,0,0,0,0,3,0,3,10,3,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,8,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,48,67,127,94,169,284,120,7,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,10,0,0,3,4,3,0,0,0,0,10,52,57,118,64,71,102,24,3,0,495,72,57,98,52,61,90,21,0,0,451,168,189,357,216,318,477,166,11,3,1901,0,3,11,4,6,7,0,0,0,31,3,7,21,23,49,88,62,6,0,261,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,9,5,0,0,30,0,0,0,0,0,0,0,0,0,0,24,37,63,43,46,69,36,5,0,332,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,4
