GCCSA_CODE_2016,C06_M_NatPhy_sci_15_19,C06_M_NatPhy_sci_20_24,C06_M_NatPhy_sci_25_34,C06_M_NatPhy_sci_35_44,C06_M_NatPhy_sci_45_54,C06_M_NatPhy_sci_55_64,C06_M_NatPhy_sci_65_74,C06_M_NatPhy_sci_75_84,C06_M_NatPhy_sci_85_ov,C06_M_NatPhy_sci_Tot,C06_M_InfTec_15_19,C06_M_InfTec_20_24,C06_M_InfTec_25_34,C06_M_InfTec_35_44,C06_M_InfTec_45_54,C06_M_InfTec_55_64,C06_M_InfTec_65_74,C06_M_InfTec_75_84,C06_M_InfTec_85_ov,C06_M_InfTec_Tot,C06_M_EngRT_15_19,C06_M_EngRT_20_24,C06_M_EngRT_25_34,C06_M_EngRT_35_44,C06_M_EngRT_45_54,C06_M_EngRT_55_64,C06_M_EngRT_65_74,C06_M_EngRT_75_84,C06_M_EngRT_85_ov,C06_M_EngRT_Tot,C06_M_ArchBuild_15_19,C06_M_ArchBuild_20_24,C06_M_ArchBuild_25_34,C06_M_ArchBuild_35_44,C06_M_ArchBuild_45_54,C06_M_ArchBuild_55_64,C06_M_ArchBuild_65_74,C06_M_ArchBuild_75_84,C06_M_ArchBuild_85o,C06_M_Arch_building_Tot,C06_M_AgEnv_RS_15_19,C06_M_AgEnv_RS_20_24,C06_M_AgEnv_RS_25_34,C06_M_AgEnv_RS_35_44,C06_M_AgEnv_RS_45_54,C06_M_AgEnv_RS_55_64,C06_M_AgEnv_RS_65_74,C06_M_AgEnv_RS_75_84,C06_M_AgEnv_RS_85_ov,C06_M_AgEnv_RS_Tot,C06_M_Health_15_19,C06_M_Health_20_24,C06_M_Health_25_34,C06_M_Health_35_44,C06_M_Health_45_54,C06_M_Health_55_64,C06_M_Health_65_74,C06_M_Health_75_84,C06_M_Health_85o,C06_M_Healt_To,C06_M_Educ_15_19,C06_M_Educ_20_24,C06_M_Educ_25_34,C06_M_Educ_35_44,C06_M_Educ_45_54,C06_M_Educ_55_64,C06_M_Educ_65_74,C06_M_Educ_75_84,C06_M_Educ_85o,C06_M_Educ_Tot,C06_M_MngtCom_15_19,C06_M_MngtCom_20_24,C06_M_MngtCom_25_34,C06_M_MngtCom_35_44,C06_M_MngtCom_45_54,C06_M_MngtCom_55_64,C06_M_MngtCom_65_74,C06_M_MngtCom_75_84,C06_M_MngtCom_85o,C06_M_MngtCom_Tot,C06_M_Soc_cult_15_19,C06_M_Soc_cult_20_24,C06_M_Soc_cult_25_34,C06_M_Soc_cult_35_44,C06_M_Soc_cult_45_54,C06_M_Soc_cult_55_64,C06_M_Soc_cult_65_74,C06_M_Soc_cult_75_84,C06_M_Soc_cult_85o,C06_M_Soc_cult_Tot,C06_M_Creative_art_15_19,C06_M_Creative_art_20_24,C06_M_Creative_art_25_34,C06_M_Creative_art_35_44,C06_M_Creative_art_45_54,C06_M_Creative_art_55_64,C06_M_Creative_art_65_74,C06_M_Creative_art_75_84,C06_M_Creat_arts_85o,C06_M_Creative_arts_Tot,C06_M_FoodHos_PS_15_19,C06_M_FoodHos_PS_20_24,C06_M_FoodHos_PS_25_34,C06_M_FoodHos_PS_35_44,C06_M_FoodHos_PS_45_54,C06_M_FoodHos_PS_55_64,C06_M_FoodHos_PS_65_74,C06_M_FoodHos_PS_75_84,C06_M_FoodHos_PS_85o,C06_M_FoodHos_PS_Tot,C06_M_MixFld_pr_15_19,C06_M_MixFld_pr_20_24,C06_M_MixFld_pr_25_34,C06_M_MixFld_pr_35_44,C06_M_MixFld_pr_45_54,C06_M_MixFld_pr_55_64,C06_M_MixFld_pr_65_74,C06_M_MixFld_pr_75_84,C06_M_MixFld_pr_85_ov,C06_M_MixFld_pr_Tot,C06_M_FldStu_ID_15_19,C06_M_FldStu_ID_20_24,C06_M_FldStu_ID_25_34,C06_M_FldStu_ID_35_44,C06_M_FldStu_ID_45_54,C06_M_FldStu_ID_55_64,C06_M_FldStu_ID_65_74,C06_M_FldStu_ID_75_84,C06_M_FldStu_ID_85o,C06_M_FldStu_ID_Tot,C06_M_FldStu_NS_15_19,C06_M_FldStu_NS_20_24,C06_M_FldStu_NS_25_34,C06_M_FldStu_NS_35_44,C06_M_FldStu_NS_45_54,C06_M_FldStu_NS_55_64,C06_M_FldStu_NS_65_74,C06_M_FldStu_NS_75_84,C06_M_FldStu_NS_85o,C06_M_FldStu_NS_T,C06_M_Tot_15_19,C06_M_Tot_20_24,C06_M_Tot_25_34,C06_M_Tot_35_44,C06_M_Tot_45_54,C06_M_Tot_55_64,C06_M_Tot_65_74,C06_M_Tot_75_84,C06_M_Tot_85o,C06_M_T_T,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85_ov,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85_ov,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85_ov,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85o,C11_M_Arch_building_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85o,C11_M_AgEnv_RS_Tot
9OTER,0,0,4,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,4,29,53,38,16,7,0,0,145,0,4,10,12,20,13,0,0,0,57,0,0,3,7,4,0,0,0,0,13,0,0,0,0,3,3,0,0,0,7,0,0,3,9,11,5,0,0,0,31,0,3,10,10,11,3,0,0,0,35,0,5,7,5,3,6,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,11,15,20,31,25,28,31,13,0,0,160,18,41,104,133,121,75,18,3,0,519,0,3,3,6,0,0,0,0,0,12,0,3,4,0,0,0,0,0,0,7,3,12,21,35,49,29,6,0,0,157,0,3,10,4,12,10,3,0,0,42,0,0,5,4,3,3,0,0,0,23
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,11,0,8,5,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,4,288,1032,1246,1361,1066,405,241,43,5691,97,926,2331,1915,1348,476,53,3,4,7169,65,754,2892,3382,3170,2511,1328,682,139,14928,57,369,1209,1132,1197,971,648,329,50,5959,3,149,450,429,398,243,142,67,10,1900,4,80,451,563,623,358,176,120,25,2391,3,63,491,536,712,612,280,113,20,2837,94,961,2498,2592,2470,1639,548,286,87,11181,61,777,2828,2609,2883,2410,920,462,97,13059,28,472,819,551,426,232,88,42,9,2676,59,283,686,509,318,202,95,45,10,2208,12,14,9,8,8,4,3,3,0,65,10,85,249,285,304,195,115,52,16,1315,1261,1115,1898,1684,1453,1196,811,664,237,10316,1766,6340,17852,17446,16683,12138,5625,3117,755,81707,4,361,1167,1221,1319,1219,645,242,73,6243,126,633,3132,2376,1783,794,154,12,0,9010,69,849,3182,3400,3360,2777,1616,853,216,16319,64,686,1474,1418,1229,1048,686,344,100,7051,17,102,458,497,423,327,177,96,20,2111
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,3,4,0,0,0,0,0,0,10,0,4,3,5,0,0,0,0,0,13,0,3,7,8,3,0,3,0,0,21,0,0,4,3,3,4,0,0,0,17,0,3,0,0,0,0,0,0,0,8,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,3,10,11,3,3,0,0,0,31,0,7,0,8,0,3,0,0,0,22,0,0,11,3,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,9,6,0,3,0,3,0,33,8,34,52,40,26,18,3,7,0,197,0,0,6,3,0,0,3,0,0,13,0,0,5,3,4,0,0,0,0,10,0,3,7,4,3,3,0,0,0,19,3,0,0,3,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,5
7RNTE,0,6,45,63,75,32,8,3,0,227,3,26,55,44,27,9,3,0,0,170,46,260,835,1022,838,483,162,34,4,3677,18,63,223,266,279,174,56,17,3,1093,44,56,167,157,107,47,14,3,0,593,4,22,101,153,114,60,9,3,0,472,0,6,99,120,190,138,39,4,0,590,8,50,177,213,221,127,22,3,0,827,6,34,152,222,162,113,11,0,0,712,4,27,49,46,46,17,3,3,3,196,13,76,139,140,78,43,13,3,0,498,8,0,3,0,13,0,0,0,0,28,12,11,53,45,46,33,6,3,0,212,690,651,1229,1205,933,598,235,99,23,5660,853,1288,3333,3699,3117,1870,582,176,29,14961,0,11,66,69,64,48,16,0,0,285,5,20,82,44,35,14,3,0,0,205,48,312,906,978,923,637,204,48,0,4065,28,127,391,330,306,221,94,12,0,1513,26,65,204,207,156,74,26,4,3,758
7GDAR,0,30,159,170,177,109,37,8,0,683,36,126,260,154,99,33,3,0,0,724,76,536,1749,2051,1641,1069,382,92,8,7614,23,105,418,476,471,375,148,51,3,2068,7,53,187,213,147,89,18,11,0,730,4,39,192,216,191,100,34,16,0,790,3,12,123,159,287,209,50,16,0,859,16,173,536,580,500,339,70,17,5,2240,7,93,391,406,335,227,75,22,3,1558,8,39,127,100,84,60,19,3,0,440,36,106,285,243,153,83,14,10,0,931,3,10,5,7,3,0,4,0,0,25,9,29,95,110,72,55,13,9,0,396,749,690,1391,1354,1267,876,436,172,35,6962,976,2043,5905,6247,5427,3626,1315,435,56,26020,0,29,163,184,158,131,57,10,0,728,26,113,377,213,118,71,10,0,0,929,99,739,1976,2117,1916,1313,569,137,16,8884,40,255,628,554,536,439,187,57,5,2697,11,68,185,226,175,96,41,13,3,826
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,5,0,0,0,0,0,17,0,23,12,12,4,0,0,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5,9,8,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
79499,0,5,5,0,0,4,0,0,0,14,0,0,0,3,3,0,0,0,0,8,0,12,36,26,36,58,25,0,0,195,0,4,7,12,9,18,13,0,0,63,0,3,5,3,0,6,3,0,0,22,0,0,5,3,3,0,0,0,0,18,0,0,0,0,0,7,0,0,0,10,0,3,10,3,3,11,0,0,0,23,0,3,7,4,0,5,0,0,0,21,0,3,3,0,0,3,0,0,0,9,0,3,6,5,3,10,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,10,20,36,26,40,46,10,3,0,193,8,49,126,85,106,168,53,3,0,606,0,3,0,3,3,0,0,0,0,8,0,0,4,3,0,0,0,0,0,11,3,15,31,26,33,56,24,0,0,179,0,7,20,15,8,17,7,0,0,66,0,0,10,12,5,4,0,0,0,28
