GCCSA_CODE_2016,C06_M_Post_Deg_15_19_yrs,C06_M_Post_Deg_20_24_yrs,C06_M_Post_Deg_25_34_yrs,C06_M_Post_Deg_35_44_yrs,C06_M_Post_Deg_45_54_yrs,C06_M_Post_Deg_55_64_yrs,C06_M_Post_Deg_65_74_yrs,C06_M_Post_Deg_75_84_yrs,C06_M_Post_Deg_85o,C06_M_Post_Deg_Tot,C06_M_GrDip_GrCe_15_19,C06_M_GrDip_GrCe_20_24,C06_M_GrDip_GrCe_25_34,C06_M_GrDip_GrCe_35_44,C06_M_GrDip_GrCe_45_54,C06_M_GrDip_GrCe_55_64,C06_M_GrDip_GrCe_65_74,C06_M_GrDip_GrCe_75_84,C06_M_GrDip_GrCe_85ov,C06_M_GrDip_GrCe_Tot,C06_M_BD_15_19,C06_M_BD_20_24,C06_M_BD_25_34,C06_M_BD_35_44,C06_M_BD_45_54,C06_M_BD_55_64,C06_M_BD_65_74,C06_M_BD_75_84,C06_M_BD_85o,C06_M_BD_T,C06_M_AdD_DL_15_19,C06_M_AdD_DL_20_24,C06_M_AdD_DL_25_34,C06_M_AdD_DL_35_44,C06_M_AdD_DL_45_54,C06_M_AdD_DL_55_64,C06_M_AdD_DL_65_74,C06_M_AdD_DL_75_84,C06_M_AdD_DL_85o,C06_M_AdD_DL_Tot,C06_M_CL_C_III_IV_15_19,C06_M_CL_C_III_IV_20_24,C06_M_CL_C_III_IV_25_34,C06_M_CL_C_III_IV_35_44,C06_M_CL_C_III_IV_45_54,C06_M_CL_C_III_IV_55_64,C06_M_CL_C_III_IV_65_74,C06_M_CL_C_III_IV_75_84,C06_M_CL_C_III_IV_85_ov,C06_M_CL_C_III_IV_Tot,C06_M_CL_C_I_II_15_19,C06_M_CL_C_I_II_20_24,C06_M_CL_C_I_II_25_34,C06_M_CL_C_I_II_35_44,C06_M_CL_C_I_II_45_54,C06_M_CL_C_I_II_55_64,C06_M_CL_C_I_II_65_74,C06_M_CL_C_I_II_75_84,C06_M_CL_C_I_II_85_ov,C06_M_CL_C_I_II_Tot,C06_M_CL_CL_nfd_15_19,C06_M_CL_CL_nfd_20_24,C06_M_CL_CL_nfd_25_34,C06_M_CL_CL_nfd_35_44,C06_M_CL_CL_nfd_45_54,C06_M_CL_CL_nfd_55_64,C06_M_CL_CL_nfd_65_74,C06_M_CL_CL_nfd_75_84,C06_M_CL_CL_nfd_85_ov,C06_M_CL_CL_nfd_Tot,C06_M_CL_T_15_19,C06_M_CL_T_20_24,C06_M_CL_T_25_34,C06_M_CL_T_35_44,C06_M_CL_T_45_54,C06_M_CL_T_55_64,C06_M_CL_T_65_74,C06_M_CL_T_75_84,C06_M_CL_T_85_ov,C06_M_CL_T_Tot,C06_M_LE_ID_15_19,C06_M_LE_ID_20_24,C06_M_LE_ID_25_34,C06_M_LE_ID_35_44,C06_M_LE_ID_45_54,C06_M_LE_ID_55_64,C06_M_LE_ID_65_74,C06_M_LE_ID_75_84,C06_M_LE_ID_85o,C06_M_LE_ID_Tot,C06_M_LE_NS_15_19,C06_M_LE_NS_20_24,C06_M_LE_NS_25_34,C06_M_LE_NS_35_44,C06_M_LE_NS_45_54,C06_M_LE_NS_55_64,C06_M_LE_NS_65_74,C06_M_LE_NS_75_84,C06_M_LE_NS_85_ov,C06_M_LE_NS_T,C06_M_Tot_15_19_yrs,C06_M_Tot_20_24_yrs,C06_M_Tot_25_34_yrs,C06_M_Tot_35_44_yrs,C06_M_Tot_45_54_yrs,C06_M_Tot_55_64_yrs,C06_M_Tot_65_74_yrs,C06_M_Tot_75_84_yrs,C06_M_Tot_85o,C06_M_T_T,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85o,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85ov,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85o,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85o,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85_ov,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85_ov,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85_ov,C11_M_CL_CL_nfd_Tot,C11_M_CL_T_15_19,C11_M_CL_T_20_24,C11_M_CL_T_25_34,C11_M_CL_T_35_44,C11_M_CL_T_45_54,C11_M_CL_T_55_64,C11_M_CL_T_65_74,C11_M_CL_T_75_84,C11_M_CL_T_85_ov,C11_M_CL_T_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85o,C11_M_LE_ID_Tot
9OTER,0,0,0,5,3,4,0,0,0,14,0,0,0,3,0,0,0,0,0,6,0,3,17,23,10,8,0,0,0,65,0,4,8,15,13,6,0,0,0,53,0,7,36,53,55,26,6,0,0,192,0,0,3,0,3,0,0,0,0,11,0,0,4,0,4,3,0,0,0,15,0,12,45,57,63,30,6,0,0,211,0,0,3,4,3,0,0,0,0,16,15,22,30,28,28,30,13,0,0,153,18,41,104,133,121,75,18,3,0,519,0,0,7,4,7,3,0,0,0,23,0,0,0,3,6,0,0,0,0,7,0,9,15,30,13,10,0,0,0,79,0,4,12,18,24,14,0,0,0,67,4,10,34,40,58,42,14,0,0,192,0,0,9,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,5,3,12,39,41,58,43,14,0,0,210,0,0,0,3,3,3,0,0,0,12
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,11,0,8,5,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,0,82,1791,2748,2918,2041,759,353,58,10754,0,37,598,950,1211,751,155,41,8,3746,14,2202,6619,5164,4797,3390,1330,675,158,24354,48,858,1909,2185,2060,1435,615,330,89,9522,242,1493,4158,4092,3551,2713,1617,836,142,18849,142,288,286,119,94,70,41,8,0,1052,48,156,320,248,286,266,112,50,10,1498,435,1937,4766,4458,3933,3053,1773,897,156,21402,33,110,291,318,332,254,124,118,29,1595,1243,1114,1875,1619,1429,1213,871,701,265,10324,1766,6340,17852,17446,16683,12138,5625,3117,755,81707,3,143,3046,3606,3456,2629,1226,458,114,14674,0,60,726,1063,1236,1004,301,47,8,4447,12,2314,8304,6023,4787,3968,1994,789,256,28447,38,768,2448,2700,2415,1774,868,369,102,11480,307,2065,4760,4415,3915,2914,1765,948,246,21335,174,272,292,159,115,92,48,13,6,1177,36,108,246,260,219,271,152,68,9,1367,513,2448,5299,4836,4249,3283,1964,1022,267,23876,31,168,322,357,267,299,233,164,61,1898
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,5,4,7,3,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,15,22,13,0,0,0,0,0,52,0,8,3,4,4,4,0,0,0,24,0,9,15,6,6,3,0,0,0,42,0,4,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,3,8,12,6,11,3,0,0,0,52,0,0,0,0,0,0,0,0,0,3,4,3,14,6,3,3,0,0,0,38,8,34,52,40,26,18,3,7,0,197,0,0,8,11,4,8,3,0,0,29,0,0,3,0,0,0,0,0,0,3,0,11,20,14,3,6,4,0,0,53,0,0,7,3,3,3,0,0,0,16,0,5,8,7,3,7,3,0,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,10,11,3,8,3,0,0,46,0,0,0,0,4,0,0,0,0,4
7RNTE,0,0,51,127,106,84,21,0,0,391,0,3,40,64,82,46,7,0,0,245,0,73,392,424,369,210,42,10,0,1521,4,59,258,297,296,183,47,7,0,1146,103,418,1201,1383,1143,680,208,62,9,5210,50,64,99,70,45,17,3,0,0,355,17,19,48,63,60,33,11,0,0,249,173,501,1346,1518,1257,725,219,57,7,5814,8,25,49,62,67,29,12,0,0,254,672,625,1202,1201,942,591,237,96,18,5589,853,1288,3333,3699,3117,1870,582,176,29,14961,0,8,123,135,146,115,38,6,0,567,0,3,53,80,87,77,4,0,0,313,0,96,568,495,383,328,74,5,0,1957,0,58,346,377,355,275,74,18,0,1511,119,537,1495,1510,1355,881,310,58,4,6258,43,91,150,134,85,37,14,6,0,552,11,28,67,76,65,40,24,0,0,316,176,653,1712,1714,1511,953,338,61,4,7130,3,26,50,49,56,44,12,3,0,248
7GDAR,0,9,130,260,326,249,61,14,0,1049,0,3,89,154,171,83,20,3,0,525,3,208,989,871,779,477,146,34,9,3510,5,121,556,760,634,413,99,28,3,2618,130,819,2415,2593,1994,1382,496,135,15,9995,79,114,125,69,54,25,5,0,0,470,10,46,100,104,97,63,14,4,0,438,223,983,2644,2768,2142,1477,518,141,14,10904,6,44,121,124,109,75,34,21,3,537,740,681,1378,1312,1264,850,435,189,35,6880,976,2043,5905,6247,5427,3626,1315,435,56,26020,0,10,336,350,351,297,111,17,5,1479,0,4,118,154,204,132,35,7,0,654,3,290,1407,1127,806,636,224,51,12,4549,8,165,673,883,754,576,194,44,8,3295,189,1187,2846,2813,2431,1659,694,187,20,12012,83,130,153,79,57,43,9,0,0,560,9,34,84,102,66,71,35,4,0,421,282,1348,3079,2994,2555,1772,743,192,18,12991,14,37,118,107,88,88,42,18,3,508
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,8,5,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,3,0,0,0,0,22,0,4,0,0,0,0,0,0,0,4,0,8,5,5,0,0,0,0,0,16,0,23,12,12,4,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,4,0,0,0,0,0,0,11,0,4,6,3,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,10,8,7,0,0,0,0,30,0,0,0,0,3,0,0,0,0,3
79499,0,0,0,3,0,0,0,0,0,9,0,0,3,3,0,3,0,0,0,11,0,10,22,11,6,12,3,0,0,64,0,0,3,0,4,13,6,0,0,27,0,16,54,39,44,92,40,0,0,280,0,3,3,0,3,0,0,0,0,7,0,0,4,5,0,4,0,0,0,13,0,17,58,47,43,99,37,0,0,302,0,0,4,0,4,5,0,0,0,11,10,20,36,25,40,43,12,0,0,181,8,49,126,85,106,168,53,3,0,606,0,3,3,3,0,4,0,0,0,16,0,0,0,0,3,5,3,0,0,19,0,6,18,13,8,11,8,0,0,71,0,7,5,10,8,13,3,0,0,44,3,18,53,29,38,67,42,0,0,245,0,0,4,3,4,0,0,0,0,15,0,0,0,3,4,3,0,0,0,8,3,20,57,36,42,66,41,0,0,267,0,3,4,0,0,3,4,0,0,13
