GCCSA_CODE_2016,C06_P_FoodHos_PS_15_19,C06_P_FoodHos_PS_20_24,C06_P_FoodHos_PS_25_34,C06_P_FoodHos_PS_35_44,C06_P_FoodHos_PS_45_54,C06_P_FoodHos_PS_55_64,C06_P_FoodHos_PS_65_74,C06_P_FoodHos_PS_75_84,C06_P_FoodHos_PS_85o,C06_P_Foo_hos_pers_S_Tot,C06_P_MixFld_pr_15_19,C06_P_MixFld_pr_20_24,C06_P_MixFld_pr_25_34,C06_P_MixFld_pr_35_44,C06_P_MixFld_pr_45_54,C06_P_MixFld_pr_55_64,C06_P_MixFld_pr_65_74,C06_P_MixFld_pr_75_84,C06_P_MixFld_pr_85_ov,C06_P_MixFld_pr_Tot,C06_P_FldStu_ID_15_19,C06_P_FldStu_ID_20_24,C06_P_FldStu_ID_25_34,C06_P_FldStu_ID_35_44,C06_P_FldStu_ID_45_54,C06_P_FldStu_ID_55_64,C06_P_FldStu_ID_65_74,C06_P_FldStu_ID_75_84,C06_P_FldStu_ID_85o,C06_P_FldStu_ID_Tot,C06_P_FldStu_NS_15_19,C06_P_FldStu_NS_20_24,C06_P_FldStu_NS_25_34,C06_P_FldStu_NS_35_44,C06_P_FldStu_NS_45_54,C06_P_FldStu_NS_55_64,C06_P_FldStu_NS_65_74,C06_P_FldStu_NS_75_84,C06_P_FldStu_NS_85o,C06_P_FldStu_NS_T,C06_P_Tot_15_19,C06_P_Tot_20_24,C06_P_Tot_25_34,C06_P_Tot_35_44,C06_P_Tot_45_54,C06_P_Tot_55_64,C06_P_Tot_65_74,C06_P_Tot_75_84,C06_P_Tot_85o,C06_P_T_T,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85_ov,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85_ov,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85_ov,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85o,C11_P_Arch_building_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85o,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85o,C11_P_Healt_To,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85o,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85o,C11_P_MngtCom_T,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85o,C11_P_Soc_cult_T,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_arts_85o,C11_P_Creative_arts_Tot,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85o,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85_ov,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85o,C11_P_FldStu_ID_T,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85o,C11_P_FldStu_NS_T,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85o,C11_P_T_T
9OTER,0,4,3,11,5,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,0,0,0,13,20,33,48,47,36,42,20,3,0,248,30,76,177,234,195,100,32,7,0,852,0,3,5,8,0,0,0,0,0,23,0,3,8,3,0,0,0,0,0,11,3,7,27,37,50,35,6,0,0,168,0,3,10,4,15,10,3,0,0,44,0,3,6,11,11,3,0,0,0,26,0,0,7,14,9,17,0,0,0,52,3,0,17,30,28,12,0,0,0,93,5,9,33,32,36,9,4,0,0,128,0,6,24,30,19,4,0,0,0,86,0,0,4,0,7,0,0,0,0,12,0,6,13,11,4,0,0,0,0,34,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,9,57,156,466,162,72,49,14,13,0,990,69,199,622,343,254,156,32,14,0,1686
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,11,0,8,8,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,8,0,0,0,0,22
8ACTE,244,820,1652,1190,731,465,209,112,30,5449,20,39,38,32,29,9,8,11,7,181,14,162,582,606,587,378,183,95,25,2636,2313,1983,3373,3041,2830,2305,1764,1710,738,20055,3485,13099,36806,34348,32535,22354,9993,5853,1769,160243,14,799,2553,2343,2225,1795,877,336,107,11051,158,780,3932,3094,2382,1059,203,15,0,11633,81,959,3629,3746,3648,2959,1732,949,252,17961,74,786,1703,1647,1412,1149,708,350,102,7935,26,205,823,887,635,441,213,107,20,3362,30,680,2806,2843,3069,2270,1140,560,206,13595,19,367,2334,2412,2584,2795,1619,559,143,12822,277,2939,9217,8511,6941,4771,1853,659,314,35479,179,2682,9603,7721,6761,5643,2585,897,237,36305,99,986,2644,1721,1161,690,287,129,52,7775,243,945,1843,1545,912,511,270,125,26,6427,25,54,24,18,16,17,12,9,4,168,21,197,684,752,683,477,228,125,44,3207,1923,2259,3456,2834,2473,2043,1712,1631,1108,19437,3164,14651,45262,40072,34901,26620,13426,6447,2623,187172
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,9,20,12,8,3,3,8,0,58,15,61,111,69,39,34,11,9,0,350,0,3,8,9,0,0,3,0,0,20,0,0,5,3,4,0,0,0,0,17,0,3,7,4,3,3,0,0,0,21,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,7,0,3,14,9,3,3,3,0,0,35,0,0,3,4,0,5,5,0,0,20,0,13,22,19,6,5,0,0,0,65,0,10,31,12,19,12,3,0,0,78,0,0,13,0,3,0,0,0,0,15,0,8,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,13,9,12,13,15,15,9,0,0,0,69,12,50,119,79,66,43,14,0,4,387
7RNTE,69,221,343,273,151,86,18,6,0,1168,8,3,12,8,16,8,4,0,0,53,16,28,88,89,80,40,9,3,0,345,1278,1211,2279,2113,1697,1009,458,200,61,10309,1608,2594,6639,6762,5733,3167,1017,326,88,27939,0,32,165,127,107,70,26,0,0,531,5,31,128,80,58,26,6,0,0,335,53,331,964,1023,958,664,212,51,6,4260,32,125,419,348,311,228,99,12,0,1568,39,115,335,291,218,89,27,3,3,1128,16,95,721,699,712,468,112,35,5,2871,10,104,585,637,686,571,152,27,3,2773,47,253,922,890,704,466,77,13,0,3373,32,204,765,727,611,438,98,14,0,2898,13,57,189,160,130,75,26,0,3,658,77,204,398,295,226,107,20,5,4,1344,0,7,19,17,10,10,3,0,0,65,5,25,101,117,87,33,13,3,0,389,1189,1111,2244,1997,1473,1030,544,210,83,9879,1519,2697,7967,7412,6303,4289,1417,381,102,32082
7GDAR,103,315,680,545,305,148,36,18,0,2150,5,19,16,11,4,3,5,3,0,61,9,38,159,189,129,95,23,11,0,660,1408,1146,2423,2460,2196,1464,713,378,88,12274,1894,3950,11550,11488,9648,5905,2013,743,139,47330,4,63,376,361,286,189,65,12,0,1359,36,140,490,306,202,115,15,6,0,1307,105,787,2146,2243,2005,1369,592,153,18,9431,41,270,697,601,566,449,187,57,5,2874,37,110,358,359,252,129,49,11,3,1318,17,282,1338,1095,1024,675,224,76,17,4748,15,106,724,834,916,798,305,54,10,3770,144,747,2561,2282,1661,1000,260,44,11,8706,84,430,1504,1440,1197,751,259,57,10,5726,15,115,433,291,215,147,49,12,3,1271,104,424,883,690,435,204,69,16,4,2832,5,9,13,17,10,7,3,4,0,71,10,62,211,227,131,109,28,9,4,798,1409,1456,3251,2865,2381,1727,883,464,132,14578,2035,4997,14988,13613,11285,7671,2992,980,224,58792
79799,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,5,7,0,0,0,0,0,23,0,26,14,13,4,0,0,0,0,59,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5,9,8,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,13,0,6,22,12,15,6,3,0,0,70
79499,3,12,14,10,6,11,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,17,36,86,40,55,76,18,4,0,329,21,95,264,138,183,255,84,4,0,1049,0,3,10,7,3,3,3,0,0,26,0,0,8,3,3,0,0,0,0,19,3,10,30,28,35,51,29,0,0,188,0,7,20,11,8,17,7,0,0,73,0,0,15,11,9,4,0,0,0,37,0,9,21,10,14,32,8,0,0,90,0,4,4,4,8,15,19,0,0,53,0,11,34,13,10,27,9,0,0,109,0,19,27,17,14,14,6,0,0,98,0,3,13,5,4,7,0,0,0,38,0,11,16,3,3,7,6,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0,17,8,22,59,48,59,68,31,3,0,296,10,92,270,164,173,247,116,7,0,1084
