GCCSA_CODE_2016,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_S_r_t_h_t_1_s_NPUR_1,C16_S_r_t_h_t_1_s_NPUR_2,C16_S_r_t_h_t_1_s_NPUR_3,C16_S_r_t_h_t_1_s_NPUR_4,C16_S_r_t_h_t_1_s_NPUR_5,C16_S_r_t_h_t_1_s_NPUR_6mo,C16_SDRTHTS_To,C16_S_r_t_h_t_2mor_s_NPUR_1,C16_S_r_t_h_t_2mor_s_NPUR_2,C16_S_r_t_h_t_2mor_s_NPUR_3,C16_S_r_t_h_t_2mor_s_NPUR_4,C16_S_r_t_h_t_2mor_s_NPUR_5,C16_SDRTHT2S_NPUR_6mo,C16_SDRTHT2S_To,C16_Sd_r_t_h_t_To_NPUR_1,C16_Sd_r_t_h_t_To_NPUR_2,C16_Sd_r_t_h_t_To_NPUR_3,C16_Sd_r_t_h_t_To_NPUR_4,C16_Sd_r_t_h_t_To_NPUR_5,C16_SDRTHT_NPUR_6mor,C16_Sd_r_t_h_t_To_Tot,C16_Fl_u_a_1_2SB_NPUR_1,C16_Fl_u_a_1_2SB_NPUR_2,C16_Fl_u_a_1_2SB_NPUR_3,C16_Fl_u_a_1_2SB_NPUR_4,C16_Fl_u_a_1_2SB_NPUR_5,C16_F_u_a_1_2SB_NPUR_6mor,C16_FUA_1_2SB_Tot,C16_F_u_a_I_a_3SB_NPUR_1,C16_F_u_a_I_a_3SB_NPUR_2,C16_F_u_a_I_a_3SB_NPUR_3,C16_F_u_a_I_a_3SB_NPUR_4,C16_F_u_a_I_a_3SB_NPUR_5,C16_F_u_a_I_a_3SB_NPUR_6m,C16_FUA_In_a_3_st_b_To,C16_F_u_a_4mor_s_b_NPUR_1,C16_F_u_a_4mor_s_b_NPUR_2,C16_F_u_a_4mor_s_b_NPUR_3,C16_F_u_a_4mor_s_b_NPUR_4,C16_F_u_a_4mor_s_b_NPUR_5,C16_F_u_a_4m_s_b_NPUR_6mor,C16_FUA_4mor_st_bl_Tot,C16_FUA_AH_NPUR_1,C16_FUA_AH_NPUR_2,C16_FUA_AH_NPUR_3,C16_FUA_AH_NPUR_4,C16_FUA_AH_NPUR_5,C16_FUA_AH_NPUR_6mo,C16_FUA_AH_Tot,C16_FUA_To_NPUR_1,C16_FUA_To_NPUR_2,C16_FUA_To_NPUR_3,C16_FUA_To_NPUR_4,C16_FUA_To_NPUR_5,C16_FUA_To_NPUR_6mo,C16_FUA_To_To,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mo,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mo,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_TO,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_T_T,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_T,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_T_T
9OTER,0,0,15,138,210,142,93,64,47,695,282,408,170,135,80,59,1130,16,19,9,9,3,0,54,10,7,5,8,0,0,29,25,31,9,12,5,3,87,28,11,3,3,0,0,49,8,19,9,3,7,4,59,4,0,0,0,0,0,5,0,0,0,0,0,0,3,43,35,17,5,8,8,115,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,10,5,9,0,0,0,0,12,8,5,0,0,0,0,16,369,479,200,160,90,66,1360
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,0,0,50,30249,43765,22581,21459,8169,3211,129425,15810,30363,17947,20299,7828,3266,95520,6050,4315,1856,1222,310,120,13872,3276,4015,2169,1365,399,179,11408,9326,8326,4032,2583,712,300,25278,2363,1513,403,232,61,26,4597,3333,2713,856,318,70,25,7314,4236,3821,876,305,43,19,9303,108,57,15,8,0,0,191,10045,8105,2153,866,170,74,21404,87,26,7,3,3,0,133,6,0,0,0,0,0,9,12,10,11,8,0,4,47,106,36,17,19,3,3,187,126,82,27,20,10,3,271,35413,46915,24175,23786,8727,3653,142664
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,8,7,158,5065,5989,3050,2912,1728,3420,22157,2491,4071,2330,2498,1496,2975,15862,986,725,295,207,120,192,2517,270,199,129,57,23,13,688,1257,923,423,261,145,207,3206,607,288,105,45,29,23,1093,81,35,10,3,0,0,136,41,11,3,3,0,0,61,10,3,0,0,0,0,17,742,346,120,51,31,20,1308,435,248,32,26,5,5,749,108,62,22,16,5,23,229,105,97,59,45,24,10,345,648,404,111,89,38,38,1323,135,80,35,34,16,23,315,5269,5829,3011,2931,1718,3260,22013
7GDAR,3,0,104,8259,12886,6946,6272,2743,1629,38731,3534,8208,5388,5723,2728,1664,27239,967,923,376,237,83,27,2629,565,764,358,225,73,35,2016,1530,1688,733,462,160,61,4646,1453,1282,581,372,115,39,3843,561,718,280,139,40,10,1755,1427,1849,672,367,93,50,4450,3,5,0,0,0,0,11,3446,3851,1539,875,254,97,10062,280,273,24,20,16,13,620,26,32,9,6,3,7,78,40,55,18,24,10,7,150,345,353,56,43,29,23,850,103,79,31,30,11,10,256,8957,14178,7749,7134,3179,1852,43043
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6RTAS,3,0,53,30825,41431,15439,14253,5903,2617,110476,26380,39016,14404,12936,5191,2454,100385,3520,1251,251,104,27,13,5172,493,375,122,75,33,8,1112,4010,1625,379,181,63,22,6282,2277,904,194,64,26,19,3485,107,29,9,0,0,0,152,159,29,8,3,0,0,191,62,27,5,4,0,4,103,2609,988,211,74,26,18,3927,304,140,17,10,7,0,485,31,22,3,4,5,4,70,106,113,42,18,6,6,286,440,276,65,32,20,13,848,223,151,49,42,25,11,504,33666,42065,15110,13272,5328,2515,111949
6GHOB,6,0,54,23209,28826,12845,11346,4246,1871,82352,17628,25857,12013,11053,4240,1821,72613,1833,808,232,100,33,18,3028,898,741,254,113,47,16,2071,2734,1550,494,213,73,33,5099,3322,1649,449,212,53,26,5708,525,290,70,29,6,0,931,368,196,48,13,0,0,623,36,15,10,0,0,0,62,4252,2152,582,262,64,28,7335,77,49,7,3,0,0,144,21,6,6,3,0,0,35,50,58,33,19,13,4,171,147,116,49,25,12,7,356,90,67,25,20,6,7,224,24851,29749,13164,11574,4402,1894,85630
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,15,12,409,40749,60486,24190,24344,11151,6149,167064,33796,57017,23389,23943,11105,5735,154990,5909,3103,937,498,190,106,10755,580,640,220,143,54,22,1658,6486,3741,1159,643,252,130,12408,1959,949,234,111,40,19,3312,92,72,11,6,0,0,182,68,54,13,4,0,0,140,19,13,0,0,0,0,31,2131,1087,255,125,45,21,3661,1847,1056,81,63,21,5,3081,216,145,29,27,22,13,451,176,202,83,64,23,9,555,2242,1409,190,160,63,32,4089,549,443,131,116,67,36,1343,45207,63692,25124,24988,11531,5954,176495
5GPER,11,0,277,148017,213458,102389,103272,41548,18416,627098,90986,174563,96662,105582,43109,19924,530833,34685,27009,10420,6413,2019,900,81447,8834,10964,4735,3057,831,287,28705,43516,37970,15154,9474,2846,1184,110149,9348,5410,1361,751,186,71,17119,5771,4073,1034,419,87,35,11414,7523,7007,1607,557,92,41,16833,33,14,3,0,0,0,52,22680,16501,4007,1729,367,145,45419,1022,486,51,27,9,5,1607,33,42,11,21,3,11,119,133,169,88,64,40,20,517,1186,703,153,107,54,35,2234,630,496,216,188,72,36,1636,159002,230232,116190,117079,46452,21323,690280
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,8,3,144,41517,55341,18119,17374,7990,3272,143614,34044,51345,16791,15912,7350,3114,128558,6141,3081,895,593,247,138,11111,139,171,35,38,10,3,401,6282,3252,930,634,263,144,11510,2608,734,148,73,18,10,3590,40,21,3,0,0,0,65,17,9,5,0,0,0,31,3,0,3,0,0,0,10,2669,764,157,79,18,10,3691,660,376,32,18,7,3,1092,113,34,6,8,6,0,174,132,143,48,26,15,4,373,905,560,87,56,31,5,1637,392,311,94,91,47,13,946,44290,56228,18054,16768,7712,3290,146344
