GCCSA_CODE_2016,C06_1PF_U_N,C06_1PF_U_1_149,C06_1PF_U_150_299,C06_1PF_U_300_399,C06_1PF_U_400_499,C06_1PF_U_500_649,C06_1PF_U_650_799,C06_1PF_U_800_999,C06_1PF_U_1000_1499,C06_1PF_U_1500_1999,C06_1PF_U_2000_2499,C06_1PF_U_2500_2999,C06_1PF_U_3000_3999,C06_1PF_U_4000m,C06_1PF_U_Ns,C06_1PF_U_T,C06_1PF_N_lf_Fi_N,C06_1PF_N_lf_Fi_1_149,C06_1PF_N_lf_Fi_150_299,C06_1PF_N_lf_Fi_300_399,C06_1PF_N_lf_Fi_400_499,C06_1PF_N_lf_Fi_500_649,C06_1PF_N_lf_Fi_650_799,C06_1PF_N_lf_Fi_800_999,C06_1PF_N_lf_Fi_1000_1499,C06_1PF_N_lf_Fi_1500_1999,C06_1PF_N_lf_Fi_2000_2499,C06_1PF_N_lf_Fi_2500_2999,C06_1PF_N_lf_Fi_3000_3999,C06_1PF_N_lf_Fi_4000m,C06_1PF_N_lf_Fi_Ns,C06_1PF_N_lf_T,C06_1PF_LFns_N,C06_1PF_LFns_1_149,C06_1PF_LFns_150_299,C06_1PF_LFns_300_399,C06_1PF_LFns_400_499,C06_1PF_LFns_500_649,C06_1PF_LFns_650_799,C06_1PF_LFns_800_999,C06_1PF_LFns_1000_1499,C06_1PF_LFns_1500_1999,C06_1PF_LFns_2000_2499,C06_1PF_LFns_2500_2999,C06_1PF_LFns_3000_3999,C06_1PF_LFns_4000m,C06_1PF_LFns_Ns,C06_1PF_LF_NS_T,C06_1PF_TFI_N,C06_1PF_TFI_1_149,C06_1PF_TFI_150_299,C06_1PF_TFI_300_399,C06_1PF_TFI_400_499,C06_1PF_TFI_500_649,C06_1PF_TFI_650_799,C06_1PF_TFI_800_999,C06_1PF_TFI_1000_1499,C06_1PF_TFI_1500_1999,C06_1PF_TFI_2000_2499,C06_1PF_TFI_2500_2999,C06_1PF_TFI_3000_3999,C06_1PF_TFI_4000m,C06_1PF_TFI_Ns,C06_1PF_TFI_T,C06_TFI_N,C06_TFI_1_149,C06_TFI_150_299,C06_TFI_300_399,C06_TFI_400_499,C06_TFI_500_649,C06_TFI_650_799,C06_TFI_800_999,C06_TFI_1000_1499,C06_TFI_1500_1999,C06_TFI_2000_2499,C06_TFI_2500_2999,C06_TFI_3000_3999,C06_TFI_4000m,C06_TFI_Ns,C06_T_T,C11_CFNC_BF_N,C11_CFNC_BF_1_149,C11_CFNC_BF_150_299,C11_CFNC_BF_300_399,C11_CFNC_BF_400_499,C11_CFNC_BF_500_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_999,C11_CFNC_BF_1000_1499,C11_CFNC_BF_1500_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000m,C11_CFNC_BF_Ns,C11_CFNC_BF_T,C11_CFNC_BPT_N,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_299,C11_CFNC_BPT_300_399,C11_CFNC_BPT_400_499,C11_CFNC_BPT_500_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_999,C11_CFNC_BPT_1000_1499,C11_CFNC_BPT_1500_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000m,C11_CFNC_BPT_Ns,C11_CFNC_BPT_T,C11_CFNC_1F1P_N,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_299,C11_CFNC_1F1P_300_399,C11_CFNC_1F1P_400_499,C11_CFNC_1F1P_500_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_999,C11_CFNC_1F1P_1000_1499,C11_CFNC_1F1P_1500_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000m,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_T,C11_CFNC_1E1A_N,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_299,C11_CFNC_1E1A_300_399,C11_CFNC_1E1A_400_499,C11_CFNC_1E1A_500_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_999,C11_CFNC_1E1A_1000_1499,C11_CFNC_1E1A_1500_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000m,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_T,C11_CFNC_1F1NW_N,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_299,C11_CFNC_1F1NW_300_399,C11_CFNC_1F1NW_400_499,C11_CFNC_1F1NW_500_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_999,C11_CFNC_1F1NW_1000_1499,C11_CFNC_1F1NW_1500_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000m,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_T,C11_CFNC_1P1NW_N,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_299,C11_CFNC_1P1NW_300_399,C11_CFNC_1P1NW_400_499,C11_CFNC_1P1NW_500_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_999,C11_CFNC_1P1NW_1000_1499,C11_CFNC_1P1NW_1500_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000m,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_T,C11_CFNC_1A1NW_N,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_299,C11_CFNC_1A1NW_300_399,C11_CFNC_1A1NW_400_499,C11_CFNC_1A1NW_500_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_999,C11_CFNC_1A1NW_1000_1499,C11_CFNC_1A1NW_1500_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000m,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_T,C11_CFNC_BA_N,C11_CFNC_BA_1_149,C11_CFNC_BA_150_299,C11_CFNC_BA_300_399,C11_CFNC_BA_400_499,C11_CFNC_BA_500_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_999
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,12,27,126,259,24,216,42,26,34,10,0,4,0,0,102,881,110,128,694,1192,328,1420,352,356,434,96,23,28,6,10,697,5883,8,0,15,13,13,18,11,6,17,3,0,0,0,0,348,456,155,231,1132,2239,435,3403,1457,1218,1913,576,176,182,76,21,2178,15399,1034,1217,1763,2948,6963,10628,5498,6972,24362,13424,7773,6060,3814,1302,16636,110400,192,3,70,22,28,161,194,454,1214,1850,2746,1391,2699,1315,268,12612,41,4,49,27,22,186,225,416,509,265,223,85,131,62,49,2293,62,8,40,27,31,108,224,521,1676,1657,1340,651,1011,195,133,7689,21,0,10,9,6,28,39,94,265,275,274,155,264,95,64,1607,43,8,29,35,106,115,413,525,1253,824,242,879,173,57,218,4909,18,25,91,128,162,546,516,487,469,190,84,65,48,20,89,2932,12,3,20,23,16,68,66,93,138,100,36,90,17,10,79,786,17,0,6,8,3,38,26,55
5GPER,43,87,345,725,58,688,143,125,150,36,17,15,0,0,257,2688,583,559,1948,3712,961,4992,1445,1631,2560,683,220,196,76,21,2519,22097,8,6,27,40,26,66,35,30,70,16,3,0,3,0,829,1162,724,895,2957,6627,1213,11576,6076,5609,10570,3711,1288,1227,402,73,7653,60602,2700,3343,4522,8673,20349,32991,18477,23610,83050,52269,33375,28197,20073,6983,54020,392648,134,7,43,17,10,80,139,466,2711,5885,11379,5949,10336,5387,512,43052,53,4,87,76,62,385,639,1193,1654,944,732,358,513,262,101,7063,68,7,28,24,36,135,338,953,4736,5189,4672,2525,3782,887,307,23677,23,3,9,19,18,68,105,197,660,807,936,553,876,355,195,4818,94,20,39,56,262,228,1233,1823,4747,3339,980,3764,911,385,593,18471,73,81,259,316,527,1368,1586,1545,1986,915,386,475,339,163,316,10337,25,5,35,30,63,126,196,229,457,293,110,311,86,23,134,2120,13,3,15,0,8,35,32,82
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,8,26,148,247,46,214,39,30,24,3,0,3,0,0,87,879,54,140,696,1160,343,1494,302,325,390,66,21,25,4,3,560,5594,3,0,8,14,6,17,5,6,13,0,0,0,0,0,243,326,89,220,1067,2125,468,3331,1290,1008,1478,305,83,83,24,9,1575,13161,852,1307,1783,2937,9696,12402,5873,6945,22892,9718,4855,2518,1416,625,11256,95082,106,6,88,25,22,159,226,494,1404,1775,1862,722,795,311,172,8178,30,0,39,31,23,228,260,494,548,255,116,53,54,31,37,2199,30,6,35,27,27,143,294,697,2050,1457,924,302,370,102,106,6566,7,0,11,7,14,36,49,121,295,221,181,64,72,25,48,1151,29,5,42,37,106,184,507,625,1099,527,142,288,72,19,162,3853,13,24,83,128,163,770,624,521,443,155,66,26,20,8,70,3116,9,3,11,9,21,74,84,89,136,66,15,30,12,5,47,610,11,0,13,0,3,23,23,47
4GADE,32,73,394,715,83,645,157,99,128,30,4,10,3,0,236,2604,330,425,2199,3844,1217,5085,1369,1595,2325,503,154,118,42,21,2203,21430,9,16,27,31,21,62,23,37,45,3,3,3,5,0,616,898,437,662,3114,6336,1489,10923,5477,4846,8608,2532,811,658,210,41,6307,52446,1720,2873,4532,8005,21393,31916,17244,21149,69674,39951,23620,14871,10537,3526,34829,305837,86,4,39,6,17,79,160,540,2841,5507,8088,3451,4303,1501,303,26921,25,4,71,48,56,384,477,1042,1311,666,400,175,248,134,80,5111,49,6,22,30,27,127,398,1138,4672,4104,3176,1159,1524,392,236,17066,16,0,5,12,12,37,90,202,613,601,628,280,337,100,125,3069,47,12,45,56,197,276,1450,1817,3666,2086,649,1364,440,131,342,12579,50,79,195,267,424,1321,1424,1289,1576,677,329,234,178,98,177,8314,18,12,29,23,41,121,155,171,298,182,56,97,38,20,78,1328,11,0,15,3,5,25,48,61
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,106,117,706,1632,161,1662,319,211,223,42,5,9,3,3,517,5707,587,618,2797,5931,1581,8816,2140,2240,2901,655,183,171,50,30,3536,32223,18,25,40,75,44,129,61,73,70,16,3,3,4,0,1398,1965,887,1106,4583,11265,2070,20714,9437,7510,11775,3059,946,837,291,91,10272,84860,4506,5464,7505,14935,37781,59313,30381,37354,126345,63376,34628,21874,14098,5352,71159,534060,538,29,294,86,96,540,771,2234,7539,11123,13544,5430,8054,2843,1163,54288,96,10,155,110,109,804,1034,2077,2409,1137,794,294,400,234,235,9909,147,13,137,99,99,482,990,2646,9377,7313,5314,2216,2837,617,699,32991,42,0,26,29,41,147,221,409,1228,1241,1083,495,715,198,329,6204,193,63,160,172,520,736,2711,3290,6384,3700,1163,2859,674,214,1059,23892,109,120,398,529,867,2750,2689,2238,2319,944,399,328,223,120,429,14458,57,17,47,59,95,305,379,366,653,391,137,309,71,27,247,3150,52,5,28,13,5,72,104,196
3GBRI,68,123,463,1172,104,1215,286,215,239,52,13,14,3,9,370,4342,661,551,2357,4939,1332,7625,2026,2412,3753,919,291,240,95,31,3057,30288,17,13,41,46,28,93,47,51,71,25,6,3,0,0,1078,1524,856,942,3523,8590,1653,16420,8663,7784,14184,4598,1539,1253,407,80,8877,79358,3075,3786,5482,11074,24190,41945,24736,31446,110610,67405,42091,30325,21727,7696,55171,480746,181,5,69,28,28,157,309,938,5397,9914,15419,7180,10740,4934,729,56029,52,10,116,81,90,531,769,1400,1868,893,725,309,362,185,125,7503,75,13,45,39,57,224,569,1525,6847,6158,5057,2310,3086,786,442,27228,33,0,9,20,19,108,143,276,954,957,1130,574,748,286,235,5498,105,29,64,119,378,406,2117,2707,6079,3849,1180,3088,842,311,723,21986,63,103,305,449,670,1669,1720,1682,2049,836,379,363,250,112,274,10923,28,14,38,47,60,179,273,304,542,295,130,203,63,31,174,2380,23,0,17,7,5,52,43,110
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,46,94,560,1124,136,899,179,111,104,30,6,5,0,0,332,3619,239,415,2092,4418,1246,5922,1383,1435,1746,361,67,89,23,20,2409,21885,5,14,27,37,35,92,30,48,52,10,0,0,3,0,797,1151,379,709,3354,8089,1637,12931,5460,4490,6494,1570,385,371,98,40,6762,52756,2370,3932,5409,10581,27578,41374,20915,25368,81010,37897,18855,10819,6694,2279,41729,336814,248,10,222,65,50,432,666,1558,4666,6234,6966,2396,3038,1060,643,28258,50,6,144,78,93,666,743,1504,1650,780,515,139,200,91,161,6813,120,12,120,86,98,439,909,2079,6432,4677,3193,1173,1444,308,476,21578,25,5,28,15,23,119,189,354,894,736,618,252,273,71,163,3763,88,22,119,115,335,483,1867,2013,3578,1829,547,1111,286,86,588,13059,55,65,287,365,570,2007,1913,1739,1779,623,258,170,134,56,303,10309,21,8,44,47,84,224,263,275,415,197,62,100,44,9,161,1965,23,0,26,8,7,86,81,164
2GMEL,231,305,1124,1777,296,1597,428,349,473,120,36,30,14,3,799,7572,1439,1470,5912,8816,3311,12077,3935,4782,8187,2337,823,565,233,86,6883,60855,51,35,78,82,72,174,83,118,168,41,15,7,5,5,2201,3141,1954,2373,8564,15002,4133,25606,13827,13196,25866,9025,3307,2924,1053,213,19193,146245,8121,10642,13887,21215,53590,77464,45707,58708,196871,121593,78153,63709,49121,18609,116216,933603,342,13,113,43,48,218,448,1716,8525,15739,25670,12400,18715,10001,1468,95458,113,12,209,179,176,1145,1400,2502,3278,1845,1253,571,827,466,258,14227,158,12,90,84,91,455,1106,2899,11046,10188,8120,3662,5596,1490,832,45824,40,4,32,41,39,160,219,478,1498,1509,1712,821,1111,514,408,8584,256,69,144,260,954,684,4251,4881,10528,6017,2073,5165,1728,723,1404,39141,150,306,719,1019,1396,2878,3144,3202,3966,1685,927,845,617,366,656,21874,70,35,84,90,166,311,477,502,875,450,212,356,128,66,389,4207,28,0,38,10,9,72,102,213
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,97,224,1325,2521,334,2149,430,270,255,31,8,11,0,3,843,8515,541,963,4922,9345,3012,12667,2821,3106,3791,851,185,200,55,41,5212,47718,27,17,63,107,60,170,61,81,96,24,5,13,0,3,1821,2562,818,1587,7574,16684,3796,26174,10676,8808,13836,3638,956,875,260,81,13838,109601,4800,7748,11723,21617,58460,80870,37927,45532,141727,69579,38230,25198,16311,5266,79357,644337,497,24,360,119,100,638,920,2443,7507,9870,11502,4863,7228,2762,914,49761,90,4,198,138,133,949,1183,2292,2725,1305,879,309,436,211,239,11096,185,16,174,120,171,698,1296,3156,9812,7481,5272,2313,2943,655,656,34964,46,6,50,37,60,185,277,536,1359,1125,1115,485,685,229,310,6511,145,38,163,195,571,897,3036,3266,6636,3976,1196,2656,686,198,996,24664,82,113,446,604,974,3508,3333,2917,3152,1244,620,400,244,117,514,18257,46,27,62,89,138,415,398,475,721,426,153,290,93,27,251,3616,47,3,46,18,11,117,127,229
1GSYD,278,321,1279,2059,304,1915,541,395,582,171,59,62,17,8,877,8858,2185,1902,6791,10283,3692,13785,4441,5115,9430,3091,1199,1003,486,176,8152,71733,59,34,113,120,69,231,102,131,218,72,22,21,14,10,2604,3813,2830,2829,9563,16762,4484,27425,14573,13957,29133,11586,4813,4641,1809,457,21338,166201,10729,11473,15719,24108,52966,81215,47450,58432,197491,128753,91358,86849,73065,33413,129693,1042726,320,20,122,45,44,195,427,1661,8159,14726,24580,12868,23930,16277,1251,104615,96,4,220,146,166,966,1403,2575,3342,1778,1420,688,1052,581,242,14684,141,13,88,53,110,408,919,2534,9842,9174,7837,3999,6721,2110,684,44631,42,6,26,38,39,142,232,478,1407,1400,1552,805,1341,719,403,8634,227,70,131,267,1092,722,4317,5067,10931,6773,2300,6637,2414,1071,1333,43351,163,250,715,1042,1501,2595,3153,2936,4052,1926,1072,969,817,427,586,22195,67,29,78,96,171,262,420,520,849,467,196,321,166,96,336,4066,39,0,25,13,12,78,85,179
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
