GCCSA_CODE_2016,C06_Aus_BP_B_OS,C06_Aus_Fa_O_B_OS,C06_Aus_Mo_O_B_OS,C06_Aus_BP_B_Aus,C06_Aus_Bplace_NS,C06_Aus_Tot_resp,C06_Aus_Ab_BP_B_OS,C06_Aus_Ab_Fa_O_B_OS,C06_Aus_Ab_Mo_O_B_OS,C06_Aus_Ab_BP_B_Aus,C06_Aus_Abor_Bplace_NS,C06_Aus_Abor_Tot_respons,C06_Chi_BP_B_OS,C06_Chi_Fa_O_B_OS,C06_Chi_Mo_O_B_OS,C06_Chi_BP_B_Aus,C06_Chi_Bplace_NS,C06_Chi_Tot_resp,C06_Cro_BP_B_OS,C06_Cro_Fa_O_B_OS,C06_Cro_Mo_O_B_OS,C06_Cro_BP_B_Aus,C06_Cro_Bplace_NS,C06_Cro_Tot_resp,C06_Dut_BP_B_OS,C06_Dut_Fa_O_B_OS,C06_Dut_Mo_O_B_OS,C06_Dut_BP_B_Aus,C06_Dut_Bplace_NS,C06_Dut_Tot_resp,C06_Eng_BP_B_OS,C06_Eng_Fa_O_B_OS,C06_Eng_Mo_O_B_OS,C06_Eng_BP_B_Aus,C06_Eng_Bplace_NS,C06_Eng_Tot_resp,C06_Fil_BP_B_OS,C06_Fil_Fa_O_B_OS,C06_Fil_Mo_O_B_OS,C06_Fil_BP_B_Aus,C06_Fil_Bplace_NS,C06_Fil_Tot_resp,C06_Fre_BP_B_OS,C06_Fre_Fa_O_B_OS,C06_Fre_Mo_O_B_OS,C06_Fre_BP_B_Aus,C06_Fre_Bplace_NS,C06_Fre_Tot_resp,C06_Ger_BP_B_OS,C06_Ger_Fa_O_B_OS,C06_Ger_Mo_O_B_OS,C06_Ger_BP_B_Aus,C06_Ger_Bplace_NS,C06_Ger_Tot_resp,C06_Gre_BP_B_OS,C06_Gre_Fa_O_B_OS,C06_Gre_Mo_O_B_OS,C06_Gre_BP_B_Aus,C06_Gre_Bplace_NS,C06_Gre_Tot_resp,C06_Hun_BP_B_OS,C06_Hun_Fa_O_B_OS,C06_Hun_Mo_O_B_OS,C06_Hun_BP_B_Aus,C06_Hun_Bplace_NS,C06_Hun_Tot_resp,C06_Ind_BP_B_OS,C06_Ind_Fa_O_B_OS,C06_Ind_Mo_O_B_OS,C06_Ind_BP_B_Aus,C06_Ind_Bplace_NS,C06_Ind_Tot_resp,C06_Iri_BP_B_OS,C06_Iri_Fa_O_B_OS,C06_Iri_Mo_O_B_OS,C06_Iri_BP_B_Aus,C06_Iri_Bplace_NS,C06_Iri_Tot_resp,C06_Ita_BP_B_OS,C06_Ita_Fa_O_B_OS,C06_Ita_Mo_O_B_OS,C06_Ita_BP_B_Aus,C06_Ita_Bplace_NS,C06_Ita_Tot_resp,C06_Kor_BP_B_OS,C06_Kor_Fa_O_B_OS,C06_Kor_Mo_O_B_OS,C06_Kor_BP_B_Aus,C06_Kor_Bplace_NS,C06_Kor_Tot_resp,C06_Leb_BP_B_OS,C06_Leb_Fa_O_B_OS,C06_Leb_Mo_O_B_OS,C06_Leb_BP_B_Aus,C06_Leb_Bplace_NS,C06_Leb_Tot_resp,C06_Mac_BP_B_OS,C06_Mac_Fa_O_B_OS,C06_Mac_Mo_O_B_OS,C06_Mac_BP_B_Aus,C06_Mac_Bplace_NS,C06_Mac_Tot_resp,C06_Mal_BP_B_OS,C06_Mal_Fa_O_B_OS,C06_Mal_Mo_O_B_OS,C06_Mal_BP_B_Aus,C06_Mal_Bplace_NS,C06_Mal_Tot_resp,C06_Mao_BP_B_OS,C06_Mao_Fa_O_B_OS,C06_Mao_Mo_O_B_OS,C06_Mao_BP_B_Aus,C06_Mao_Bplace_NS,C06_Mao_Tot_resp,C06_NZ_BP_B_OS,C06_NZ_Fa_O_B_OS,C06_NZ_Mo_O_B_OS,C06_NZ_BP_B_Aus,C06_NZ_Bplace_NS,C06_NZ_Tot_resp,C06_Pol_BP_B_OS,C06_Pol_Fa_O_B_OS,C06_Pol_Mo_O_B_OS,C06_Pol_BP_B_Aus,C06_Pol_Bplace_NS,C06_Pol_Tot_resp,C06_Rus_BP_B_OS,C06_Rus_Fa_O_B_OS,C06_Rus_Mo_O_B_OS,C06_Rus_BP_B_Aus,C06_Rus_Birthplac_ns,C06_Rus_Tot_resp,C06_Sco_BP_B_OS,C06_Sco_Fa_O_B_OS,C06_Sco_Mo_O_B_OS,C06_Sco_BP_B_Aus,C06_Sco_Birthplac_ns,C06_Sco_Tot_resp,C06_Ser_BP_B_OS,C06_Ser_Fa_O_B_OS,C06_Ser_Mo_O_B_OS,C06_Ser_BP_B_Aus,C06_Ser_Bplace_NS,C06_Ser_Tot_resp,C06_SAf_BP_B_OS,C06_SAf_Fa_O_B_OS,C06_SAf_Mo_O_B_OS,C06_SAf_BP_B_Aus,C06_SAf_Bplace_NS,C06_SAf_Tot_resp,C06_Span_BP_B_OS,C06_Span_Fa_O_B_OS,C06_Span_Mo_O_B_OS,C06_Span_BP_B_Aus,C06_Span_Bplace_NS,C06_Span_Tot_resp,C06_Sinha_BP_B_OS,C06_Sinha_Fa_O_B_OS,C06_Sinha_Mo_O_B_OS,C06_Sinha_BP_B_Aus,C06_Sinha_Bplace_NS,C06_Sinha_Tot_resp,C06_Turk_BP_B_OS,C06_Turk_Fa_O_B_OS,C06_Turk_Mo_O_B_OS,C06_Turk_BP_B_Aus,C06_Turk_Bplace_NS,C06_Turk_Tot_resp,C06_Viet_BP_B_OS,C06_Viet_Fa_O_B_OS,C06_Viet_Mo_O_B_OS,C06_Viet_BP_B_Aus,C06_Viet_Bplace_NS,C06_Viet_Tot_resp,C06_Wel_BP_B_OS,C06_Wel_Fa_O_B_OS,C06_Wel_Mo_O_B_OS,C06_Wel_BP_B_Aus,C06_Wel_Bplace_NS,C06_Wel_Tot_resp,C06_Oth_BP_B_OS,C06_Oth_Fa_O_B_OS,C06_Oth_Mo_O_B_OS,C06_Oth_BP_B_Aus,C06_Oth_Bplace_NS,C06_Oth_Tot_resp,C06_Anc_ns_BP_B_OS,C06_Anc_ns_Fa_O_B_OS,C06_Anc_ns_Mo_O_B_OS,C06_Anc_ns_BP_B_Aus,C06_Anc_ns_Bplace_NS,C06_Anc_NS_T_resp,C06_T_P_BP_B_OS,C06_T_P_Fa_only_bor_os,C06_T_P_Mo_O_B_OS,C06_T_P_BP_B_Aus,C06_T_P_Bplace_NS,C06_T_P_Tot_resp,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS
9OTER,36,54,48,407,30,580,0,3,3,165,3,169,467,7,15,9,17,513,0,0,0,0,0,0,7,4,0,4,0,15,101,38,19,131,10,295,3,0,3,3,0,10,3,0,0,0,0,7,6,3,0,13,0,16,0,0,0,0,0,0,3,0,0,0,0,3,18,0,0,0,0,22,16,13,6,50,0,80,5,3,0,15,0,20,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,13,3,0,0,0,15,3,0,0,5,0,9,3,0,0,0,0,8,25,8,5,39,3,77,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,8,203,35,48,213,54,556,34,6,5,48,119,215,873,118,110,954,232,2290,12,54
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,11,11,3,0,0,11,11,25,0,0
8ACTE,2107,14985,11406,102058,2451,133005,25,37,24,569,32,683,8570,306,471,558,161,10063,3011,395,132,541,98,4175,2768,1044,654,1366,79,5917,21624,11191,8202,57912,1759,100693,1858,45,312,35,48,2303,794,173,146,651,28,1801,4351,1387,964,7281,220,14200,2539,469,185,917,79,4195,1042,216,123,235,24,1642,3911,164,148,69,86,4391,4239,2586,1975,28112,610,37525,5041,1372,579,3383,205,10577,889,9,42,33,29,1007,663,104,56,204,19,1047,638,66,26,74,23,830,618,209,144,323,26,1313,388,116,95,83,28,704,1385,518,393,187,32,2514,2466,398,241,669,50,3831,859,107,84,198,22,1269,5781,2886,2099,17919,395,29079,1492,175,69,150,40,1926,673,118,107,49,11,954,1405,182,158,294,52,2101,1647,66,75,42,51,1880,234,40,11,12,5,306,2866,30,100,23,88,3100,874,304,173,974,41,2353,19239,2744,2246,2981,615,27830,1853,452,317,3700,13369,19696,90445,25291,18643,169835,19119,323325,2346,14885
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,12,24,25,210,7,280,0,3,0,3,0,12,16,0,0,0,0,21,3,0,0,0,0,4,8,3,0,6,0,19,44,16,15,119,4,202,11,0,0,0,0,10,3,0,0,0,0,7,6,6,0,15,0,25,4,0,0,0,0,8,8,0,0,0,0,5,4,0,0,0,0,4,15,13,3,55,0,90,7,0,0,9,0,18,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,3,0,0,0,4,3,0,0,0,0,6,3,0,0,0,0,3,13,3,8,32,0,50,3,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,4,46,7,0,9,4,67,3,0,0,4,54,60,196,57,39,350,73,709,6,25
7RNTE,244,1600,1361,17603,708,21514,22,98,24,33650,614,34408,239,28,35,233,13,554,55,10,4,16,0,90,369,143,66,150,13,731,3041,1244,1025,8599,365,14273,444,5,73,6,12,549,141,24,13,122,3,300,653,198,111,1693,65,2729,83,40,13,78,3,219,58,13,3,16,3,93,178,4,15,12,6,217,697,279,188,3288,123,4577,309,122,49,424,17,917,31,0,0,0,0,33,14,3,3,12,3,33,9,0,0,0,0,11,37,18,5,20,3,74,265,57,32,24,13,387,282,67,55,26,13,438,124,33,12,51,3,219,33,10,15,25,3,82,762,318,220,2391,59,3756,50,10,6,21,3,91,102,14,10,6,4,135,81,8,10,47,9,150,53,6,9,9,3,83,11,0,0,3,0,10,83,3,5,0,13,102,110,36,10,113,4,281,1926,310,232,735,90,3300,171,49,62,1784,7619,9693,8589,2886,2221,61801,9423,84910,245,1577
7GDAR,674,4115,3618,32559,1255,42225,3,84,46,1785,69,1990,2282,185,226,711,98,3509,87,32,7,45,3,175,831,307,193,412,37,1780,6799,2991,2447,16757,772,29765,1665,39,235,56,58,2050,259,53,55,176,3,543,1212,459,265,2845,106,4888,1736,370,109,531,82,2829,157,40,8,30,0,239,636,42,43,33,23,775,1332,745,522,6773,189,9560,876,346,133,941,71,2357,47,3,3,9,3,66,31,9,6,29,3,80,21,0,0,0,0,23,80,44,19,69,10,221,389,82,65,43,17,601,613,224,167,56,20,1075,249,78,27,131,11,502,85,27,14,58,6,192,1763,709,548,4640,155,7816,111,24,9,23,8,176,151,23,7,16,3,201,244,32,18,110,7,413,228,19,8,22,5,283,37,6,0,8,0,49,546,7,11,0,37,610,225,71,60,258,12,619,5699,731,761,1202,272,8662,739,173,174,1892,10825,13797,24931,7329,5931,54365,13430,105992,773,4060
79799,0,3,3,19,0,27,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,22,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,12,17,27,3,3,49,19,94,3,0
79499,4,71,39,586,17,721,0,0,0,28,3,25,9,0,0,8,0,20,0,0,0,0,0,0,18,4,0,5,3,32,185,57,38,300,14,595,3,0,0,0,0,5,12,5,0,5,0,20,32,6,15,52,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,38,8,3,140,0,193,9,4,0,19,0,36,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,0,0,0,0,17,14,0,0,0,0,18,0,0,0,3,0,10,3,0,0,0,0,5,46,14,6,105,3,174,0,0,0,0,0,7,3,0,0,0,0,3,3,0,0,3,0,7,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,7,0,15,53,8,6,16,0,83,8,0,0,25,299,333,395,122,66,986,343,1901,10,62
