GCCSA_CODE_2016,C11_M_25_29_Tot_LF,C11_M_25_29_Notin_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Notin_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Notin_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Notin_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Notin_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Notin_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Notin_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Notin_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Notin_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Notin_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75ov_Em_FT,C11_M_75ov_Em_PT,C11_M_75ov_Em_AFW,C11_M_75ov_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75ov_Unem_Lo_ft_wor,C11_M_75ov_Unem_Lo_pt_wor,C11_M_75ov_Unempl_Tot,C11_M_75ov_Tot_LF,C11_M_75ov_Notin_LF,C11_M_75ov_LF_NS,C11_M_75ov_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_T_T_labo_for,C11_M_Tot_Notin_LF,C11_M_Tot_LF_NS,C11_M_T_T,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Notin_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Notin_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot,C16_M_25_29_Tot_LF,C16_M_25_29_Notin_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Notin_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Notin_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS
9OTER,69,281,5,360,47,8,3,0,58,7,0,6,65,158,3,224,45,8,3,4,61,3,0,4,67,75,9,147,58,7,6,0,77,0,0,0,74,42,6,123,82,9,4,3,101,0,0,0,98,25,6,133,64,14,3,0,85,3,0,3,85,22,0,103,74,8,4,3,89,0,0,0,85,16,4,106,55,5,3,6,75,0,0,0,73,21,4,107,9,3,0,0,9,0,0,0,14,28,5,41,10,0,0,0,10,0,0,0,10,29,0,37,0,0,0,0,0,0,0,0,0,13,5,20,558,95,26,23,704,24,3,26,727,918,60,1708,18,19,0,0,30,3,0,4,39,56,10,101,40,17,4,6,69,0,0,0,72,41,19,134,59,11,4,3,82,0,0,0,86,56,21,163,72,10,3,4,94,0,0,0,96,47,24,164,97,16,6,4,122,0,0,0,122,42,11,176,103,3,0,4
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
8ACTE,13208,1148,877,15232,9966,1291,388,185,11830,236,74,309,12141,895,652,13684,9890,1225,389,170,11672,224,68,286,11965,780,587,13322,9596,1060,377,180,11210,204,33,238,11441,772,545,12762,8943,950,376,170,10432,193,36,225,10658,791,487,11933,8317,912,430,131,9786,174,42,218,10009,876,428,11311,6003,1075,399,78,7558,124,73,194,7752,1723,378,9858,3678,1330,300,63,5379,96,58,153,5530,3111,311,8951,1075,891,118,26,2110,22,39,66,2178,3723,276,6179,243,374,55,6,683,3,16,17,700,3316,222,4234,85,182,22,16,303,3,6,12,318,6008,526,6847,77069,17848,3867,1670,100449,2246,1716,3969,104418,31003,6824,142233,1211,3423,211,156,5000,243,966,1207,6205,5666,478,12350,5911,4032,274,277,10490,501,563,1064,11553,3364,902,15829,10147,2039,293,220,12702,386,205,593,13301,1594,1018,15913,11713,1714,358,206,13984,327,107,438,14426,981,1053,16461,10898,1504,310,211,12918,288,83,374,13294,892,791,14985,10202,1291,261,148
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,25,9,4,46,17,4,3,0,22,0,0,0,28,6,3,36,15,3,0,0,17,0,0,0,18,9,0,34,14,0,0,0,9,0,0,3,16,8,5,32,3,0,0,0,9,0,0,0,10,0,5,11,6,3,0,0,8,4,0,4,11,8,6,28,7,6,0,0,11,0,0,0,10,8,3,21,3,0,0,0,3,0,0,0,3,7,3,11,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,93,37,10,3,143,19,6,26,164,94,44,301,3,3,0,0,3,0,0,0,5,7,3,16,11,7,3,0,18,0,0,3,23,14,6,36,11,3,4,0,19,6,0,7,21,6,6,36,8,3,3,0,16,4,0,4,17,7,3,32,6,3,0,0,11,0,0,0,14,6,13,31,12,0,0,0
7RNTE,2549,972,429,3951,1654,375,96,79,2208,188,28,217,2423,767,378,3572,1640,370,104,71,2182,154,27,181,2364,695,353,3412,1618,326,105,54,2100,122,32,155,2251,635,341,3219,1584,285,109,49,2022,92,20,107,2133,527,328,2989,1480,262,96,54,1897,83,24,105,2000,489,270,2755,1238,186,81,40,1542,44,9,51,1598,491,251,2337,792,163,63,29,1048,34,5,43,1089,538,178,1803,283,84,24,16,398,7,3,11,408,474,123,1006,79,47,10,4,145,4,0,7,148,377,82,612,16,23,3,8,46,3,0,5,52,404,80,534,13820,3240,914,669,18640,1365,331,1696,20335,9400,3564,33299,287,343,29,45,699,224,55,273,980,1947,493,3420,1037,236,41,61,1375,344,71,417,1788,1169,590,3544,1522,256,62,77,1917,256,68,328,2245,1084,594,3921,1551,263,69,71,1953,253,54,304,2257,1012,512,3778,1316,240,75,50,1679,189,43,228,1908,807,415,3135,1308,220,59,48
7GDAR,4462,546,736,5741,3278,361,176,93,3909,96,17,116,4024,474,565,5064,3297,344,205,114,3953,92,22,115,4071,420,545,5029,3193,370,175,98,3831,93,9,108,3943,402,593,4938,2961,314,174,90,3539,92,13,104,3643,429,482,4551,2626,352,158,68,3200,64,17,77,3281,408,513,4198,2157,296,129,50,2632,64,9,78,2706,519,406,3627,1363,350,115,32,1855,43,19,59,1921,807,367,3090,417,196,50,17,679,8,6,15,693,920,210,1827,106,88,13,6,209,0,4,3,217,782,146,1141,23,25,5,0,56,3,3,8,58,876,178,1115,26702,4444,1794,886,33823,978,336,1315,35133,8934,5880,49945,575,942,61,62,1638,117,168,283,1919,1740,380,4039,2666,737,161,135,3702,212,81,292,3995,582,624,5198,4361,635,184,138,5324,179,39,222,5550,503,1032,7081,4611,497,181,125,5410,150,24,171,5587,463,921,6963,4050,389,138,94,4678,135,22,154,4829,418,790,6038,3625,351,148,86
79799,13,0,0,17,9,3,0,0,12,0,0,0,12,0,0,19,7,0,0,0,7,0,0,0,7,3,0,10,5,0,0,5,5,0,0,0,5,0,0,12,5,0,0,0,5,0,0,0,5,0,0,9,3,0,0,3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,3,3,11,71,0,0,0,76,7,6,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,8,6,0,0,0,9,0,0,0,9,4,3,14,0,0,3,0,3,0,0,0,3,3,0,10,0,0,0,0
79499,71,23,27,124,26,0,3,3,41,5,0,10,49,15,13,73,24,4,9,0,42,3,0,3,39,20,20,78,19,4,8,0,28,6,0,5,32,21,10,62,10,0,11,0,27,3,0,4,28,16,12,61,17,3,4,3,26,3,0,3,25,31,13,67,31,8,9,0,41,6,3,5,48,49,14,114,14,8,0,0,27,3,3,4,34,75,15,122,3,3,0,0,8,0,0,3,7,76,3,95,0,0,0,0,0,0,0,0,0,40,3,48,0,0,0,0,0,0,0,0,0,14,3,16,218,55,47,12,333,38,14,56,390,411,150,954,10,0,0,0,11,0,0,0,10,3,3,16,31,4,0,4,39,3,0,4,46,16,33,98,38,4,0,0,50,4,3,4,54,10,58,122,27,3,0,3,36,3,3,7,41,21,35,98,24,0,7,0,32,3,0,3,37,23,37,97,24,3,3,0
