GCCSA_CODE_2016,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6m,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6m,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6m,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6m,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6m,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6m,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6m,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6m,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85andover_N_c_b_0,C11_AP_85andover_N_c_b_1,C11_AP_85andover_N_c_b_2,C11_AP_85andover_N_c_b_3,C11_AP_85andover_N_c_b_4,C11_AP_85andover_N_c_b_5,C11_AP_85ov_N_c_b_6mor,C11_AP_85andover_N_c_b_NS,C11_AP_85_andover_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_c_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_T_T,C16_AP_15_19_NCB_0,C16_AP_15_19_NCB_1,C16_AP_15_19_NCB_2,C16_AP_15_19_NCB_3,C16_AP_15_19_NCB_4,C16_AP_15_19_NCB_5,C16_AP_15_19_NCB_6m,C16_AP_15_19_NCB_NS,C16_AP_15_19_Tot,C16_AP_20_24_NCB_0,C16_AP_20_24_NCB_1,C16_AP_20_24_NCB_2,C16_AP_20_24_NCB_3,C16_AP_20_24_NCB_4,C16_AP_20_24_NCB_5,C16_AP_20_24_NCB_6m,C16_AP_20_24_NCB_NS,C16_AP_20_24_Tot,C16_AP_25_29_NCB_0,C16_AP_25_29_NCB_1,C16_AP_25_29_NCB_2,C16_AP_25_29_NCB_3,C16_AP_25_29_NCB_4,C16_AP_25_29_NCB_5,C16_AP_25_29_NCB_6m,C16_AP_25_29_NCB_NS,C16_AP_25_29_Tot,C16_AP_30_34_NCB_0,C16_AP_30_34_NCB_1,C16_AP_30_34_NCB_2,C16_AP_30_34_NCB_3,C16_AP_30_34_NCB_4,C16_AP_30_34_NCB_5,C16_AP_30_34_NCB_6m,C16_AP_30_34_NCB_NS,C16_AP_30_34_Tot,C16_AP_35_39_NCB_0,C16_AP_35_39_NCB_1,C16_AP_35_39_NCB_2,C16_AP_35_39_NCB_3,C16_AP_35_39_NCB_4,C16_AP_35_39_NCB_5,C16_AP_35_39_NCB_6m,C16_AP_35_39_NCB_NS,C16_AP_35_39_Tot,C16_AP_40_44_NCB_0,C16_AP_40_44_NCB_1,C16_AP_40_44_NCB_2,C16_AP_40_44_NCB_3,C16_AP_40_44_NCB_4,C16_AP_40_44_NCB_5,C16_AP_40_44_NCB_6m,C16_AP_40_44_NCB_NS,C16_AP_40_44_Tot,C16_AP_45_49_NCB_0,C16_AP_45_49_NCB_1,C16_AP_45_49_NCB_2,C16_AP_45_49_NCB_3,C16_AP_45_49_NCB_4,C16_AP_45_49_NCB_5,C16_AP_45_49_NCB_6m,C16_AP_45_49_NCB_NS,C16_AP_45_49_Tot,C16_AP_50_54_NCB_0,C16_AP_50_54_NCB_1,C16_AP_50_54_NCB_2,C16_AP_50_54_NCB_3,C16_AP_50_54_NCB_4,C16_AP_50_54_NCB_5,C16_AP_50_54_NCB_6m,C16_AP_50_54_NCB_NS,C16_AP_50_54_Tot,C16_AP_55_59_NCB_0,C16_AP_55_59_NCB_1,C16_AP_55_59_NCB_2,C16_AP_55_59_NCB_3,C16_AP_55_59_NCB_4,C16_AP_55_59_NCB_5,C16_AP_55_59_NCB_6m,C16_AP_55_59_NCB_NS,C16_AP_55_59_Tot,C16_AP_60_64_NCB_0,C16_AP_60_64_NCB_1,C16_AP_60_64_NCB_2,C16_AP_60_64_NCB_3,C16_AP_60_64_NCB_4,C16_AP_60_64_NCB_5,C16_AP_60_64_NCB_6m,C16_AP_60_64_NCB_NS,C16_AP_60_64_Tot,C16_AP_65_69_NCB_0,C16_AP_65_69_NCB_1,C16_AP_65_69_NCB_2,C16_AP_65_69_NCB_3,C16_AP_65_69_NCB_4,C16_AP_65_69_NCB_5,C16_AP_65_69_NCB_6m,C16_AP_65_69_NCB_NS,C16_AP_65_69_Tot,C16_AP_70_74_NCB_0,C16_AP_70_74_NCB_1,C16_AP_70_74_NCB_2,C16_AP_70_74_NCB_3,C16_AP_70_74_NCB_4,C16_AP_70_74_NCB_5,C16_AP_70_74_NCB_6m,C16_AP_70_74_NCB_NS,C16_AP_70_74_Tot,C16_AP_75_79_NCB_0,C16_AP_75_79_NCB_1,C16_AP_75_79_NCB_2,C16_AP_75_79_NCB_3
9OTER,34,14,12,3,3,3,95,4,11,30,26,13,0,3,0,87,9,4,26,20,7,4,3,4,83,3,7,9,10,7,0,0,8,47,3,4,3,0,0,5,5,0,26,0,0,9,6,0,0,0,3,14,0,0,0,3,0,3,5,0,10,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,219,105,191,133,47,29,23,59,803,74,0,0,0,0,0,0,24,107,46,6,0,0,0,0,0,11,63,42,19,13,7,0,0,0,9,95,46,27,30,20,3,0,0,15,144,29,18,40,30,3,0,4,9,137,30,25,46,24,8,3,0,18,148,30,18,49,23,10,3,3,15,162,27,19,53,26,16,6,0,29,174,19,15,61,42,14,4,0,29,184,23,13,53,23,11,6,4,25,157,13,10,37,28,14,0,3,18,120,13,13,19,18,8,10,0,8,86,8,3,12,9
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,3,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,4867,2447,767,196,104,385,12641,1950,1533,4446,2601,823,187,110,401,12051,1386,1172,3968,2482,868,225,83,332,10518,1062,1017,3580,2284,819,199,141,297,9400,655,582,2299,1667,699,207,114,262,6484,387,395,1367,1239,674,270,182,247,4750,307,281,902,908,538,232,209,205,3572,211,251,665,643,414,209,210,293,2895,217,355,734,652,363,185,173,486,3174,54695,17382,37169,20495,7533,2308,1550,6945,148069,10962,46,13,0,0,0,4,1097,12124,13353,624,214,52,6,0,3,1272,15525,11631,2122,1117,297,88,24,4,1228,16512,7129,3932,3632,1005,218,74,44,1094,17122,3638,2813,5273,1952,456,148,69,790,15147,2594,2091,5556,2320,688,179,103,736,14281,2305,1922,5143,2339,719,164,104,692,13377,2065,1642,4687,2438,787,213,98,648,12573,1723,1496,4120,2398,825,208,132,637,11541,1243,1144,3617,2260,837,228,86,605,10024,974,970,3341,2145,789,230,132,501,9073,587,548,2240,1611,656,225,121,444,6428,351,362,1273,1188
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,3,0,0,0,0,13,10,8,6,3,0,0,0,0,23,0,0,4,7,0,0,0,0,17,0,3,4,0,0,0,0,0,7,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,146,33,37,17,12,6,3,16,272,14,0,0,0,0,0,0,3,20,31,0,0,0,0,0,0,9,42,20,0,0,0,0,0,0,0,21,14,0,3,0,0,0,0,3,20,12,4,4,0,0,0,0,9,25,8,0,3,0,0,0,0,0,9,0,0,3,3,0,0,0,0,11,0,0,6,3,0,0,0,3,15,6,3,3,3,3,0,0,0,22,3,0,3,4,0,0,0,0,15,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0
7RNTE,680,514,296,138,119,297,2842,381,269,683,544,275,145,135,273,2698,288,221,528,443,277,122,103,201,2191,180,128,372,282,151,96,122,156,1485,100,59,162,149,79,66,98,111,824,57,27,89,64,68,48,65,101,528,40,10,27,44,45,26,61,67,319,22,12,28,23,21,26,41,34,208,16,12,25,10,21,9,16,59,179,9327,4260,5950,4225,2442,1230,1122,3900,32456,1808,222,26,9,3,0,0,953,3023,1475,696,369,80,17,4,9,712,3357,1511,676,644,325,105,24,16,752,4053,1015,642,760,476,245,100,53,640,3934,609,397,704,506,269,159,111,501,3255,510,345,671,464,295,134,111,507,3029,500,348,647,514,291,174,120,520,3120,441,295,617,474,289,158,138,472,2887,315,235,538,489,241,118,125,392,2455,220,193,420,344,205,109,113,320,1911,120,98,247,228,105,88,85,186,1160,65,53,124,119,76,58,76,113,698,41,31,63,53
7GDAR,1286,818,289,102,69,467,4291,558,477,1258,762,366,109,52,369,3960,383,360,1067,692,284,93,38,328,3250,274,256,767,557,243,107,64,247,2519,156,128,429,334,168,51,54,145,1472,96,65,213,194,126,60,67,106,928,39,30,97,84,84,46,78,71,528,19,39,59,57,43,33,52,63,364,17,31,49,42,27,13,38,48,258,14962,5565,10007,5748,2420,879,700,4978,45262,2906,45,3,0,0,0,0,600,3560,3116,399,165,26,4,0,4,646,4355,3723,931,572,196,47,21,11,893,6389,2376,1303,1277,499,141,49,21,755,6425,1155,925,1609,769,262,76,41,561,5401,893,695,1534,786,318,84,78,522,4911,760,612,1504,821,324,101,80,490,4694,707,499,1241,797,301,109,61,447,4163,478,440,1101,757,339,102,63,439,3728,316,307,903,572,256,101,58,367,2879,215,214,624,460,233,78,60,248,2136,126,99,367,263,158,39,49,153,1253,77,57,177,176
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,15,0,9,3,0,10,57,17,5,17,23,5,3,0,10,84,14,5,39,23,15,3,0,20,109,3,5,34,23,11,0,0,7,87,4,3,25,13,11,3,0,4,65,0,0,4,8,3,0,0,3,17,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,45,159,107,59,13,9,96,775,16,0,0,0,0,0,0,0,17,51,0,0,0,0,0,0,37,85,62,11,5,3,0,0,0,50,129,35,8,9,6,5,0,0,41,106,21,13,14,6,0,0,0,27,83,15,9,18,9,6,3,3,31,95,17,9,19,12,7,0,3,31,99,13,0,29,19,5,0,5,36,104,16,6,30,16,10,4,0,20,100,18,15,34,23,5,0,3,19,107,6,0,32,10,4,4,3,6,67,3,3,6,4,6,0,0,8,30,0,0,0,0
