GCCSA_CODE_2016,Managers_C06_M,Managers_C06_F,Managers_C06_P,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Professionals_C06_M,Professionals_C06_F,Professionals_C06_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Tech_trad_wkrs_C06_M,Tech_trad_wkrs_C06_F,Tech_trad_wkrs_C06_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Com_pers_S_work_C06_Cens_M,Com_pers_S_work_C06_Cens_F,Com_pers_S_work_C06_Cens_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Cler_admin_work_C06_M,Cler_admin_work_C06_F,Cler_admin_work_C06_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Sales_workers_C06_M,Sales_workers_C06_F,Sales_workers_C06_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Mach_oper_driv_C06_M,Mach_oper_driv_C06_F,Mach_oper_driv_C06_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Labourers_C06_M,Labourers_C06_F,Labourers_C06_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Inadeq_descr_Ns_C06_M,Inadeq_descr_Ns_C06_F,Inadeq_descr_Ns_C06_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
9OTER,126,35,166,120,43,164,203,140,340,70,79,148,87,97,182,102,143,236,174,24,199,181,18,196,323,54,379,39,77,117,54,87,142,112,188,298,29,84,109,38,106,146,52,193,249,6,19,29,5,20,20,29,104,130,90,5,99,96,9,96,151,16,160,116,42,153,99,67,168,170,132,295,23,7,35,24,9,36,37,12,51,675,376,1053,704,456,1156,1175,970,2151
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
99499,5,0,5,0,0,0,0,0,0,3,3,3,0,3,4,0,3,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,4,19,7,13,22,8,8,11
8ACTE,16278,10853,27134,18139,12860,31002,18842,13916,32758,25895,25601,51491,28734,29262,57997,30491,32172,62658,15354,3283,18632,16562,3318,19883,16240,3380,19620,6174,9729,15903,7146,11041,18183,8412,13243,21657,9966,23562,33526,11455,26024,37480,10615,24022,34637,5253,7933,13184,5526,7814,13340,5749,8197,13941,3977,389,4370,4287,378,4670,4325,361,4684,6147,3000,9149,6459,2788,9250,7119,3215,10337,1497,1077,2573,2131,1688,3819,2820,2301,5123,90552,85426,175976,100449,95168,195620,104617,100807,205419
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,20,15,36,22,9,30,12,5,21,43,36,77,41,48,83,22,27,57,29,4,35,23,0,26,13,3,14,17,21,37,12,29,47,9,27,34,12,38,53,13,22,35,5,20,28,11,14,25,10,14,15,10,6,12,9,3,7,5,3,8,4,0,8,23,10,30,12,3,17,14,3,20,4,4,11,5,0,5,9,0,6,175,134,311,143,133,272,102,101,202
7RNTE,2130,1324,3455,2340,1509,3846,2170,1512,3682,2297,3203,5494,2908,4296,7206,2692,4088,6777,3623,606,4233,3961,658,4614,3149,585,3740,1737,2676,4413,2100,2891,4988,2216,3018,5232,756,3010,3769,851,3294,4147,803,2871,3673,644,1315,1962,686,1278,1966,641,1139,1783,1676,147,1822,1845,186,2031,1423,153,1578,3847,1828,5670,3211,1487,4696,2151,1080,3230,879,571,1451,740,542,1282,638,411,1050,17593,14687,32279,18640,16135,34772,15882,14868,30752
7GDAR,4438,2619,7055,4816,3131,7944,5197,3598,8798,4371,5865,10238,5121,7195,12312,5619,8147,13762,7345,1158,8509,8824,1361,10183,10869,1465,12336,3073,3365,6434,4041,4051,8094,3987,4872,8862,2073,6779,8849,2253,8013,10266,2389,8004,10396,1620,2826,4447,1704,2977,4684,1973,3234,5201,2965,273,3237,3520,370,3886,3838,404,4239,2902,1601,4503,2878,1731,4602,4100,2186,6290,625,349,971,667,406,1080,915,560,1475,29401,24833,54234,33823,29224,63045,38883,32474,71357
79799,0,0,6,0,0,3,0,0,0,11,0,11,21,0,21,4,0,4,8,3,15,10,0,8,8,0,8,0,0,0,10,3,7,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,47,13,3,20,10,3,13,0,0,0,3,0,3,0,0,0,65,10,77,71,7,78,22,4,28
79499,23,12,32,25,20,41,19,18,41,47,49,101,52,60,105,37,68,108,100,16,117,81,20,98,88,23,104,19,35,57,32,62,97,28,54,84,5,46,51,11,36,45,10,26,34,6,25,31,9,20,28,15,17,32,47,3,44,41,9,52,51,11,63,88,54,144,74,33,103,62,39,104,5,3,5,8,4,9,7,5,15,345,242,583,333,253,582,320,252,574
6RTAS,10592,5271,15866,10554,5311,15862,10051,5181,15238,7012,9356,16364,7528,10843,18371,7261,11072,18332,14669,2734,17410,15776,3045,18817,14060,3017,17083,2810,8107,10919,3155,9897,13056,3360,10675,14033,2916,11213,14129,2877,11586,14467,2825,10782,13605,3877,7087,10968,3837,7701,11532,3991,7755,11744,9260,783,10043,9347,700,10053,8660,629,9285,10045,6841,16886,9428,6625,16058,9330,6692,16018,1030,670,1703,1138,690,1826,1253,804,2056,62213,52074,114292,63640,56409,120048,60798,56603,117405
6GHOB,6806,3593,10401,7188,3893,11084,6994,4222,11212,8965,10481,19454,9568,12135,21709,9714,12668,22388,10400,2073,12471,11196,2169,13358,10855,2261,13110,3121,6383,9502,3532,7599,11127,3857,8833,12690,3705,10802,14500,3965,11590,15555,3839,10727,14567,3532,5784,9316,3673,5929,9603,3689,5951,9641,4008,504,4509,4079,416,4495,4114,372,4487,5046,3587,8631,5159,3339,8501,5479,3619,9097,789,524,1315,823,606,1433,969,742,1704,46371,43728,90100,49190,47679,96870,49501,49382,98883
69799,3,0,3,3,3,5,3,0,3,10,0,10,5,0,11,12,0,14,34,3,35,21,5,27,12,0,9,3,3,7,7,3,9,4,5,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,3,0,3,11,0,11,18,0,19,13,3,15,0,0,4,3,0,0,0,0,0,66,7,73,60,15,76,38,9,47
69499,6,7,17,16,4,13,13,3,17,27,35,63,27,31,61,25,25,49,36,3,44,40,7,50,33,0,38,11,23,35,8,16,30,15,20,33,8,17,21,5,21,25,5,17,27,10,17,26,8,10,13,3,9,14,20,3,24,24,0,27,22,0,20,30,8,46,46,25,75,37,10,54,6,3,5,4,4,5,3,0,3,159,114,274,186,114,301,152,98,247
5RWAU,23170,11979,35148,23578,12192,35769,21518,12301,33822,10758,14875,25632,13539,18048,31590,12894,19555,32446,30333,4981,35318,38917,5851,44772,37430,5915,43338,4019,12458,16478,4920,15363,20278,5458,17583,23037,3477,18792,22272,4367,22648,27017,3964,21091,25054,4849,10888,15731,4999,11905,16903,5608,12407,18013,18355,1936,20291,24016,2919,26935,22870,2982,25850,18249,11257,29503,19027,11261,30286,18293,11451,29749,2328,1305,3636,2434,1338,3773,2717,1395,4112,115532,88479,204016,135795,101533,237325,130758,104674,235431
5GPER,54625,27109,81735,64888,32959,97847,67573,37840,105412,72721,75235,147954,89695,96564,186253,93051,111417,204472,100720,17015,117739,117885,20031,137916,121619,22006,143621,19707,46513,66215,24706,58156,82863,29026,70654,99683,25871,87635,113508,29921,100997,130915,29184,96055,125233,27009,45225,72233,28491,49051,77544,31292,52938,84231,42499,4746,47246,50681,5866,56542,53925,6307,60231,46309,25641,71950,49020,26374,75389,52534,29831,82364,6805,4186,10985,7736,4621,12359,9194,5748,14947,396268,333306,729573,463013,394616,857632,487403,432800,920196
59799,14,0,10,6,0,6,8,3,11,33,4,39,51,0,52,77,6,78,85,4,92,75,3,76,80,3,87,3,0,3,3,3,12,3,3,3,6,3,11,3,0,6,3,0,10,3,0,3,0,0,0,0,0,0,46,0,46,39,0,39,35,0,35,77,5,84,126,5,132,97,0,100,7,0,7,5,0,5,9,0,9,276,21,298,310,21,333,316,17,334
59499,96,42,137,115,62,177,66,39,104,173,160,329,239,218,463,123,114,235,364,52,418,475,61,535,303,51,349,73,146,222,74,159,236,64,99,162,40,148,189,53,186,241,32,86,114,44,69,115,51,94,151,29,62,90,286,24,306,295,43,333,239,35,276,308,171,488,294,125,418,233,152,386,40,10,55,30,22,47,34,21,58,1421,823,2249,1620,973,2596,1128,648,1773
4RSAU,20995,9870,30867,19607,9311,28914,17981,8818,26799,6898,11143,18042,7619,12689,20307,7144,12993,20136,18130,3631,21760,19929,3938,23867,18673,3760,22431,3121,10518,13643,3470,12596,16068,3841,13752,17595,2642,13276,15917,2834,14275,17111,2648,13809,16456,4163,8275,12433,4342,9449,13792,4596,9592,14184,11086,909,11996,12668,1022,13690,12286,983,13271,16674,10425,27104,15661,9485,25145,15647,9247,24893,1630,964,2594,1797,929,2726,1602,954,2556,85332,69019,154347,87921,73702,161620,84403,73903,158308
4GADE,40459,21199,61657,41890,22414,64312,42226,25006,67230,51192,57775,108968,56925,67756,124683,57659,73191,130848,64002,11845,75845,68139,12450,80591,64695,12900,77599,15455,35912,51364,18944,42608,61553,22145,49830,71974,20796,63455,84252,21669,67344,89016,20809,62219,83026,20975,32967,53938,22096,34940,57036,22586,34942,57531,28962,3041,31999,30522,2766,33296,29756,2408,32166,36718,21823,58542,36697,20242,56938,37465,20286,57749,5001,3053,8052,5874,3524,9395,5306,3628,8937,283559,251065,534620,302763,274056,576823,302646,284414,587060
49799,0,0,0,0,0,0,0,0,0,4,0,4,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,5,6,0,3
