GCCSA_CODE_2016,C06_15_19_Married_M,C06_15_19_Married_F,C06_15_19_Sep_M,C06_15_19_Sep_F,C06_15_19_Div_M,C06_15_19_Div_F,C06_15_19_Wid_M,C06_15_19_Wid_F,C06_15_19_Nvr_marrd_M,C06_15_19_Nvr_marrd_F,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Married_M,C06_20_24_Married_F,C06_20_24_Sep_M,C06_20_24_Sep_F,C06_20_24_Div_M,C06_20_24_Div_F,C06_20_24_Wid_M,C06_20_24_Wid_F,C06_20_24_Nvr_marrd_M,C06_20_24_Nvr_marrd_F,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_29_Married_M,C06_25_29_Married_F,C06_25_29_Sep_M,C06_25_29_Sep_F,C06_25_29_Div_M,C06_25_29_Div_F,C06_25_29_Wid_M,C06_25_29_Wid_F,C06_25_29_Nvr_marrd_M,C06_25_29_Nvr_marrd_F,C06_25_29_T_M,C06_25_29_T_F,C06_25_29_T_P,C06_30_34_Married_M,C06_30_34_Married_F,C06_30_34_Sep_M,C06_30_34_Sep_F,C06_30_34_Div_M,C06_30_34_Div_F,C06_30_34_Wid_M,C06_30_34_Wid_F,C06_30_34_Nvr_marrd_M,C06_30_34_Nvr_marrd_F,C06_30_34_T_M,C06_30_34_T_F,C06_30_34_T_P,C06_35_39_Married_M,C06_35_39_Married_F,C06_35_39_Sep_M,C06_35_39_Sep_F,C06_35_39_Div_M,C06_35_39_Div_F,C06_35_39_Wid_M,C06_35_39_Wid_F,C06_35_39_Nvr_marrd_M,C06_35_39_Nvr_marrd_F,C06_35_39_T_M,C06_35_39_T_F,C06_35_39_T_P,C06_40_44_Married_M,C06_40_44_Married_F,C06_40_44_Sep_M,C06_40_44_Sep_F,C06_40_44_Div_M,C06_40_44_Div_F,C06_40_44_Wid_M,C06_40_44_Wid_F,C06_40_44_Nvr_marrd_M,C06_40_44_Nvr_marrd_F,C06_40_44_T_M,C06_40_44_T_F,C06_40_44_T_P,C06_45_49_Married_M,C06_45_49_Married_F,C06_45_49_Sep_M,C06_45_49_Sep_F,C06_45_49_Div_M,C06_45_49_Div_F,C06_45_49_Wid_M,C06_45_49_Wid_F,C06_45_49_Nvr_marrd_M,C06_45_49_Nvr_marrd_F,C06_45_49_T_M,C06_45_49_T_F,C06_45_49_T_P,C06_50_54_Married_M,C06_50_54_Married_F,C06_50_54_Sep_M,C06_50_54_Sep_F,C06_50_54_Div_M,C06_50_54_Div_F,C06_50_54_Wid_M,C06_50_54_Wid_F,C06_50_54_Nvr_marrd_M,C06_50_54_Nvr_marrd_F,C06_50_54_T_M,C06_50_54_T_F,C06_50_54_T_P,C06_55_59_Married_M,C06_55_59_Married_F,C06_55_59_Sep_M,C06_55_59_Sep_F,C06_55_59_Div_M,C06_55_59_Div_F,C06_55_59_Wid_M,C06_55_59_Wid_F,C06_55_59_Nvr_marrd_M,C06_55_59_Nvr_marrd_F,C06_55_59_T_M,C06_55_59_T_F,C06_55_59_T_P,C06_60_64_Married_M,C06_60_64_Married_F,C06_60_64_Sep_M,C06_60_64_Sep_F,C06_60_64_Div_M,C06_60_64_Div_F,C06_60_64_Wid_M,C06_60_64_Wid_F,C06_60_64_Nvr_marrd_M,C06_60_64_Nvr_marrd_F,C06_60_64_T_M,C06_60_64_T_F,C06_60_64_T_P,C06_65_69_Married_M,C06_65_69_Married_F,C06_65_69_Sep_M,C06_65_69_Sep_F,C06_65_69_Div_M,C06_65_69_Div_F,C06_65_69_Wid_M,C06_65_69_Wid_F,C06_65_69_Nvr_marrd_M,C06_65_69_Nvr_marrd_F,C06_65_69_T_M,C06_65_69_T_F,C06_65_69_T_P,C06_70_74_Married_M,C06_70_74_Married_F,C06_70_74_Sep_M,C06_70_74_Sep_F,C06_70_74_Div_M,C06_70_74_Div_F,C06_70_74_Wid_M,C06_70_74_Wid_F,C06_70_74_Nvr_marrd_M,C06_70_74_Nvr_marrd_F,C06_70_74_T_M,C06_70_74_T_F,C06_70_74_T_P,C06_75_79_Married_M,C06_75_79_Married_F,C06_75_79_Sep_M,C06_75_79_Sep_F,C06_75_79_Div_M,C06_75_79_Div_F,C06_75_79_Wid_M,C06_75_79_Wid_F,C06_75_79_Nvr_marrd_M,C06_75_79_Nvr_marrd_F,C06_75_79_T_M,C06_75_79_T_F,C06_75_79_T_P,C06_80_84_Married_M,C06_80_84_Married_F,C06_80_84_Sep_M,C06_80_84_Sep_F,C06_80_84_Div_M,C06_80_84_Div_F,C06_80_84_Wid_M,C06_80_84_Wid_F,C06_80_84_Nvr_marrd_M,C06_80_84_Nvr_marrd_F,C06_80_84_T_M,C06_80_84_T_F,C06_80_84_T_P,C06_85o_Married_M,C06_85o_Married_F,C06_85o_Seprtd_M,C06_85o_Seprtd_F,C06_85o_Divorce_M,C06_85o_Divorce_F,C06_85o_Wid_M,C06_85o_Wid_F,C06_85o_Nvr_mard_M,C06_85o_Nvr_mard_F,C06_85o_T_M,C06_85o_T_F,C06_85o_T_P,C06_T_Married_M,C06_T_Married_F,C06_Tot_Sep_M,C06_Tot_Sep_F,C06_Tot_Div_M
9OTER,0,3,0,0,0,0,0,0,65,56,66,56,120,10,17,0,0,0,0,0,0,70,51,74,67,145,23,37,0,0,0,0,0,0,48,24,71,60,131,45,46,0,0,0,4,0,0,33,25,77,71,152,57,76,4,3,3,3,0,0,33,20,97,105,199,81,78,5,3,10,0,0,0,27,10,120,94,211,67,65,0,3,13,3,0,4,26,12,100,90,191,71,65,11,3,13,12,0,0,6,8,103,87,189,88,43,3,3,14,0,4,9,8,3,113,53,164,51,33,3,0,6,3,3,0,4,0,69,38,106,30,19,0,0,6,0,10,4,0,0,46,21,68,15,5,0,0,0,0,3,4,3,0,20,15,36,6,0,0,0,0,0,0,7,0,3,6,7,11,0,0,0,0,0,0,0,3,0,0,3,3,4,0,0,0,0,0,0,0,3,3,0,10,4,11,549,487,21,11,57
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,13,0,13,0,13,0,0,0,0,0,0,0,0,7,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8ACTE,17,46,4,6,3,5,0,3,12149,11287,12175,11346,23522,452,936,32,53,13,31,9,13,13554,12360,14068,13383,27452,2763,4060,103,223,142,218,4,17,9437,8187,12450,12701,25155,5970,7035,274,388,392,716,16,28,5638,4547,12286,12710,24999,7243,7794,368,523,780,1206,29,52,3720,2985,12139,12562,24698,7590,7963,422,617,1120,1636,34,116,2520,2086,11689,12417,24104,7704,7957,552,676,1333,2033,54,207,1837,1589,11485,12460,23941,7476,7464,470,586,1388,2106,90,311,1169,936,10593,11410,21999,7387,6824,367,440,1330,1923,124,501,707,582,9909,10271,20182,5371,4496,242,253,774,1268,170,661,356,332,6917,7011,13931,3660,3125,139,151,514,779,212,849,197,163,4721,5067,9789,2706,2189,109,96,281,440,250,1045,166,157,3513,3933,7444,2137,1491,61,42,147,282,340,1373,103,99,2793,3290,6081,1371,866,27,25,63,186,392,1698,55,90,1908,2864,4767,620,337,16,12,34,89,448,1769,43,89,1159,2286,3447,62463,62578,3190,4075,8323
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,32,31,32,31,64,3,3,0,0,0,0,0,0,62,58,68,58,130,4,4,0,6,0,0,0,0,33,29,47,44,85,8,4,3,0,0,3,0,0,26,15,39,27,65,11,9,8,3,3,7,0,0,22,11,43,28,66,3,6,4,3,11,3,0,0,10,7,29,20,45,3,4,3,0,5,3,0,0,3,3,19,13,34,3,3,4,0,5,4,0,0,0,5,13,14,28,5,4,3,0,3,9,0,0,3,0,12,17,26,3,3,0,0,3,4,0,0,0,0,11,5,21,3,0,0,0,0,0,0,0,0,0,5,0,9,0,3,0,0,0,0,0,0,0,0,0,6,5,3,3,3,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,3,0,3,0,0,5,3,8,0,0,0,0,0,0,0,3,0,0,0,3,3,62,55,26,16,38
7RNTE,230,449,15,21,10,0,0,5,3313,2885,3565,3372,6933,846,1059,38,88,22,24,12,21,2494,2395,3404,3578,6984,1252,1437,63,104,24,55,5,43,1983,1915,3336,3556,6889,1681,1852,92,143,91,118,13,47,1548,1462,3418,3626,7043,1831,1932,128,147,180,193,16,81,1338,1068,3491,3421,6915,1778,1699,114,166,262,230,37,105,982,783,3171,2987,6153,1658,1589,167,151,332,318,32,166,778,558,2973,2774,5748,1472,1354,160,135,363,354,69,228,451,370,2517,2439,4953,1193,919,126,95,390,270,67,231,272,187,2049,1705,3752,791,550,92,49,228,169,86,259,182,136,1378,1158,2539,471,277,59,30,142,91,63,210,113,65,848,670,1512,176,148,21,19,62,33,58,189,53,84,377,471,843,133,67,7,9,31,24,64,146,43,29,279,277,557,53,28,7,3,11,12,27,110,26,24,122,169,292,37,29,4,5,3,4,21,120,21,24,96,178,267,13598,13387,1092,1154,2151
7GDAR,18,33,9,8,0,3,0,0,3835,3390,3865,3433,7300,248,415,22,36,16,19,0,0,3930,3239,4214,3709,7921,1003,1448,68,99,44,85,7,10,3202,2646,4325,4285,8612,1848,2132,126,162,172,277,14,20,2438,1946,4600,4534,9131,2174,2474,156,230,336,458,9,39,1902,1352,4582,4548,9130,2341,2336,218,267,534,534,16,57,1433,995,4540,4184,8723,2270,2281,239,310,597,680,39,87,1067,639,4205,3997,8200,2112,2071,265,229,694,683,49,152,640,356,3756,3497,7254,2073,1688,192,168,648,545,70,205,443,185,3434,2785,6220,1385,1004,136,97,419,325,62,191,248,90,2253,1708,3957,827,511,92,59,254,179,89,233,119,33,1374,1023,2399,457,257,57,29,125,85,60,207,96,29,794,601,1394,270,161,27,17,84,49,64,218,76,24,522,462,984,139,67,12,10,23,30,48,170,20,5,240,286,524,50,35,4,0,12,15,37,144,19,5,122,199,323,17218,16922,1619,1706,3946
79799,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,27,12,32,12,44,0,0,0,0,0,0,0,0,11,3,12,3,18,0,0,0,0,0,0,0,0,4,3,4,3,10,9,0,0,0,0,0,0,0,4,0,9,0,8,0,0,0,0,0,0,0,0,0,0,11,0,11,4,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,6
79499,0,0,0,0,0,0,0,0,29,18,29,19,44,3,5,0,0,0,0,0,0,71,61,76,62,144,8,19,0,0,0,0,0,0,71,71,78,95,172,27,26,4,0,3,4,0,0,69,54,109,79,186,22,24,3,3,5,3,0,0,34,24,63,46,110,20,16,0,3,9,4,0,0,28,15,65,39,103,30,41,7,3,17,13,3,0,22,3,75,63,139,34,61,3,3,23,17,0,5,21,8,84,92,175,108,101,3,9,24,20,3,4,13,4,149,140,290,69,66,6,0,9,14,3,0,17,0,109,83,190,57,40,0,3,16,6,4,3,0,0,76,52,126,16,11,0,0,0,3,3,6,0,0,21,14,36,4,0,0,0,0,0,0,0,0,0,8,3,6,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,397,403,36,23,112
