GCCSA_CODE_2016,Pakistan_C06_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Philippines_C06_M,Philippines_C06_F,Philippines_C06_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Poland_C06_M,Poland_C06_F,Poland_C06_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Singapore_C06_M,Singapore_C06_F,Singapore_C06_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,South_Africa_C06_M,South_Africa_C06_F,South_Africa_C06_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,Sri_Lanka_C06_M,Sri_Lanka_C06_F,Sri_Lanka_C06_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Thailand_C06_M,Thailand_C06_F,Thailand_C06_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,F_Y_R_o_Macedonia_C06_M,F_Y_R_o_Macedonia_C06_F,F_Y_R_o_Macedonia_C06_P,F_Y_R_o_Macedonia_C11_M,F_Y_R_o_Macedonia_C11_F,F_Y_R_o_Macedonia_C11_P,F_Y_R_o_Macedonia_C16_M,F_Y_R_o_Macedonia_C16_F,F_Y_R_o_Macedonia_C16_P,Turkey_C06_M,Turkey_C06_F,Turkey_C06_P,Turkey_C11_M,Turkey_C11_F,Turkey_C11_P,Turkey_C16_M,Turkey_C16_F,Turkey_C16_P,Unitd_Kingdom_C06_M,Unitd_Kingdom_C06_F,Unitd_Kingdom_C06_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unit_Sts_Amer_C06_M,Unit_Sts_Amer_C06_F,Unit_Sts_Amer_C06_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Vietnam_C06_M,Vietnam_C06_F,Vietnam_C06_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Zimbabwe_C06_M,Zimbabwe_C06_F,Zimbabwe_C06_P,Zimbabwe_C11_M,Zimbabwe_C11_F,Zimbabwe_C11_P,Zimbabwe_C16_M,Zimbabwe_C16_F,Zimbabwe_C16_P,Born_elsewhere_C06_M,Born_elsewhere_C06_F,Born_elsewhere_C06_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Country_birt_ns_C06_M,Country_birt_ns_C06_F,Country_birt_ns_C06_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
6RTAS,28,25,12,36,71,45,110,88,474,562,114,608,728,160,746,900,111,112,224,95,105,197,93,110,199,52,67,126,78,92,168,112,112,229,247,291,540,315,365,680,331,375,705,57,54,111,70,81,148,98,97,195,37,91,124,53,145,199,57,184,236,7,6,13,6,3,11,6,4,9,10,7,20,15,14,29,25,10,35,6453,6489,12943,6760,6576,13337,6404,6305,12703,288,248,537,346,368,721,381,384,766,18,25,43,31,49,79,60,95,149,55,62,115,65,77,143,72,71,146,1437,1300,2731,1814,1756,3568,2060,2086,4141,8230,8127,16355,6864,6555,13420,11310,11605,22915,135147,138808,273961,139094,143412,282509,140977,145646,286627
6GHOB,41,41,39,74,150,90,235,98,299,397,150,382,533,197,519,714,233,285,515,194,266,459,148,229,372,75,109,188,115,162,272,133,208,344,257,270,523,402,419,827,397,422,820,59,58,116,72,74,147,99,98,197,65,115,181,92,179,268,118,250,370,6,9,15,9,6,15,4,4,8,13,10,24,21,17,40,16,20,34,4845,4789,9635,5024,4851,9878,4752,4661,9410,336,287,622,376,369,740,426,431,859,53,45,98,92,86,179,109,140,253,59,61,124,87,92,174,74,71,139,1719,1673,3396,2110,2180,4288,2479,2579,5058,6294,6541,12836,4985,4950,9933,6889,7308,14199,97699,103858,201557,102881,108776,211655,107930,114422,222356
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,3,0,3,6,0,6,6,0,10,4,0,4,78,10,89,82,36,113,49,21,68
69499,0,0,0,0,0,0,0,0,0,0,4,5,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,7,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,42,26,30,55,29,16,46,5,0,6,3,3,4,5,0,6,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,11,7,16,13,11,32,9,11,21,52,34,79,47,25,71,75,38,116,460,413,872,613,460,1072,524,393,912
5RWAU,70,132,72,206,171,131,297,470,948,1417,1650,2147,3793,2821,3368,6187,248,281,530,230,261,492,204,239,441,195,238,434,236,265,505,231,280,507,1326,1387,2714,2535,2414,4950,2856,2834,5694,83,71,150,288,140,435,301,204,509,104,361,466,187,615,806,280,931,1209,85,55,139,69,50,120,62,45,105,20,11,23,29,13,39,47,19,61,13782,14189,27970,15822,15698,31520,15606,15733,31341,495,511,1009,637,642,1276,706,668,1377,204,180,378,282,262,541,353,351,706,529,510,1032,928,831,1765,1036,913,1946,2720,2515,5234,6071,3658,9732,4755,4434,9182,21030,17855,38882,24827,17037,41866,29970,24838,54809,225528,215130,440658,263212,239385,502593,270936,253230,524167
5GPER,1100,1423,893,2309,3151,1982,5133,1707,3691,5396,5655,7743,13397,10735,13886,24624,2375,2810,5187,2234,2830,5064,2212,2919,5129,5165,6182,11350,6095,7350,13444,6542,7927,14465,9475,9798,19271,14872,15422,30290,17270,17997,35262,1613,1509,3125,2580,2315,4897,3863,3422,7286,880,2063,2949,1407,3445,4853,1890,4697,6584,1439,1408,2852,1442,1425,2866,1465,1488,2952,414,326,736,571,432,1006,633,504,1138,89546,90130,179671,99448,98649,198095,101122,100082,201207,3059,2648,5707,3949,3571,7519,3997,3888,7885,4843,5258,10098,5596,6561,12157,6759,8374,15131,2546,2549,5097,3981,4047,8028,4753,4933,9684,28805,30200,59012,41622,41318,82937,50235,52577,102807,57206,51289,108496,54084,46365,100448,65366,62660,128025,746839,765266,1512105,858307,870562,1728865,963536,980326,1943858
59799,0,0,0,0,0,0,0,5,3,5,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,3,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,48,38,0,44,52,0,50,3,0,3,7,0,7,8,0,11,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,11,15,0,15,17,3,22,27,0,24,59,5,63,62,8,67,314,26,339,381,33,417,408,26,434
59499,3,3,5,5,3,0,6,6,10,22,21,24,43,9,15,22,7,3,5,10,3,7,3,3,9,12,14,26,15,8,21,4,5,12,38,22,63,57,29,81,34,15,44,0,0,4,5,3,9,0,0,3,3,3,3,0,11,9,7,3,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,385,309,694,429,329,757,257,191,446,19,11,28,39,29,68,17,13,29,4,8,7,7,5,15,9,0,8,8,9,20,17,11,26,7,8,9,95,62,153,163,125,293,131,105,242,450,260,710,524,251,775,548,406,956,3442,2541,5986,4285,3010,7299,3532,2415,5950
4RSAU,48,50,44,94,101,72,177,120,579,701,405,942,1346,759,1483,2246,153,147,303,118,126,244,95,111,205,25,52,79,28,41,72,35,50,84,311,315,632,462,469,929,504,504,1008,56,45,97,101,98,199,157,107,268,51,91,145,86,197,279,134,290,418,11,10,16,7,10,19,8,8,17,55,55,113,50,41,93,48,32,77,9313,10099,19407,9709,10621,20329,9292,10148,19435,199,221,416,246,282,529,276,313,589,105,83,189,160,138,297,198,197,394,132,148,278,126,131,259,153,155,313,1928,1391,3313,2301,1803,4096,2569,2088,4656,11341,10433,21773,9804,8558,18364,14796,14431,29228,178579,176179,354758,185427,182834,368260,190368,187706,378074
4GADE,587,731,524,1261,1834,1425,3262,1512,3220,4730,2698,4806,7507,3810,6395,10204,2719,3201,5925,2341,2952,5298,2056,2695,4748,789,890,1681,913,1118,2031,1103,1298,2403,1822,2022,3849,2514,2754,5266,2677,2907,5587,703,678,1385,1239,1228,2471,1849,1669,3520,645,896,1536,692,1239,1927,793,1625,2417,201,182,383,181,176,360,177,188,368,245,237,490,273,256,528,275,235,508,49211,52196,101403,49558,52151,101708,46498,49004,95504,1520,1471,2993,1747,1748,3495,1882,1874,3760,4948,5402,10351,5400,6308,11708,6292,7637,13932,313,328,647,470,507,980,555,615,1173,18567,19042,37612,23582,24245,47823,28959,29746,58706,32726,31815,64542,27677,26332,54008,34787,35623,70409,565131,591827,1156957,600011,625224,1225235,633888,661823,1295714
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,7,0,6,5,0,5,6,0,3
49499,4,3,0,3,9,7,12,3,6,12,3,0,8,8,6,17,3,3,11,0,4,6,0,0,3,0,0,0,0,0,4,0,0,0,8,3,7,3,9,11,4,12,11,0,0,0,0,0,0,3,0,4,0,3,6,0,3,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,107,235,130,84,221,109,60,171,20,3,23,5,3,6,10,4,11,6,3,9,15,8,18,6,4,15,0,3,4,0,0,3,3,0,3,44,41,88,69,52,120,70,46,116,155,102,262,226,172,400,231,143,374,1494,1125,2618,1778,1287,3069,1734,1129,2863
3RQLD,337,356,235,593,697,464,1162,1815,6506,8313,3905,9564,13467,5757,13042,18805,849,1041,1890,842,1121,1962,859,1173,2037,680,852,1536,760,975,1737,848,1083,1924,4798,4767,9565,7874,8017,15893,8910,9102,18013,587,556,1146,1227,873,2096,1425,1227,2658,562,1449,2012,866,2279,3148,1190,3332,4524,129,124,251,143,148,290,158,157,306,290,240,531,372,245,618,368,264,632,45940,45773,91712,51755,51961,103717,52443,53048,105487,2993,2921,5910,3686,3733,7418,3832,4231,8064,554,536,1083,978,1162,2139,1192,1595,2788,1348,1367,2715,1949,2024,3973,2098,2107,4203,19367,19845,39209,24609,25448,50055,29111,32158,61267,80665,71249,151916,79279,67379,146663,104047,98018,202068,1017264,1021871,2039128,1121239,1132488,2253723,1197426,1222294,2419724
3GBRI,801,999,766,1761,2054,1453,3504,2996,7347,10342,5373,10568,15943,7205,13597,20797,1450,1720,3164,1378,1708,3084,1298,1680,2977,1571,1786,3354,1963,2268,4236,2161,2618,4774,6452,6627,13083,9707,9877,19590,10941,11119,22068,1806,1852,3652,2840,2759,5597,3620,3466,7087,814,1676,2487,1218,2631,3851,1682,3755,5436,294,309,598,298,335,632,303,338,644,335,259,591,439,324,757,512,353,859,51652,48698,100350,56544,53042,109581,55545,52353,107896,3217,2991,6210,4214,4092,8301,4475,4449,8919,5696,6286,11974,6451,7656,14105,7460,9269,16731,1520,1503,3020,2188,2163,4349,2356,2305,4659,33443,35134,68576,42711,45359,88065,52812,57022,109835,59670,56618,116286,54712,49226,103936,69210,70195,139400,910766,941733,1852501,1019555,1046438,2065998,1117452,1153351,2270800
