GCCSA_CODE_2016,C16_M_FoodHos_PS_15_19,C16_M_FoodHos_PS_20_24,C16_M_FoodHos_PS_25_34,C16_M_FoodHos_PS_35_44,C16_M_FoodHos_PS_45_54,C16_M_FoodHos_PS_55_64,C16_M_FoodHos_PS_65_74,C16_M_FoodHos_PS_75_84,C16_M_FoodHos_PS_85o,C16_M_Foo_hos_pers_S_Tot,C16_M_MixFld_pr_15_19,C16_M_MixFld_pr_20_24,C16_M_MixFld_pr_25_34,C16_M_MixFld_pr_35_44,C16_M_MixFld_pr_45_54,C16_M_MixFld_pr_55_64,C16_M_MixFld_pr_65_74,C16_M_MixFld_pr_75_84,C16_M_MixFld_pr_85_ov,C16_M_MixFld_pr_Tot,C16_M_FldStu_ID_15_19,C16_M_FldStu_ID_20_24,C16_M_FldStu_ID_25_34,C16_M_FldStu_ID_35_44,C16_M_FldStu_ID_45_54,C16_M_FldStu_ID_55_64,C16_M_FldStu_ID_65_74,C16_M_FldStu_ID_75_84,C16_M_FldStu_ID_85o,C16_M_FldStu_ID_Tot,C16_M_FldStu_NS_15_19,C16_M_FldStu_NS_20_24,C16_M_FldStu_NS_25_34,C16_M_FldStu_NS_35_44,C16_M_FldStu_NS_45_54,C16_M_FldStu_NS_55_64,C16_M_FldStu_NS_65_74,C16_M_FldStu_NS_75_84,C16_M_FldStu_NS_85o,C16_M_FldStu_NS_T,C16_M_Tot_15_19,C16_M_Tot_20_24,C16_M_Tot_25_34,C16_M_Tot_35_44,C16_M_Tot_45_54,C16_M_Tot_55_64,C16_M_Tot_65_74,C16_M_Tot_75_84,C16_M_Tot_85o,C16_M_T_T,C06_F_NatPhy_sci_15_19,C06_F_NatPhy_sci_20_24,C06_F_NatPhy_sci_25_34,C06_F_NatPhy_sci_35_44,C06_F_NatPhy_sci_45_54,C06_F_NatPhy_sci_55_64,C06_F_NatPhy_sci_65_74,C06_F_NatPhy_sci_75_84,C06_F_NatPhy_sci_85O,C06_F_NatPhy_sci_T,C06_F_InfTec_15_19,C06_F_InfTec_20_24,C06_F_InfTec_25_34,C06_F_InfTec_35_44,C06_F_InfTec_45_54,C06_F_InfTec_55_64,C06_F_InfTec_65_74,C06_F_InfTec_75_84,C06_F_InfTec_85O,C06_F_InfTec_T,C06_F_EngRT_15_19,C06_F_EngRT_20_24,C06_F_EngRT_25_34,C06_F_EngRT_35_44,C06_F_EngRT_45_54,C06_F_EngRT_55_64,C06_F_EngRT_65_74,C06_F_EngRT_75_84,C06_F_EngRT_85_ov,C06_F_EngRT_Tot,C06_F_ArchBuild_15_19,C06_F_ArchBuild_20_24,C06_F_ArchBuild_25_34,C06_F_ArchBuild_35_44,C06_F_ArchBuild_45_54,C06_F_ArchBuild_55_64,C06_F_ArchBuild_65_74,C06_F_ArchBuild_75_84,C06_F_ArchBuild_85o,C06_F_Arch_building_Tot,C06_F_AgEnv_RS_15_19,C06_F_AgEnv_RS_20_24,C06_F_AgEnv_RS_25_34,C06_F_AgEnv_RS_35_44,C06_F_AgEnv_RS_45_54,C06_F_AgEnv_RS_55_64,C06_F_AgEnv_RS_65_74,C06_F_AgEnv_RS_75_84,C06_F_AgEnv_RS_85o,C06_F_AgEnv_RS_T,C06_F_Health_15_19,C06_F_Health_20_24,C06_F_Health_25_34,C06_F_Health_35_44,C06_F_Health_45_54,C06_F_Health_55_64,C06_F_Health_65_74,C06_F_Health_75_84,C06_F_Health_85o,C06_F_Healt_T,C06_F_Educ_15_19,C06_F_Educ_20_24,C06_F_Educ_25_34,C06_F_Educ_35_44,C06_F_Educ_45_54,C06_F_Educ_55_64,C06_F_Educ_65_74,C06_F_Educ_75_84,C06_F_Educ_85o,C06_F_Educ_T,C06_F_MngtCom_15_19,C06_F_MngtCom_20_24,C06_F_MngtCom_25_34,C06_F_MngtCom_35_44,C06_F_MngtCom_45_54,C06_F_MngtCom_55_64,C06_F_MngtCom_65_74,C06_F_MngtCom_75_84,C06_F_MngtCom_85o,C06_F_MngtCom_T,C06_F_Soc_cult_15_19,C06_F_Soc_cult_20_24,C06_F_Soc_cult_25_34,C06_F_Soc_cult_35_44,C06_F_Soc_cult_45_54,C06_F_Soc_cult_55_64,C06_F_Soc_cult_65_74,C06_F_Soc_cult_75_84,C06_F_Soc_cult_85o,C06_F_Soc_cult_T,C06_F_Creative_art_15_19,C06_F_Creative_art_20_24,C06_F_Creative_art_25_34,C06_F_Creative_art_35_44,C06_F_Creative_art_45_54,C06_F_Creative_art_55_64,C06_F_Creative_art_65_74,C06_F_Creative_art_75_84,C06_F_Create_art_850,C06_F_Creative_arts_T,C06_F_FoodHos_PS_15_19,C06_F_FoodHos_PS_20_24,C06_F_FoodHos_PS_25_34,C06_F_FoodHos_PS_35_44,C06_F_FoodHos_PS_45_54,C06_F_FoodHos_PS_55_64,C06_F_FoodHos_PS_65_74,C06_F_FoodHos_PS_75_84,C06_F_FoodHos_PS_85o,C06_F_FoodHos_PS_T,C06_F_MixFld_pr_15_19,C06_F_MixFld_pr_20_24,C06_F_MixFld_pr_25_34,C06_F_MixFld_pr_35_44,C06_F_MixFld_pr_45_54,C06_F_MixFld_pr_55_64,C06_F_MixFld_pr_65_74,C06_F_MixFld_pr_75_84,C06_F_MixFld_pr_85o,C06_F_MixFld_pr_T,C06_F_FldStu_ID_15_19,C06_F_FldStu_ID_20_24,C06_F_FldStu_ID_25_34,C06_F_FldStu_ID_35_44,C06_F_FldStu_ID_45_54,C06_F_FldStu_ID_55_64,C06_F_FldStu_ID_65_74,C06_F_FldStu_ID_75_84,C06_F_FldStu_ID_85o,C06_F_FldStu_ID_T,C06_F_FldStu_NS_15_19,C06_F_FldStu_NS_20_24,C06_F_FldStu_NS_25_34,C06_F_FldStu_NS_35_44,C06_F_FldStu_NS_45_54,C06_F_FldStu_NS_55_64,C06_F_FldStu_NS_65_74,C06_F_FldStu_NS_75_84,C06_F_FldStu_NS_85o,C06_F_FldStu_NS_T,C06_F_Tot_15_19,C06_F_Tot_20_24,C06_F_Tot_25_34,C06_F_Tot_35_44,C06_F_Tot_45_54,C06_F_Tot_55_64,C06_F_Tot_65_74,C06_F_Tot_75_84,C06_F_Tot_85o,C06_F_T_T
9OTER,0,0,11,17,10,9,4,0,0,53,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,15,17,56,146,96,79,71,44,24,3,537,28,85,272,272,266,241,146,52,13,1371,0,0,3,5,4,0,0,0,0,12,0,0,3,0,0,0,0,0,0,3,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,3,15,16,3,0,0,0,30,0,8,8,19,15,3,0,0,0,48,6,11,23,21,7,0,0,0,0,67,0,3,12,5,3,3,0,0,0,28,0,0,0,4,0,0,0,0,0,6,0,4,0,12,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,7,12,16,25,15,18,6,0,0,90,15,38,73,105,72,25,10,3,0,338
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8ACTE,67,274,944,735,483,274,155,63,18,3013,17,42,22,11,7,20,16,19,7,166,17,84,322,393,353,259,189,112,42,1778,672,1103,2558,2023,1702,1267,1035,767,396,11519,1289,7015,25560,23433,19253,15148,10210,4534,1628,108072,10,388,1232,1002,775,447,124,76,23,4066,34,211,641,665,501,157,16,3,0,2234,15,84,338,268,263,187,122,94,31,1395,0,82,192,188,120,64,14,3,0,663,14,115,367,268,159,78,21,8,5,1033,25,447,1487,2020,2401,1387,702,351,120,8946,12,256,1544,1567,2251,1899,817,274,104,8735,235,1677,4573,3970,3207,1988,617,408,116,16788,93,1413,4592,3714,3537,2186,669,279,56,16533,41,566,1212,860,556,269,127,74,24,3724,181,542,959,675,407,259,116,67,21,3234,4,24,24,20,21,5,4,8,3,118,5,83,331,320,281,181,63,43,8,1322,1054,871,1469,1353,1375,1114,950,1049,499,9734,1720,6759,18956,16906,15855,10223,4369,2738,1014,78536
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,26,16,18,7,0,0,84,7,15,35,48,29,36,15,0,0,186,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,5,4,6,3,0,0,25,0,0,4,0,0,0,0,0,0,11,0,6,12,5,3,3,0,0,0,28,0,10,14,7,6,0,0,0,0,39,0,4,0,3,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,3,0,3,3,0,28,3,27,54,26,17,10,3,3,0,156
7RNTE,26,67,167,113,121,69,28,4,0,590,3,3,6,8,5,10,6,0,0,43,7,15,75,73,60,43,13,3,0,292,859,924,1790,1302,1201,853,436,150,31,7542,1005,1620,4618,3789,3634,2767,1224,334,56,19062,0,16,65,55,27,16,0,0,0,180,3,8,22,27,26,8,3,0,0,103,7,20,41,48,20,24,4,0,0,167,0,4,8,15,4,0,0,0,0,39,18,38,131,57,32,8,6,0,0,288,4,78,383,487,463,229,68,15,0,1738,5,59,344,417,447,246,53,14,9,1595,37,236,560,430,350,118,26,3,0,1766,23,91,348,356,323,149,25,3,7,1330,3,29,92,71,52,31,7,3,3,286,60,147,205,135,72,42,7,3,0,664,3,0,5,5,3,3,4,0,0,25,3,13,35,36,36,12,0,0,0,141,587,564,1056,911,760,412,227,102,40,4648,755,1305,3302,3060,2619,1292,434,149,56,12974
7GDAR,34,101,421,306,244,121,49,9,0,1284,12,16,25,11,13,17,11,3,0,102,12,46,169,164,124,75,34,5,3,626,571,870,2492,1927,1659,1176,631,201,59,9602,925,2784,10854,8879,7534,5278,2591,756,165,39769,0,50,197,135,89,41,6,5,0,528,10,38,109,108,76,26,5,0,0,374,8,31,118,92,63,43,23,9,0,389,0,19,34,35,20,10,0,0,0,115,4,53,140,94,55,17,3,0,0,364,12,177,725,692,683,339,111,35,7,2774,3,64,492,617,684,429,97,19,11,2411,101,495,1313,1049,733,339,61,18,5,4110,31,224,810,770,609,308,76,9,0,2834,11,76,208,152,73,41,15,6,3,577,62,213,400,299,153,64,23,8,0,1218,3,11,10,6,3,4,0,0,0,37,7,11,68,72,57,38,10,3,0,266,664,456,1033,1105,929,584,277,208,55,5309,914,1913,5646,5240,4223,2281,704,312,82,21315
79799,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,0,0,12,0,4,18,18,10,3,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0,0,10
79499,0,3,4,4,0,8,3,0,0,16,7,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,3,35,100,87,110,67,43,6,0,453,8,68,180,154,188,159,112,19,0,890,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,4,0,9,24,11,20,17,6,0,0,82,0,3,4,4,8,5,3,0,0,31,0,8,18,7,13,14,3,0,0,58,0,0,20,6,13,3,0,0,0,48,0,4,4,0,4,0,0,0,0,14,3,9,3,3,3,4,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,53,17,18,28,10,3,0,140,9,45,136,54,79,84,27,3,0,437
