GCCSA_CODE_2016,Pre_sch_C06_M,Pre_sch_C06_F,Pre_sch_C06_P,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Infan_Prim_Govt_C06_M,Infan_Prim_Govt_C06_F,Infan_Prim_Govt_C06_P,Infan_Prim_Govt_C11_M,Infan_Prim_Govt_C11_F,Infan_Prim_Govt_C11_P,Infan_Prim_Govt_C16_M,Infan_Prim_Govt_C16_F,Infan_Prim_Govt_C16_P,Infan_Prim_Cath_C06_M,Infan_Prim_Cath_C06_F,Infan_Prim_Cath_C06_P,Infan_Prim_Cath_C11_M,Infan_Prim_Cath_C11_F,Infan_Prim_Cath_C11_P,Infan_Prim_Cath_C16_M,Infan_Prim_Cath_C16_F,Infan_Prim_Cath_C16_P,Inf_Pri_Oth_No_Gov_C06_M,Inf_Pri_Oth_No_Gov_C06_F,Inf_Pri_Oth_No_Gov_C06_P,Inf_Pri_Oth_No_Gov_C11_M,Inf_Pri_Oth_No_Gov_C11_F,Inf_Pri_Oth_No_Gov_C11_P,Inf_Pri_Oth_No_Gov_C16_M,Inf_Pri_Oth_No_Gov_C16_F,Inf_Pri_Oth_No_Gov_C16_P,Inf_Primary_Tot_C06_M,Inf_Primary_Tot_C06_F,Inf_Primary_Tot_C06_P,Inf_Primary_Tot_C11_M,Inf_Primary_Tot_C11_F,Inf_Primary_Tot_C11_P,Inf_Primary_Tot_C16_M,Inf_Primary_Tot_C16_F,Inf_Primary_Tot_C16_P,Sec_Govern_C06_M,Sec_Govern_C06_F,Sec_Govern_C06_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Catholic_C06_M,Sec_Catholic_C06_F,Sec_Catholic_C06_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Oth_Non_Gov_C06_M,Sec_Oth_Non_Gov_C06_F,Sec_Oth_Non_Gov_C06_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Tot_C06_M,Sec_Tot_C06_F,Sec_Tot_C06_P,Sec_Tot_C11_M,Sec_Tot_C11_F,Sec_Tot_C11_P,Sec_Tot_C16_M,Sec_Tot_C16_F,Sec_Tot_C16_P,Tech_FTS_15_24_C06_M,Tech_FTS_15_24_C06_F,Tech_FTS_15_24_C06_P,Tech_FTS_15_24_C11_M,Tech_FTS_15_24_C11_F,Tech_FTS_15_24_C11_P,Tech_FTS_15_24_C16_M,Tech_FTS_15_24_C16_F,Tech_FTS_15_24_C16_P,Tech_FTS_25ove_C06_M,Tech_FTS_25ove_C06_F,Tech_FTS_25ove_C06_P,Tech_FTS_25ove_C11_M,Tech_FTS_25ove_C11_F,Tech_FTS_25ove_C11_P,Tech_FTS_25ove_C16_M,Tech_FTS_25ove_C16_F,Tech_FTS_25ove_C16_P,Tech_PTS_15_24_C06_M,Tech_PTS_15_24_C06_F,Tech_PTS_15_24_C06_P,Tech_PTS_15_24_C11_M,Tech_PTS_15_24_C11_F,Tech_PTS_15_24_C11_P,Tech_PTS_15_24_C16_M,Tech_PTS_15_24_C16_F,Tech_PTS_15_24_C16_P,Techn_PTS_25over_C06_M,Techn_PTS_25over_C06_F,Techn_PTS_25over_C06_P,Techn_PTS_25over_C11_M,Techn_PTS_25over_C11_F,Techn_PTS_25over_C11_P,Techn_PTS_25over_C16_M,Techn_PTS_25over_C16_F,Techn_PTS_25over_C16_P,Tec_F_Pt_stu_st_ns_C06_M,Tec_F_Pt_stu_st_ns_C06_F,Tec_F_Pt_stu_st_ns_C06_P,Tec_F_Pt_stu_st_ns_C11_M,Tec_F_Pt_stu_st_ns_C11_F,Tec_F_Pt_stu_st_ns_C11_P,Tec_F_Pt_stu_st_ns_C16_M,Tec_F_Pt_stu_st_ns_C16_F,Tec_F_Pt_stu_st_ns_C16_P,Tech_Tot_C06_M,Tech_Tot_C06_F,Tech_Tot_C06_P,Tech_Tot_C11_M,Tech_Tot_C11_F,Tech_Tot_C11_P,Tech_Tot_C16_M,Tech_Tot_C16_F,Tech_Tot_C16_P,U_Ft_s_15_24_06_C_M,U_Ft_s_15_24_06_C_F,U_Ft_s_15_24_06_C_P,U_Ft_s_15_24_11_C_M,U_Ft_s_15_24_11_C_F,U_Ft_s_15_24_11_C_P,U_Ft_s_15_24_16_C_M,U_Ft_s_15_24_16_C_F,U_Ft_s_15_24_16_C_P,U_Ft_s_25over_06_C_M,U_Ft_s_25over_06_C_F,U_Ft_s_25over_06_C_P,U_Ft_s_25over_11_C_M,U_Ft_s_25over_11_C_F,U_Ft_s_25over_11_C_P,U_Ft_s_25over_16_C_M,U_Ft_s_25over_16_C_F,U_Ft_s_25over_16_C_P,U_Pt_s_15_24_06_C_M,U_Pt_s_15_24_06_C_F,U_Pt_s_15_24_06_C_P,U_Pt_s_15_24_11_C_M,U_Pt_s_15_24_11_C_F,U_Pt_s_15_24_11_C_P,U_Pt_s_15_24_16_C_M,U_Pt_s_15_24_16_C_F,U_Pt_s_15_24_16_C_P,U_Pt_s_25over_06_C_M,U_Pt_s_25over_06_C_F,U_Pt_s_25over_06_C_P,U_Pt_s_25over_11_C_M,U_Pt_s_25over_11_C_F,U_Pt_s_25over_11_C_P,U_Pt_s_25over_16_C_M,U_Pt_s_25over_16_C_F,U_Pt_s_25over_16_C_P,U_F_Pt_s_s_ns_06_C_M,U_F_Pt_s_s_ns_06_C_F,U_F_Pt_s_s_ns_06_C_P,U_F_Pt_s_s_ns_11_C_M,U_F_Pt_s_s_ns_11_C_F,U_F_Pt_s_s_ns_11_C_P,U_F_Pt_s_s_ns_16_C_M,U_F_Pt_s_s_ns_16_C_F,U_F_Pt_s_s_ns_16_C_P,U_Tot_C06_M,U_Tot_C06_F,U_Tot_C06_P,U_Tot_C11_M,U_Tot_C11_F,U_Tot_C11_P,U_Tot_C16_M,U_Tot_C16_F,U_Tot_C16_P,Ot_ty_Ed_Ins_Ft_st_C06_M,Ot_ty_Ed_Ins_Ft_st_C06_F,Ot_ty_Ed_Ins_Ft_st_C06_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F
9OTER,18,24,46,23,15,38,44,31,79,122,105,226,96,98,195,176,163,345,0,0,0,0,0,0,0,0,0,0,5,5,7,7,12,4,0,4,123,107,234,104,103,211,177,163,344,60,73,138,65,62,126,113,127,240,0,0,0,0,4,3,0,0,3,0,0,0,3,0,3,0,9,6,62,78,142,71,63,131,118,130,247,0,3,5,0,3,3,0,0,0,0,0,0,0,0,5,3,4,6,5,3,6,3,0,4,8,0,10,5,15,21,3,14,11,9,8,17,0,0,0,0,0,0,0,0,0,10,20,33,10,16,22,19,14,36,3,3,4,0,3,6,0,4,5,0,0,0,0,0,3,3,7,4,0,0,0,0,0,0,0,0,0,4,9,17,3,16,21,8,11,25,0,0,3,0,0,0,0,0,0,10,13,23,12,18,28,13,22,33,10,9,17,4,0,4,7,0,9,0,10
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
8ACTE,2191,2121,4309,2783,2415,5199,3113,2791,5901,8509,8204,16710,8522,8064,16588,10717,10000,20711,3836,3694,7534,3828,3619,7442,4220,3904,8121,1338,1325,2659,1819,1842,3662,2002,1964,3969,13682,13222,26907,14163,13525,27689,16936,15869,32804,6515,6215,12737,6318,6048,12373,6904,6694,13599,3328,3237,6567,3333,3298,6631,3292,3074,6370,1837,1821,3660,2039,2061,4094,2066,2139,4207,11686,11273,22960,11684,11407,23097,12269,11915,24183,889,945,1837,790,829,1612,597,606,1205,287,445,729,428,639,1058,590,777,1370,1409,816,2230,1435,894,2331,1182,760,1943,1486,2216,3698,1756,2331,4090,1438,2157,3589,49,51,96,36,25,64,29,24,51,4117,4473,8594,4452,4709,9161,3831,4319,8156,5041,5539,10577,6691,7258,13951,8132,8992,17126,1855,1790,3644,2356,2192,4547,3376,3121,6496,588,725,1315,682,943,1620,765,973,1737,3063,3947,7009,3514,4555,8068,3683,5091,8774,44,40,89,59,39,94,43,51,93,10588,12045,22633,13298,14983,28283,15997,18230,34230,493,272,768,491,288,776,459,439,894,670,1110
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,7,3,9,0,0,3,3,0,5,15,14,25,6,4,11,11,12,20,0,4,8,3,8,5,0,0,3,0,0,0,0,0,0,0,0,0,19,17,38,11,8,21,11,12,16,10,8,22,3,8,16,3,4,3,0,4,4,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,10,14,25,12,11,24,5,4,6,3,4,5,3,0,5,0,0,0,0,0,0,6,0,10,0,0,5,0,3,6,0,3,3,0,3,3,3,9,13,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,12,23,10,9,22,3,5,7,24,17,40,15,11,29,18,13,28,9,7,16,8,3,15,10,8,18,0,3,3,0,3,3,0,4,4,9,7,11,8,6,15,3,3,6,0,0,0,0,0,0,0,0,0,44,35,75,27,25,52,29,31,62,3,4,8,6,0,12,0,3,3,3,3
7RNTE,696,622,1322,787,770,1556,851,845,1691,3725,3459,7185,4181,3853,8035,3718,3436,7156,583,581,1165,674,644,1325,591,565,1151,392,389,785,403,376,775,403,414,815,4701,4433,9130,5263,4871,10133,4710,4416,9124,1318,1319,2635,1594,1523,3117,1724,1598,3325,295,347,639,452,455,901,475,397,879,392,375,764,530,598,1126,531,555,1089,2003,2037,4037,2576,2574,5148,2736,2555,5285,45,39,82,60,26,87,52,32,86,27,49,82,61,72,133,39,67,106,147,107,250,147,131,273,94,77,170,177,324,498,257,358,617,182,377,559,6,10,15,9,7,8,12,9,16,409,524,934,531,594,1120,376,562,941,29,74,104,37,85,121,30,102,138,55,111,168,72,135,206,97,179,276,41,93,138,52,100,152,36,86,124,330,646,973,382,818,1203,361,807,1165,6,5,10,7,3,7,8,5,15,463,940,1396,549,1138,1687,533,1185,1715,55,73,132,113,131,242,81,70,146,99,208
7GDAR,780,698,1481,918,854,1774,1021,991,2009,4142,3865,8006,3582,3511,7091,4092,3863,7961,707,670,1380,606,660,1266,795,679,1471,582,557,1142,660,708,1366,881,861,1737,5427,5101,10527,4846,4876,9719,5769,5399,11171,2110,1974,4083,2585,2294,4880,2521,2377,4901,435,425,862,461,415,875,606,588,1193,496,496,989,823,869,1696,873,947,1819,3036,2899,5930,3862,3580,7447,3995,3912,7912,95,76,178,94,64,153,104,90,193,45,54,95,64,100,172,103,138,242,242,141,379,267,183,447,244,196,435,249,337,590,339,462,800,436,724,1161,5,4,9,6,6,17,19,14,31,640,611,1250,771,814,1590,908,1160,2067,374,589,961,440,658,1100,697,824,1521,290,510,800,364,573,932,601,912,1514,163,253,413,213,356,565,209,347,552,788,1395,2185,745,1593,2342,889,1804,2691,18,14,28,12,15,29,14,21,32,1634,2756,4389,1765,3195,4963,2404,3907,6309,80,73,157,105,107,215,121,127,254,155,342
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,10,3,12,3,0,6,3,0,3,18,21,35,28,19,42,22,25,48,0,0,0,0,0,0,3,0,5,0,0,0,5,4,12,3,6,10,25,22,41,30,23,55,32,35,62,3,6,6,0,3,5,5,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,9,0,3,5,7,3,13,0,0,0,0,0,0,17,5,27,0,0,3,0,0,0,3,0,6,0,0,0,0,0,3,3,0,3,4,4,8,10,3,10,3,3,8,0,0,0,0,0,0,0,0,0,6,8,11,9,3,13,25,11,39,0,9,6,5,8,7,3,0,3,8,3,14,5,4,6,0,7,8,3,0,3,0,0,0,0,0,0,3,0,5,3,13,13,6,3,10,0,0,0,0,0,0,0,0,0,14,16,32,7,19,35,12,13,18,6,6,16,0,0,4,9,14,16,3,0
