GCCSA_CODE_2016,Pre_sch_C06_M,Pre_sch_C06_F,Pre_sch_C06_P,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Infan_Prim_Govt_C06_M,Infan_Prim_Govt_C06_F,Infan_Prim_Govt_C06_P,Infan_Prim_Govt_C11_M,Infan_Prim_Govt_C11_F,Infan_Prim_Govt_C11_P,Infan_Prim_Govt_C16_M,Infan_Prim_Govt_C16_F,Infan_Prim_Govt_C16_P,Infan_Prim_Cath_C06_M,Infan_Prim_Cath_C06_F,Infan_Prim_Cath_C06_P,Infan_Prim_Cath_C11_M,Infan_Prim_Cath_C11_F,Infan_Prim_Cath_C11_P,Infan_Prim_Cath_C16_M,Infan_Prim_Cath_C16_F,Infan_Prim_Cath_C16_P,Inf_Pri_Oth_No_Gov_C06_M,Inf_Pri_Oth_No_Gov_C06_F,Inf_Pri_Oth_No_Gov_C06_P,Inf_Pri_Oth_No_Gov_C11_M,Inf_Pri_Oth_No_Gov_C11_F,Inf_Pri_Oth_No_Gov_C11_P,Inf_Pri_Oth_No_Gov_C16_M,Inf_Pri_Oth_No_Gov_C16_F,Inf_Pri_Oth_No_Gov_C16_P,Inf_Primary_Tot_C06_M,Inf_Primary_Tot_C06_F,Inf_Primary_Tot_C06_P,Inf_Primary_Tot_C11_M,Inf_Primary_Tot_C11_F,Inf_Primary_Tot_C11_P,Inf_Primary_Tot_C16_M,Inf_Primary_Tot_C16_F,Inf_Primary_Tot_C16_P,Sec_Govern_C06_M,Sec_Govern_C06_F,Sec_Govern_C06_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Catholic_C06_M,Sec_Catholic_C06_F,Sec_Catholic_C06_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Oth_Non_Gov_C06_M,Sec_Oth_Non_Gov_C06_F,Sec_Oth_Non_Gov_C06_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Tot_C06_M,Sec_Tot_C06_F,Sec_Tot_C06_P,Sec_Tot_C11_M,Sec_Tot_C11_F,Sec_Tot_C11_P,Sec_Tot_C16_M,Sec_Tot_C16_F,Sec_Tot_C16_P,Tech_FTS_15_24_C06_M,Tech_FTS_15_24_C06_F,Tech_FTS_15_24_C06_P,Tech_FTS_15_24_C11_M,Tech_FTS_15_24_C11_F,Tech_FTS_15_24_C11_P,Tech_FTS_15_24_C16_M,Tech_FTS_15_24_C16_F,Tech_FTS_15_24_C16_P,Tech_FTS_25ove_C06_M,Tech_FTS_25ove_C06_F,Tech_FTS_25ove_C06_P,Tech_FTS_25ove_C11_M,Tech_FTS_25ove_C11_F,Tech_FTS_25ove_C11_P,Tech_FTS_25ove_C16_M,Tech_FTS_25ove_C16_F,Tech_FTS_25ove_C16_P,Tech_PTS_15_24_C06_M,Tech_PTS_15_24_C06_F,Tech_PTS_15_24_C06_P,Tech_PTS_15_24_C11_M,Tech_PTS_15_24_C11_F,Tech_PTS_15_24_C11_P,Tech_PTS_15_24_C16_M,Tech_PTS_15_24_C16_F,Tech_PTS_15_24_C16_P,Techn_PTS_25over_C06_M,Techn_PTS_25over_C06_F,Techn_PTS_25over_C06_P,Techn_PTS_25over_C11_M,Techn_PTS_25over_C11_F,Techn_PTS_25over_C11_P,Techn_PTS_25over_C16_M,Techn_PTS_25over_C16_F,Techn_PTS_25over_C16_P,Tec_F_Pt_stu_st_ns_C06_M,Tec_F_Pt_stu_st_ns_C06_F,Tec_F_Pt_stu_st_ns_C06_P,Tec_F_Pt_stu_st_ns_C11_M,Tec_F_Pt_stu_st_ns_C11_F,Tec_F_Pt_stu_st_ns_C11_P,Tec_F_Pt_stu_st_ns_C16_M,Tec_F_Pt_stu_st_ns_C16_F,Tec_F_Pt_stu_st_ns_C16_P,Tech_Tot_C06_M,Tech_Tot_C06_F,Tech_Tot_C06_P,Tech_Tot_C11_M,Tech_Tot_C11_F,Tech_Tot_C11_P,Tech_Tot_C16_M,Tech_Tot_C16_F,Tech_Tot_C16_P,U_Ft_s_15_24_06_C_M,U_Ft_s_15_24_06_C_F,U_Ft_s_15_24_06_C_P,U_Ft_s_15_24_11_C_M,U_Ft_s_15_24_11_C_F,U_Ft_s_15_24_11_C_P,U_Ft_s_15_24_16_C_M,U_Ft_s_15_24_16_C_F,U_Ft_s_15_24_16_C_P,U_Ft_s_25over_06_C_M,U_Ft_s_25over_06_C_F,U_Ft_s_25over_06_C_P,U_Ft_s_25over_11_C_M,U_Ft_s_25over_11_C_F,U_Ft_s_25over_11_C_P,U_Ft_s_25over_16_C_M,U_Ft_s_25over_16_C_F,U_Ft_s_25over_16_C_P,U_Pt_s_15_24_06_C_M,U_Pt_s_15_24_06_C_F,U_Pt_s_15_24_06_C_P,U_Pt_s_15_24_11_C_M,U_Pt_s_15_24_11_C_F,U_Pt_s_15_24_11_C_P,U_Pt_s_15_24_16_C_M,U_Pt_s_15_24_16_C_F,U_Pt_s_15_24_16_C_P,U_Pt_s_25over_06_C_M,U_Pt_s_25over_06_C_F,U_Pt_s_25over_06_C_P,U_Pt_s_25over_11_C_M,U_Pt_s_25over_11_C_F,U_Pt_s_25over_11_C_P,U_Pt_s_25over_16_C_M,U_Pt_s_25over_16_C_F,U_Pt_s_25over_16_C_P,U_F_Pt_s_s_ns_06_C_M,U_F_Pt_s_s_ns_06_C_F,U_F_Pt_s_s_ns_06_C_P,U_F_Pt_s_s_ns_11_C_M,U_F_Pt_s_s_ns_11_C_F,U_F_Pt_s_s_ns_11_C_P,U_F_Pt_s_s_ns_16_C_M,U_F_Pt_s_s_ns_16_C_F,U_F_Pt_s_s_ns_16_C_P,U_Tot_C06_M,U_Tot_C06_F,U_Tot_C06_P,U_Tot_C11_M,U_Tot_C11_F,U_Tot_C11_P,U_Tot_C16_M,U_Tot_C16_F,U_Tot_C16_P,Ot_ty_Ed_Ins_Ft_st_C06_M,Ot_ty_Ed_Ins_Ft_st_C06_F,Ot_ty_Ed_Ins_Ft_st_C06_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F
6RTAS,1163,1112,2273,1289,1154,2441,1075,949,2023,10615,9906,20524,9321,8960,18283,9280,8736,18022,1785,1817,3604,1825,1849,3674,1968,1911,3879,1085,981,2065,1161,1136,2299,1174,1130,2305,13485,12708,26190,12309,11943,24252,12428,11780,24207,6035,5837,11879,5815,5484,11299,5454,5194,10649,1364,1404,2765,1541,1644,3185,1584,1574,3156,1175,1129,2305,1281,1198,2476,1175,1143,2319,8577,8372,16946,8642,8327,16964,8209,7914,16128,875,1024,1896,1148,1314,2463,940,994,1940,276,547,825,319,625,942,304,561,871,968,554,1528,974,600,1573,711,527,1245,1083,1684,2772,949,1429,2378,709,1241,1950,56,51,109,45,24,74,26,18,45,3258,3872,7132,3432,3990,7426,2697,3347,6040,1028,1418,2449,1191,1609,2803,1325,1597,2924,525,706,1230,585,845,1435,649,873,1525,93,190,286,114,272,389,138,243,379,577,1086,1660,702,1476,2179,697,1627,2331,9,21,33,7,21,33,12,25,32,2237,3424,5659,2607,4227,6830,2818,4366,7185,147,236,382,215,281,491,227,286,513,233,586
6GHOB,891,855,1746,889,873,1768,858,848,1705,6304,5801,12102,6173,5572,11741,6911,6278,13188,1787,1812,3603,2014,1987,3996,2044,2151,4189,942,913,1857,1049,995,2046,1089,1073,2159,9033,8527,17558,9230,8555,17786,10039,9503,19542,3728,3694,7420,3577,3275,6847,3875,3432,7309,1406,1563,2967,1525,1772,3294,1652,1816,3471,1302,1256,2559,1225,1244,2474,1265,1251,2520,6436,6513,12952,6327,6288,12615,6801,6499,13303,720,731,1454,865,834,1702,620,628,1254,198,342,541,271,414,681,279,467,749,732,405,1142,719,421,1140,577,354,935,873,1210,2080,743,1088,1831,634,952,1589,37,32,65,25,30,60,15,23,36,2564,2721,5284,2623,2795,5412,2136,2428,4569,2016,2367,4386,2159,2504,4663,2306,2596,4905,729,783,1516,857,994,1853,1253,1331,2580,198,211,412,224,296,520,233,333,561,803,1321,2120,899,1695,2595,1000,1946,2948,24,12,39,17,11,29,16,19,34,3768,4697,8472,4160,5503,9659,4801,6223,11028,99,152,250,144,213,356,173,222,399,246,508
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,3,5,4,9,3,3,4,14,14,24,9,19,28,8,12,18,3,5,8,0,0,0,3,0,4,3,0,4,0,0,0,3,0,8,21,18,39,9,24,33,9,17,24,11,9,20,11,9,25,4,6,13,0,0,0,0,3,0,0,3,3,0,0,0,0,3,4,0,3,3,12,6,20,18,11,30,4,12,20,0,3,3,3,10,9,3,9,8,0,0,3,3,3,6,0,0,0,4,0,6,0,0,4,0,4,7,3,7,7,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,14,11,21,11,18,26,3,9,13,0,11,13,8,13,19,5,8,17,4,4,12,6,3,8,12,3,17,0,0,0,0,3,3,0,0,0,4,7,12,3,5,11,0,6,3,0,0,0,0,0,0,0,0,0,9,22,34,15,27,40,20,21,39,12,3,14,0,3,0,0,0,0,3,3
5RWAU,3670,3428,7101,3919,3802,7722,3427,3024,6451,17241,15753,32999,17589,16591,34179,17077,16241,33319,3633,3595,7229,3988,3974,7960,3833,3849,7678,1571,1476,3048,2169,2164,4333,2305,2297,4602,22450,20825,43275,23758,22723,46477,23212,22392,45601,9433,8878,18313,8627,7872,16497,11126,10354,21475,1913,2050,3964,2204,2453,4660,2725,2875,5600,1302,1346,2649,1950,1837,3791,2194,2208,4397,12643,12280,24921,12782,12169,24950,16047,15431,31475,533,645,1175,770,774,1549,622,670,1295,212,558,774,281,666,944,284,662,951,1672,937,2603,1635,1135,2772,1250,984,2234,1306,2480,3783,1497,3124,4621,1300,2742,4045,65,68,137,60,49,107,48,56,99,3785,4686,8473,4245,5746,9993,3507,5113,8618,438,758,1187,519,914,1435,546,1012,1555,231,629,864,294,788,1085,432,972,1399,125,265,392,144,365,507,150,383,532,921,1716,2643,1092,2185,3276,1077,2487,3567,27,17,47,18,22,40,12,20,31,1740,3389,5135,2068,4273,6342,2212,4875,7087,155,173,328,294,275,569,358,402,762,373,833
5GPER,10330,9717,20046,12704,11980,24682,12205,11574,23779,44302,41036,85332,49280,45706,94983,57961,53607,111571,12474,12257,24731,12863,12733,25598,14684,14481,29164,8200,8190,16392,10746,10622,21366,11725,11689,23411,64973,61485,126455,72887,69065,141949,84374,79777,164145,24885,24252,49133,24559,22971,47532,34324,32324,66647,10071,10354,20425,12432,12643,25078,14189,14269,28459,10718,11103,21822,12756,13304,26061,15156,15211,30367,45672,45707,91380,49746,48921,98668,63669,61803,125478,4164,4222,8385,5003,4463,9470,4782,4214,8996,1475,2727,4197,2641,4005,6649,3460,5134,8597,5748,2820,8568,5773,2994,8769,4724,2700,7420,4405,6213,10617,5363,8046,13405,4959,7852,12806,264,179,440,232,161,386,179,144,319,16053,16153,32209,19016,19667,38678,18096,20045,38142,16715,20650,37361,21210,25944,47152,24179,27701,51880,4807,6095,10901,6347,7700,14044,9073,10979,20054,1679,2254,3938,2204,3234,5436,2928,3855,6785,6137,9052,15186,7238,11151,18387,7897,12554,20458,201,228,430,195,204,405,165,255,419,29544,38273,67819,37198,48236,85432,44241,55346,99590,1108,1331,2444,1842,1853,3697,2641,3014,5649,1875,3769
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,9,0,9,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,4,8,0,9,0,0,0,0,0,0,0,0,0,0,0
59499,19,15,30,9,11,22,14,7,17,47,65,110,70,64,134,51,51,96,5,16,17,11,9,20,13,3,16,4,3,7,19,24,39,13,14,26,54,81,142,100,99,199,72,70,139,30,22,46,31,11,45,21,26,49,0,6,7,3,0,3,0,3,7,3,3,7,7,9,16,3,3,7,33,26,60,44,24,66,27,35,61,5,11,19,3,4,8,5,7,9,4,15,15,12,3,13,14,10,28,10,6,11,13,5,14,3,3,11,15,13,27,19,16,34,14,14,30,0,0,0,3,0,3,0,0,0,37,40,79,48,34,77,34,40,67,30,31,61,30,32,68,27,34,61,18,16,31,16,23,37,25,14,38,5,4,9,0,4,6,4,3,8,20,20,42,22,25,53,9,19,25,0,0,0,0,0,0,0,0,0,65,72,138,72,94,163,67,70,128,5,7,12,6,12,16,8,10,20,3,12
4RSAU,2323,2286,4606,2496,2353,4842,2266,2064,4333,14072,13492,27564,12809,11992,24802,12614,11558,24172,2250,2176,4423,2180,2131,4309,2214,2059,4276,2109,1980,4091,2292,2299,4589,2269,2218,4489,18426,17650,36079,17282,16422,33698,17098,15832,32931,8176,7766,15945,7934,7744,15674,7781,7527,15309,1001,1099,2104,1207,1246,2450,1159,1175,2330,1071,1189,2265,1401,1545,2938,1332,1473,2802,10248,10060,20308,10545,10527,21071,10273,10173,20446,351,390,735,380,467,843,296,394,687,176,541,716,202,625,827,218,610,826,1101,769,1871,1072,872,1944,792,718,1511,1157,2413,3574,1101,2234,3328,861,1686,2543,54,49,101,40,52,90,33,32,62,2838,4165,7005,2792,4251,7039,2191,3437,5624,268,550,819,360,818,1172,528,1119,1647,150,437,591,158,525,686,272,672,943,97,189,285,123,244,365,108,234,337,524,1026,1550,594,1332,1931,533,1411,1942,9,19,24,14,20,35,6,25,32,1056,2223,3275,1253,2940,4188,1445,3460,4908,153,206,355,207,254,464,224,269,495,287,716
4GADE,7254,6696,13959,7994,7728,15720,8147,7807,15950,34304,31583,65887,32744,30144,62885,36381,33913,70299,10385,10628,21012,10984,10858,21843,11052,10862,21917,8290,8166,16459,9060,8932,17984,9056,9029,18091,52971,50380,103354,52785,49934,102717,56491,53811,110303,18445,17616,36061,18684,17826,36508,19275,18067,37340,7408,7807,15212,8052,8395,16445,8442,8705,17154,7778,7888,15659,8384,8495,16878,9240,9000,18238,33625,33307,66933,35112,34722,69831,36954,35773,72730,2375,2472,4844,2680,2683,5364,2356,2363,4714,1279,1988,3273,1943,3068,5007,2206,3558,5765,3760,2461,6220,3347,2355,5700,2570,1992,4560,4570,6452,11029,4600,6763,11361,4015,6475,10493,180,157,337,179,125,303,94,98,197,12165,13532,25694,12748,14990,27730,11235,14488,25721,11896,14949,26846,14878,18514,33394,18292,21820,40112,4121,4660,8782,5507,6390,11896,7323,8463,15785,1153,1608,2762,1259,1979,3243,1785,2239,4024,4763,6936,11700,5073,7761,12830,5173,8424,13604,151,137,287,151,170,315,99,170,269,22079,28289,50371,26865,34810,61680,32673,41118,73792,907,1374,2284,1367,1630,3003,1564,1963,3526,1947,3873
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,8,7,12,8,11,19,5,8,8,26,33,62,48,46,91,28,30,55,6,7,8,8,0,6,0,3,5,5,7,13,9,12,22,0,5,8,35,48,84,63,62,123,29,43,76,12,20,38,21,20,41,34,38,70,4,3,6,0,3,4,0,0,0,3,4,9,5,0,7,4,6,15,20,33,54,26,25,51,39,47,86,3,3,7,9,7,11,4,5,12,0,6,5,6,14,15,7,10,20,10,0,7,9,4,13,0,4,3,7,13,21,16,15,27,3,7,10,0,0,0,0,0,0,0,0,0,20,25,44,32,37,71,21,24,43,13,32,45,15,27,38,22,12,35,10,12,20,9,16,24,16,19,33,3,0,3,7,0,6,0,3,3,5,8,9,10,12,14,7,9,12,0,0,0,0,0,0,0,0,0,33,52,81,40,49,87,40,38,81,11,8,16,3,4,10,11,10,21,8,9
3RQLD,15593,14345,29938,13007,12078,25086,14430,13416,27845,68703,64551,133260,70740,65524,136262,73078,67812,140890,15771,15001,30770,19274,18390,37662,18689,18935,37626,11159,10759,21917,13265,12983,26246,13603,13315,26915,95631,90311,185947,103278,96895,200174,105374,100053,205429,41232,39781,81019,43315,41855,85171,48361,45930,94292,10493,11208,21696,12763,12995,25758,15575,14989,30563,10207,10650,20857,11962,12312,24275,14098,13980,28080,61932,61642,123578,68043,67160,135204,78036,74901,152933,2013,2356,4373,2597,2766,5360,2352,2936,5288,1114,2564,3677,1461,3326,4786,1996,4413,6407,5394,4112,9501,5227,4566,9797,4364,4061,8422,5112,10089,15204,5877,12425,18304,5171,10858,16028,294,240,542,224,226,453,170,180,353,13932,19364,33292,15393,23312,38702,14057,22446,36500,8477,13021,21500,10645,16963,27608,13841,20084,33921,3419,5607,9026,4586,7880,12467,6186,10030,16218,1654,2569,4222,1903,3320,5228,2235,3985,6222,5583,9632,15220,6350,12819,19167,7397,15656,23050,142,192,332,147,189,331,128,196,328,19272,31025,50299,23627,41180,64800,29781,49946,79730,1042,1351,2396,1548,1888,3433,2235,2975,5214,2370,5469
3GBRI,14989,13752,28742,13156,12330,25483,14976,13780,28756,58969,55798,114770,63264,58834,122094,69851,65541,135392,14638,14157,28797,17835,17187,35018,18308,17893,36200,9312,9299,18608,11006,11144,22150,11593,11626,23219,82920,79255,162173,92110,87156,179267,99757,95060,194812,32430,31900,64334,35327,33517,68846,41979,39769,81747,11808,11568,23375,13282,12898,26189,16738,15765,32502,12350,12894,25243,13891,14261,28160,15458,15367,30827,56584,56361,112950,62508,60682,123190,74177,70902,145082,3319,3623,6940,4288,4510,8805,3972,4539,8511,1499,2775,4272,2477,3988,6467,3160,5954,9116,5409,3561,8975,4928,3720,8648,4060,3360,7412,5316,8722,14034,5954,10052,16012,5416,9605,15017,249,224,468,247,213,462,135,165,298,15793,18899,34696,17906,22487,40390,16734,23614,40356,20273,26506,46783,25558,33213,58768,32110,39253,71361,6415,7808,14231,8501,10595,19096,11894,14256,26150,2365,3321,5684,2633,3747,6373,3328,4565,7895,8458,11661,20116,9385,14244,23631,10671,16710,27384,208,221,430,223,249,475,164,234,400,37726,49516,87243,46301,62045,108348,58163,75026,133192,1495,1932,3423,2557,2760,5312,3344,4332,7680,2722,5467
39799,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,7,9,11,0,3,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,15,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,3,0,0,0,3,3,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0
39499,41,28,68,15,22,41,19,15,31,161,152,311,123,124,247,91,93,182,26,14,37,11,17,24,8,10,21,15,29,48,25,28,53,34,29,66,201,191,393,157,173,330,129,133,264,57,60,116,51,49,100,54,47,97,0,11,13,4,12,15,6,0,4,18,19,35,10,18,26,12,12,21,77,88,163,65,74,139,70,59,128,3,10,12,6,20,31,12,10,22,8,11,19,17,17,32,11,17,24,14,11,26,20,12,34,8,19,33,15,41,52,23,26,49,17,25,41,3,0,4,0,0,0,3,7,9,48,70,114,65,76,139,53,80,136,55,77,135,43,72,116,53,75,127,34,33,61,39,37,68,40,63,100,3,22,27,11,11,19,12,10,19,42,42,83,18,42,61,26,22,52,0,0,0,0,5,5,3,5,9,128,175,302,110,165,275,126,171,301,19,27,48,24,20,45,20,29,51,29,35
2RVIC,10183,9575,19758,11432,10418,21852,11419,10462,21876,42984,40199,83181,38425,36024,74445,39750,36856,76606,11912,11566,23477,12587,12546,25127,14140,13845,27983,4025,3798,7823,4408,4420,8830,5114,5051,10164,58929,55560,114487,55422,52985,108406,59001,55748,114744,31092,30594,61691,28651,27748,56401,26187,24964,51157,9855,10824,20680,11422,12188,23607,12202,12747,24948,6159,5976,12142,6588,6609,13196,6923,6922,13850,47111,47395,94506,46662,46551,93209,45316,44639,89950,2116,2414,4526,2581,2933,5514,2143,2424,4571,726,1521,2247,991,2109,3107,944,2061,3000,4760,2350,7107,4980,3131,8112,4008,2447,6456,3828,6594,10425,4373,7560,11932,3146,5283,8428,209,163,372,181,134,315,113,116,229,11637,13040,24675,13118,15869,28985,10354,12335,22689,4932,7727,12656,5994,9611,15605,6990,10431,17422,1361,2278,3636,1780,3402,5181,2462,4197,6661,595,980,1572,701,1306,2008,920,1655,2580,3002,5112,8115,3087,6476,9555,3255,7471,10732,74,90,160,80,81,162,52,114,170,9967,16188,26153,11635,20871,32507,13687,23873,37562,1043,1107,2149,1413,1430,2838,1446,1601,3051,1675,3654
2GMEL,30264,28025,58288,35133,32768,67895,37935,35103,73041,98560,91532,190093,102782,94536,197320,123038,114095,237135,32559,31902,64461,34169,33845,68019,37714,37067,74785,15768,16070,31840,18160,18842,37000,20573,21290,41862,146880,139508,286392,155110,147229,302337,181321,172450,353773,67556,64948,132500,70722,66528,137247,77296,72617,149913,26708,28211,54922,28680,29929,58608,31436,32611,64045,25431,26034,51467,27563,28689,56248,29568,30532,60099,119701,119194,238890,126964,125139,252105,138297,135754,274054,13325,11551,24876,13588,11921,25510,10860,9966,20829,4290,5860,10148,6620,8357,14977,7299,10437,17733,11893,5399,17290,13024,6121,19150,10745,4960,15706,10203,13725,23929,11965,16075,28036,11247,14652,25907,733,476,1212,637,455,1090,384,310,688,40448,37015,77461,45830,42935,88762,40541,40320,80857,45364,53707,99073,55606,66413,122021,78260,89365,167629,12271,12928,25198,16694,19442,36136,26767,30168,56938,3691,5306,8995,4572,6490,11066,6369,8024,14394,15739,22240,37974,16846,26327,43173,18237,28814,47051,675,628,1301,634,619,1252,477,634,1113,77734,94817,172551,94357,119294,213650,130120,157003,287125,3958,4632,8589,6408,7160,13571,8575,10279,18855,6705,13336
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,20,26,46,38,28,68,27,25,49,95,77,170,114,113,230,63,82,139,10,16,30,7,13,21,9,10,17,4,9,16,13,13,25,7,8,23,114,101,212,138,136,277,76,101,179,54,61,114,66,62,122,49,53,102,3,3,12,3,6,9,5,3,4,13,15,33,6,8,16,20,8,30,73,88,158,75,78,151,67,66,137,24,27,51,22,35,60,16,25,43,22,9,29,24,28,48,11,22,35,21,25,50,31,27,50,7,4,13,18,17,36,14,19,37,13,27,38,0,0,0,4,4,6,0,3,4,93,76,163,89,108,204,55,82,139,80,92,169,69,120,191,78,125,206,34,42,76,55,63,118,43,45,90,8,13,14,4,11,12,6,15,23,32,36,67,19,47,70,12,29,43,0,0,0,3,0,3,3,0,4,146,179,326,152,237,394,147,220,366,19,9,33,28,35,57,18,26,49,12,23
1RNSW,23150,20904,44060,24672,22911,47581,25156,22923,48072,79686,75414,155094,74208,70094,144298,77719,73320,151038,22223,21639,43863,21927,21074,43003,22552,22140,44692,8977,8516,17492,9804,9182,18992,10130,9617,19754,110883,105568,216449,105942,100352,206289,110402,105074,215480,58457,57552,116012,57031,55158,112188,52581,50971,103552,16533,17180,33717,17321,18503,35817,18455,19154,37608,9033,9526,18560,9951,10418,20368,10748,11011,21759,84021,84264,168288,84300,84073,168370,81782,81133,162910,3899,4665,8565,3984,4500,8482,2922,3744,6667,1694,3639,5341,2180,4654,6834,1972,4250,6223,12683,6542,19220,11913,6912,18834,9493,6286,15776,9497,15670,25173,10044,17333,27381,7621,14268,21889,431,437,868,411,371,784,285,264,546,28206,30961,59166,28535,33775,62310,22294,28815,51103,11091,16048,27138,13556,19608,33170,15063,20086,35156,3943,5282,9224,5086,7241,12331,6442,8855,15301,1829,2645,4468,2122,3202,5331,2399,3878,6273,6703,11162,17869,7613,14430,22045,8153,16449,24596,136,188,330,142,198,339,129,191,319,23699,35325,59021,28519,44685,73205,32186,49458,81648,1017,1364,2382,1282,1587,2867,1615,1975,3592,2422,5895
