GCCSA_CODE_2016,C06_PI_S_R225_274,C06_PI_S_R275_349,C06_PI_S_R350_449,C06_PI_S_R450_549,C06_PI_S_R550_649,C06_PI_S_R650m,C06_PI_S_R_NS,C06_PI_S_R_Tot,C06_AI_NS_R0_74,C06_AI_NS_R75_99,C06_AI_NS_R100_149,C06_AI_NS_R150_199,C06_AI_NS_R200_224,C06_AI_NS_R225_274,C06_AI_NS_R275_349,C06_AI_NS_R350_449,C06_AI_NS_R450_549,C06_AI_NS_R550_649,C06_AI_NS_R650m,C06_AI_NS_R_NS,C06_AI_NS_R_Tot,C06_Tot_R0_74,C06_Tot_R75_99,C06_Tot_R100_149,C06_Tot_R150_199,C06_Tot_R200_224,C06_Tot_R225_274,C06_Tot_R275_349,C06_Tot_R350_449,C06_Tot_R450_549,C06_Tot_R550_649,C06_Tot_R650m,C06_Tot_R_NS,C06_Tot_R_Tot,C11_N_inc_R0_74,C11_N_inc_R75_99,C11_Ne_Ni_inc_R100_149,C11_Ne_Ni_inc_R150_199,C11_Ne_Ni_inc_R200_224,C11_Ne_Ni_inc_R225_274,C11_Ne_Ni_inc_R275_349,C11_Ne_Ni_inc_R350_449,C11_Ne_Ni_inc_R450_549,C11_Ne_Ni_inc_R550_649,C11_Ne_Ni_inc_R650m,C11_Ne_Ni_inc_R_NS,C11_N_inc_R_Tot,C11_1_149_R0_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650m,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R0_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650m,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R0_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650m,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R0_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650m,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R0_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650m,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R0_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650m,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R0_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650m,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R0_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650m,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R0_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650m,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R0_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650m,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R0_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650m,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R0_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649
9OTER,0,3,0,0,0,0,3,37,3,0,3,0,0,0,0,0,0,0,0,0,7,170,25,91,50,13,7,13,18,5,3,6,52,446,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,3,17,5,0,0,0,3,0,0,0,0,0,0,3,10,6,0,3,4,0,0,0,0,0,0,0,0,11,6,3,3,4,6,0,3,0,0,0,0,6,29,11,3,8,0,0,0,4,0,0,0,0,3,27,14,5,4,6,0,0,4,0,5,0,3,3,38,3,0,3,5,4,3,5,0,0,0,0,0,30,16,9,7,5,3,3,0,0,0,0,3,8,52,14,0,8,4,3,4,3,4,0,0,0,3,46,24,3,0,4,0,3,3,3,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,403,721,557,141,41,30,112,2683,123,32,62,43,20,60,76,34,8,7,23,131,617,3791,1406,2724,3123,1955,6016,9159,4295,944,274,365,1067,35107,40,20,35,27,13,17,54,105,61,30,32,48,478,154,85,49,33,4,8,22,44,20,7,5,36,478,400,477,245,120,37,42,54,97,41,11,15,115,1649,421,1042,390,160,41,52,64,87,48,13,23,111,2440,139,257,454,245,65,88,145,234,88,7,16,72,1809,63,58,340,137,33,42,61,104,49,14,11,40,951,135,114,244,339,168,156,265,493,162,44,25,69,2216,106,58,122,168,132,221,380,727,244,57,30,77,2319,111,35,93,128,135,254,570,1199,368,90,60,71,3118,86,22,34,88,127,170,468,1454,476,111,67,70,3172,106,19,63,103,126,250,617,2423,1079,272,110,88,5256,57,4,37,64,103,121,329,1848,1041,225,107,62,3996,78,6,30,30,78,152,336,1405,1271,505
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,103,65,21,7,0,13,122,1275,281,33,35,21,10,15,5,14,4,8,33,198,653,6983,811,1364,1043,475,790,479,163,77,40,130,1380,13747,56,0,7,4,7,7,6,4,0,0,4,12,119,89,14,9,3,0,3,0,3,0,0,0,20,142,401,37,43,18,3,11,4,11,0,0,6,76,611,338,41,58,13,13,13,20,6,3,5,3,52,563,213,50,70,34,19,20,11,11,3,5,5,51,504,450,53,74,29,9,6,7,7,3,0,6,53,698,454,68,98,75,30,52,51,36,10,5,3,77,959,425,76,84,83,45,59,67,59,27,10,6,106,1047,592,78,99,84,41,82,83,79,44,7,14,132,1350,500,73,106,62,38,63,70,82,49,10,17,113,1186,820,93,168,92,60,72,121,147,74,25,31,181,1890,474,56,91,79,60,55,85,130,95,18,18,106,1266,590,70,79,49,37,47,44,95,82,26
7GDAR,232,242,171,46,15,15,84,1514,86,20,41,51,19,28,22,20,9,0,10,87,393,1927,550,1769,2652,1279,2125,1924,1186,289,98,148,565,14514,15,10,6,9,5,10,9,28,15,8,12,21,149,37,10,13,11,3,3,6,10,9,0,5,5,114,195,66,73,34,14,9,30,22,11,5,8,48,502,409,86,73,46,27,17,40,34,12,7,8,35,792,83,62,91,66,26,50,86,87,31,10,9,28,620,78,55,70,27,10,13,27,19,8,3,3,13,332,100,38,101,80,74,75,145,160,68,19,17,43,922,66,18,51,78,86,96,183,233,112,29,25,43,1022,66,17,43,109,118,108,229,303,183,63,37,44,1329,48,9,35,82,104,89,211,375,250,77,43,49,1377,92,13,26,120,154,125,312,625,470,194,103,63,2289,61,4,22,104,140,115,204,493,468,200,109,40,1947,71,3,16,36,54,100,108,285,341,202
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
