GCCSA_CODE_2016,C16_450_549_1PF_CU15_DS,C16_450_549_1PF_CU15_NDS,C16_450_549_1PFnoCU15_DS,C16_450_549_1PF_NDCO,C16_450_549_T,C16_550_649_1PF_CU15_DS,C16_550_649_1PF_CU15_NDS,C16_550_649_1PFnoCU15_DS,C16_550_649_1PF_NDCO,C16_550_649_T,C16_650_749_1PF_CU15_DS,C16_650_749_1PF_CU15_NDS,C16_650_749_1PFnoCU15_DS,C16_650_749_1PF_NDCO,C16_650_749_T,C16_750_849_1PF_CU15_DS,C16_750_849_1PF_CU15_NDS,C16_750_849_1PFnoCU15_DS,C16_750_849_1PF_NDCO,C16_750_849_T,C16_850_949_1PF_CU15_DS,C16_850_949_1PF_CU15_NDS,C16_850_949_1PFnoCU15_DS,C16_850_949_1PF_NDCO,C16_850_949_T,C16_950_and_over_1PF_CU15_DS,C16_950_and_over_1PF_CU15_NDS,C16_950_and_over_1PFnoCU15_DS,C16_950_and_over_1PF_NDCO,C16_950_and_over_T,C16_Rns_1PF_CU15_DS,C16_Rns_1PF_CU15_NDS,C16_Rns_1PFnoCU15_DS,C16_Rns_1PF_NDCO,C16_Rns_T,C16_Tot_1PF_CU15_DS,C16_Tot_1PF_CU15_NDS,C16_Tot_1PFnoCU15_DS,C16_Tot_1_pa_f_NDCO,C16_Tot_T
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,5,38,11,24,72
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,97,435,167,229,937,40,110,63,51,264,12,33,15,17,84,3,17,7,4,31,3,10,4,0,21,8,11,7,4,24,17,77,26,62,184,567,3186,953,1435,6144
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,13,65,10,22,108,3,32,3,6,40,0,3,0,3,7,0,0,0,0,0,0,3,0,0,3,0,3,0,3,3,18,216,11,88,331,222,2045,144,734,3150
7GDAR,32,226,38,123,423,18,123,33,51,221,9,39,7,15,72,0,16,0,3,28,0,5,0,5,12,0,4,3,0,8,9,62,13,29,108,208,1291,232,574,2313
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6RTAS,7,12,4,13,30,3,5,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,8,9,77,12,43,143,609,3661,637,1185,6098
6GHOB,22,53,22,16,116,3,18,3,3,29,0,3,0,3,5,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,15,72,17,26,125,520,3047,589,971,5119
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,32,155,32,58,277,9,46,9,24,78,3,22,3,4,32,0,20,0,4,18,0,3,0,0,6,0,9,4,3,23,33,270,23,119,447,955,6480,872,2114,10423
5GPER,541,1899,678,818,3928,137,424,177,198,938,35,164,83,69,354,26,72,40,33,172,14,37,27,15,98,31,71,30,27,149,57,357,108,249,777,3031,16561,4189,6944,30717
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,3,7,0,3,13,0,0,0,0,6,0,3,0,3,10,0,0,0,0,5,0,0,0,0,0,0,3,0,0,8,21,116,18,72,225,718,4319,774,1452,7258
4GADE,123,420,181,174,895,35,96,66,38,238,17,48,11,18,95,9,24,7,4,48,3,4,7,0,14,0,13,4,4,25,43,337,103,235,717,2596,13870,3869,6291,26625
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,584,2128,626,1004,4338,151,624,205,292,1272,50,215,61,94,426,19,72,30,27,147,13,37,14,17,78,15,45,21,27,104,112,736,128,365,1332,5471,33933,6251,12877,58529
3GBRI,583,2451,769,1046,4843,165,656,309,311,1428,66,238,84,145,532,31,102,44,42,221,16,51,25,17,107,16,60,29,25,124,90,623,143,349,1207,4880,27371,6232,11756,50235
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,54,135,42,57,287,11,48,11,10,83,3,10,8,4,30,0,5,0,6,13,3,3,4,0,6,3,9,5,4,20,66,382,72,190,707,2789,15869,3438,5650,27745
2GMEL,645,2323,1168,1197,5329,249,819,469,433,1974,108,391,212,165,875,81,228,138,77,523,38,102,78,41,257,90,258,147,134,636,234,982,372,758,2346,6732,31631,11177,17629,67161
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,413,1625,413,582,3035,99,369,109,138,710,22,106,23,42,198,7,38,16,21,83,9,18,3,5,40,9,42,11,27,89,117,868,122,512,1620,5643,34030,6336,13200,59210
1GSYD,1625,7008,2433,4078,15152,855,3552,1376,2019,7802,423,1776,731,945,3873,180,764,397,463,1801,104,401,197,214,918,220,698,443,304,1663,222,1077,418,944,2662,7926,38548,12718,24041,83240
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
