GCCSA_CODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
9OTER,222,74,16,317,159,44,6,5,221,7,4,12,231,59,30,317,173,49,8,9,241,4,0,3,242,56,35,331,180,68,9,13,265,3,0,3,269,54,52,374,165,57,22,4,249,0,6,12,258,70,49,377,133,49,8,3,194,0,0,8,203,84,46,328,89,46,7,3,149,0,0,0,149,93,42,286,28,23,0,0,48,0,0,0,48,110,14,178,13,22,0,3,34,0,0,0,34,173,32,237,1397,563,121,69,2151,34,20,53,2200,1087,430,3714
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,6,0,0,6
99499,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,11,4,3,3,18,22,4,46
8ACTE,25551,3062,1514,30131,17151,5286,697,243,23374,482,247,733,24107,2658,1405,28167,16792,4521,559,255,22124,380,181,559,22691,2512,1329,26524,14905,3856,712,198,19668,393,178,571,20239,2969,1184,24387,10992,3535,655,150,15332,335,231,561,15890,5293,1136,22320,5741,3127,478,106,9451,206,179,385,9837,8237,1034,19110,2036,2064,257,60,4422,47,114,165,4581,11751,929,17265,462,824,76,36,1394,22,43,63,1462,9888,804,12157,166,412,51,40,673,7,26,31,705,17434,2371,20513,136935,57001,8471,3014,205419,4863,5305,10167,215586,88427,18398,322415
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,26,12,14,59,14,0,0,0,18,3,0,3,19,14,11,45,8,3,0,0,5,0,0,0,7,10,9,26,12,5,0,0,19,4,0,4,21,11,12,43,16,4,0,0,22,0,0,0,22,13,11,41,4,4,0,4,7,0,0,0,7,15,16,36,0,0,0,0,0,0,0,0,3,12,4,18,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,6,0,8,126,62,9,6,202,31,8,44,248,153,107,506
7RNTE,3749,1821,821,6392,2309,698,119,87,3209,312,95,412,3619,1663,760,6039,2542,648,130,82,3404,269,83,353,3757,1522,882,6159,2488,553,136,92,3261,241,60,298,3559,1366,804,5728,2160,492,138,64,2851,107,42,145,2996,1200,700,4895,1387,419,112,43,1965,80,46,123,2092,1265,553,3913,534,254,45,29,863,20,14,37,896,1256,353,2504,141,101,13,14,261,3,0,7,268,981,216,1470,61,46,6,10,124,3,0,4,134,1200,246,1575,21784,6579,1375,1014,30752,3200,939,4139,34892,23237,9572,67701
7GDAR,8791,1349,1294,11436,6087,1362,281,140,7863,210,71,278,8142,1070,1136,10347,5977,1230,270,146,7621,221,71,293,7913,1015,1136,10063,5186,1026,291,142,6647,200,67,268,6915,993,981,8886,4069,1002,281,93,5452,149,40,196,5647,1220,908,7777,2517,778,179,61,3542,118,65,179,3717,1772,775,6266,976,502,81,37,1587,32,29,57,1651,2486,535,4674,233,192,24,11,467,8,11,18,479,1937,319,2740,78,85,11,9,190,0,0,0,193,2537,369,3097,51904,14809,3080,1568,71357,2260,1204,3466,74817,21855,12625,109301
79799,3,3,0,7,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,0,5,0,0,0,4,0,0,5,3,0,0,3,3,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,3,3,10,28,0,0,0,25,29,17,72
79499,54,55,70,179,38,3,7,0,50,8,3,15,63,67,81,213,40,14,4,0,61,10,3,10,67,73,85,225,37,16,0,0,54,6,0,5,59,83,90,233,33,13,3,3,51,7,0,13,59,104,48,215,27,11,5,0,44,6,0,6,49,129,45,223,11,0,0,0,11,0,0,0,9,140,36,189,0,0,0,0,6,0,0,0,6,65,22,86,0,0,0,0,0,0,0,0,0,25,9,34,399,103,52,18,574,56,24,76,647,889,745,2281
6RTAS,11241,2784,890,14916,7462,4347,405,205,12425,538,253,788,13215,2929,1033,17180,8832,4666,503,260,14262,577,276,851,15112,3359,1175,19651,8838,4686,579,218,14324,585,254,840,15165,4160,1316,20644,7748,4777,715,231,13470,523,246,771,14240,6208,1414,21863,4607,3911,588,159,9266,388,280,668,9933,9363,1436,20730,1485,1988,266,96,3838,41,55,96,3935,14623,1528,20085,461,820,67,70,1421,10,17,27,1450,12326,1239,15015,254,484,57,83,877,13,20,32,903,20681,2406,23988,65464,44321,5318,2294,117405,5866,3612,9485,126885,93551,16152,236592
6GHOB,10555,2130,645,13329,6847,3691,343,122,11002,318,157,476,11484,2064,707,14249,7331,3531,308,127,11302,302,148,450,11747,2270,759,14785,7207,3346,407,144,11104,270,151,422,11523,2519,769,14811,6308,3442,438,119,10302,223,164,390,10695,3910,851,15459,3365,2788,337,80,6572,159,170,324,6899,6277,806,13984,1050,1520,132,47,2748,12,59,66,2818,9228,755,12795,220,581,57,23,881,10,11,17,901,7768,714,9384,89,306,24,44,463,3,8,11,476,15317,1572,17367,56178,37186,4077,1448,98883,3676,3106,6784,105673,66155,10434,182260
69799,0,0,0,0,3,0,0,0,8,0,0,0,8,0,3,7,4,0,0,0,4,0,0,0,6,0,0,9,6,0,0,0,6,0,0,0,4,0,0,4,4,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,4,3,0,47,0,0,0,50,12,4,73
69499,42,25,16,80,11,4,0,0,12,6,0,10,27,23,14,65,15,9,0,0,23,4,3,6,31,19,20,67,17,10,0,0,23,8,0,6,28,25,12,69,9,10,3,0,15,7,0,5,23,29,5,55,5,4,0,0,7,0,3,5,16,34,7,58,0,0,0,0,0,0,0,0,0,46,10,62,0,0,0,0,0,0,0,0,0,21,6,22,0,0,0,0,0,0,0,0,0,8,7,14,139,91,14,10,247,69,32,95,345,329,164,835
