GCCSA_CODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
9OTER,25,5,51,1688,1681,432,34,2154,684,4523
99799,0,0,0,4,0,0,0,0,0,6
99499,0,0,0,40,7,0,0,10,6,55
8ACTE,1072,884,6155,288639,76179,10552,821,87553,20669,396857
89799,0,0,0,0,0,0,0,0,0,0
89499,0,0,3,355,72,13,4,89,100,538
7RNTE,103,52,310,38304,33751,5168,1019,39941,11201,89443
7GDAR,132,72,626,92942,24195,3585,356,28136,15755,136828
79799,0,0,0,27,27,10,0,40,6,70
79499,0,0,0,1364,451,85,18,557,568,2489
6RTAS,243,691,6490,257298,9114,1762,149,11023,18303,286627
6GHOB,414,462,5275,192382,14839,2565,209,17612,12360,222356
69799,0,0,0,60,9,4,0,10,4,68
69499,0,0,3,680,59,11,0,67,171,912
5RWAU,547,965,7752,428090,39790,4773,959,45518,50558,524167
5GPER,5449,4579,34652,1428823,336213,56445,4078,396729,118304,1943858
59799,0,0,3,309,55,3,0,60,72,434
59499,3,3,23,3819,503,92,12,610,1527,5950
4RSAU,589,1200,10292,332472,16399,3067,315,19786,25819,378074
4GADE,6737,2697,34170,977128,211247,45115,2777,259136,59447,1295714
49799,0,0,0,0,4,0,0,4,0,3
49499,3,3,22,1933,291,76,14,379,547,2863
3RQLD,3208,5749,47131,2040720,169630,25557,2846,198029,180974,2419724
3GBRI,3898,5182,38357,1771105,309822,57867,3843,371527,128170,2270800
39799,0,0,4,110,20,0,0,20,22,150
39499,8,10,44,8697,1060,255,22,1328,2483,12510
2RVIC,2800,4718,38801,1241408,75021,14188,1329,90548,101865,1433818
2GMEL,25643,8142,89151,2781188,1198085,251543,14865,1464498,239530,4485211
29799,0,0,0,18,5,0,0,10,3,29
29499,7,4,38,4201,1069,343,22,1431,1929,7565
1RNSW,4568,8978,71398,2302328,134997,22566,2380,159938,181267,2643536
1GSYD,25851,9405,96022,2816815,1412427,313482,16349,1742261,264920,4823991
19799,3,0,10,279,54,46,0,95,41,412
19499,15,22,78,7212,1529,320,19,1863,3211,12288
