GCCSA_CODE_2016,C16_1PF_Cu15DS_4000ov,C16_1PF_Cu15DS_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_0_299,C16_1PF_CU15_NDS_300_449,C16_1PF_CU15_NDS_450_599,C16_1PF_CU15_NDS_600_799,C16_1PF_CU15_NDS_800_999,C16_1PF_CU15_NDS_1000_1399,C16_1PF_CU15_NDS_1400_1799,C16_1PF_CU15_NDS_1800_2399,C16_1PF_CU15_NDS_2400_2999,C16_1PF_CU15_NDS_3000_3999,C16_1PF_CU15_NDS_4000ov,C16_1PF_CU15_NDS_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_0_299,C16_1PF_NCu15DS_300_449,C16_1PF_NCu15DS_450_599,C16_1PF_NCu15DS_600_799,C16_1PF_NCu15DS_800_999,C16_1PF_NCu15DS_1000_1399,C16_1PF_NCu15DS_1400_1799,C16_1PF_NCu15DS_1800_2399,C16_1PF_NCu15DS_2400_2999,C16_1PF_NCu15DS_3000_3999,C16_1PF_NCu15DS_4000ov,C16_1PF_NCu15DS_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_0_299,C16_1PF_NDCO_300_449,C16_1PF_NDCO_450_599,C16_1PF_NDCO_600_799,C16_1PF_NDCO_800_999,C16_1PF_NDCO_1000_1399,C16_1PF_NDCO_1400_1799,C16_1PF_NDCO_1800_2399,C16_1PF_NDCO_2400_2999,C16_1PF_NDCO_3000_3999,C16_1PF_NDCO_4000ov,C16_1PF_NDCO_NS,C16_1PF_NDCO_Tot,C16_1PF_T_0_299,C16_1PF_T_300_449,C16_1PF_T_450_599,C16_1PF_T_600_799,C16_1PF_T_800_999,C16_1PF_T_1000_1399,C16_1PF_T_1400_1799,C16_1PF_T_1800_2399,C16_1PF_T_2400_2999,C16_1PF_T_3000_3999,C16_1PF_T_4000ov,C16_1PF_T_NS,C16_1_PF_T_T,C16_T_0_299,C16_T_300_449,C16_T_450_599,C16_T_600_799,C16_T_800_999,C16_T_1000_1399,C16_T_1400_1799,C16_T_1800_2399,C16_T_2400_2999,C16_T_3000_3999,C16_T_4000ov,C16_T_NS,C16_T_T
9OTER,0,0,3,0,0,0,0,0,0,7,0,0,3,3,0,12,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,5,0,3,11,3,0,3,3,0,28,14,8,3,10,19,51,51,41,15,9,7,10,246
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,31,13,476,48,39,26,44,81,219,361,538,237,153,74,55,1876,28,25,16,48,53,157,172,253,99,90,34,31,1010,70,42,46,70,92,239,258,335,127,86,41,54,1438,157,104,92,166,246,665,865,1269,520,370,182,146,4802,1814,675,569,964,1381,3987,5780,11637,7320,6421,3655,1319,45523
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,0,0,40,8,12,11,7,14,38,48,55,18,10,0,10,234,0,0,0,0,3,19,18,11,0,3,0,0,62,8,0,4,6,5,23,16,20,4,7,4,6,95,19,17,17,10,16,90,91,96,32,21,9,13,435,85,55,49,83,129,431,608,824,453,335,163,120,3346
7GDAR,10,9,120,20,9,12,19,23,77,111,148,107,93,42,26,681,10,3,3,6,8,35,40,55,29,20,10,9,229,20,12,12,28,14,63,92,82,44,35,26,18,443,52,26,22,48,48,189,253,321,192,168,87,67,1475,324,143,125,227,318,1104,1415,2624,2260,2441,1324,539,12854
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
