GCCSA_CODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
9OTER,15,23,45,46,96,13,8,0,0,8,19,22,29,53,14,4,0,0,6,18,24,23,46,693,689,150,163,460,493,1300,1340,2639
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,699,1978,3286,3923,7204,1530,992,45,36,534,1632,2108,2658,4771,1020,484,29,10,671,1957,1717,2450,4167,67493,68210,16057,16444,52959,60773,136508,145427,281932
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,154,213,324,309,640,47,34,10,4,85,147,143,187,333,33,12,3,4,42,104,81,118,200,10318,10426,3649,3802,12141,12863,26110,27094,53202
7GDAR,251,420,716,673,1391,188,89,16,5,114,266,317,360,674,84,33,3,0,113,204,196,243,438,18754,19093,7429,7664,18549,16788,44735,43539,88273
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6RTAS,1143,2345,4327,4588,8916,1716,1098,66,36,878,2014,2662,3152,5810,1001,462,43,25,800,2138,1851,2625,4474,48287,48879,12346,12613,38852,43988,99488,105483,204967
6GHOB,713,1789,2771,3307,6079,1166,746,43,22,544,1549,1754,2323,4074,792,365,25,13,621,1824,1432,2205,3636,34920,35316,10166,10392,31390,38163,76470,83871,160345
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,1473,2628,5473,5517,10991,2195,1365,95,64,950,2276,3244,3702,6942,1356,588,50,18,935,2366,2340,2975,5314,78286,81376,23352,24840,62078,62433,163718,168653,332365
5GPER,4392,11116,19563,22552,42116,9024,5954,276,152,3345,9843,12646,15955,28596,5801,2656,166,93,3745,11753,9717,14501,24214,331575,344704,74439,79076,268968,295384,674991,719159,1394149
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,1505,2853,6171,6474,12641,2673,1690,105,55,1176,2570,3958,4314,8277,1685,794,54,40,1201,3168,2938,3998,6936,65951,67005,14932,15561,51129,51948,132014,134522,266535
4GADE,3524,9381,15588,18867,34460,7788,4990,189,143,3012,8670,10983,13804,24794,5325,2551,132,77,3722,11331,9181,13962,23141,222802,226476,46988,48541,194306,223161,464092,498181,962264
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,8157,15799,31124,32361,63484,12717,7790,545,269,5818,13161,19080,21218,40295,7544,3473,255,140,5675,15392,13476,19005,32483,388566,401070,101718,106587,318130,359493,808410,867152,1675565
3GBRI,5478,12548,21769,24393,46163,8891,5661,250,139,3929,10978,13077,16781,29856,5765,2639,156,76,4460,13227,10382,15942,26325,374783,382085,92071,94361,322692,366713,789545,843159,1632703
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,5318,11073,20579,22743,43319,9063,5942,273,155,3994,10156,13334,16254,29586,5851,2813,162,107,4315,12201,10324,15117,25441,242799,245814,53713,55298,191240,220242,487749,521359,1009106
2GMEL,10155,26764,44776,52757,97531,21740,13659,606,335,8137,24468,30487,38457,68941,14271,6426,379,197,9937,29337,24585,35956,60543,782557,789594,156672,156578,663029,755710,1602257,1701886,3304141
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,10818,21489,40519,44565,85081,17699,11580,637,392,7947,19579,26285,31552,57838,11010,5137,355,207,8290,23613,19661,28963,48621,444470,450852,99583,103115,361199,411379,905250,965347,1870600
1GSYD,11481,28918,48215,55803,104017,22507,13734,709,388,8945,26163,32158,40278,72439,15138,6661,427,235,10798,33032,26370,39929,66300,854758,862546,153242,150192,712401,805911,1720406,1818643,3539047
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
