GCCSA_CODE_2016,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85o,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85_ov,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85_ov,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85_ov,C11_P_CL_CL_nfd_Tot,C11_P_CL_T_15_19,C11_P_CL_T_20_24,C11_P_CL_T_25_34,C11_P_CL_T_35_44,C11_P_CL_T_45_54,C11_P_CL_T_55_64,C11_P_CL_T_65_74,C11_P_CL_T_75_84,C11_P_CL_T_85_ov,C11_P_CL_T_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85o,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85_ov,C11_P_LE_NS_T,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85o,C11_P_T_T,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85o,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85ov,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85o,C16_P_BD_Tot,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85o,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85_ov,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85_ov,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85_ov,C16_P_CL_CL_nfd_Tot,C16_P_CL_T_15_19,C16_P_CL_T_20_24,C16_P_CL_T_25_34,C16_P_CL_T_35_44,C16_P_CL_T_45_54,C16_P_CL_T_55_64,C16_P_CL_T_65_74,C16_P_CL_T_75_84,C16_P_CL_T_85_ov,C16_P_CL_T_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85o,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85_ov,C16_P_LE_NS_T,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85o,C16_P_T_T
9OTER,0,3,30,35,37,18,4,0,0,128,6,25,59,57,76,47,13,0,0,279,10,3,10,3,12,3,0,0,0,33,0,0,3,3,3,0,0,0,0,13,12,28,68,70,87,52,13,0,0,332,0,0,3,6,10,3,0,0,0,22,56,152,464,152,74,59,14,12,0,987,69,199,622,343,254,156,32,14,0,1686,0,0,11,24,11,13,7,5,0,75,0,0,9,18,13,7,6,0,0,53,0,15,69,83,44,62,32,5,5,318,0,6,48,72,62,49,22,7,3,270,12,23,92,115,147,132,56,18,3,600,7,7,14,14,7,8,8,0,0,58,0,8,13,20,20,21,16,4,3,99,23,38,118,147,171,156,78,20,9,761,0,4,6,4,10,3,0,3,0,30,46,67,173,128,149,128,84,54,11,835,68,125,435,476,457,416,232,97,26,2337
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,10,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,10,5,9,0,7,5,4,4,0,0,31
8ACTE,110,1743,5234,5982,5554,4192,2068,855,298,26046,636,3514,7451,6706,5742,3975,2169,1143,309,31636,372,585,736,516,404,301,138,48,14,3103,78,282,573,861,870,920,449,185,74,4295,1085,4379,8757,8082,7016,5189,2751,1367,404,39035,54,262,610,697,810,927,702,456,201,4720,1880,2177,3274,2580,2312,1998,1715,1644,1137,18708,3164,14651,45262,40072,34901,26620,13426,6447,2623,187172,8,386,8468,9749,7133,5057,2837,914,234,34782,7,235,2809,3008,2963,2626,1444,280,39,13404,30,6176,21187,16065,11224,8652,5496,2121,651,71604,129,1621,6056,6570,6165,4643,2954,1196,396,29724,696,3523,8655,7102,6201,4523,2705,1339,427,35174,352,521,641,495,381,295,186,79,36,2990,83,286,550,853,1032,1106,949,379,153,5398,1130,4329,9848,8452,7619,5926,3843,1798,620,43557,53,131,408,382,404,406,424,232,105,2538,1377,2097,4580,3574,3156,2826,2530,2038,1508,23688,2734,14967,53358,47794,38658,30129,19523,8580,3555,219307
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,3,13,11,5,4,4,0,0,40,0,7,21,13,10,5,3,0,0,64,0,0,0,0,3,0,0,0,0,9,0,4,0,3,4,0,0,0,0,12,0,11,18,17,10,9,3,0,0,83,0,0,0,0,4,0,0,0,0,4,9,13,13,15,15,6,0,0,0,70,12,50,119,79,66,43,14,0,4,387,0,0,11,4,4,7,6,0,0,40,0,0,0,3,0,4,0,0,0,10,0,14,35,8,7,7,3,0,0,81,0,3,3,10,4,6,0,0,0,30,0,5,11,12,11,12,3,0,0,50,3,3,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,5,6,9,14,12,11,10,3,0,0,62,0,0,0,0,0,0,0,0,0,3,8,14,16,31,20,20,7,0,0,112,19,39,68,75,54,57,17,3,0,339
7RNTE,8,133,729,851,843,587,150,37,3,3352,222,842,2224,2121,1827,1151,356,63,7,8814,96,200,381,305,207,95,25,7,0,1318,22,63,154,189,156,83,36,4,0,711,334,1107,2753,2619,2195,1328,423,72,7,10833,9,48,105,117,134,104,36,9,3,564,1162,1056,2187,1964,1512,1071,572,225,79,9830,1519,2697,7967,7412,6303,4289,1417,381,102,32082,0,15,411,397,347,300,111,25,0,1605,0,15,239,262,269,203,53,9,0,1051,4,239,1759,1335,992,830,268,65,13,5506,9,126,776,783,900,688,225,67,7,3578,170,711,2041,1660,1761,1302,484,108,21,8255,106,182,368,254,239,118,30,3,3,1309,34,84,283,265,231,166,73,17,4,1159,313,976,2689,2182,2228,1590,592,126,23,10727,7,22,84,56,78,51,25,15,7,334,1583,1622,3298,2461,2298,1649,850,287,84,14129,1912,3018,9247,7477,7121,5307,2126,591,131,36937
7GDAR,28,378,1527,1960,1672,1131,385,80,17,7184,365,1865,4368,3982,3320,2041,785,213,27,16971,194,317,424,239,182,111,24,4,0,1498,24,74,199,272,207,177,69,18,4,1042,584,2259,4990,4489,3703,2329,881,237,28,19504,20,86,204,214,201,174,89,34,3,1016,1392,1454,3227,2827,2450,1799,917,491,133,14691,2035,4997,14988,13613,11285,7671,2992,980,224,58792,3,53,1291,1294,925,719,302,49,3,4646,0,42,581,654,549,434,134,27,0,2430,5,883,5442,3850,2418,1635,741,180,42,15194,20,429,2107,2264,2167,1419,572,155,16,9149,399,1916,6151,4584,3972,2526,1087,309,52,21000,208,257,362,257,180,112,41,10,3,1432,53,142,394,408,389,301,175,46,13,1921,653,2309,6906,5251,4544,2938,1309,367,72,24352,6,56,165,166,123,110,61,33,7,729,1063,1464,4122,3100,2700,2118,1206,475,166,16415,1753,5243,20607,16577,13429,9373,4338,1290,317,72912
79799,0,0,4,0,0,0,3,0,0,9,0,4,11,8,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,10,11,7,0,0,0,0,30,0,0,0,0,3,0,0,0,0,4,0,0,3,5,0,4,0,0,0,15,0,6,22,12,15,6,3,0,0,70,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,0,0,17,0,3,6,0,0,0,0,0,0,8,0,0,7,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,10,8,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,0,0,15,0,3,27,21,7,3,0,3,0,60
79499,0,11,14,18,20,31,13,0,0,115,3,30,69,44,54,83,53,0,0,335,0,0,10,6,3,7,3,0,0,24,0,0,0,0,9,3,0,0,0,17,4,34,83,48,63,85,52,0,0,376,0,3,4,3,3,7,3,0,0,26,8,17,58,42,60,72,29,3,0,294,10,92,270,164,173,247,116,7,0,1084,0,0,17,11,9,4,6,0,0,52,0,0,13,4,6,6,3,0,0,34,0,18,58,39,19,28,17,0,0,184,0,13,19,26,30,23,17,0,0,121,3,18,52,45,51,76,53,9,0,322,8,4,3,3,4,5,3,0,0,29,4,8,11,6,3,9,3,0,0,45,17,32,65,55,59,90,58,6,0,392,0,3,3,0,9,8,3,0,0,24,4,74,196,161,193,114,73,14,0,831,17,139,376,295,324,284,173,22,0,1635
