GCCSA_CODE_2016,CFNC_FI_H_MI_C06_Fam,CFNC_FI_H_MI_C06_Per,CFNC_FI_H_MI_C11_Fam,CFNC_FI_H_MI_C11_Per,CFNC_FI_H_MI_C16_Fam,CFNC_FI_H_MI_C16_Per,CFNC_FI_S_MI_C06_Fam,CFNC_FI_S_MI_C06_Per,CFNC_FI_S_MI_C11_Fam,CFNC_FI_S_MI_C11_Per,CFNC_FI_S_MI_C16_Fam,CFNC_FI_S_MI_C16_Per,CFNC_FI_L_MI_C06_Fam,CFNC_FI_L_MI_C06_Per,CFNC_FI_L_MI_C11_Fam,CFNC_FI_L_MI_C11_Per,CFNC_FI_L_MI_C16_Fam,CFNC_FI_L_MI_C16_Per,CF_CU15_DS_FI_H_MI_C06_Fam,CF_CU15_DS_FI_H_MI_C06_Per,CF_CU15_DS_FI_H_MI_C11_Fam,CF_CU15_DS_FI_H_MI_C11_Per,CF_CU15_DS_FI_H_MI_C16_Fam,CF_CU15_DS_FI_H_MI_C16_Per,CF_CU15_DS_FI_S_MI_C06_Fam,CF_CU15_DS_FI_S_MI_C06_Per,CF_CU15_DS_FI_S_MI_C11_Fam,CF_CU15_DS_FI_S_MI_C11_Per,CF_CU15_DS_FI_S_MI_C16_Fam,CF_CU15_DS_FI_S_MI_C16_Per,CF_CU15_DS_FI_L_MI_C06_Fam,CF_CU15_DS_FI_L_MI_C06_Per,CF_CU15_DS_FI_L_MI_C11_Fam,CF_CU15_DS_FI_L_MI_C11_Per,CF_CU15_DS_FI_L_MI_C16_Fam,CF_CU15_DS_FI_L_MI_C16_Per,CF_CU15noDS_FI_H_MI_C06_Fam,CF_CU15noDS_FI_H_MI_C06_Per,CF_CU15noDS_FI_H_MI_C11_Fam,CF_CU15noDS_FI_H_MI_C11_Per,CF_CU15noDS_FI_H_MI_C16_Fam,CF_CU15noDS_FI_H_MI_C16_Per,CF_CU15noDS_FI_S_MI_C06_Fam,CF_CU15noDS_FI_S_MI_C06_Per,CF_CU15noDS_FI_S_MI_C11_Fam,CF_CU15noDS_FI_S_MI_C11_Per,CF_CU15noDS_FI_S_MI_C16_Fam,CF_CU15noDS_FI_S_MI_C16_Per,CF_CU15noDS_FI_L_MI_C06_Fam,CF_CU15noDS_FI_L_MI_C06_Per,CF_CU15noDS_FI_L_MI_C11_Fam,CF_CU15noDS_FI_L_MI_C11_Per,CF_CU15noDS_FI_L_MI_C16_Fam,CF_CU15noDS_FI_L_MI_C16_Per,CFNCU15_DS_FI_H_MI_C06_Fam,CFNCU15_DS_FI_H_MI_C06_Per,CFNCU15_DS_FI_H_MI_C11_Fam,CFNCU15_DS_FI_H_MI_C11_Per,CFNCU15_DS_FI_H_MI_C16_Fam,CFNCU15_DS_FI_H_MI_C16_Per,CFNCU15_DS_FI_S_MI_C06_Fam,CFNCU15_DS_FI_S_MI_C06_Per,CFNCU15_DS_FI_S_MI_C11_Fam,CFNCU15_DS_FI_S_MI_C11_Per,CFNCU15_DS_FI_S_MI_C16_Fam,CFNCU15_DS_FI_S_MI_C16_Per,CFNCU15_DS_FI_L_MI_C06_Fam,CFNCU15_DS_FI_L_MI_C06_Per,CFNCU15_DS_FI_L_MI_C11_Fam,CFNCU15_DS_FI_L_MI_C11_Per,CFNCU15_DS_FI_L_MI_C16_Fam,CFNCU15_DS_FI_L_MI_C16_Per,CF_nonDC_FI_H_MI_C06_Fam,CF_nonDC_FI_H_MI_C06_Per,CF_nonDC_FI_H_MI_C11_Fam,CF_nonDC_FI_H_MI_C11_Per,CF_nonDC_FI_H_MI_C16_Fam,CF_nonDC_FI_H_MI_C16_Per,CF_nonDC_FI_S_MI_C06_Fam,CF_nonDC_FI_S_MI_C06_Per,CF_nonDC_FI_S_MI_C11_Fam,CF_nonDC_FI_S_MI_C11_Per,CF_nonDC_FI_S_MI_C16_Fam,CF_nonDC_FI_S_MI_C16_Per,CF_nonDC_FI_L_MI_C06_Fam,CF_nonDC_FI_L_MI_C06_Per,CF_nonDC_FI_L_MI_C11_Fam,CF_nonDC_FI_L_MI_C11_Per,CF_nonDC_FI_L_MI_C16_Fam,CF_nonDC_FI_L_MI_C16_Per,Tot_CF_FI_H_MI_C06_Fam,Tot_CF_FI_H_MI_C06_Per,Tot_CF_FI_H_MI_C11_Fam,Tot_CF_FI_H_MI_C11_Per,Tot_CF_FI_H_MI_C16_Fam,Tot_CF_FI_H_MI_C16_Per,Tot_CF_FI_S_MI_C06_Fam,Tot_CF_FI_S_MI_C06_Per,Tot_CF_FI_S_MI_C11_Fam,Tot_CF_FI_S_MI_C11_Per,Tot_CF_FI_S_MI_C16_Fam,Tot_CF_FI_S_MI_C16_Per,Tot_CF_FI_L_MI_C06_Fam,Tot_CF_FI_L_MI_C06_Per,Tot_CF_FI_L_MI_C11_Fam,Tot_CF_FI_L_MI_C11_Per,Tot_CF_FI_L_MI_C16_Fam,Tot_CF_FI_L_MI_C16_Per,Tot_CF_Tot_C06_Fam,Tot_CF_Tot_C06_Per,Tot_CF_Tot_C11_Fam,Tot_CF_Tot_C11_Per,Tot_CF_Tot_C16_Fam,Tot_CF_Tot_C16_Per
9OTER,15,9.4,22,12.6,70,17.8,54,33.8,65,37.1,142,36,91,56.9,88,50.3,182,46.2,3,10.3,0,0,4,11.1,5,17.2,3,15.8,5,13.9,21,72.4,16,84.2,27,75,23,11.6,29,17.4,46,17.4,39,19.7,28,16.8,38,14.4,136,68.7,110,65.9,180,68.2,4,16.7,9,42.9,3,11.5,3,12.5,4,19,7,26.9,17,70.8,8,38.1,16,61.5,0,0,8,16.7,8,15.7,12,41.4,22,45.8,19,37.3,17,58.6,18,37.5,24,47.1,44,9.9,63,14.4,137,17,112,25.3,133,30.4,218,27.4,280,63.2,245,55.9,427,55.6,443,100,438,100,779,100
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,5289,19.1,6351,19.9,8071,23.3,8075,29.1,9278,29.1,8531,24.7,14379,51.8,16265,51,18000,52,640,14.2,688,15.2,875,19.1,836,18.6,1052,23.3,781,17.1,3016,67.1,2781,61.5,2919,63.8,2949,14.1,3577,15,5201,18.7,3412,16.3,4349,18.3,4398,15.8,14576,69.6,15844,66.7,18150,65.4,928,17.1,1037,17.7,1352,21.7,1080,19.9,1336,22.8,1257,20.2,3426,63,3488,59.5,3615,58.1,939,16.4,1138,18.9,1353,22.5,1519,26.5,1518,25.2,1387,23.1,3274,57.1,3360,55.9,3271,54.4,10734,16.7,12796,17.8,16845,21.3,14920,23.2,17535,24.3,16353,20.7,38676,60.1,41732,57.9,45961,58.1,64335,100,72065,100,79156,100
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,730,16.8,961,19.6,1090,22,1800,41.4,1871,38.1,1808,36.5,1821,41.9,2083,42.4,2049,41.4,163,22.8,175,20.9,227,29.6,219,30.6,271,32.3,226,29.4,334,46.6,393,46.8,315,41,1370,23.3,1332,21.6,1348,24,1972,33.5,1895,30.7,1736,31,2537,43.2,2941,47.7,2525,45,74,18.5,82,21.1,67,17.3,103,25.7,101,26,128,33.1,224,55.9,205,52.8,192,49.6,124,16.7,164,19.8,193,23.5,335,45,322,38.8,303,37,285,38.3,343,41.4,324,39.5,2460,20.3,2707,20.6,2932,23.3,4436,36.6,4455,33.9,4200,33.5,5205,43,5962,45.4,5405,43.1,12106,100,13126,100,12534,100
7GDAR,1484,18.8,1870,20.2,2194,20.4,2343,29.7,2674,28.9,2524,23.4,4052,51.4,4714,50.9,6061,56.2,195,17.4,194,16,257,17.9,233,20.8,271,22.4,241,16.8,694,61.9,746,61.6,936,65.3,963,14.3,1079,14.3,1345,14.6,1233,18.3,1392,18.4,1335,14.5,4532,67.4,5096,67.3,6507,70.8,171,18.1,204,18.9,282,20.7,232,24.5,239,22.2,289,21.3,544,57.4,635,58.9,789,58,234,16.5,347,20.9,407,22.8,424,29.8,448,27,449,25.2,763,53.7,863,52.1,929,52,3049,16.8,3699,17.8,4489,18.3,4465,24.7,5029,24.2,4839,19.7,10580,58.5,12047,58,15221,62,18095,100,20771,100,24545,100
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6RTAS,3852,13.3,5036,16.3,5656,18.1,13892,47.9,13822,44.8,12973,41.6,11233,38.8,12014,38.9,12546,40.2,573,16.8,622,18.3,688,21.4,787,23.1,659,19.4,528,16.5,2050,60.1,2119,62.3,1993,62.1,2301,13.6,2569,15.8,2543,17.3,3128,18.5,2637,16.3,2222,15.1,11509,67.9,11020,67.9,9932,67.6,483,16,637,19.4,675,20.8,800,26.5,785,24,685,21.1,1733,57.5,1854,56.6,1891,58.2,639,13.1,765,16,919,19.1,1906,39,1691,35.4,1508,31.3,2339,47.9,2323,48.6,2385,49.6,7840,13.7,9626,16.4,10478,18.3,20514,35.8,19594,33.5,17915,31.4,28867,50.4,29334,50.1,28752,50.3,57229,100,58549,100,57143,100
6GHOB,2934,15.9,3854,18.9,4419,20.9,7452,40.5,7530,36.9,6822,32.3,8019,43.6,9014,44.2,9906,46.8,349,14.5,457,18.8,459,19.1,504,20.9,464,19.1,428,17.8,1558,64.6,1507,62.1,1519,63.1,1692,14.3,2040,16.5,2374,19,2073,17.5,2015,16.3,1753,14,8047,68.1,8332,67.3,8384,67,460,16,558,18.8,705,23.7,682,23.7,623,21,530,17.9,1733,60.3,1790,60.2,1734,58.4,503,13.8,650,18,726,19.9,1259,34.5,1093,30.3,1019,27.9,1887,51.7,1867,51.7,1904,52.2,5932,15.2,7563,18.1,8685,20.3,11968,30.6,11726,28.1,10556,24.7,21254,54.3,22513,53.9,23444,54.9,39153,100,41796,100,42680,100
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,4516,11.2,6042,13.3,7586,15.7,17343,43.1,18174,40,18408,38.1,18364,45.7,21265,46.8,22279,46.2,508,11.1,611,12.9,727,14.1,1087,23.7,897,18.9,862,16.8,2998,65.3,3234,68.2,3556,69.1,2831,9.6,3278,10.6,3716,12.2,5380,18.3,4799,15.5,4278,14,21260,72.1,22897,73.9,22568,73.8,407,12.5,440,12.4,655,15.4,853,26.1,866,24.4,853,20,2003,61.4,2246,63.2,2752,64.6,644,10.3,798,11.9,1150,16.1,2224,35.6,2103,31.4,2106,29.4,3382,54.1,3797,56.7,3897,54.5,8906,10.6,11168,12.2,13830,14.5,26883,32.1,26844,29.4,26501,27.8,48005,57.3,53442,58.4,55056,57.7,83802,100,91455,100,95391,100
5GPER,17176,12.8,22658,14.6,31228,18.3,52312,38.9,56125,36.1,53825,31.5,65059,48.4,76640,49.3,85914,50.3,1859,9.9,2167,10.4,3341,14.1,3419,18.3,3601,17.2,3376,14.3,13425,71.8,15111,72.4,16974,71.6,8042,8.7,10183,9.4,15658,12.6,13054,14.2,14622,13.5,14214,11.4,71076,77.1,83540,77.1,94748,76,2544,11.8,3153,12.4,5084,16.9,4615,21.5,5111,20.1,4989,16.6,14344,66.7,17105,67.4,19952,66.5,3168,10.9,4124,13,5969,16.9,9110,31.5,9081,28.7,8956,25.4,16668,57.6,18449,58.3,20309,57.6,32795,11.1,42285,12.4,61283,15.9,82509,27.9,88542,25.9,85360,22.2,180575,61,210841,61.7,237892,61.9,295887,100,341666,100,384538,100
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,4881,12.3,6115,14.4,6950,16.1,20444,51.7,20314,47.8,19707,45.6,14251,36,16026,37.7,16548,38.3,682,15.5,737,17.2,690,17.4,1229,28,1041,24.3,816,20.6,2484,56.5,2504,58.5,2454,62,2759,12.8,2871,13.8,3056,15.8,4774,22.2,3894,18.7,3177,16.4,14000,65,14013,67.4,13115,67.8,540,16,654,17.9,786,20.5,989,29.2,964,26.5,904,23.6,1856,54.8,2026,55.6,2145,55.9,735,12.8,864,16.1,1047,17.8,2439,42.4,2015,37.6,2072,35.3,2584,44.9,2478,46.3,2749,46.8,9601,12.9,11244,14.7,12531,16.4,29880,40,28230,36.9,26683,35,35182,47.1,37045,48.4,37005,48.6,74655,100,76519,100,76222,100
