GCCSA_CODE_2016,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6m,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6m,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85andover_N_c_b_0,C16_AP_85andover_N_c_b_1,C16_AP_85andover_N_c_b_2,C16_AP_85andover_N_c_b_3,C16_AP_85andover_N_c_b_4,C16_AP_85andover_N_c_b_5,C16_AP_85ov_N_c_b_6mor,C16_AP_85andover_N_c_b_NS,C16_AP_85_and_over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_ch_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_T_T
9OTER,9,4,3,9,54,0,5,3,9,8,3,7,8,38,3,0,5,8,7,0,3,3,29,409,190,419,270,116,41,27,225,1702
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,6,3,0,0,0,4,30
8ACTE,633,250,182,387,4623,228,237,789,793,487,210,195,347,3294,215,317,794,759,492,244,242,776,3839,59000,20268,41811,21560,7679,2396,1520,11251,165485
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,101,14,30,21,7,7,0,29,209
7RNTE,45,36,44,60,375,28,16,39,28,38,26,36,54,262,17,12,21,18,34,12,29,35,192,8685,4275,5896,4124,2251,1213,1069,6210,33722
7GDAR,99,54,62,103,803,34,28,73,68,65,33,72,55,418,17,36,54,61,45,25,55,63,356,16909,6587,11204,6248,2593,873,712,6342,51481
79799,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,9
79499,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,75,201,106,54,17,20,302,1043
6RTAS,925,419,307,542,5422,259,211,730,856,632,364,306,436,3795,322,299,781,833,587,336,364,527,4046,28896,13057,32390,21521,9584,3670,2513,9569,121201
6GHOB,535,244,175,329,3846,195,169,621,691,479,233,176,287,2849,269,304,743,676,496,247,241,397,3368,27271,11464,25259,14664,6021,2152,1487,6609,94929
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,8,0,0,0,0,18
69499,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,34,57,46,20,5,0,56,350
5RWAU,1233,539,401,792,6701,216,172,712,1067,913,470,411,633,4596,229,220,764,918,783,407,459,803,4595,46523,20314,51503,35660,16198,5730,4217,21503,201648
5GPER,3841,1364,967,2453,25731,1177,1131,4234,4713,3101,1377,1120,2316,19170,1275,1509,4550,4440,3006,1446,1427,4331,21972,246916,95759,211894,116412,43763,13696,9589,62110,800146
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,0,9,26
59499,6,4,0,3,24,0,0,3,0,6,0,0,4,15,0,0,0,0,0,0,0,3,11,753,137,375,233,86,37,17,589,2220
4RSAU,1282,550,365,676,7494,289,233,978,1274,1024,497,439,523,5259,360,369,1169,1305,979,526,570,1058,6336,32918,14965,43742,30389,13042,4505,3200,12521,155286
4GADE,2867,1053,707,1533,21370,1041,1174,4226,4234,2541,1075,896,1479,16674,1570,1896,5458,4793,2870,1430,1225,2560,21797,168390,68026,155561,79487,29181,9547,6844,34736,551769
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,8,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,7,370,92,180,99,33,16,11,209,1016
3RQLD,5656,2482,1960,3803,37488,1885,1669,5150,5672,4132,2075,2006,3217,25810,2126,2335,5658,5384,3813,2102,2300,5352,29061,259383,112166,256784,161987,71012,25331,18954,89235,994854
3GBRI,4117,1867,1422,2368,27648,1621,1303,4187,4426,3049,1564,1603,2256,20001,1886,1864,4838,4606,3184,1682,1797,4820,24673,302802,110930,232192,133300,54897,19458,14990,68446,937019
39799,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,18,18,5,3,0,9,81
39499,18,3,8,29,118,4,5,3,9,3,0,0,0,34,3,3,0,7,0,0,0,10,18,1728,366,959,652,307,89,77,1006,5179
2RVIC,4637,2076,1809,2938,27264,1226,1017,3716,4484,3581,1806,1863,2590,20282,1682,1579,4647,4783,3657,1877,2189,4030,24446,147085,57931,153430,111314,50489,17386,12944,52381,602974
2GMEL,7859,2969,2628,5129,60898,3239,3496,12486,10986,6337,2745,2939,4834,47062,4360,5175,13572,11326,6609,3221,3693,7987,55950,645354,231159,478049,248311,88684,28352,22480,143968,1886350
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
29499,4,0,0,4,32,0,0,4,3,0,0,3,3,16,3,0,6,6,0,4,5,9,28,1190,232,328,236,96,44,38,716,2883
1RNSW,7903,3157,2430,5509,51835,2635,2312,8135,8797,5977,2969,2618,5041,38484,3042,3201,9049,8692,5991,2895,3039,8925,44829,263949,113869,294658,200995,87390,29491,20382,94920,1105649
1GSYD,7501,3037,2817,5358,63350,4100,3963,12496,10716,6162,2766,3179,5015,48394,5497,5808,14462,11173,6659,3197,4227,9842,60875,674818,257973,498957,262085,98915,33287,26436,156915,2009383
19799,0,0,0,5,14,0,0,0,0,3,0,0,3,10,0,0,3,3,0,0,0,0,7,39,21,65,35,21,6,0,37,220
19499,3,3,0,23,78,4,8,4,11,3,0,3,11,38,3,0,15,6,3,4,7,13,48,1744,350,650,414,184,65,57,1134,4590
