GCCSA_CODE_2016,Tot_persons_C06_M,Tot_persons_C06_F,Tot_persons_C06_P,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Age_0_4_C06_M,Age_0_4_C06_F,Age_0_4_C06_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_5_14_C06_M,Age_5_14_C06_F,Age_5_14_C06_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_15_19_C06_M,Age_15_19_C06_F,Age_15_19_C06_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_20_24_C06_M,Age_20_24_C06_F,Age_20_24_C06_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_25_34_C06_M,Age_25_34_C06_F,Age_25_34_C06_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_35_44_C06_M,Age_35_44_C06_F,Age_35_44_C06_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_45_54_C06_M,Age_45_54_C06_F,Age_45_54_C06_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_55_64_C06_M,Age_55_64_C06_F,Age_55_64_C06_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_65_74_C06_M,Age_65_74_C06_F,Age_65_74_C06_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_75_84_C06_M,Age_75_84_C06_F,Age_75_84_C06_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_grp_85ov_C06_M,Age_grp_85ov_C06_F,Age_grp_85ov_C06_P,Age_grp_85ov_C11_M,Age_grp_85ov_C11_F,Age_grp_85ov_C11_P,Age_grp_85ov_C16_M,Age_grp_85ov_C16_F,Age_grp_85ov_C16_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,IP_Abor_C06_M,IP_Abor_C06_F,IP_Abor_C06_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Tor_Strt_Is_2006_Ce_M,IP_Tor_Strt_Is_2006_Ce_F,IP_Tor_Strt_Is_2006_Ce_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2006_Ce_M,IP_B_Ab_To_St_Is_2006_Ce_F,IP_B_Ab_To_St_Is_2006_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_Tot_2006_Ce_M,IP_Tot_2006_Ce_F,IP_Tot_2006_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,Brthplace_Aust_2006_Ce_M,Brthplace_Aust_2006_Ce_F,Brthplace_Aust_2006_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Elsewhere_2006_Ce_M,Brthplace_Elsewhere_2006_Ce_F,Brthplace_Elsewhere_2006_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,LSH_Eng_only_2006_Ce_M,LSH_Eng_only_2006_Ce_F,LSH_Eng_only_2006_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Oth_Lan_2006_Ce_M,LSH_Oth_Lan_2006_Ce_F,LSH_Oth_Lan_2006_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,Aust_citiz_C06_M,Aust_citiz_C06_F,Aust_citiz_C06_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P
9OTER,1237,1053,2290,1958,1043,3004,2432,2090,4523,72,86,154,79,66,142,141,126,261,201,194,396,182,179,359,281,266,543,66,56,120,107,51,164,101,107,205,74,67,145,195,64,265,134,63,199,149,133,281,581,141,716,329,240,566,216,197,412,276,172,444,345,290,633,201,181,375,237,181,418,371,332,707,183,89,274,207,126,341,359,340,701,73,36,103,78,45,120,255,210,463,5,12,16,11,18,32,95,91,182,10,4,11,5,0,3,28,29,51,53,20,73,17,22,41,62,55,117,110,106,210,117,121,236,100,110,212,7,6,12,5,0,8,4,3,13,0,0,0,0,0,4,0,0,3,116,111,225,120,126,246,110,115,226,770,699,1463,778,679,1452,1300,1202,2504,363,306,663,958,298,1255,822,632,1452,536,426,955,517,402,920,871,812,1688,599,592,1198,638,583,1224,1055,1062,2118,963,842,1811,979,824,1801,1692,1570,3264
99799,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
99499,22,4,25,7,19,26,21,28,55,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,3,3,13,0,13,4,0,8,6,4,10,7,0,6,0,8,7,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,6,8,3,4,9,3,0,3,0,3,0,3,4,11,0,0,0,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,16,3,13,19,14,15,24,4,0,5,3,7,5,9,17,22,9,4,16,4,16,21,20,21,40,0,0,3,3,0,3,5,10,10,15,0,18,4,16,27,16,19,39
8ACTE,159282,164043,323325,176414,180170,356586,195432,201425,396857,10282,9794,20077,12373,11439,23815,13892,12889,26782,21206,20539,41744,21808,20663,42468,24610,23055,47659,12175,11346,23522,12327,11606,23936,12350,12124,24468,14068,13383,27452,15600,15066,30664,15829,15525,31354,24736,25411,50150,28917,29178,58091,32368,33639,66008,23825,24976,48804,26086,26735,52818,28875,29423,58298,22075,23865,45940,23240,24689,47928,24959,25955,50915,16833,17281,34114,18804,19912,38719,19870,21558,41426,8228,9000,17229,10409,11235,21645,13929,15503,29428,4700,6150,10854,5190,6472,11660,6436,7913,14352,1159,2286,3447,1658,3174,4831,2316,3839,6155,1400,1517,2919,1746,1910,3656,2095,2780,4874,1780,1799,3577,2461,2371,4829,3075,3036,6107,87,80,168,95,86,187,88,92,183,54,52,104,76,58,137,91,93,184,1917,1928,3850,2639,2519,5155,3250,3220,6476,116326,119650,235979,126214,128406,254624,133811,135878,269693,34019,36179,70201,41723,44443,86163,50552,54483,105039,128964,132949,261913,137351,140216,277564,142856,145783,288639,22618,24437,47049,31012,33558,64573,41447,45140,86585,142254,147329,289578,154549,158717,313264,165442,170137,335575
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,371,337,709,328,305,630,312,228,538,27,22,45,11,21,28,5,6,12,25,35,62,17,15,30,10,12,22,32,31,64,30,29,59,16,20,35,68,58,130,38,46,86,36,42,79,84,72,155,83,69,154,63,44,108,67,49,116,60,50,109,67,40,107,34,31,60,37,38,79,43,26,68,27,19,47,33,24,61,38,34,78,5,5,15,12,8,18,15,9,24,8,10,20,0,4,0,5,4,8,0,3,3,3,4,7,0,3,3,0,0,0,0,0,0,0,0,0,16,14,28,15,15,26,13,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,29,20,15,26,15,12,33,251,227,481,222,211,435,209,144,351,84,77,163,76,78,160,58,65,130,277,260,536,242,232,475,190,160,355,58,56,117,43,54,97,42,41,82,292,272,563,239,245,489,208,166,372
7RNTE,43170,41743,84910,45506,43870,89374,45287,44157,89443,4018,3786,7808,4180,3972,8150,3829,3572,7398,8127,7588,15710,8023,7443,15464,7481,6863,14346,3565,3372,6933,3503,3256,6761,3420,3023,6446,3404,3578,6984,3601,3616,7222,3544,3357,6905,6755,7178,13934,7526,7575,15100,7695,7988,15691,6661,6402,13070,6634,6732,13361,6143,6283,12427,5484,5210,10698,5743,5542,11287,5881,6009,11887,3430,2858,6290,4136,3682,7818,4439,4366,8810,1223,1140,2356,1615,1354,2976,2119,1852,3969,396,451,848,454,528,981,624,639,1266,96,178,267,84,179,267,116,192,310,1907,1989,3897,1663,1883,3549,1987,2085,4066,20962,21658,42615,21947,22721,44670,22060,22533,44595,99,68,171,103,81,186,117,109,226,225,222,448,335,354,688,373,391,764,21285,21947,43235,22382,23157,45540,22547,23040,45590,36308,35542,71849,38238,37207,75445,35530,34767,70296,3426,3340,6767,4259,4298,8558,4913,5057,9970,22783,21565,44341,22794,21097,43893,19714,18588,38304,15260,16096,31349,18110,19351,37462,19154,20193,39350,37500,37144,74644,39526,39027,78552,37382,37091,74478
7GDAR,55086,50909,105992,62895,57687,120586,71889,64939,136828,4062,3940,8000,4618,4285,8904,5137,5018,10155,8207,7712,15917,8334,8141,16473,8931,8444,17377,3865,3433,7300,4331,3691,8028,4039,3560,7600,4214,3709,7921,5296,4167,9458,5198,4355,9555,8923,8819,17741,10804,10254,21056,14046,12810,26858,9118,8733,17856,9970,9578,19548,11472,10315,21789,7964,7490,15458,8746,8253,17003,10094,8858,18951,5680,4497,10180,6719,5764,12488,7434,6612,14042,2170,1626,3796,2967,2398,5364,4021,3393,7413,757,751,1505,949,888,1834,1246,1226,2470,122,199,323,165,258,423,273,356,626,1303,1340,2646,1217,1287,2505,3047,1789,4838,4322,4620,8946,4900,4877,9775,5448,5080,10533,235,205,440,258,225,479,278,235,509,419,455,875,414,429,846,466,459,923,4976,5281,10259,5569,5527,11099,6186,5771,11960,39027,35952,74985,42406,38938,81343,45391,40447,85840,9665,9726,19390,13110,13021,26132,17484,17493,34979,42122,39280,81406,45316,42304,87619,48748,44199,92942,6431,6798,13225,9245,9754,19002,13639,14079,27712,45332,42669,87997,48948,46127,95073,53998,49721,103721
79799,78,17,94,90,19,107,61,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,4,0,3,0,0,0,32,12,44,17,0,18,4,0,3,21,3,23,33,7,37,23,3,30,16,0,21,20,0,22,16,0,19,7,0,7,14,3,15,11,0,9,4,0,3,10,0,7,3,0,3,0,0,0,5,4,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,60,57,122,80,27,107,63,10,75,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,51,15,64,55,9,65,10,7,16,16,0,20,25,3,30,47,3,53,50,15,67,67,11,78,16,10,27,18,0,14,18,5,18,37,3,37,56,15,72,65,13,78,11,7,21
79499,1043,863,1901,1017,850,1870,1332,1157,2489,42,23,57,28,31,66,45,34,81,65,46,113,41,43,81,48,76,123,29,19,44,9,24,34,16,17,32,76,62,144,65,69,141,98,85,183,182,171,357,197,167,364,219,239,457,123,90,216,143,84,233,215,180,396,161,153,318,133,136,269,257,203,461,256,219,477,242,198,440,229,212,438,95,69,166,135,85,219,174,105,278,8,6,11,12,7,22,20,10,38,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,137,78,55,127,381,297,683,0,0,0,0,0,0,5,4,11,15,9,27,3,0,3,4,3,7,108,61,165,83,50,134,394,305,696,712,558,1275,636,534,1167,750,630,1379,181,182,361,225,229,455,191,209,402,797,673,1470,758,671,1429,720,642,1364,64,57,125,109,90,198,234,218,455,790,636,1426,756,619,1372,945,813,1750
