GCCSA_CODE_2016,C06_F_55_59_Em_FT,C06_F_55_59_Em_PT,C06_F_55_59_Em_AFW,C06_F_55_59_Em_Hrs_NS,C06_F_55_59_Em_Tot,C06_F_55_59_Unem_Look_FT,C06_F_55_59_Unem_Look_PT,C06_F_55_59_Unem_Tot,C06_F_55_59_Tot_LF,C06_F_55_59_Notin_LF,C06_F_55_59_LF_NS,C06_F_55_59_Tot,C06_F_60_64_Em_FT,C06_F_60_64_Em_PT,C06_F_60_64_Em_AFW,C06_F_60_64_Em_Hrs_NS,C06_F_60_64_Em_Tot,C06_F_60_64_Unem_Look_FT,C06_F_60_64_Unem_Look_PT,C06_F_60_64_Unem_Tot,C06_F_60_64_Tot_LF,C06_F_60_64_Notin_LF,C06_F_60_64_LF_NS,C06_F_60_64_Tot,C06_F_65_69_Em_FT,C06_F_65_69_Em_PT,C06_F_65_69_Em_AFW,C06_F_65_69_Em_Hrs_NS,C06_F_65_69_Em_Tot,C06_F_65_69_Unem_Look_FT,C06_F_65_69_Unem_Look_PT,C06_F_65_69_Unem_Tot,C06_F_65_69_Tot_LF,C06_F_65_69_Notin_LF,C06_F_65_69_LF_NS,C06_F_65_69_Tot,C06_F_70_74_Em_FT,C06_F_70_74_Em_PT,C06_F_70_74_Em_AFW,C06_F_70_74_Em_Hrs_NS,C06_F_70_74_Em_Tot,C06_F_70_74_Unem_Look_FT,C06_F_70_74_Unem_Look_PT,C06_F_70_74_Unem_Tot,C06_F_70_74_Tot_LF,C06_F_70_74_Notin_LF,C06_F_70_74_LF_NS,C06_F_70_74_Tot,C06_F_75ov_Em_FT,C06_F_75ov_Em_PT,C06_F_75ov_Em_AFW,C06_F_75ov_Em_Hrs_NS,C06_F_75andOver_Em_Tot,C06_F_75over_Unem_Lo_ft_wo,C06_F_75ov_Unem_Lo_pt_wor,C06_F_75andOver_Unemp_Tot,C06_F_75over_Tot_lab_for,C06_F_75over_N_lab_forc,C06_F_75over_LF_NS,C06_F_75over_Tot,C06_F_Tot_Em_FT,C06_F_Tot_Em_PT,C06_F_Tot_Em_AFW,C06_F_Tot_Em_Hrs_NS,C06_F_Tot_Em_Tot,C06_F_Tot_Unem_Look_FT,C06_F_Tot_Unem_Look_PT,C06_F_Tot_Unem_Tot,C06_F_T_T_labo_for,C06_F_Tot_Notin_LF,C06_F_Tot_LF_NS,C06_F_T_T,C11_F_15_19_Em_FT,C11_F_15_19_Em_PT,C11_F_15_19_Em_AFW,C11_F_15_19_Em_Hrs_NS,C11_F_15_19_Em_Tot,C11_F_15_19_Unem_Look_FT,C11_F_15_19_Unem_Look_PT,C11_F_15_19_Unem_Tot,C11_F_15_19_Tot_LF,C11_F_15_19_Notin_LF,C11_F_15_19_LF_NS,C11_F_15_19_Tot,C11_F_20_24_Em_FT,C11_F_20_24_Em_PT,C11_F_20_24_Em_AFW,C11_F_20_24_Em_Hrs_NS,C11_F_20_24_Em_Tot,C11_F_20_24_Unem_Look_FT,C11_F_20_24_Unem_Look_PT,C11_F_20_24_Unem_Tot,C11_F_20_24_Tot_LF,C11_F_20_24_Notin_LF,C11_F_20_24_LF_NS,C11_F_20_24_Tot,C11_F_25_29_Em_FT,C11_F_25_29_Em_PT,C11_F_25_29_Em_AFW,C11_F_25_29_Em_Hrs_NS,C11_F_25_29_Em_Tot,C11_F_25_29_Unem_Look_FT,C11_F_25_29_Unem_Look_PT,C11_F_25_29_Unem_Tot,C11_F_25_29_Tot_LF,C11_F_25_29_Notin_LF,C11_F_25_29_LF_NS,C11_F_25_29_Tot,C11_F_30_34_Em_FT,C11_F_30_34_Em_PT,C11_F_30_34_Em_AFW,C11_F_30_34_Em_Hrs_NS,C11_F_30_34_Em_Tot,C11_F_30_34_Unem_Look_FT,C11_F_30_34_Unem_Look_PT,C11_F_30_34_Unem_Tot,C11_F_30_34_Tot_LF,C11_F_30_34_Notin_LF,C11_F_30_34_LF_NS,C11_F_30_34_Tot,C11_F_35_39_Em_FT,C11_F_35_39_Em_PT,C11_F_35_39_Em_AFW,C11_F_35_39_Em_Hrs_NS,C11_F_35_39_Em_Tot,C11_F_35_39_Unem_Look_FT,C11_F_35_39_Unem_Look_PT,C11_F_35_39_Unem_Tot,C11_F_35_39_Tot_LF,C11_F_35_39_Notin_LF,C11_F_35_39_LF_NS,C11_F_35_39_Tot,C11_F_40_44_Em_FT,C11_F_40_44_Em_PT,C11_F_40_44_Em_AFW,C11_F_40_44_Em_Hrs_NS,C11_F_40_44_Em_Tot,C11_F_40_44_Unem_Look_FT,C11_F_40_44_Unem_Look_PT,C11_F_40_44_Unem_Tot,C11_F_40_44_Tot_LF,C11_F_40_44_Notin_LF,C11_F_40_44_LF_NS,C11_F_40_44_Tot,C11_F_45_49_Em_FT,C11_F_45_49_Em_PT,C11_F_45_49_Em_AFW,C11_F_45_49_Em_Hrs_NS,C11_F_45_49_Em_Tot,C11_F_45_49_Unem_Look_FT,C11_F_45_49_Unem_Look_PT,C11_F_45_49_Unem_Tot,C11_F_45_49_Tot_LF,C11_F_45_49_Notin_LF,C11_F_45_49_LF_NS,C11_F_45_49_Tot,C11_F_50_54_Em_FT,C11_F_50_54_Em_PT,C11_F_50_54_Em_AFW,C11_F_50_54_Em_Hrs_NS,C11_F_50_54_Em_Tot,C11_F_50_54_Unem_Look_FT,C11_F_50_54_Unem_Look_PT,C11_F_50_54_Unem_Tot,C11_F_50_54_Tot_LF,C11_F_50_54_Notin_LF,C11_F_50_54_LF_NS,C11_F_50_54_Tot,C11_F_55_59_Em_FT,C11_F_55_59_Em_PT,C11_F_55_59_Em_AFW,C11_F_55_59_Em_Hrs_NS,C11_F_55_59_Em_Tot,C11_F_55_59_Unem_Look_FT,C11_F_55_59_Unem_Look_PT,C11_F_55_59_Unem_Tot,C11_F_55_59_Tot_LF,C11_F_55_59_Notin_LF,C11_F_55_59_LF_NS,C11_F_55_59_Tot,C11_F_60_64_Em_FT,C11_F_60_64_Em_PT,C11_F_60_64_Em_AFW,C11_F_60_64_Em_Hrs_NS,C11_F_60_64_Em_Tot,C11_F_60_64_Unem_Look_FT,C11_F_60_64_Unem_Look_PT,C11_F_60_64_Unem_Tot,C11_F_60_64_Tot_LF,C11_F_60_64_Notin_LF,C11_F_60_64_LF_NS,C11_F_60_64_Tot,C11_F_65_69_Em_FT,C11_F_65_69_Em_PT,C11_F_65_69_Em_AFW,C11_F_65_69_Em_Hrs_NS,C11_F_65_69_Em_Tot,C11_F_65_69_Unem_Look_FT,C11_F_65_69_Unem_Look_PT,C11_F_65_69_Unem_Tot
9OTER,8,4,0,0,13,0,3,3,16,30,4,53,4,0,0,0,9,0,0,0,9,27,0,38,0,0,0,0,0,0,0,0,0,25,0,21,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,14,0,14,209,129,18,21,376,24,12,32,410,335,25,770,14,8,0,3,24,0,0,0,23,30,0,51,29,5,3,0,37,3,0,3,42,19,3,64,25,9,3,3,38,0,0,4,46,14,5,67,28,16,4,0,53,0,3,3,51,18,3,72,27,25,0,0,56,3,0,3,57,18,6,76,45,17,3,0,65,0,0,0,66,19,6,96,40,24,4,3,68,0,0,0,67,17,3,95,39,14,0,0,60,0,0,0,57,28,0,87,28,9,3,0,40,0,0,3,41,41,3,83,13,6,0,0,19,0,0,0,23,19,6,47,4,0,0,0,3,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,3792,2357,380,90,6615,39,58,95,6717,3194,365,10271,1359,1250,204,39,2851,21,44,67,2917,3823,265,7011,203,478,49,17,745,0,8,13,757,4035,276,5067,51,133,7,10,200,0,5,5,206,3499,228,3933,47,67,7,17,131,0,0,3,136,7535,771,8441,48373,30908,4608,1544,85426,1076,1600,2669,88102,39779,5831,133709,1135,4356,271,189,5958,146,630,771,6727,4424,452,11606,5953,4265,499,167,10882,228,424,659,11536,2761,767,15066,8712,2499,793,133,12139,196,157,354,12491,2109,621,15221,6427,3105,1185,107,10820,163,149,308,11130,2300,522,13955,5769,3835,859,108,10571,130,169,299,10871,2277,427,13580,6226,3824,582,104,10742,137,120,257,10997,1751,414,13158,6868,3172,430,135,10607,137,104,240,10845,1443,351,12641,6600,2650,498,104,9852,98,77,180,10031,1682,331,12051,4397,2373,462,79,7308,51,56,108,7418,2793,305,10518,2157,1864,302,63,4390,26,56,87,4474,4656,264,9400,459,815,115,21,1403,0,24,30
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,3,0,0,6,0,0,0,5,8,0,17,0,0,3,0,3,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,9,3,9,75,45,11,3,134,12,15,26,159,98,17,280,0,5,0,0,6,3,5,13,18,8,3,29,9,8,0,0,26,0,3,3,28,11,3,46,16,10,0,0,23,3,0,3,25,15,0,39,12,9,3,0,20,0,0,0,24,8,0,30,9,3,0,0,17,3,0,3,18,7,0,22,6,3,0,0,11,0,0,0,9,12,3,26,4,3,0,0,10,0,0,0,6,8,3,13,13,5,0,0,18,3,0,3,15,4,0,23,3,0,0,0,4,0,0,0,5,7,0,17,3,0,0,0,3,0,0,0,7,5,0,7,0,0,0,0,0,0,0,0
7RNTE,607,264,51,25,948,12,16,33,980,525,205,1705,243,153,32,25,453,3,12,15,466,572,120,1158,67,70,11,10,155,6,3,9,163,414,88,670,20,18,6,3,42,3,0,3,46,349,76,471,11,15,0,6,35,3,0,3,32,493,103,627,8433,4969,705,584,14687,628,324,958,15645,11042,3674,30370,288,453,46,53,838,120,68,188,1025,1914,312,3256,932,431,74,69,1514,179,72,252,1769,1513,334,3616,1272,544,130,80,2030,141,72,216,2243,1378,369,3986,1088,557,145,81,1869,126,58,185,2047,1217,315,3582,1057,652,109,55,1875,106,60,170,2045,1057,320,3416,1260,567,74,54,1955,98,30,129,2078,886,341,3312,1248,474,95,52,1870,71,19,95,1963,632,248,2842,1201,424,107,48,1776,36,23,53,1835,627,242,2698,924,299,91,32,1338,24,13,39,1380,632,176,2191,442,211,48,17,723,3,8,12,738,622,125,1485,117,70,14,16,210,3,5,9
7GDAR,1112,459,125,46,1743,22,16,38,1782,780,225,2785,386,286,47,22,743,6,13,14,755,793,156,1708,90,96,15,5,205,3,3,3,213,712,94,1023,14,17,5,7,46,0,0,0,46,493,71,601,18,15,0,0,32,0,0,0,37,756,161,949,15689,7220,1310,617,24833,436,419,857,25689,9700,3870,39260,591,1036,44,69,1740,89,127,214,1949,1363,378,3691,1931,787,124,52,2894,114,55,162,3060,681,422,4167,2603,831,272,70,3771,88,52,138,3912,858,526,5294,2230,963,285,58,3531,73,44,121,3651,879,438,4959,2111,1024,213,65,3423,63,56,114,3539,820,474,4835,2309,1019,153,65,3546,44,31,75,3625,664,463,4750,2277,801,140,57,3271,50,39,83,3354,515,420,4291,2149,663,162,53,3027,36,15,52,3076,540,341,3960,1473,568,112,45,2199,26,16,40,2234,705,307,3250,781,418,77,21,1296,9,15,25,1316,966,231,2519,206,166,15,15,404,0,8,4
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,10,0,0,0,10,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,14,11,3,0,25,3,5,9,31,91,16,140,3,5,0,0,7,0,0,0,13,61,6,83,0,0,0,0,0,0,0,0,0,45,5,52,0,0,0,0,0,0,0,0,0,12,3,14,0,0,0,0,0,0,0,0,0,4,3,6,150,63,23,5,242,19,18,41,281,390,122,793,5,0,4,0,4,3,0,3,11,8,0,24,34,7,3,0,47,3,0,5,46,19,8,69,33,11,10,3,54,3,0,3,62,23,12,93,20,4,7,0,29,3,0,4,37,30,5,67,13,3,0,0,15,0,0,0,18,22,6,41,3,3,3,0,9,4,0,4,13,22,7,39,13,5,0,3,22,0,0,3,26,20,10,57,15,3,4,0,33,4,4,3,32,38,12,84,13,4,5,0,22,0,4,7,31,63,22,109,9,0,0,0,6,3,0,3,9,67,14,87,0,0,0,0,0,0,0,0
