GCCSA_CODE_2016,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus
9OTER,51,378,10,495,0,0,0,190,3,194,393,8,15,10,0,423,0,0,0,0,0,0,5,4,3,10,0,17,101,32,34,178,10,352,9,0,3,0,3,14,6,0,0,0,0,3,17,5,3,17,0,50,3,0,0,0,0,4,3,0,0,0,0,5,16,4,0,0,3,21,10,7,0,55,0,78,0,3,0,4,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,4,0,16,3,3,0,0,0,9,3,0,0,0,0,5,0,0,0,4,0,3,26,3,4,33,0,74,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,8,247,54,63,243,47,644,34,4,5,46,854,939,836,140,132,978,919,3004,32,123,124,779
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,0,26,0,0,0,11
8ACTE,11868,97537,1821,128462,3,35,18,617,24,697,12937,379,621,727,246,14905,3038,449,167,755,93,4506,2723,1099,696,1800,89,6401,22190,12232,9424,70781,1865,116492,2716,83,365,85,69,3321,978,208,188,740,28,2137,4430,1496,1018,8362,197,15503,2462,525,228,1251,83,4550,989,218,134,276,16,1638,7483,175,184,97,113,8054,4650,3025,2309,33805,628,44417,4985,1550,616,4293,160,11606,1637,33,82,53,34,1830,674,145,63,232,33,1142,663,74,42,115,18,914,628,223,145,459,14,1473,537,144,114,99,27,911,1425,580,444,169,45,2667,2431,388,341,821,45,4039,965,129,110,242,21,1468,5906,3253,2575,22494,451,34690,1276,162,72,140,20,1663,968,148,120,42,17,1298,1526,216,130,347,23,2239,1610,75,66,44,25,1816,301,38,18,16,6,385,3749,56,162,38,82,4088,915,332,208,1115,20,2591,26809,3319,2999,3722,728,37579,1810,333,250,2995,13886,19277,108706,27300,20997,180242,19344,356586,3014,15420,12581,94922
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,18,151,6,215,0,0,0,12,0,12,34,0,0,0,0,38,6,0,0,3,0,10,6,3,0,8,0,8,39,22,15,111,3,197,4,0,0,0,0,3,0,0,0,0,0,0,5,0,4,13,0,24,3,0,0,3,0,10,0,0,0,0,0,4,6,0,0,0,0,8,10,7,3,38,0,62,3,3,0,14,0,24,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,3,0,0,0,0,3,5,0,0,0,0,5,12,6,9,25,0,53,4,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,10,56,3,7,12,0,80,0,0,0,0,62,65,188,48,38,288,79,630,11,24,16,99
7RNTE,1398,16974,539,20736,25,115,37,36598,212,36990,346,17,37,210,14,629,42,14,3,19,0,83,397,114,84,199,12,805,3053,1238,1057,9964,351,15656,690,7,95,20,17,833,149,17,10,111,11,292,649,173,149,1650,39,2665,85,41,9,87,5,227,46,7,4,25,0,88,660,17,15,17,12,718,799,288,225,3728,94,5142,338,141,78,462,23,1030,104,0,0,0,0,107,18,3,5,14,0,44,10,0,0,6,0,12,26,31,11,38,3,107,393,51,42,25,13,524,413,83,92,38,11,637,119,30,12,61,3,229,51,7,3,49,0,112,770,283,264,2801,70,4179,17,3,0,3,3,23,195,21,13,7,0,238,101,11,7,48,0,166,88,5,0,11,0,106,19,3,0,0,0,22,116,3,8,0,10,131,85,37,9,179,4,315,2689,369,325,1074,73,4533,197,45,49,1466,6648,8407,10753,2899,2440,65397,7885,89374,284,1477,1284,16176
7GDAR,3771,32755,1098,42465,5,70,26,1972,99,2168,2913,203,269,828,81,4298,115,40,21,58,5,230,826,312,225,515,25,1907,7523,3295,2722,21041,773,35355,2996,57,291,97,101,3534,275,58,44,222,19,622,1249,479,361,3410,99,5596,1872,490,166,776,101,3405,149,51,24,36,3,265,1488,59,59,51,33,1686,1674,782,600,7872,193,11124,858,377,139,1179,51,2599,178,4,9,11,3,211,54,9,7,34,0,101,36,5,5,12,4,65,83,43,17,80,4,224,481,105,73,65,28,752,673,235,202,76,32,1219,240,76,41,167,7,528,101,21,16,50,7,194,1865,803,635,5823,132,9258,55,8,0,8,0,70,296,31,27,22,5,382,281,25,22,105,18,455,219,28,18,17,5,280,54,4,4,7,0,65,681,25,30,4,20,751,248,85,70,256,6,671,7774,822,952,1399,332,11270,760,128,153,1423,13521,15986,31330,7787,6620,58740,16109,120586,1172,4326,4160,34408
79799,0,29,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,0,21,3,36,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,9,9,34,13,3,50,10,107,0,0,0,6
79499,46,527,14,657,0,0,0,29,0,29,16,0,0,9,0,29,0,0,0,3,0,4,35,11,0,5,0,47,185,57,33,341,6,620,6,0,0,0,0,6,19,0,0,0,0,18,33,6,8,62,4,109,6,3,3,0,0,9,3,0,0,7,0,13,9,0,0,0,0,9,60,11,10,138,6,219,15,8,0,12,0,35,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,9,15,0,0,0,0,13,23,0,0,0,0,23,8,3,0,0,0,9,3,0,0,0,0,3,39,14,9,104,0,161,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,14,71,6,6,24,6,112,6,0,3,20,239,269,490,112,70,929,268,1870,10,69,38,738
