GCCSA_CODE_2016,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85o,C11_M_Healt_To,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85o,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85o,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85o,C11_M_Society_cultur_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creat_art_85andOve,C11_M_Creative_arts_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85o,C11_M_Foo_hos_pers_S_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85_ov,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85o,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85o,C11_M_FldStu_NS_T,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85o,C11_M_T_T,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85_ov,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85_ov,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85_ov,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85o,C16_M_Arch_building_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85o,C16_M_AgEnv_RS_Tot,C16_M_Health_15_19,C16_M_Health_20_24,C16_M_Health_25_34,C16_M_Health_35_44,C16_M_Health_45_54,C16_M_Health_55_64,C16_M_Health_65_74,C16_M_Health_75_84,C16_M_Health_85o,C16_M_Healt_To,C16_M_Educ_15_19,C16_M_Educ_20_24,C16_M_Educ_25_34,C16_M_Educ_35_44,C16_M_Educ_45_54,C16_M_Educ_55_64,C16_M_Educ_65_74,C16_M_Educ_75_84,C16_M_Educ_85o,C16_M_Educ_Tot,C16_M_MngtCom_15_19,C16_M_MngtCom_20_24,C16_M_MngtCom_25_34,C16_M_MngtCom_35_44,C16_M_MngtCom_45_54,C16_M_MngtCom_55_64,C16_M_MngtCom_65_74,C16_M_MngtCom_75_84,C16_M_MngtCom_85o,C16_M_MngtCom_Tot,C16_M_Soc_cult_15_19,C16_M_Soc_cult_20_24,C16_M_Soc_cult_25_34,C16_M_Soc_cult_35_44,C16_M_Soc_cult_45_54,C16_M_Soc_cult_55_64,C16_M_Soc_cult_65_74,C16_M_Soc_cult_75_84,C16_M_Soc_cult_85o,C16_M_Society_cultur_Tot,C16_M_Creative_art_15_19,C16_M_Creative_art_20_24,C16_M_Creative_art_25_34,C16_M_Creative_art_35_44,C16_M_Creative_art_45_54,C16_M_Creative_art_55_64,C16_M_Creative_art_65_74,C16_M_Creative_art_75_84,C16_M_Create_art_85andOv,C16_M_Creative_arts_Tot
9OTER,0,0,6,3,0,4,0,0,0,9,0,0,3,11,6,6,0,0,0,26,0,3,13,11,8,3,4,0,0,46,0,3,9,16,10,0,0,0,0,35,0,0,0,0,3,0,0,0,0,7,0,0,4,3,3,0,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,8,53,145,447,132,55,34,10,8,0,881,52,165,527,231,158,107,31,10,0,1279,0,0,8,6,6,6,4,3,0,41,0,0,8,6,5,0,0,0,0,12,3,11,45,57,74,70,41,9,5,318,3,3,12,17,32,42,13,11,0,130,0,3,4,9,11,7,3,0,0,42,0,0,0,4,3,3,7,3,0,28,0,0,3,13,8,3,7,3,0,40,0,3,14,25,19,9,11,3,0,86,3,6,22,13,10,11,10,0,0,73,0,0,0,0,3,0,5,0,0,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,11,146,645,690,669,504,222,137,38,3058,10,82,561,603,592,662,410,147,26,3091,74,1076,3608,3460,2954,2097,852,272,123,14513,67,968,3609,3093,2764,2687,1420,519,143,15271,44,451,1093,648,477,310,111,50,14,3199,69,355,783,645,384,201,106,57,11,2611,9,31,10,7,0,15,0,4,0,91,12,92,295,364,335,254,140,87,31,1609,1009,1335,2027,1610,1398,1050,786,635,322,10180,1584,7172,22050,20040,17681,13938,7331,3450,1121,94353,14,447,1338,1179,1276,1197,927,356,127,6860,101,670,3036,3253,2041,1186,355,32,0,10677,52,869,3544,3513,3333,2820,2108,1037,356,17636,73,611,1989,1545,1260,1021,774,436,134,7849,6,112,460,482,446,377,224,117,29,2250,13,183,1131,928,734,610,287,144,57,4094,8,104,630,726,587,631,465,240,69,3460,89,1113,4282,4191,3465,2397,1335,410,141,17426,105,1025,4165,3591,2995,2697,2144,733,228,17687,60,385,1152,852,575,385,186,59,13,3660
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,4,6,0,0,0,0,0,11,0,0,0,3,0,4,0,0,0,4,0,5,15,6,4,3,0,0,0,30,0,4,9,7,3,5,3,0,0,30,0,0,3,0,0,0,0,0,0,8,0,4,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,4,14,8,10,9,0,0,0,53,9,23,62,45,33,29,12,0,3,201,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,3,6,6,3,11,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,3,7,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,11,0,3,7,3,3,0,3,0,0,18,0,0,0,0,0,0,0,0,0,4
7RNTE,8,17,160,176,159,91,32,5,0,639,0,21,123,154,182,182,52,10,0,719,14,57,265,318,255,225,34,6,0,1169,13,69,286,282,220,167,43,4,0,1084,14,18,80,66,52,47,13,0,0,295,17,73,181,133,120,54,10,3,0,584,0,0,6,8,7,4,0,0,0,33,5,11,59,74,65,22,7,0,0,257,611,609,1299,1099,828,598,293,89,24,5463,780,1426,4107,3922,3379,2394,837,188,31,17070,0,12,55,55,54,48,27,9,0,257,10,11,75,50,35,30,9,3,0,222,33,268,882,720,796,654,282,67,16,3725,8,73,331,280,244,210,104,29,3,1286,24,72,189,176,182,85,32,10,0,776,4,18,207,185,176,109,43,9,0,752,0,18,138,152,153,169,88,20,0,734,4,48,308,289,265,220,69,10,0,1222,7,66,334,333,287,221,60,18,0,1328,11,23,72,61,51,39,21,6,0,284
7GDAR,3,51,318,271,238,177,54,15,4,1127,4,18,125,160,227,252,94,24,3,911,29,208,775,824,631,460,123,21,4,3077,20,140,487,451,382,284,123,32,5,1929,9,48,173,115,87,74,32,8,0,550,32,136,371,301,201,117,34,7,0,1205,6,9,9,7,4,4,0,0,0,37,8,45,137,140,87,67,24,3,0,519,845,954,2026,1670,1384,1010,503,248,56,8694,1128,2814,7734,7233,6152,4506,1857,586,103,32106,0,35,169,194,184,148,73,21,3,830,32,130,386,328,146,74,17,0,0,1110,119,799,3318,2647,2388,1595,758,237,38,11902,35,208,1142,768,614,485,269,96,17,3640,11,38,187,216,187,135,57,14,7,853,5,74,468,382,299,219,81,22,5,1565,0,8,157,235,232,269,156,34,4,1104,41,248,1130,978,865,525,227,44,6,4065,35,162,622,573,493,365,182,49,10,2497,15,48,162,143,89,68,43,11,3,594
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,13,0,8,17,9,10,6,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,4,4,0,3,0,0,0,15,0,3,0,0,3,9,5,0,0,20,0,0,9,5,5,9,5,0,0,37,0,4,12,7,5,3,3,0,0,35,0,0,3,0,3,0,0,0,0,8,0,3,10,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,3,10,41,32,30,37,17,0,0,176,7,43,138,98,99,145,77,5,0,609,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,5,0,0,0,9,0,3,25,19,40,41,36,4,0,171,0,8,14,11,8,14,16,0,0,60,0,0,7,3,0,3,0,3,0,21,0,0,6,0,0,4,0,0,0,6,0,0,9,0,3,11,3,0,0,27,0,4,11,11,14,9,6,0,0,52,0,6,5,8,8,3,4,0,0,30,0,3,8,0,0,0,0,0,0,7
