GCCSA_CODE_2016,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85_ov,C11_M_LE_NS_T,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85o,C11_M_T_T,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85o,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85ov,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85o,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85o,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85_ov,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85_ov,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85_ov,C16_M_CL_CL_nfd_Tot,C16_M_CL_T_15_19,C16_M_CL_T_20_24,C16_M_CL_T_25_34,C16_M_CL_T_35_44,C16_M_CL_T_45_54,C16_M_CL_T_55_64,C16_M_CL_T_65_74,C16_M_CL_T_75_84,C16_M_CL_T_85_ov,C16_M_CL_T_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85o,C16_M_LE_ID_Tot,C16_M_LE_NS_15_19,C16_M_LE_NS_20_24,C16_M_LE_NS_25_34,C16_M_LE_NS_35_44,C16_M_LE_NS_45_54,C16_M_LE_NS_55_64,C16_M_LE_NS_65_74,C16_M_LE_NS_75_84,C16_M_LE_NS_85_ov,C16_M_LE_NS_T,C16_M_Tot_15_19_yrs,C16_M_Tot_20_24_yrs,C16_M_Tot_25_34_yrs,C16_M_Tot_35_44_yrs,C16_M_Tot_45_54_yrs,C16_M_Tot_55_64_yrs,C16_M_Tot_65_74_yrs,C16_M_Tot_75_84_yrs,C16_M_Tot_85o,C16_M_T_T,C06_F_Post_Deg_15_19_yrs,C06_F_Post_Deg_20_24_yrs,C06_F_Post_Deg_25_34_yrs,C06_F_Post_Deg_35_44_yrs,C06_F_Post_Deg_45_54_yrs,C06_F_Post_Deg_55_64_yrs,C06_F_Post_Deg_65_74_yrs,C06_F_Post_Deg_75_84_yrs,C06_F_Post_Deg_85o,C06_F_Post_Deg_Tot,C06_F_GrDip_GrCe_15_19,C06_F_GrDip_GrCe_20_24,C06_F_GrDip_GrCe_25_34,C06_F_GrDip_GrCe_35_44,C06_F_GrDip_GrCe_45_54,C06_F_GrDip_GrCe_55_64,C06_F_GrDip_GrCe_65_74,C06_F_GrDip_GrCe_75_84,C06_F_GrDip_GrCe_85ov,C06_F_GrDip_GrCe_Tot,C06_F_BD_15_19,C06_F_BD_20_24,C06_F_BD_25_34,C06_F_BD_35_44,C06_F_BD_45_54,C06_F_BD_55_64,C06_F_BD_65_74,C06_F_BD_75_84,C06_F_BD_85o,C06_F_BD_Tot,C06_F_AdD_DL_15_19,C06_F_AdD_DL_20_24,C06_F_AdD_DL_25_34,C06_F_AdD_DL_35_44,C06_F_AdD_DL_45_54,C06_F_AdD_DL_55_64,C06_F_AdD_DL_65_74,C06_F_AdD_DL_75_84,C06_F_AdD_DL_85o,C06_F_AdD_DL_Tot,C06_F_CL_C_III_IV_15_19,C06_F_CL_C_III_IV_20_24,C06_F_CL_C_III_IV_25_34,C06_F_CL_C_III_IV_35_44,C06_F_CL_C_III_IV_45_54,C06_F_CL_C_III_IV_55_64,C06_F_CL_C_III_IV_65_74,C06_F_CL_C_III_IV_75_84,C06_F_CL_C_III_IV_85_ov,C06_F_CL_C_III_IV_Tot,C06_F_CL_C_I_II_15_19,C06_F_CL_C_I_II_20_24,C06_F_CL_C_I_II_25_34,C06_F_CL_C_I_II_35_44,C06_F_CL_C_I_II_45_54,C06_F_CL_C_I_II_55_64,C06_F_CL_C_I_II_65_74,C06_F_CL_C_I_II_75_84,C06_F_CL_C_I_II_85_ov,C06_F_CL_C_I_II_Tot,C06_F_CL_CL_nfd_15_19,C06_F_CL_CL_nfd_20_24,C06_F_CL_CL_nfd_25_34,C06_F_CL_CL_nfd_35_44,C06_F_CL_CL_nfd_45_54,C06_F_CL_CL_nfd_55_64,C06_F_CL_CL_nfd_65_74,C06_F_CL_CL_nfd_75_84,C06_F_CL_CL_nfd_85_ov,C06_F_CL_CL_nfd_Tot
9OTER,48,145,448,131,53,38,9,10,0,881,52,165,527,231,158,107,31,10,0,1279,0,0,8,6,0,5,8,3,0,33,0,0,3,10,4,0,0,0,0,22,0,7,28,34,20,23,17,0,3,134,0,3,15,24,29,17,13,3,0,100,3,11,61,83,108,117,49,16,3,453,6,0,4,5,3,0,3,0,0,27,0,0,8,6,6,9,6,4,0,38,8,13,74,98,117,124,63,18,6,521,0,4,4,0,3,0,0,0,0,17,17,61,146,97,88,66,44,30,3,548,28,85,272,272,266,241,146,52,13,1371,0,4,5,0,3,0,0,0,0,9,0,0,3,7,6,0,0,0,0,13,0,10,21,23,15,3,0,0,0,71,0,3,12,10,3,3,0,0,0,32,0,9,14,14,12,3,0,0,0,53,3,6,3,6,4,0,0,0,0,17,0,3,5,6,5,0,0,0,0,22
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,987,1261,1906,1453,1272,980,746,600,315,9521,1584,7172,22050,20040,17681,13938,7331,3450,1121,94353,3,132,3835,5102,3941,3038,1850,665,190,18761,4,77,996,1104,1212,1167,594,105,19,5276,13,2621,9135,7033,5084,4093,2849,1101,373,32304,49,678,2838,3079,2783,2013,1227,446,163,13269,330,1928,5476,4418,3950,2994,2087,1137,344,22667,154,258,313,181,125,75,45,21,13,1179,29,115,259,345,303,310,258,100,39,1760,519,2298,6042,4949,4368,3379,2388,1264,394,25608,25,79,223,205,196,176,162,114,52,1236,675,1122,2493,1959,1669,1288,1135,837,447,11625,1289,7015,25560,23433,19253,15148,10210,4534,1628,108072,0,98,1752,2073,1775,1013,260,82,20,7072,0,99,1199,1383,1524,947,211,58,9,5429,15,2944,8447,6047,5191,2941,1059,429,117,27193,66,948,2466,2728,2767,1993,911,458,151,12483,285,1148,2165,1660,1418,752,263,160,54,7901,185,344,485,307,255,160,48,18,5,1806,72,202,632,770,750,569,200,150,40,3380
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,4,4,14,11,10,6,0,0,0,56,9,23,62,45,33,29,12,0,3,201,0,0,4,3,3,5,4,0,0,14,0,0,0,0,0,0,0,0,0,4,0,3,15,5,3,0,0,0,0,29,0,3,0,12,3,0,0,0,0,15,0,3,8,10,5,8,3,0,0,36,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,5,10,11,5,7,3,0,0,41,0,0,0,0,0,0,0,0,0,5,3,3,8,21,16,18,7,0,0,79,7,15,35,48,29,36,15,0,0,186,0,0,5,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,15,27,14,4,7,0,0,0,60,0,3,3,6,0,0,0,0,0,15,0,4,9,3,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
7RNTE,594,575,1257,1065,832,611,294,96,29,5355,780,1426,4107,3922,3379,2394,837,188,31,17070,0,8,154,161,146,108,62,13,0,656,0,7,57,77,79,69,20,5,0,322,4,79,623,506,365,332,117,24,3,2045,4,61,358,359,386,303,109,26,3,1609,84,442,1336,1130,1213,942,392,93,14,5650,48,71,159,110,102,50,15,3,0,564,16,41,130,124,111,68,33,9,0,546,145,556,1626,1373,1434,1069,439,104,20,6753,3,7,54,23,40,28,9,6,3,178,851,905,1749,1297,1179,863,461,156,30,7496,1005,1620,4618,3789,3634,2767,1224,334,56,19062,0,5,70,147,132,74,13,4,0,439,3,6,119,134,149,50,13,3,0,473,0,168,841,630,508,246,64,17,3,2477,3,82,328,456,443,204,49,14,0,1580,75,258,518,427,330,155,26,7,0,1803,67,140,171,126,87,35,11,0,0,628,12,51,136,113,85,40,3,3,4,453
7GDAR,827,953,2005,1615,1398,1013,508,258,53,8628,1128,2814,7734,7233,6152,4506,1857,586,103,32106,0,20,574,610,428,355,179,26,4,2189,0,5,143,192,201,160,57,12,0,775,4,354,2098,1515,1016,725,346,86,23,6171,10,155,914,1071,1058,675,291,73,11,4250,203,1170,4256,3189,2908,1956,920,281,46,14931,95,123,144,122,67,30,15,5,0,602,34,57,162,179,146,125,87,22,8,826,332,1343,4563,3493,3123,2116,1022,306,56,16354,4,33,81,88,66,61,30,18,3,386,573,879,2481,1913,1642,1197,668,231,72,9651,925,2784,10854,8879,7534,5278,2591,756,165,39769,0,3,174,313,298,160,27,4,0,977,0,11,227,277,269,121,22,0,3,925,0,440,1864,1260,1014,507,113,34,11,5235,8,175,714,879,708,412,120,23,8,3047,127,521,1058,872,501,225,55,13,0,3369,89,194,244,137,132,55,4,0,0,847,20,70,204,217,175,81,28,3,0,800
79799,0,0,3,3,0,4,0,0,0,12,0,8,17,9,10,6,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,0,0,0,0,19,0,3,6,0,0,0,0,0,0,8,0,0,6,4,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,6,8,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,4,18,18,10,3,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,3,10,43,32,32,39,14,0,0,171,7,43,138,98,99,145,77,5,0,609,0,0,8,0,6,3,0,0,0,19,0,0,3,0,5,3,0,0,0,9,0,8,20,13,8,14,6,0,0,65,0,5,7,7,10,10,7,0,0,51,0,12,39,38,40,58,51,9,0,251,0,4,3,0,3,0,3,0,0,14,3,6,0,3,0,3,3,0,0,19,4,18,43,41,46,65,53,8,0,279,0,3,0,0,3,3,0,0,0,9,3,39,100,87,112,71,40,9,0,457,8,68,180,154,188,159,112,19,0,890,0,0,3,3,0,0,0,0,0,11,0,3,4,6,8,4,0,0,0,23,0,8,41,15,13,11,3,0,0,100,0,6,19,9,9,10,4,0,0,51,0,14,7,7,9,14,0,0,0,49,0,3,3,0,5,3,3,0,0,12,0,0,3,0,9,8,4,0,0,20
