GCCSA_CODE_2016,C06_F_CL_T_15_19,C06_F_CL_T_20_24,C06_F_CL_T_25_34,C06_F_CL_T_35_44,C06_F_CL_T_45_54,C06_F_CL_T_55_64,C06_F_CL_T_65_74,C06_F_CL_T_75_84,C06_F_CL_T_85_ov,C06_F_CL_T_Tot,C06_F_LE_ID_15_19,C06_F_LE_ID_20_24,C06_F_LE_ID_25_34,C06_F_LE_ID_35_44,C06_F_LE_ID_45_54,C06_F_LE_ID_55_64,C06_F_LE_ID_65_74,C06_F_LE_ID_75_84,C06_F_LE_ID_85o,C06_F_LE_ID_Tot,C06_F_LE_NS_15_19,C06_F_LE_NS_20_24,C06_F_LE_NS_25_34,C06_F_LE_NS_35_44,C06_F_LE_NS_45_54,C06_F_LE_NS_55_64,C06_F_LE_NS_65_74,C06_F_LE_NS_75_84,C06_F_LE_NS_85_ov,C06_F_LE_NS_T,C06_F_Tot_15_19_yrs,C06_F_Tot_20_24_yrs,C06_F_Tot_25_34_yrs,C06_F_Tot_35_44_yrs,C06_F_Tot_45_54_yrs,C06_F_Tot_55_64_yrs,C06_F_Tot_65_74_yrs,C06_F_Tot_75_84_yrs,C06_F_Tot_85o,C06_F_T_T,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85o,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85ov,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85o,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85o,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85_ov,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85_ov,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85_ov,C11_F_CL_CL_nfd_Tot,C11_F_CL_T_15_19,C11_F_CL_T_20_24,C11_F_CL_T_25_34,C11_F_CL_T_35_44,C11_F_CL_T_45_54,C11_F_CL_T_55_64,C11_F_CL_T_65_74,C11_F_CL_T_75_84,C11_F_CL_T_85_ov,C11_F_CL_T_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85o,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85_ov,C11_F_LE_NS_T,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85o,C11_F_T_T,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85o,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85ov,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85o,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85o,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85_ov,C16_F_CL_C_III_IV_Tot
9OTER,6,13,20,33,21,3,0,0,0,97,0,3,7,0,7,0,0,0,0,17,7,8,11,25,20,12,10,3,0,96,15,38,73,105,72,25,10,3,0,338,0,0,3,9,0,0,0,0,0,13,0,0,10,8,3,0,0,0,0,25,0,9,21,30,11,9,0,0,0,82,0,0,17,16,19,10,0,0,0,56,4,10,26,22,15,4,0,0,0,84,7,0,3,0,10,0,0,0,0,22,0,0,0,3,3,0,0,0,0,9,11,13,26,28,28,10,0,0,0,115,0,0,3,5,0,0,0,0,0,8,6,8,18,21,25,22,4,9,0,109,15,35,93,113,87,50,5,6,0,411,0,0,4,18,8,3,3,0,0,42,0,3,7,10,8,4,0,0,0,34,0,8,43,51,19,36,14,4,5,186,0,3,33,45,35,34,17,7,3,165,5,13,32,30,39,19,6,0,0,147
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3
8ACTE,542,1690,3280,2736,2416,1488,513,332,92,13087,36,104,309,464,570,434,256,143,47,2361,1059,876,1505,1480,1607,1412,1160,1240,574,10912,1720,6759,18956,16906,15855,10223,4369,2738,1014,78536,0,197,3114,3053,2414,1566,511,131,26,11014,0,116,1491,1644,1624,1304,424,81,13,6692,10,3248,10721,7338,5694,3845,1733,618,172,33382,79,974,2793,3284,3147,2422,1199,486,196,14561,324,1444,2686,2296,1827,1061,402,196,58,10308,203,317,438,349,282,204,87,31,9,1926,44,174,331,601,647,648,294,119,63,2923,574,1936,3457,3248,2764,1914,789,341,136,15154,23,99,286,345,544,625,468,295,138,2821,894,909,1366,1128,1039,1017,962,1046,825,9187,1580,7482,23218,20040,17217,12690,6092,2997,1502,92815,0,251,4630,4651,3190,2023,986,244,44,16021,3,152,1814,1900,1749,1456,847,173,26,8125,18,3561,12051,9027,6139,4565,2648,1023,279,39304,84,940,3226,3490,3382,2626,1730,755,234,16462,365,1594,3183,2682,2256,1528,618,200,86,12507
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,4,7,8,4,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,5,0,5,5,7,5,0,3,3,0,30,3,27,54,26,17,10,3,3,0,156,0,0,3,9,4,0,0,0,0,15,0,0,4,0,3,3,0,0,0,13,0,12,31,15,5,5,3,0,0,73,0,3,7,5,4,3,3,0,0,25,0,7,11,8,3,3,0,0,0,29,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,9,0,5,7,7,5,4,0,0,0,40,0,0,0,0,0,0,0,0,0,5,4,7,0,3,6,0,0,0,0,19,4,25,57,39,35,18,5,0,0,182,0,0,5,5,4,8,3,0,0,20,0,0,0,0,0,3,0,0,0,9,0,7,23,7,6,8,3,0,0,55,0,0,3,0,3,3,0,0,0,18,0,3,3,3,3,0,0,0,0,17
7RNTE,158,452,830,660,500,234,40,13,3,2885,8,24,69,98,91,38,16,4,0,344,583,561,1054,937,802,452,243,101,45,4781,755,1305,3302,3060,2619,1292,434,149,56,12974,0,6,161,187,177,136,29,0,0,698,0,14,156,182,176,124,13,3,4,668,4,219,1130,785,653,411,80,17,7,3303,11,78,387,467,489,311,77,23,3,1839,98,309,728,616,473,273,49,10,3,2553,49,109,231,177,120,56,14,7,0,764,8,33,83,109,87,44,16,4,0,389,160,446,1041,898,684,377,82,16,3,3710,4,21,55,66,75,67,16,5,0,318,562,482,930,899,678,462,279,126,54,4476,744,1271,3854,3491,2928,1891,576,187,73,15014,0,10,258,239,204,188,49,10,0,949,0,6,176,181,194,138,32,3,0,731,3,160,1136,836,624,495,149,44,12,3459,3,72,419,426,515,384,112,39,4,1971,90,271,701,529,542,355,90,12,3,2606
7GDAR,234,776,1504,1220,807,358,82,18,8,5009,18,42,123,150,120,84,23,9,0,571,660,462,1041,1142,1019,635,315,226,53,5549,914,1913,5646,5240,4223,2281,704,312,82,21315,0,18,381,398,384,254,80,7,0,1522,0,20,285,366,340,199,46,3,0,1261,12,480,2514,1737,1174,734,219,53,12,6932,23,211,860,1079,922,557,191,43,12,3882,176,686,1527,1173,889,382,93,29,8,4956,118,186,269,160,122,68,19,6,0,942,11,40,112,169,134,102,30,14,4,617,303,909,1907,1494,1147,555,146,40,9,6514,11,43,87,102,117,84,44,16,0,504,565,501,1221,1207,1054,788,415,232,80,6069,908,2185,7253,6381,5139,3170,1136,393,118,26685,3,35,720,687,496,364,128,25,3,2455,0,36,439,457,345,277,78,16,0,1652,0,529,3339,2340,1394,914,395,86,17,9019,15,277,1186,1190,1111,744,286,83,10,4896,197,745,1898,1396,1066,571,167,32,7,6073
79799,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,3,14,14,4,18,26,5,0,0,82,0,0,4,0,3,3,0,0,0,12,10,12,53,16,22,37,13,3,0,158,9,45,136,54,79,84,27,3,0,437,0,0,5,6,6,4,0,0,0,20,0,0,10,3,0,3,0,0,0,11,0,16,63,18,14,15,8,0,0,132,0,9,13,8,16,20,10,0,0,67,0,15,16,17,14,16,9,0,0,88,0,0,4,0,0,4,3,0,0,11,0,0,3,0,4,0,0,0,0,6,3,12,25,14,14,23,12,0,0,109,0,3,3,0,0,3,0,0,0,12,0,7,14,14,28,34,16,0,0,121,3,52,132,66,78,104,40,3,0,476,0,0,12,9,3,4,3,0,0,32,0,0,8,3,3,7,0,0,0,21,0,11,37,24,14,18,6,0,0,122,0,5,5,15,14,18,13,0,0,68,3,6,17,11,12,16,0,0,0,67
