GCCSA_CODE_2016,C11_5_9_Indig_st_ns_P,C11_5_9_T_M,C11_5_9_T_F,C11_5_9_T_P,C11_10_14_Indigen_M,C11_10_14_Indigen_F,C11_10_14_Indigen_P,C11_10_14_NonInd_M,C11_10_14_NonInd_F,C11_10_14_NonInd_P,C11_10_14_Ind_st_ns_M,C11_10_14_Ind_st_ns_F,C11_10_14_Ind_st_ns_P,C11_10_14_T_M,C11_10_14_T_F,C11_10_14_T_P,C11_15_19_Indigen_M,C11_15_19_Indigen_F,C11_15_19_Indigen_P,C11_15_19_NonInd_M,C11_15_19_NonInd_F,C11_15_19_NonInd_P,C11_15_19_Ind_st_ns_M,C11_15_19_Ind_st_ns_F,C11_15_19_Ind_st_ns_P,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Indigen_M,C11_20_24_Indigen_F,C11_20_24_Indigen_P,C11_20_24_NonInd_M,C11_20_24_NonInd_F,C11_20_24_NonInd_P,C11_20_24_Ind_st_ns_M,C11_20_24_Ind_st_ns_F,C11_20_24_Ind_st_ns_P,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_29_Indigen_M,C11_25_29_Indigen_F,C11_25_29_Indigen_P,C11_25_29_NonInd_M,C11_25_29_NonInd_F,C11_25_29_NonInd_P,C11_25_29_Ind_st_ns_M,C11_25_29_Ind_st_ns_F,C11_25_29_Ind_st_ns_P,C11_25_29_T_M,C11_25_29_T_F,C11_25_29_T_P,C11_30_34_Indigen_M,C11_30_34_Indigen_F,C11_30_34_Indigen_P,C11_30_34_NonInd_M,C11_30_34_NonInd_F,C11_30_34_NonInd_P,C11_30_34_Ind_st_ns_M,C11_30_34_Ind_st_ns_F,C11_30_34_Ind_st_ns_P,C11_30_34_T_M,C11_30_34_T_F,C11_30_34_T_P,C11_35_39_Indigen_M,C11_35_39_Indigen_F,C11_35_39_Indigen_P,C11_35_39_NonInd_M,C11_35_39_NonInd_F,C11_35_39_NonInd_P,C11_35_39_Ind_st_ns_M,C11_35_39_Ind_st_ns_F,C11_35_39_Ind_st_ns_P,C11_35_39_T_M,C11_35_39_T_F,C11_35_39_T_P,C11_40_44_Indigen_M,C11_40_44_Indigen_F,C11_40_44_Indigen_P,C11_40_44_NonInd_M,C11_40_44_NonInd_F,C11_40_44_NonInd_P,C11_40_44_Ind_st_ns_M,C11_40_44_Ind_st_ns_F,C11_40_44_Ind_st_ns_P,C11_40_44_T_M,C11_40_44_T_F,C11_40_44_T_P,C11_45_49_Indigen_M,C11_45_49_Indigen_F,C11_45_49_Indigen_P,C11_45_49_NonInd_M,C11_45_49_NonInd_F,C11_45_49_NonInd_P,C11_45_49_Ind_st_ns_M,C11_45_49_Ind_st_ns_F,C11_45_49_Ind_st_ns_P,C11_45_49_T_M,C11_45_49_T_F,C11_45_49_T_P,C11_50_54_Indigen_M,C11_50_54_Indigen_F,C11_50_54_Indigen_P,C11_50_54_NonInd_M,C11_50_54_NonInd_F,C11_50_54_NonInd_P,C11_50_54_Ind_st_ns_M,C11_50_54_Ind_st_ns_F,C11_50_54_Ind_st_ns_P,C11_50_54_T_M,C11_50_54_T_F,C11_50_54_T_P,C11_55_59_Indigen_M,C11_55_59_Indigen_F,C11_55_59_Indigen_P,C11_55_59_NonInd_M,C11_55_59_NonInd_F,C11_55_59_NonInd_P,C11_55_59_Ind_st_ns_M,C11_55_59_Ind_st_ns_F,C11_55_59_Ind_st_ns_P,C11_55_59_T_M,C11_55_59_T_F,C11_55_59_T_P,C11_60_64_Indigen_M,C11_60_64_Indigen_F,C11_60_64_Indigen_P,C11_60_64_NonInd_M,C11_60_64_NonInd_F,C11_60_64_NonInd_P,C11_60_64_Ind_st_ns_M,C11_60_64_Ind_st_ns_F,C11_60_64_Ind_st_ns_P,C11_60_64_T_M,C11_60_64_T_F,C11_60_64_T_P,C11_65_over_Indigen_M,C11_65_over_Indigen_F,C11_65_over_Indigen_P,C11_65over_NonInd_M,C11_65over_NonInd_F,C11_65over_NonInd_P,C11_65over_Indig_st_ns_M,C11_65over_Indig_st_ns_F,C11_65over_Indig_st_ns_P,C11_65_over_T_M,C11_65_over_T_F,C11_65_over_T_P,C11_Tot_Indig_M,C11_Tot_Indig_F,C11_Tot_Indig_P,C11_Tot_NonInd_M,C11_Tot_NonInd_F,C11_Tot_NonInd_P,C11_Tot_Indig_st_ns_M,C11_Tot_Indig_st_ns_F,C11_Tot_Indig_st_ns_P,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P,C16_0_4_Indig_M,C16_0_4_Indig_F,C16_0_4_Indig_P,C16_0_4_NonInd_M,C16_0_4_NonInd_F,C16_0_4_NonInd_P,C16_0_4_Indig_st_ns_M,C16_0_4_Indig_st_ns_F,C16_0_4_Indig_st_ns_P,C16_0_4_T_M,C16_0_4_T_F,C16_0_4_T_P,C16_5_9_Indig_M,C16_5_9_Indig_F,C16_5_9_Indig_P,C16_5_9_NonInd_M,C16_5_9_NonInd_F,C16_5_9_NonInd_P,C16_5_9_Indig_st_ns_M,C16_5_9_Indig_st_ns_F,C16_5_9_Indig_st_ns_P,C16_5_9_T_M,C16_5_9_T_F,C16_5_9_T_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_T_M,C16_10_14_T_F,C16_10_14_T_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M
9OTER,11,84,90,174,14,13,27,74,68,140,9,8,15,94,93,185,12,11,17,99,43,138,0,4,4,107,51,164,4,12,15,187,52,238,10,4,12,195,64,265,6,7,9,348,55,407,3,0,4,360,67,421,13,10,19,208,65,272,4,0,4,224,72,294,9,11,20,130,65,193,13,4,12,147,76,227,8,5,14,116,77,195,5,11,13,123,96,217,6,7,7,125,87,209,5,4,4,133,95,227,7,7,19,95,77,176,3,0,0,103,87,193,6,3,12,93,74,163,6,9,14,106,83,194,5,3,5,91,35,128,5,5,13,107,47,146,6,11,14,88,45,130,3,3,6,98,64,156,120,126,246,1768,851,2624,70,65,137,1958,1043,3004,5,5,14,121,108,234,8,3,15,141,126,261,14,13,20,131,111,240,13,10,23,156,130,284,18,10,24,100,122,215,14,6,22,126,135,262,6,16,20,90
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,4,0,8,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,26,0,0,0,7,19,26,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,697,11055,10332,21392,275,288,566,10070,9746,19815,405,293,700,10751,10328,21076,341,256,599,11428,10880,22305,555,477,1031,12327,11606,23936,287,278,560,14292,14019,28315,1019,774,1795,15600,15066,30664,235,226,458,14162,14378,28544,834,613,1447,15232,15221,30451,159,180,344,12890,13270,26158,633,502,1136,13684,13955,27639,172,160,332,12613,13004,25612,541,410,959,13322,13580,26904,149,152,300,12071,12582,24652,538,418,960,12762,13158,25918,137,150,289,11297,12124,23419,500,365,860,11933,12641,24575,107,111,213,10776,11590,22366,426,349,774,11311,12051,23353,87,90,177,9399,10118,19510,368,315,681,9858,10518,20369,48,42,83,8600,9095,17693,306,266,573,8951,9400,18348,43,62,106,16532,20038,36576,680,771,1453,17259,20876,38134,2639,2519,5155,166098,171359,337459,7675,6297,13968,176414,180170,356586,382,345,726,12856,12004,24864,654,543,1193,13892,12889,26782,367,304,678,12333,11451,23785,521,453,974,13221,12209,25428,318,310,623,10681,10149,20830,395,383,775,11387,10841,22234,328,344,674,11521
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,8,9,20,0,0,0,3,3,8,0,0,0,3,3,8,3,0,3,28,30,52,3,0,6,30,29,59,4,0,5,29,38,72,3,6,8,38,46,86,3,3,9,36,37,75,3,0,3,46,39,85,0,0,0,32,30,66,3,0,3,36,30,70,0,0,3,27,23,57,0,0,0,34,22,54,0,0,0,30,22,51,3,0,3,32,26,56,0,0,0,11,18,22,3,0,4,11,13,31,3,0,3,18,24,41,6,0,4,28,23,50,3,3,6,17,14,31,3,0,3,21,17,35,0,0,0,9,7,19,0,0,0,11,7,26,0,0,0,11,12,24,0,0,0,11,13,27,20,15,26,287,284,570,24,5,34,328,305,630,0,0,0,8,6,14,0,0,0,5,6,12,0,0,3,5,7,13,0,0,0,7,7,22,0,0,0,0,0,3,0,0,0,0,0,3,4,0,5,15
7RNTE,336,4199,3945,8146,2489,2326,4818,1125,1003,2131,207,157,366,3824,3496,7319,2275,2184,4462,1060,930,1987,171,139,309,3503,3256,6761,2107,2229,4340,1294,1239,2533,199,150,352,3601,3616,7222,1972,2073,4049,1722,1740,3466,251,177,429,3951,3986,7938,1674,1709,3381,1674,1711,3385,229,166,393,3572,3582,7159,1517,1636,3154,1670,1595,3267,219,186,402,3412,3416,6826,1334,1621,2951,1669,1501,3171,220,195,411,3219,3312,6537,1084,1153,2240,1674,1530,3203,226,159,384,2989,2842,5827,872,1040,1910,1699,1501,3196,186,156,346,2755,2698,5460,647,719,1371,1491,1349,2844,191,118,316,2337,2191,4526,427,539,966,1244,875,2120,131,71,203,1803,1485,3294,643,927,1569,1340,1001,2346,176,127,306,2153,2063,4219,22382,23157,45540,20335,18576,38911,2785,2136,4924,45506,43870,89374,2288,2114,4402,1241,1237,2485,293,223,516,3829,3572,7398,2439,2281,4718,1215,1117,2328,233,222,458,3886,3621,7505,2413,2151,4563,943,899,1838,241,198,441,3595,3242,6840,2310,2155,4462,886
7GDAR,832,4107,4103,8213,670,650,1317,3098,2991,6091,458,395,855,4221,4037,8263,663,536,1195,3178,2784,5963,501,369,862,4331,3691,8028,501,442,947,4212,3336,7543,581,386,973,5296,4167,9458,439,388,830,4615,4408,9023,687,497,1188,5741,5294,11038,380,367,745,4159,4172,8326,524,424,952,5064,4959,10026,420,390,812,4121,3987,8113,488,450,939,5029,4835,9863,359,411,771,4020,3900,7920,554,438,997,4938,4750,9682,299,309,612,3765,3566,7330,489,414,905,4551,4291,8844,247,273,519,3461,3359,6818,485,331,817,4198,3960,8156,166,211,379,3070,2737,5814,388,301,685,3627,3250,6877,106,159,262,2631,2140,4768,355,222,575,3090,2519,5607,125,206,330,3523,3025,6550,435,313,744,4077,3546,7629,5569,5527,11099,50460,46797,97258,6862,5360,12224,62895,57687,120586,616,567,1188,4021,3963,7984,495,488,984,5137,5018,10155,672,619,1289,3661,3427,7085,440,405,843,4774,4455,9223,672,633,1305,3113,3017,6132,370,349,720,4162,3991,8148,605,537,1141,3050
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,3,0,0,0,15,0,15,0,0,0,17,0,18,0,0,0,9,4,13,3,0,3,17,4,18,0,0,0,13,0,16,0,0,0,19,0,17,0,0,0,8,0,7,0,0,3,10,0,8,0,0,0,8,0,8,3,0,3,12,0,12,0,0,0,9,0,9,0,0,0,9,0,7,0,0,0,8,0,4,0,0,0,8,0,4,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,4,0,9,0,0,0,4,0,9,0,0,0,4,3,7,0,0,0,3,3,7,0,0,0,77,16,89,9,3,15,90,19,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0
79499,4,25,29,55,0,5,3,7,8,21,0,0,4,8,17,25,3,9,8,6,18,21,0,0,0,9,24,34,6,3,6,50,60,115,8,8,14,65,69,141,15,0,13,85,87,169,26,8,31,124,93,222,8,7,14,54,56,115,14,4,13,73,67,146,10,0,8,58,40,94,15,6,16,78,41,128,7,4,9,51,32,81,10,8,13,62,39,107,7,6,8,43,43,90,10,8,21,61,57,115,9,3,16,50,71,118,11,13,20,67,84,152,4,4,6,100,95,193,14,19,29,114,109,226,4,3,10,100,77,177,21,10,25,122,87,214,0,0,0,141,82,217,12,7,18,155,89,247,83,50,134,797,710,1510,140,85,232,1017,850,1870,3,5,9,32,25,54,9,4,18,45,34,81,3,0,7,21,47,70,7,11,17,31,56,93,3,4,8,14,7,23,0,5,4,19,14,30,13,9,20,3
